,DEG,pred,score_0,score_1,score_2
Cep44,1,1,0.14798496663570404,0.6577677130699158,0.1942472606897354
Exd2,1,1,0.18588049709796906,0.683149516582489,0.13097001612186432
Sgpp1,1,1,0.24474531412124634,0.5715894103050232,0.18366527557373047
Bak1,1,0,0.5030224919319153,0.4012659192085266,0.09571162611246109
2610316D01Rik,1,1,0.1906164437532425,0.5967832207679749,0.21260038018226624
Rab1b,1,0,0.6072825789451599,0.3435181677341461,0.04919924587011337
Clmn,1,1,0.3839278519153595,0.4930020272731781,0.12307015806436539
Nup85,1,0,0.5209673047065735,0.40458691120147705,0.07444577664136887
Mrps35,1,1,0.17074871063232422,0.7146563529968262,0.11459486931562424
Cnot8,1,1,0.389923632144928,0.5057317614555359,0.10434461385011673
Mef2c,1,0,0.3641844093799591,0.3170869052410126,0.3187287151813507
Cutc,1,1,0.3340088725090027,0.5441384315490723,0.12185269594192505
Cdh7,1,2,0.20045097172260284,0.3070928454399109,0.4924561381340027
Adcy10,1,1,0.25488993525505066,0.4610976278781891,0.28401240706443787
Trmt1l,1,1,0.3049963116645813,0.5611432790756226,0.13386042416095734
Ehhadh,1,1,0.22519704699516296,0.6507378816604614,0.124065101146698
Galnt3,1,1,0.13897760212421417,0.5433480143547058,0.3176743686199188
Zbtb44,1,1,0.2503192126750946,0.5891914367675781,0.16048941016197205
Appl1,1,0,0.5775615572929382,0.3043923079967499,0.11804616451263428
Cpsf7,1,1,0.4580305218696594,0.47220146656036377,0.06976795196533203
Sh3bgrl,1,2,0.3223242461681366,0.2548691928386688,0.42280659079551697
Lnx1,1,1,0.20278844237327576,0.44850480556488037,0.34870678186416626
BC006965,1,2,0.25764012336730957,0.24096596240997314,0.5013939142227173
Gnai2,1,0,0.6629976034164429,0.2554697096347809,0.08153273165225983
Fam53a,1,0,0.49295371770858765,0.4031686782836914,0.10387756675481796
Scfd2,1,1,0.16922609508037567,0.4421998858451843,0.3885740339756012
Fbrs,1,0,0.44753485918045044,0.43159034848213196,0.1208747923374176
Hcrtr2,1,1,0.14908212423324585,0.5562520027160645,0.2946659028530121
Zhx2,1,1,0.11469299346208572,0.6644236445426941,0.2208833396434784
4732463B04Rik,1,1,0.32579028606414795,0.5547424554824829,0.11946728080511093
Slirp,1,1,0.313039630651474,0.5005801916122437,0.18638013303279877
Tgoln1,1,1,0.28876549005508423,0.5513083934783936,0.1599261611700058
Ass1,1,1,0.45795154571533203,0.46139800548553467,0.0806504562497139
Fads3,1,0,0.48517316579818726,0.4270801246166229,0.08774672448635101
D11Wsu47e,1,1,0.37274405360221863,0.5420368909835815,0.08521904051303864
Gm20641,1,1,0.26461267471313477,0.4921718239784241,0.24321550130844116
Commd2,1,1,0.2919415831565857,0.5647304058074951,0.1433279812335968
Glis2,1,1,0.2559126019477844,0.6596189737319946,0.08446838706731796
Rpl13,1,1,0.27127543091773987,0.583710253238678,0.14501430094242096
Usp19,1,0,0.6037646532058716,0.34678322076797485,0.04945208504796028
Zfp932,1,1,0.35832178592681885,0.547696590423584,0.09398160874843597
Tmem17,1,1,0.26852428913116455,0.5881214141845703,0.14335431158542633
Nell1os,1,1,0.19577555358409882,0.6964315176010132,0.1077929213643074
Rac1,1,0,0.6974894404411316,0.2550702691078186,0.04744027182459831
Fbxl15,1,0,0.5239397883415222,0.38248419761657715,0.09357599914073944
Stat2,1,0,0.5712946057319641,0.32887816429138184,0.09982722252607346
Cdr2l,1,1,0.4181583523750305,0.44049420952796936,0.1413474828004837
Zfp583,1,0,0.5920535922050476,0.3168441951274872,0.0911022201180458
Eaf2,1,1,0.17907336354255676,0.6362216472625732,0.18470498919487
Ripk2,1,2,0.19561021029949188,0.3375169634819031,0.46687284111976624
Dnajc9,1,1,0.3585781455039978,0.5833232998847961,0.05809859558939934
Mogs,1,1,0.2564893066883087,0.6542675495147705,0.0892430990934372
Gm26713,1,1,0.21452198922634125,0.48201531171798706,0.3034627437591553
Tex264,1,0,0.5270266532897949,0.385392963886261,0.08758041262626648
Abcd3,1,2,0.30991077423095703,0.32547393441200256,0.3646152913570404
Arid3b,1,1,0.24744325876235962,0.6882925629615784,0.06426424533128738
Errfi1,1,0,0.6329700946807861,0.27403944730758667,0.09299048781394958
Rsrc2,1,1,0.3986731469631195,0.5196583867073059,0.0816684290766716
Man1b1,1,1,0.39719924330711365,0.5534522533416748,0.04934846982359886
Gm28791,1,1,0.21789488196372986,0.6494722366333008,0.13263288140296936
Gsk3b,1,0,0.4250987470149994,0.2417566329240799,0.3331446051597595
Itpk1,1,0,0.5521776676177979,0.3625051975250244,0.08531717211008072
Tomm70a,1,1,0.24883641302585602,0.5144054293632507,0.23675817251205444
Wdr61,1,0,0.5124785900115967,0.3649035394191742,0.12261788547039032
6330403K07Rik,1,1,0.22123897075653076,0.6808162331581116,0.09794473648071289
Ndufs8,1,1,0.4385513365268707,0.4817829430103302,0.07966574281454086
Rbm11,1,1,0.1209445372223854,0.6073373556137085,0.2717181146144867
Rhbdd2,1,1,0.4296499192714691,0.49700015783309937,0.0733499675989151
Ube2d2a,1,0,0.6132302284240723,0.33915814757347107,0.04761162027716637
Tcof1,1,0,0.5179017782211304,0.3461761474609375,0.13592208921909332
Gas6,1,0,0.576751172542572,0.34573832154273987,0.07751050591468811
Nsd1,1,0,0.6716954708099365,0.21438394486904144,0.11392054706811905
Stmn4,1,1,0.27066555619239807,0.43087300658226013,0.2984614372253418
Cntn5,1,2,0.15403786301612854,0.26001259684562683,0.5859495401382446
Gm10406,1,1,0.22659341990947723,0.552912712097168,0.22049382328987122
Cpne1,1,1,0.4462015628814697,0.4579384922981262,0.09585992991924286
Mpzl3,1,1,0.26138874888420105,0.6616374254226685,0.0769738107919693
Enpp1,1,2,0.09314997494220734,0.42414700984954834,0.48270297050476074
Anapc10,1,1,0.25920990109443665,0.43341079354286194,0.3073793053627014
Kcnmb2,1,2,0.20422102510929108,0.23450611531734467,0.5612728595733643
Nat9,1,1,0.19717244803905487,0.6324270367622375,0.17040053009986877
2900026A02Rik,1,1,0.3985401690006256,0.4347153902053833,0.16674447059631348
