,DEG,pred,score_0,score_1,score_2
Stard7,1,0,0.5419238805770874,0.3403543531894684,0.11772177368402481
Nus1,1,0,0.34418776631355286,0.3336392045021057,0.32217302918434143
Zfp142,1,1,0.176436647772789,0.6553552150726318,0.16820809245109558
Ap3m2,1,1,0.3773319125175476,0.565694272518158,0.05697380751371384
Kcnk12,1,0,0.6293558478355408,0.2914115786552429,0.0792325809597969
Cln5,1,1,0.27658629417419434,0.5845531821250916,0.1388605684041977
Nrxn1,1,2,0.22738081216812134,0.22281686961650848,0.5498023629188538
Pdpk1,1,0,0.41518521308898926,0.3831675350666046,0.20164726674556732
Dusp18,1,1,0.45604264736175537,0.4809933602809906,0.06296402961015701
Gm15577,1,1,0.32440951466560364,0.366716593503952,0.30887386202812195
Gm14286,1,1,0.1471710354089737,0.5786264538764954,0.27420252561569214
Aebp2,1,1,0.2772304117679596,0.5520888566970825,0.1706807017326355
Agrp,1,0,0.6250689029693604,0.2848507761955261,0.09008026868104935
Intu,1,1,0.17037035524845123,0.47997811436653137,0.3496515154838562
Zfp90,1,1,0.21658474206924438,0.5607389211654663,0.2226763814687729
Jakmip3,1,1,0.2539624869823456,0.39961695671081543,0.3464205265045166
Nap1l3,1,2,0.12154748290777206,0.4385994076728821,0.43985313177108765
Zfp786,1,1,0.23266491293907166,0.46859291195869446,0.29874223470687866
Rit1,1,1,0.2087784707546234,0.47280067205429077,0.3184208869934082
Setd7,1,1,0.2235146015882492,0.5108348727226257,0.26565051078796387
Eif5a,1,0,0.6881093978881836,0.2605193853378296,0.05137120187282562
Gm12064,1,1,0.1933223158121109,0.6142482161521912,0.19242943823337555
Traf3,1,0,0.7458334565162659,0.191615030169487,0.06255154311656952
Phf23,1,0,0.6731222867965698,0.2761839032173157,0.050693806260824203
Gm15478,1,1,0.1415853202342987,0.6103512048721313,0.24806351959705353
Sptlc2,1,1,0.18042421340942383,0.6276402473449707,0.19193552434444427
Psmb7,1,1,0.18492087721824646,0.610215425491333,0.20486369729042053
Ipo13,1,0,0.671562671661377,0.2749040126800537,0.05353333055973053
Cog7,1,1,0.26118171215057373,0.6158102750778198,0.12300796806812286
Hagh,1,0,0.47709381580352783,0.41867947578430176,0.1042267233133316
Lbr,1,1,0.15607330203056335,0.6818861365318298,0.1620405912399292
Pate2,1,2,0.13588300347328186,0.36270278692245483,0.5014141798019409
Dnttip2,1,1,0.2906680703163147,0.5118624567985535,0.19746948778629303
Rmdn2,1,1,0.26331669092178345,0.6382675766944885,0.09841575473546982
Zscan20,1,0,0.42622336745262146,0.3614444434642792,0.21233220398426056
