gene_name,gene_length.meta,count.enhancer_DMR,9mo.2mo.activity.log_ratio.count.5kb-20kb.enhancer_DMR,9mo.2mo.activity.log_ratio.median.20kb-5Mb.enhancer_peak,count.enhancer_peak,18mo.9mo.activity.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.2mo.contact.log_ratio.count.20kb-5Mb.enhancer_peak,18mo.2mo.contact.log_ratio.mean.20kb-5Mb.enhancer_peak,9mo.2mo.contact.log_ratio.min.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.count.0-5kb.enhancer_peak,9mo.2mo.activity.log_ratio.min.20kb-5Mb.enhancer_peak,18mo.9mo.contact.log_ratio.std.20kb-5Mb.enhancer_peak,9mo.2mo.activity.log_ratio.mean.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.min.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.mean.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.median.20kb-5Mb.enhancer_peak,rel_pos.DMR,distance.log2.DMR,18mo.9mo.Q.std.loops,loop_size.log.max.loops,9mo.2mo.Q.max.loops,loop_size.log.median.loops,9mo.2mo.Q.std.loops,loop_size.log.mean.loops,18mo.2mo.Q.std.loops,loop_size.log.min.loops,18mo.2mo.Q.min.loops,18mo.2mo.log_ratio.mcg_genebody,18mo.2mo.log_ratio.mch_genebody,9mo.2mo.log_ratio.mch_genebody,log2_distance.std.atac,18mo.2mo.log_ratio.mean.atac,18mo.2mo.log_ratio.max.atac,log2_distance.max.atac,9mo.2mo.log_ratio.mean.atac,count.atac,18mo.9mo.log_ratio.max.atac,log2_distance.mean.atac,9mo.2mo.log_ratio.max.atac,DEG,pred
Ap3m2,0.029781345291994513,0.0023393963230773805,0.0,-0.0039284368604421615,0.06839238583575934,0.0,0.0,-0.09210128948092461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07415098927915097,0.002385816276073456,0.0,-0.035331946611404416,-0.024563660379499197,0.0,0.0,0.0,0.0,0.006671581268310547,0.04604117706418037,0.2740335070481524,0.0,0.0,0.0,0.04892095252871513,0.0,0.11617678195238114,0.0,0.01298543956130743,0.0,1.0,1.0
Kcnk12,-0.025590042937546967,0.0016375773400068283,0.0,-0.012690378651022911,-0.037128585944883524,0.0,0.0,-0.016554153338074685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00597991868853569,0.0,0.0,-0.035331946611404416,-0.013646478573791683,0.0,0.0,0.0,0.0,0.0014296245574951171,0.0,-0.02865979071240872,0.0,0.0,0.0,-0.032072948515415194,0.0,-0.3190563267841935,0.0,0.01298543956130743,0.0,1.0,0.0
Nrxn1,-0.0657639443129301,-0.013997388021089137,0.0,-0.00447069488465786,-0.03747949539218098,0.0,0.0,0.0012039384245872498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001793975606560707,-0.013705752789974213,0.0,0.024786161016672848,0.0024563660100102424,0.0,0.0,0.0,0.0,0.0014296245574951171,0.0,-0.03766715167090297,0.0,0.0,0.0,-0.04679394230246544,0.0,-0.30908080749213696,0.0,-0.07343580255284905,0.0,1.0,2.0
Dusp18,0.01926547383889556,0.0024953560810536146,0.0,-0.00889457069337368,-0.04529566226527095,0.0,0.0,0.002106892243027687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0035879511013627054,0.00025381024926900863,0.0,0.0813450062647462,0.003392124674282968,0.0,0.0,0.0,0.0,-0.02430361747741699,0.0,-0.047655203249305486,0.0,0.0,0.0,0.028260798938572407,0.0,0.07932366035878659,0.0,0.02159728068858385,0.0,1.0,1.0
Aebp2,0.00953511957777664,-0.01477718679467216,0.0,-0.004741824045777321,0.03011568932561204,0.0,0.0,0.012641353458166122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005680922642350197,0.0,0.0,0.0813450062647462,0.002261416323017329,0.0,0.0,0.0,0.0,0.002382707595825195,0.014213373959064484,0.27735776830464604,0.0,0.0,0.0,-0.02953484609723091,0.0,-0.5303995976597071,0.0,0.02159728068858385,0.0,1.0,1.0
Nap1l3,0.02778291756287217,-0.008538796063512565,0.0,-0.0039284368604421615,-0.05918894728645682,0.0,0.0,0.012641353458166122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01883674316108227,0.002385816276073456,0.0,-0.035331946611404416,0.0014036377519369126,0.0,0.0,0.0,0.0,0.002144436836242676,0.04604117706418037,0.403441313225776,0.0,0.0,0.0,0.04892095252871513,0.0,0.13091591574251651,0.0,0.01298543956130743,0.0,1.0,2.0
Eif5a,0.030611544977873564,0.0011696980893611908,0.0,-0.00889457069337368,-0.03423129873350263,0.0,0.0,0.002106892243027687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001793975606560707,0.0001015240978449583,0.0,-0.015547988330945372,0.001754547134041786,0.0,0.0,0.0,0.0,0.0014296245574951171,-0.029340463466942312,-0.2804549839347601,0.0,0.0,0.0,0.026839461615309118,0.0,-0.002672550082206726,0.0,0.011123419925570487,0.0,1.0,0.0
Pate2,-0.01952329747378826,-0.08449119329452515,0.0,-0.012690378651022911,0.07864673899486661,0.0,0.0,0.002106892243027687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001793975606560707,0.0,0.0,0.0813450062647462,0.008304856736212968,0.0,0.0,0.0,0.0,0.006671581268310547,0.0,0.017427155636250972,0.0,0.0,0.0,-0.06100731559097767,0.0,0.03046392485499382,0.0,0.02159728068858385,0.0,1.0,2.0
Chmp3,-0.008606115393340587,0.026006288081407546,0.0,-0.012690378651022911,0.124031025134027,0.0,0.0,0.002106892243027687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0035879511013627054,0.00025381024926900863,0.0,0.0813450062647462,0.027370935752987862,0.0,0.0,0.0,0.0,0.006671581268310547,0.0,0.00046258408576250077,0.0,0.0,0.0,0.028260798938572407,0.0,0.10481131300330163,0.0,0.02159728068858385,0.0,1.0,1.0
Rcan2,-0.08758501027943566,0.0014426276530139148,0.0,-0.002980463355779648,0.02999871951295063,0.0,0.0,-0.03280732207000256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005680922642350197,0.0,0.0,-0.015780740790069102,-0.014426277347374707,0.0,0.0,0.0,0.0,0.002382707595825195,0.007106686979532242,0.1207312082266435,0.0,0.0,0.0,-0.08283499702811241,0.0,-0.44527607440948486,0.0,-0.06598772356286645,0.0,1.0,0.0
Gnb1l,0.00957410965114832,0.0015595975518226625,0.0,-0.004741824045777321,-0.07034006927162409,0.0,0.0,0.012641353458166122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01883674316108227,0.002385816276073456,0.0,-0.035331946611404416,0.002534346021711826,0.0,0.0,0.0,0.0,0.002144436836242676,0.04604117706418037,0.422385529410094,0.0,0.0,0.0,-0.009128502756357192,0.0,0.13091591574251651,0.0,0.01298543956130743,0.0,1.0,1.0
