gene_name,gene_length.meta,count.enhancer_DMR,9mo.2mo.activity.log_ratio.count.5kb-20kb.enhancer_DMR,9mo.2mo.activity.log_ratio.median.20kb-5Mb.enhancer_peak,count.enhancer_peak,18mo.9mo.activity.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.2mo.contact.log_ratio.count.20kb-5Mb.enhancer_peak,18mo.2mo.contact.log_ratio.mean.20kb-5Mb.enhancer_peak,9mo.2mo.contact.log_ratio.min.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.count.0-5kb.enhancer_peak,9mo.2mo.activity.log_ratio.min.20kb-5Mb.enhancer_peak,18mo.9mo.contact.log_ratio.std.20kb-5Mb.enhancer_peak,9mo.2mo.activity.log_ratio.mean.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.min.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.mean.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.median.20kb-5Mb.enhancer_peak,rel_pos.DMR,distance.log2.DMR,18mo.9mo.Q.std.loops,loop_size.log.max.loops,9mo.2mo.Q.max.loops,loop_size.log.median.loops,9mo.2mo.Q.std.loops,loop_size.log.mean.loops,18mo.2mo.Q.std.loops,loop_size.log.min.loops,18mo.2mo.Q.min.loops,18mo.2mo.log_ratio.mcg_genebody,18mo.2mo.log_ratio.mch_genebody,9mo.2mo.log_ratio.mch_genebody,log2_distance.std.atac,18mo.2mo.log_ratio.mean.atac,18mo.2mo.log_ratio.max.atac,log2_distance.max.atac,9mo.2mo.log_ratio.mean.atac,count.atac,18mo.9mo.log_ratio.max.atac,log2_distance.mean.atac,9mo.2mo.log_ratio.max.atac,DEG,pred
Ap3m2,-0.04401280038058758,-0.00811401829123497,-0.1407407133281231,0.0,0.0,0.0,0.0,0.0,-0.007138439789414406,-0.032576404251158236,0.0,0.0,0.0,0.0,-0.12953626316506417,-0.0218885912373662,0.0,0.0,0.0,-0.0002204349637031555,-0.0016470589488744736,0.007604732736945152,0.0,-0.04803061582148075,-0.1793774238973856,-0.023537507876753808,0.0,-0.0013205435499548913,-0.006453822683542967,0.019122859463095665,-0.006014773882925511,-0.02703767716884613,-0.15636953549459576,-0.025045321360230445,-0.11835523487068712,-0.00531890757381916,0.0,-0.02901860188692808,0.0,1.0,1.0
Kcnk12,-0.05507363975048065,-0.0014811603724956513,-0.261564720235765,0.0,0.0,-0.000567428134381771,0.0,0.0,-0.007138439789414406,-0.06422505281865597,0.0,0.0,0.0,-0.023690124340355397,0.11666449144948274,0.012331571653485298,0.0,0.0,0.0,-0.0006613048911094665,-0.0016470589488744736,-0.013630137033760547,0.0,-0.011013441374525429,-0.17361024457961322,-0.02210762716829777,0.0,-0.0044562238082289695,0.021170920031145214,-0.011911092074587942,-0.016192068867385386,-0.02703767716884613,-0.17373019272461535,0.002700030878186226,-0.13821550738066435,0.0038813649863004684,0.0,-0.02901860188692808,0.0,1.0,0.0
Nrxn1,0.4158436276577413,-0.0009874402731657028,0.26359507005661725,0.0,0.0,0.0,0.0,0.0,-0.0018559943791478873,0.05336374185106251,0.0,0.0,0.0,-0.001844141436740756,0.1786883026966825,0.0588273511826992,0.0,0.0,0.0,0.02160262644290924,-0.0005490196496248245,0.019571172911673783,0.0,-0.23535592898726462,0.07566109862178565,-0.010304765589535237,0.002910747192800045,0.0,-0.032567649325355885,-0.0024853070825338365,0.019637193735688924,-0.009423828125,-0.0868727051652968,0.0990476964879781,0.2060061497334391,0.0040251192450523375,0.0,0.22873473800718785,0.0,1.0,2.0
Dusp18,-0.04401280038058758,-0.00811401829123497,-0.1407407133281231,0.0,0.0,0.0,0.0,0.0,-0.007138439789414406,-0.02186940109357238,0.0,0.0,0.0,0.022413410972803832,-0.1548609457584098,-0.0218885912373662,0.0,0.0,0.0,-0.0002204349637031555,-0.0016470589488744736,0.00592715846374631,0.0,-0.04833562932908535,-0.1793774238973856,-0.023537507876753808,0.0,-0.0013205435499548913,-0.006453822683542967,0.019122859463095665,-0.003745061196386814,-0.02703767716884613,-0.15636953549459576,-0.025045321360230445,-0.12643809232860803,-0.00531890757381916,0.0,-0.02901860188692808,0.0,1.0,1.0
Aebp2,-0.05507363975048065,-0.0014811603724956513,-0.350464612916112,0.0,0.0,-0.000567428134381771,0.0,0.0,-0.007138439789414406,-0.1093565072864294,0.0,0.0,0.0,-0.023690124340355397,0.042310565118677916,0.013693205267190933,0.0,0.0,0.0,-0.000440869927406311,-0.0016470589488744736,0.017123481519520284,0.0,0.08840454344637692,0.1857153197750449,-0.02210762716829777,0.0,-0.0044562238082289695,0.03356984168291092,0.08916584841907024,-0.016192068867385386,-0.02703767716884613,-0.18546098191291094,0.002700030878186226,-0.03810528292320669,0.05764545775949955,0.0,-0.05056217670440674,0.0,1.0,1.0
Nap1l3,-0.032792943865060806,-0.0014811603724956513,0.4050978811830282,0.0,0.0,0.0,0.0,0.0,-0.002855375912040472,0.07208057530224324,0.0,0.0,0.0,-0.003971996940672398,0.4013332910835743,0.022201290354132652,0.0,0.0,0.0,0.0,-0.0005490196496248245,-0.04827265426516533,0.0,0.0021989446878433226,0.07661951918154955,-0.008091728910803795,0.0,0.0,-0.032567649325355885,0.04576457478106022,-0.004585388563573361,-0.013518838584423066,0.46517072457820174,-0.025541513562202453,0.2741556711122394,-0.00531890757381916,0.0,-0.048926128670573235,0.0,1.0,2.0
Eif5a,-0.04401280038058758,-0.00811401829123497,-0.1407407133281231,0.0,0.0,0.0,0.0,0.0,-0.007138439789414406,-0.023468195088207723,0.0,0.0,0.0,0.0,-0.12042805437464267,-0.022569408118724824,0.0,0.0,0.0,-0.0006613048911094665,-0.0016470589488744736,-0.004379624016582966,0.0,-0.04851863741874695,-0.14827705681324005,-0.023537507876753808,0.0,-0.0013205435499548913,-0.006453822683542967,-0.0085654816031456,-0.006014773882925511,-0.02703767716884613,-0.15636953549459576,-0.025045321360230445,-0.12883343777619302,-0.002875085175037384,0.0,-0.02901860188692808,0.0,1.0,0.0
Pate2,-0.02191367430612445,-0.0009874402731657028,0.31928531218320133,0.0,0.0,0.0,0.0,0.0,-0.002855375912040472,0.05336374185106251,0.0,0.0,0.0,-0.001844141436740756,0.2096495705738198,0.041285557970404625,0.0,0.0,0.0,-0.000440869927406311,-0.0005490196496248245,0.010285456199198961,0.0,0.027189537081867457,0.27251408629119395,0.036169002577662465,0.0,0.0,0.12678745348006487,0.06210874010808766,0.019637193735688924,-0.010511159151792526,0.196440410874784,0.07187278835102916,-0.03685785631649196,-0.020556859001517297,0.0,-0.022794849313795565,0.0,1.0,2.0
Chmp3,-0.039556927829980854,-0.0014811603724956513,-0.3654119695723057,0.0,0.0,-0.000567428134381771,0.0,0.0,-0.002855375912040472,-0.1093565072864294,0.0,0.0,0.0,-0.023690124340355397,0.13993556465953588,0.011485703364014626,0.0,0.0,0.0,-0.0019839146733284,-0.0016470589488744736,0.018752554673701526,0.0,-0.00758358508348465,0.11668009059503674,0.036169002577662465,0.0,-0.006108124554157257,-0.01928113365545869,-0.029584317775443195,-0.016192068867385386,-0.012289373949170113,0.2696274106577039,-0.025541513562202453,-0.07712421572767197,-0.00531890757381916,0.0,-0.03187524363398552,0.0,1.0,1.0
Rcan2,0.11760528586804866,-0.005645417682826519,-0.14337965544313191,0.0,0.0,0.0,0.0,0.0,-0.003140913508832455,0.01348085361532867,0.0,0.0,0.0,0.007660279646515846,-0.13102155646542088,-0.09408117890357971,0.0,0.0,0.0,-0.0002204349637031555,-0.0016470589488744736,-0.008713187102694064,0.0,-0.04201933788135648,-0.20985332660377026,-0.011734646297991275,0.0008732241578400135,-0.0011828851513564587,0.0026358920708298684,0.026598080918192865,0.007757614329457283,0.30153560135513546,-0.08824997628107667,0.10458496922627092,-0.19306590265594423,0.013081637546420097,0.0,0.04198451701551676,0.0,1.0,0.0
Gnb1l,-0.05079057589173317,-0.0014811603724956513,-0.3576868731528521,0.0,0.0,-0.00014185703359544276,0.0,0.0,0.12477992713451386,-0.02982517627708148,0.0,0.0,0.0,-0.0062417094781994815,0.1623472347529605,0.012331571653485298,0.0,0.0,0.0,-0.000440869927406311,-0.0016470589488744736,-0.013630137033760547,0.0,-0.011013441374525429,0.18791597295552492,-0.02210762716829777,0.0,-0.0044562238082289695,0.03356984168291092,0.0610235299449414,0.073240582421422,-0.022754613310098648,-0.1463185858912766,0.006126481965184212,-0.032956557041034104,-0.020556859001517297,0.0,-0.02901860188692808,0.0,1.0,1.0
Pole4,-0.024557759538292884,-0.00811401829123497,0.1825873602181673,0.0,0.0,0.0,0.0,0.0,-0.002855375912040472,0.035387032553553584,0.0,0.0,0.0,0.0,-0.46319560140371324,-0.06201587069779634,0.0,0.0,0.0,0.0,-0.0005490196496248245,0.016814972069114448,0.0,-0.04193484280258417,0.06730914354324341,-0.009521609619259835,0.0,0.0,0.019440594483166932,0.027241160906851292,-0.002864178083837032,-0.013518838584423066,0.31606377424672244,0.019538455177098513,0.16507920902222395,-0.00531890757381916,0.0,0.1812563931196928,0.0,1.0,1.0
Mrgbp,-0.04401280038058758,0.09852952867746353,-0.14195509910583495,0.0,0.0,0.0,0.0,0.0,-0.007138439789414406,-0.02754368227906525,0.0,0.0,0.0,0.0,-0.09006870046723633,-0.026433448418974877,0.0,0.0,0.0,-0.0006613048911094665,-0.0016470589488744736,0.00592715846374631,0.0,-0.04856015555560589,-0.14827705681324005,-0.023537507876753808,0.0,-0.0013205435499548913,0.0026358920708298684,-0.018332372456789016,-0.006014773882925511,-0.02703767716884613,-0.15636953549459576,-0.014677198827266693,-0.1285225984081626,-0.002875085175037384,0.0,-0.02901860188692808,0.0,1.0,0.0
Anapc5,-0.026522275060415268,-0.00811401829123497,0.11309364845976233,0.0,0.0,0.0,0.0,0.0,-0.002855375912040472,0.021691275527700782,0.0,0.0,0.0,0.010922991586849094,-0.422677002325654,-0.04511615891009569,0.0,0.0,0.0,-0.00011021748185157775,0.025803923532366754,-0.01215721300803125,0.0,-0.042697376487776634,-0.05965640379115939,-0.009521609619259835,0.0,0.03646481895819306,-0.008876855736598372,0.001560664139688015,-0.00215489286929369,-0.013518838584423066,0.2708302167803049,-0.038871956914663316,0.19578139134682715,-0.0017250511050224304,0.0,-0.0735867077857256,0.0,1.0,0.0
Hnrnpl,-0.04401280038058758,-0.00811401829123497,-0.14947056092321873,0.0,0.0,0.0,0.0,0.0,-0.007138439789414406,-0.017793914088979363,0.0,0.0,0.0,0.022413410972803832,-0.1595153070287779,-0.022569408118724824,0.0,0.0,0.0,-0.0019839146733284,-0.0016470589488744736,-0.004379624016582966,0.0,-0.04851863741874695,0.1395292492955923,-0.023537507876753808,0.0,-0.0013205435499548913,-0.008269826080650092,-0.030407580807805062,-0.003745061196386814,-0.02703767716884613,-0.15636953549459576,-0.025045321360230445,-0.056699143331497906,-0.00531890757381916,0.0,-0.02901860188692808,0.0,1.0,0.0
Ssh1,-0.026356984600424765,-0.00811401829123497,0.09328138761222363,0.0,0.0,0.0,0.0,0.0,-0.003140913508832455,-0.02486384117975831,0.0,0.0,0.0,0.022413410972803832,-0.23950427525211127,-0.05946033407002688,0.0,0.0,0.0,-0.0006613048911094665,-0.0005490196496248245,0.0060493389330804346,0.0,-0.04597774662077427,-0.1690927216410637,-0.011734646297991275,-0.004075046069920063,0.0,0.02169494377449155,-0.006881534643471241,-0.003745061196386814,0.3886681379377842,-0.11589997923001646,-0.007489498984068632,-0.17770114499144257,-0.002875085175037384,0.0,-0.02421742130070925,0.0,1.0,0.0
Ap2m1,-0.02950970858335495,-0.00811401829123497,-0.2486520247720182,0.0,0.0,0.0,0.0,0.0,-0.002855375912040472,-0.032576404251158236,0.0,0.0,0.0,0.0,-0.1668108933791518,-0.0218885912373662,0.0,0.0,0.0,-0.00011021748185157775,-0.0016470589488744736,0.008419269323348999,0.0,-0.04442076434381306,-0.056975508648902176,0.03473912186920643,0.0,-0.0029724442958831785,-0.00513878557831049,-0.002181439585983753,-0.006014773882925511,-0.012289373949170113,0.15624401770532131,-0.038871956914663316,0.13995400990359486,-0.0017250511050224304,0.0,-0.0735867077857256,0.0,1.0,0.0
Pdhx,-0.02001085374504328,-0.0014811603724956513,0.33604142285883426,0.0,0.0,-0.000567428134381771,0.0,0.0,-0.002855375912040472,-0.13095057483762504,0.0,0.0,0.0,-0.023690124340355397,0.20910573105327784,0.034880266785621644,0.0,0.0,0.0,0.0,-0.0005490196496248245,0.01767555683851242,0.0,-0.0804187143407762,0.07661951918154955,0.036169002577662465,0.0,0.0,-0.032567649325355885,0.029074791818857193,-0.016192068867385386,-0.012289373949170113,0.4179592814669013,-0.025541513562202453,0.19993116137571632,-0.00531890757381916,0.0,-0.048926128670573235,0.0,1.0,1.0
Aven,-0.03069076992571354,-0.0009874402731657028,0.41478942688554526,0.0,0.0,-0.00014185703359544276,0.0,0.0,-0.002855375912040472,-0.04688046546361875,0.0,0.0,0.0,-0.0062417094781994815,0.3602994963154197,0.04154210098087788,0.0,0.0,0.0,0.0,-0.0005490196496248245,-0.008539283499121666,0.0,0.0011313975136727095,0.09173721630126237,-0.008091728910803795,0.0,0.0,0.05176771678961813,0.054964847341179845,0.073240582421422,-0.013518838584423066,0.49475131820887325,0.07187278835102916,0.16977157698012887,0.01451918013393879,0.0,-0.048926128670573235,0.0,1.0,2.0
Letm1,-0.04401280038058758,-0.00811401829123497,0.10333444807678462,0.0,0.0,0.0,0.0,0.0,-0.007138439789414406,0.021691275527700782,0.0,0.0,0.0,0.010922991586849094,-0.34719230480957775,-0.06394485168159009,0.0,0.0,0.0,-0.0019839146733284,-0.0005490196496248245,-0.013786286162212492,0.0,-0.04724975646473467,0.1174805511534214,-0.023537507876753808,0.0,0.0,0.032841449156403545,-0.028723633848130703,-0.00215489286929369,-0.02703767716884613,-0.1968822071328759,-0.025045321360230445,-0.1220202053245157,-0.00531890757381916,0.0,-0.05056217670440674,0.0,1.0,0.0
Ccdc90b,-0.04001334726810455,-0.0014811603724956513,0.16654606848955156,0.0,0.0,-0.000567428134381771,0.0,0.0,-0.007138439789414406,-0.12641179647296666,0.0,0.0,0.0,-0.023690124340355397,0.08230537641444244,0.027845159396529196,0.0,0.0,0.0,-0.0006613048911094665,-0.0005490196496248245,0.017327115684747697,0.0,0.08918533623218536,-0.20064434375613927,0.09297027431428433,-0.0075679425895214085,0.0,-0.033068615747615694,-0.0037007465213537215,-0.016192068867385386,-0.023349282890558244,-0.1706798569113016,-0.011714878007769585,-0.2694652761332691,-0.002875085175037384,0.0,-0.02901860188692808,0.0,1.0,0.0
