gene_name,gene_length.meta,count.enhancer_DMR,9mo.2mo.activity.log_ratio.count.5kb-20kb.enhancer_DMR,9mo.2mo.activity.log_ratio.median.20kb-5Mb.enhancer_peak,count.enhancer_peak,18mo.9mo.activity.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.2mo.contact.log_ratio.count.20kb-5Mb.enhancer_peak,18mo.2mo.contact.log_ratio.mean.20kb-5Mb.enhancer_peak,9mo.2mo.contact.log_ratio.min.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.count.0-5kb.enhancer_peak,9mo.2mo.activity.log_ratio.min.20kb-5Mb.enhancer_peak,18mo.9mo.contact.log_ratio.std.20kb-5Mb.enhancer_peak,9mo.2mo.activity.log_ratio.mean.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.min.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.mean.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.median.20kb-5Mb.enhancer_peak,rel_pos.DMR,distance.log2.DMR,18mo.9mo.Q.std.loops,loop_size.log.max.loops,9mo.2mo.Q.max.loops,loop_size.log.median.loops,9mo.2mo.Q.std.loops,loop_size.log.mean.loops,18mo.2mo.Q.std.loops,loop_size.log.min.loops,18mo.2mo.Q.min.loops,18mo.2mo.log_ratio.mcg_genebody,18mo.2mo.log_ratio.mch_genebody,9mo.2mo.log_ratio.mch_genebody,log2_distance.std.atac,18mo.2mo.log_ratio.mean.atac,18mo.2mo.log_ratio.max.atac,log2_distance.max.atac,9mo.2mo.log_ratio.mean.atac,count.atac,18mo.9mo.log_ratio.max.atac,log2_distance.mean.atac,9mo.2mo.log_ratio.max.atac
Zfp213,7471.0,21,5.0,0.2397625445447513,16,0.2334685132965903,5,-0.5891104431736995,-0.7004397181341564,0.0,0.0750178979401825,0.420937005067913,0.272494571936999,0.1999153440791623,0.4781829383328849,0.4588959191835711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058632880023155,0.0661942318239163,0.1100485069961824,0.2996773048869593,0.3540368816580567,0.5068151276658266,11.138911718142808,0.1814089226737805,2,0.3867182575883843,10.92700786368953,0.2427209752701187
Kcnt1,54539.0,9,2.0,0.1027758228530872,15,0.2658787418601478,5,0.1954559846944872,-0.9999999999278651,0.0,0.0784244993843907,0.6788130534642495,0.1033704093909639,0.1636084651744767,0.2513181356716562,0.2274490413400824,0.0,0.0,0.0024610897006039,18.201903744001548,0.0052897169999999,16.57949272761037,0.0022317667515445,16.293527464548937,0.0020553414533572,13.49210354247923,-0.0027977512,0.0167461082747127,-0.097378818083694,0.04062695372975,1.2733567686799745,0.5459314241267501,1.70966447217784,14.421275905290562,0.4342608431450386,6,0.9349924202112794,13.51681689257991,0.7746720519665606
Zfp446,7866.0,23,4.0,0.3052524404816519,21,0.3248726958219121,7,0.0868117967432904,-2.3219280948296546,0.0,0.2006296417813664,1.0366882752178377,0.3546010637031689,0.2618590721245479,0.5216216145684306,0.5110245344990512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.056501574404616,0.1174626871853946,-0.0328935837533248,0.3816490387932898,0.4800445674601932,0.641967996805676,10.99506046703279,0.1052001294048672,2,0.4563733270627503,10.725193843668729,0.3486524477577744
Fn3krp,9887.0,20,1.0,0.0363792185600315,13,0.2757320023267184,5,0.7052797216362868,-1.5849625006249766,0.0,-0.0862552332474742,0.6080080939619412,0.0544974710224324,-0.1005132762240044,0.107575936165643,0.1528630021148886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0138524800880693,-0.04374189292364,-0.0875032767449246,0.51316116647261,0.1610402830680257,0.3359546896236459,11.181152256865628,0.1492978578554235,3,0.1400352352789857,10.683254111198115,0.322785547104471
Arxes2,1531.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0148322800201227,0.0144007479374405,-0.1085164274493085,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
Nr3c1,108876.0,1,0.0,-0.1277173245925995,19,0.098637266377243,3,0.3333333333092884,0.0,0.0,-0.2179096001405245,0.5773502691583906,-0.153346963641136,-0.2682782895868913,-0.1953197373100909,-0.1996123445622641,0.0,0.0,0.001549237661871,19.46810692938121,0.0024751859,18.1384184640864,0.0015992000492285,17.805956736492835,0.0016081892296568,13.84901407369482,-0.0042942059999999,-0.0086128007702243,-0.1206229657701775,0.0242294062461839,1.954240965779464,0.0612056087545771,0.6610224919384438,15.2445496608277,-0.0237217880559827,8,0.5930602656009631,13.34333845832513,0.515146378086033
Sema4g,14296.0,9,0.0,4.615604699020892e-05,28,0.3310592256753022,6,0.0974937501161852,-0.9999999999278651,3.0,-0.0918071563948874,0.9542207213208465,0.0277148276484701,0.0830414335018501,0.2360746438216166,0.2077801415655396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0413282843203959,-0.0588606408661113,-0.0032437793584604,0.0,-0.2110723769814066,-0.2110723769814066,3.5849625007331785,-0.1644480367476839,1,-0.0466243402337227,3.5849625007331785,-0.1644480367476839
Stk4,85202.0,4,1.0,0.0,20,0.2309383461705416,2,0.2924812503485556,0.0,0.0,0.0,0.0,0.0,0.245984992775341,0.2597926448765364,0.2597926448765364,0.0,0.0,0.0018235564440218,19.122620754248494,0.0017519127999999,18.460831815807047,0.0013749022739809,18.207508928261408,0.0015243802598177,17.10326731543919,-0.003667481,0.0594812106272418,-0.0465130463193987,-0.0487962727806327,1.8299360375242648,0.3345776781689679,0.8495584683483561,15.21629115575706,0.1177954277503419,5,0.4833833347211855,12.858649803729714,0.5947655981577138
Hbs1l,72919.0,4,0.0,-0.2429571130288255,22,0.2771079108728593,10,-0.1167614840725333,-0.9999999999639329,0.0,-0.47121854823083,0.4720032459544674,-0.2790326449520029,-0.3717045350104757,-0.1398451226414978,-0.1070184701729477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016147749447759,0.0768465300089939,0.0552639021320056,2.118324327660812,-0.0854824136210414,0.0736749160125489,14.607330313749616,-0.1980168275373666,3,0.2077003935473813,12.17124440724235,-0.1340254775348324
Ndufab1,16483.0,4,0.0,0.1470012330158498,25,0.0078406229201681,4,-0.3648579046505807,-1.459431618614345,1.0,0.0530711955752685,0.2276375389442192,0.1425674323428595,-0.1707022437181131,0.0974001550590564,0.1242579063920059,0.0,0.0,0.0023072906470502,16.747143998186747,0.0009536258999999,16.457637380991763,0.0018295722671111,16.366953082741446,0.0024749531826693,15.925276258484857,-0.0028372843,0.012231492491726,0.0937640206684752,0.0893245534498909,0.2266364653230957,0.0891104328687922,0.3377800863013211,11.45172626807456,0.2643354842710078,2,0.0582234318387233,11.291470086580448,0.2795566544625978
