,DEG,pred,score_0,score_1,score_2
Zfp213,1,0,0.6813982129096985,0.25886234641075134,0.05973946303129196
Kcnt1,1,0,0.7011515498161316,0.21759143471717834,0.08125704526901245
Zfp446,1,1,0.25741085410118103,0.5885647535324097,0.1540243923664093
Fn3krp,1,1,0.1959562599658966,0.7053086161613464,0.09873506426811218
Arxes2,1,2,0.16661730408668518,0.3504323959350586,0.4829502999782562
Nr3c1,1,2,0.1664675921201706,0.26410120725631714,0.5694311857223511
Sema4g,1,1,0.1810719072818756,0.6467166543006897,0.1722114384174347
Stk4,1,1,0.27861714363098145,0.388470321893692,0.3329125940799713
Hbs1l,1,2,0.15489400923252106,0.3642362058162689,0.4808697998523712
Ndufab1,1,1,0.3862086832523346,0.4734728932380676,0.14031848311424255
Ccdc25,1,1,0.44317060708999634,0.45407167077064514,0.10275770723819733
Ctbp2,1,0,0.6376789212226868,0.23084327578544617,0.13147783279418945
Ubqln4,1,1,0.406216561794281,0.522198498249054,0.07158496230840683
Zbed4,1,1,0.2487541288137436,0.6554984450340271,0.09574742615222931
H1fx,1,1,0.4334242343902588,0.4724537432193756,0.09412204474210739
Cald1,1,2,0.1611548662185669,0.3845047950744629,0.4543403685092926
Lats2,1,1,0.29549282789230347,0.44886061549186707,0.25564655661582947
Fam117b,1,1,0.3968334496021271,0.42265304923057556,0.18051348626613617
Gm14066,1,2,0.1918693333864212,0.22954067587852478,0.5785899758338928
Cplx2,1,1,0.4102734327316284,0.5297514200210571,0.059975139796733856
Car11,1,0,0.4569118320941925,0.418964684009552,0.1241234689950943
Dbpht2,1,1,0.23110294342041016,0.5086502432823181,0.26024681329727173
Arpc5l,1,2,0.2638228237628937,0.34998464584350586,0.38619256019592285
Grin1os,1,0,0.6871599555015564,0.2653299570083618,0.04751014709472656
Esrra,1,1,0.28642091155052185,0.6008626818656921,0.11271637678146362
Cnot7,1,1,0.19419066607952118,0.6347216963768005,0.1710876077413559
Snx9,1,2,0.27572277188301086,0.31310150027275085,0.4111757278442383
4930503L19Rik,1,2,0.08545055985450745,0.441470205783844,0.47307923436164856
Rad50,1,0,0.4195210039615631,0.28879621624946594,0.2916828393936157
Ncbp1,1,0,0.5624280571937561,0.33556705713272095,0.10200488567352295
Btbd7,1,1,0.2972157895565033,0.48959654569625854,0.21318769454956055
Pfdn4,1,0,0.687278151512146,0.23749636113643646,0.07522546499967575
Gxylt1,1,0,0.6297306418418884,0.28350043296813965,0.08676891028881073
Ppil2,1,1,0.2546916902065277,0.641961932182312,0.10334637761116028
Supv3l1,1,1,0.3025335371494293,0.619899332523346,0.07756716758012772
Wwp1,1,2,0.09051740914583206,0.4402238726615906,0.4692586660385132
Mbnl2,1,2,0.2945963740348816,0.23236876726150513,0.4730348587036133
Vps37c,1,0,0.6336367726325989,0.3306030333042145,0.03576017916202545
Tomm5,1,1,0.19549667835235596,0.5993621945381165,0.2051411122083664
Pianp,1,0,0.5650887489318848,0.3602618873119354,0.07464933395385742
Capn1,1,0,0.6045034527778625,0.31569409370422363,0.07980244606733322
Zhx1,1,1,0.19190090894699097,0.4171872138977051,0.39091187715530396
Nap1l4,1,1,0.2404058426618576,0.6301350593566895,0.12945908308029175
Rcbtb1,1,1,0.1479451060295105,0.574590802192688,0.2774640619754791
Vipr1,1,1,0.36180225014686584,0.5559820532798767,0.08221571147441864
Prrg1,1,2,0.10463206470012665,0.2262793928384781,0.6690885424613953
Psmc4,1,1,0.28364086151123047,0.6068766713142395,0.10948249697685242
Trmt44,1,1,0.2890735864639282,0.5637101531028748,0.14721627533435822
Zfp688,1,1,0.30643245577812195,0.58777916431427,0.10578839480876923
4930586N03Rik,1,1,0.20428796112537384,0.45117852091789246,0.3445334732532501
Trmt1l,1,1,0.1976904422044754,0.5501586198806763,0.25215092301368713
Creg2,1,0,0.4584510028362274,0.34895068407058716,0.192598357796669
Zfp771,1,0,0.44871097803115845,0.4228336215019226,0.12845537066459656
Sepsecs,1,2,0.17734727263450623,0.28737524151802063,0.5352774858474731
Msl3,1,1,0.26085275411605835,0.39142045378685,0.3477267622947693
Gabpb1,1,1,0.24636822938919067,0.5561310052871704,0.1975008100271225
Syn2,1,2,0.3104131519794464,0.2821997404098511,0.4073871374130249
Tmem222,1,1,0.36750996112823486,0.5553851127624512,0.07710492610931396
Cfap46,1,1,0.21124085783958435,0.4075655937194824,0.381193608045578
Ppp1ca,1,1,0.3499555289745331,0.5405488014221191,0.10949572175741196
Hexb,1,0,0.4998432397842407,0.37925273180007935,0.12090399116277695
Slc36a4,1,1,0.10955508798360825,0.4979970455169678,0.392447829246521
Pqlc2,1,0,0.5613531470298767,0.30680885910987854,0.13183803856372833
Trim66,1,1,0.3810688853263855,0.5032075047492981,0.115723617374897
Gm17171,1,1,0.13517481088638306,0.4940025508403778,0.3708226680755615
Orc3,1,2,0.13922514021396637,0.38251402974128723,0.47826087474823
Zfp420,1,1,0.246375173330307,0.6738890409469604,0.07973574846982956
Runx2,1,2,0.39498263597488403,0.18447425961494446,0.4205431044101715
Gbe1,1,2,0.12614776194095612,0.35751691460609436,0.5163353085517883
Ccnh,1,1,0.2519401013851166,0.5176491141319275,0.23041079938411713
Sept5,1,0,0.5462031364440918,0.3822997808456421,0.0714971199631691
Dnaja1,1,0,0.45910221338272095,0.37546414136886597,0.16543364524841309
Gprasp1,1,2,0.19993825256824493,0.2860505282878876,0.5140112638473511
Gcdh,1,1,0.3896748125553131,0.512372612953186,0.09795261174440384
B230110C06Rik,1,2,0.07701923698186874,0.3870733082294464,0.535907506942749
Gm14169,1,1,0.3779878616333008,0.5381290316581726,0.08388308435678482
Wdr1,1,0,0.4535212218761444,0.39285948872566223,0.15361930429935455
Iqce,1,0,0.7730218172073364,0.18398234248161316,0.04299585893750191
Cyld,1,1,0.3643065392971039,0.4222557544708252,0.21343770623207092
Xrn2,1,2,0.19982750713825226,0.3517129123210907,0.44845959544181824
Edf1,1,0,0.48607924580574036,0.437997043132782,0.07592374086380005
Hspa4l,1,1,0.1659948080778122,0.432574063539505,0.401431143283844
Tysnd1,1,1,0.42958274483680725,0.5188463926315308,0.05157086253166199
Asphd1,1,0,0.5173091292381287,0.3876769542694092,0.09501393884420395
Gss,1,1,0.32764869928359985,0.6093456149101257,0.06300573796033859
Lmnb2,1,1,0.36560240387916565,0.5730460286140442,0.061351560056209564
Rpia,1,1,0.1557110846042633,0.6595110297203064,0.1847778856754303
Rfx1,1,0,0.7039288878440857,0.24600926041603088,0.05006181448698044
Phyhip,1,1,0.2970813810825348,0.6104485988616943,0.09246999025344849
1190005I06Rik,1,0,0.5004448890686035,0.38635531067848206,0.11319983750581741
Gm14966,1,1,0.4325929880142212,0.4991481602191925,0.06825891137123108
Uqcc3,1,1,0.2709859609603882,0.6465470790863037,0.08246695250272751
Slc35a3,1,1,0.2086072713136673,0.550605297088623,0.24078744649887085
Magoh,1,1,0.43063703179359436,0.44671398401260376,0.12264896929264069
Ice2,1,1,0.11640087515115738,0.47495609521865845,0.40864303708076477
Sh3d19,1,2,0.12111951410770416,0.34241345524787903,0.5364670157432556
Gm16759,1,0,0.41754913330078125,0.23220330476760864,0.3502475321292877
Ugt8a,1,2,0.07764255255460739,0.2786133289337158,0.6437441110610962
Tdp1,1,0,0.6778106093406677,0.2721182107925415,0.050071172416210175
Gal3st3,1,1,0.3775179088115692,0.4607303738594055,0.16175168752670288
Tro,1,1,0.2996077537536621,0.5778420567512512,0.12255014479160309
Decr2,1,1,0.3618260622024536,0.5640458464622498,0.074128158390522
Nap1l2,1,1,0.2612263560295105,0.4922422766685486,0.24653132259845734
Rnf19a,1,1,0.1386648714542389,0.5162131190299988,0.34512200951576233
Dzank1,1,1,0.1705956608057022,0.4818962514400482,0.347508043050766
Fhl1,1,1,0.14677511155605316,0.5465741753578186,0.30665072798728943
Zfp13,1,0,0.44306620955467224,0.40340614318847656,0.15352758765220642
Tdrd5,1,1,0.13625583052635193,0.5472843647003174,0.3164598345756531
Anapc16,1,1,0.28683391213417053,0.634839653968811,0.07832644879817963
Grm1,1,2,0.1298058032989502,0.12428674846887589,0.7459074258804321
Gm26843,1,1,0.34823882579803467,0.45893511176109314,0.1928260326385498
Eif2b1,1,0,0.4757540822029114,0.3551786243915558,0.16906733810901642
Emc10,1,1,0.3490963280200958,0.5794497132301331,0.07145395129919052
Phf8,1,1,0.2866950035095215,0.5136425495147705,0.1996624916791916
Golga3,1,0,0.5332191586494446,0.3734615445137024,0.09331929683685303
Wwc2,1,2,0.24058789014816284,0.2022837996482849,0.5571283102035522
Gtpbp6,1,0,0.5538248419761658,0.3081907629966736,0.13798438012599945
Naf1,1,2,0.1599869579076767,0.3764799237251282,0.4635331630706787
Snd1,1,2,0.12918250262737274,0.19915452599525452,0.6716629266738892
Impa1,1,1,0.26039835810661316,0.5031381249427795,0.23646345734596252
Clvs2,1,2,0.1138966754078865,0.29581978917121887,0.5902835726737976
Uqcc2,1,1,0.3725599944591522,0.5271833539009094,0.10025667399168015
Fastkd2,1,1,0.14451083540916443,0.43120887875556946,0.4242802560329437
Usp3,1,0,0.5003589987754822,0.35969021916389465,0.13995078206062317
Lrrc7,1,2,0.24400179088115692,0.1398482471704483,0.6161499619483948
Chchd1,1,2,0.15902748703956604,0.3613722026348114,0.47960028052330017
Dynlt3,1,1,0.359860897064209,0.4438234567642212,0.19631561636924744
Nudt3,1,0,0.6092274188995361,0.3281813859939575,0.06259118765592575
Rmdn3,1,1,0.36990100145339966,0.4718598425388336,0.15823912620544434
Plekha3,1,1,0.13418884575366974,0.7062241435050964,0.15958698093891144
Gm26782,1,1,0.18913070857524872,0.5697515606880188,0.24111777544021606
