gene_name,gene_length.meta,18mo.2mo.contact.log_ratio.max.20kb-5Mb.enhancer_DMR,18mo.9mo.activity.log_ratio.max.5kb-20kb.enhancer_DMR,9mo.2mo.activity.log_ratio.min.5kb-20kb.enhancer_DMR,18mo.2mo.contact.log_ratio.min.20kb-5Mb.enhancer_DMR,18mo.2mo.contact.log_ratio.mean.20kb-5Mb.enhancer_DMR,9mo.2mo.activity.log_ratio.max.5kb-20kb.enhancer_DMR,18mo.9mo.contact.log_ratio.mean.20kb-5Mb.enhancer_DMR,18mo.9mo.contact.log_ratio.min.20kb-5Mb.enhancer_DMR,count.enhancer_DMR,9mo.2mo.activity.log_ratio.median.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.min.5kb-20kb.enhancer_peak,18mo.9mo.activity.log_ratio.max.20kb-5Mb.enhancer_peak,9mo.2mo.contact.log_ratio.std.20kb-5Mb.enhancer_peak,9mo.2mo.activity.log_ratio.mean.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.max.5kb-20kb.enhancer_peak,18mo.2mo.activity.log_ratio.mean.5kb-20kb.enhancer_peak,18mo.2mo.activity.log_ratio.count.0-5kb.enhancer_peak,18mo.9mo.activity.log_ratio.median.0-5kb.enhancer_peak,18mo.9mo.contact.log_ratio.std.20kb-5Mb.enhancer_peak,18mo.2mo.contact.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.mean.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.max.0-5kb.enhancer_peak,9mo.2mo.contact.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.9mo.contact.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.count.5kb-20kb.enhancer_peak,9mo.2mo.activity.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.9mo.contact.log_ratio.mean.20kb-5Mb.enhancer_peak,9mo.2mo.activity.log_ratio.min.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.max.5kb-20kb.enhancer_peak,9mo.2mo.activity.log_ratio.count.0-5kb.enhancer_peak,18mo.2mo.activity.log_ratio.min.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.median.20kb-5Mb.enhancer_peak,18mo.2mo.contact.log_ratio.median.20kb-5Mb.enhancer_peak,18mo.9mo.log_ratio.DAR,18mo.2mo.log_ratio.DAR,count.DAR,rel_pos.DAR,count.DMR,18mo.2mo.log_ratio.DMR,rel_pos.DMR,distance.log2.DMR,18mo.9mo.Q.std.loops,loop_size.log.max.loops,18mo.9mo.Q.mean.loops,18mo.9mo.T.median.loops,count.loops,18mo.2mo.T.max.loops,18mo.2mo.T.median.loops,9mo.2mo.T.min.loops,loop_size.log.min.loops,Tanova.median.loops,Tanova.min.loops,Tanova.max.loops,Qanova.mean.loops,9mo.2mo.Q.mean.loops,loop_size.log.median.loops,min_distance.log.std.loops,min_distance.log.mean.loops,18mo.9mo.T.mean.loops,Qanova.std.loops,18mo.2mo.Q.min.loops,Qanova.median.loops,18mo.2mo.T.min.loops,min_distance.log.median.loops,18mo.2mo.T.mean.loops,18mo.2mo.Q.std.loops,min_distance.log.min.loops,Qanova.max.loops,18mo.9mo.Q.min.loops,9mo.2mo.Q.min.loops,9mo.2mo.Q.max.loops,Tanova.mean.loops,9mo.2mo.Q.std.loops,loop_size.log.mean.loops,18mo.9mo.log_ratio.mcg_genebody,18mo.2mo.log_ratio.mcg_genebody,9mo.2mo.log_ratio.mcg_genebody,18mo.2mo.log_ratio.mch_genebody,9mo.2mo.log_ratio.mch_genebody,18mo.9mo.log_ratio.mch_genebody,18mo.2mo.log_ratio.mean.atac,18mo.2mo.log_ratio.max.atac,log2_distance.max.atac,9mo.2mo.log_ratio.min.atac,9mo.2mo.log_ratio.std.atac,count.atac,log2_distance.std.atac,log2_distance.min.atac,9mo.2mo.log_ratio.mean.atac,18mo.9mo.log_ratio.max.atac,18mo.9mo.log_ratio.mean.atac,9mo.2mo.log_ratio.max.atac,DEG,pred
Ncl,-0.010062722302973271,0.0,0.009337970409542323,0.008824923634529113,0.0007617412507534027,0.00709673710167408,0.0,0.0,0.0,0.0,0.00723940446972847,0.0,0.0,0.0,-0.002810474336147308,0.0,0.017723571602255107,0.0,0.0,0.0003613460808992386,0.0,0.03471275622025132,-0.0004914433881640434,0.0,0.0,0.0032530146837234496,0.03590471150353551,0.0,0.0,-0.019159189844503998,0.014611540273763239,0.0,-0.2528368868865073,0.0,0.003794133588671684,0.0,-0.011355058159679174,0.0,0.0,-0.008539979718625546,0.0,0.0,-0.02693913832306862,0.032243573060259226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014046495705842972,-0.004411871954798699,0.0,0.0,0.0,0.008519611358642577,0.0053390788100659845,0.0,0.0,-0.03201331622898579,0.0,0.0,0.0,0.0,0.0,0.0,0.010091251749545336,0.0,0.0,0.0,0.0,0.0,-0.05990075757727027,0.0,-0.05561489846557379,0.0,0.03001061787828803,0.0,0.10673841928131879,0.01597955096513033,0.003489558398723602,0.0,0.0,0.006597768859937787,0.0,0.0,-0.007519593080505729,-0.009970039185136557,0.0,0.0,0.00316684041172266,0.0,0.0,1.0,1.0
Tecr,0.025238057151436805,0.0,0.0154462106898427,-0.06237014779821038,0.0011426118016242982,0.013986554965376853,0.0,0.0,0.0,0.0,0.00723940446972847,0.0,0.0,0.0,0.004918330088257789,0.0,0.033759203366935255,0.0,0.0,0.0003613460808992386,0.0,0.06246959932614118,-0.0004914433881640434,0.0,0.0,-0.025210863798856734,0.01567007608246058,0.0,0.0,0.011150418790057301,0.005840485561639071,0.0,0.07338049601763487,0.0,0.003794133588671684,0.0,-0.08851907342672348,0.0,0.0003600848838686943,-0.008539979718625546,0.0,0.0,-0.02693913832306862,-0.05726218525320292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.042471441067755224,0.0038179661147296428,0.0,0.0,0.0,-0.000882723219692707,0.0015443616406992078,0.0,0.0,0.0011039074510335923,0.0,0.0,0.0,0.0,0.0,0.0,-0.003669162839651108,0.0,0.0,0.0,0.0,0.0,0.0016124026291072368,0.0,0.028674792605452238,0.0,-0.000987191405147314,0.0,0.14482755515724421,0.08361603228375315,-0.0020937348902225496,0.0,0.0,0.015842920076102017,0.0,0.0,-0.00428038383834064,-0.013571544289588929,0.0,0.0,0.010387236550450325,0.0,0.0,1.0,0.0
Gm26660,0.010246664229780435,0.0,0.006830864176154136,0.0021400439832359552,0.0005713059008121491,0.010841619893908501,0.0,0.0,0.0,0.0,0.038539182618260386,0.0,0.0,0.0,0.03091521669179201,0.0,-0.03320203013718128,0.0,0.0,0.0,0.0,0.06093028724193573,-0.0007371650636196136,0.0,0.0,0.0032530146837234496,-0.023019753033295273,0.0,0.0,0.02866993548348546,-0.03274821884930134,0.0,0.0248562016710639,0.0,0.0016260572522878646,0.0,-0.029977381750941275,0.0,0.0020644866675138475,-0.008539979718625546,0.0,0.0,0.02148311024531722,-0.0723379961680621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006669567534700036,-0.026640917584300042,0.0,0.0,0.0,0.025398273020982742,0.0007059938926249743,0.0,0.0,0.0007359383255243301,0.0,0.0,0.0,0.0,0.0,0.0,-0.007796970959752798,0.0,0.0,0.0,0.0,0.0,0.0010480617452412844,0.0,-0.09657914001494645,0.0,-0.0019743827637284995,0.0,-0.5429829512909055,-0.35084171237424017,-0.013609276935458183,0.0,0.0,0.005630327286198735,0.0,0.0,-0.005205872235819697,0.030108957570046186,0.0,0.0,0.002128116758540273,0.0,0.0,1.0,1.0
Lgi2,0.00883795333094895,0.0,0.004452570769935846,0.0015443616453558206,0.0007617412507534027,0.0062138097360730175,0.0,0.0,0.0,0.0,-0.030448083505034446,0.0,0.0,0.0,-0.027753433398902416,0.0,-0.03320203013718128,0.0,0.0,0.0,0.0,-0.21529434594791383,-0.006265903152525425,0.0,0.0,0.0032530146837234496,-0.029304503942839802,0.0,0.0,-0.019138596300035716,-0.01391291962005198,0.0,-0.10222196236252784,0.0,0.0010840382426977157,0.0,-0.03758779846131802,0.0,-0.005425278954207897,-0.00370065787807107,0.0,0.0,0.01398107323795557,0.08433211175724864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012136787492781877,-0.009502493031322955,0.0,0.0,0.0,-0.015920019149780272,0.00035299694631248714,0.0,0.0,0.0007359383255243301,0.0,0.0,0.0,0.0,0.0,0.0,-0.028902988284826278,0.0,0.0,0.0,0.0,0.0,0.0024186039716005327,0.0,-0.06900265435338952,0.0,-0.005923148263245821,0.0,-0.5575652724504471,-0.24527698885649443,-0.013609276935458183,0.0,0.0,0.006839629262685776,0.0,0.0,-0.010296058272942901,0.017650328259915114,0.0,0.0,-0.01649290485307574,0.0,0.0,1.0,1.0
Ncor1,0.00981535267084837,0.0,0.015398116260766983,0.0019856078177690507,0.0011426118016242982,0.00891312380321324,0.0,0.0,0.0,0.0,0.00723940446972847,0.0,0.0,0.0,0.007904458809643983,0.0,-0.020966239720582962,0.0,0.0,9.033652022480965e-05,0.0,0.04875537215732038,-0.0004914433881640434,0.0,0.0,0.00833585012704134,-0.01817571244202554,0.0,0.0,0.011150418790057301,-0.008660198133438825,0.0,0.08048132877796889,0.0,0.0018067302927374839,0.0,0.04707874360494316,0.0,-0.0038889167737215756,-0.008539979718625546,0.0,0.0,0.05353727474808693,0.04198421388864517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.09534932296723127,-0.00746624443680048,0.0,0.0,0.0,0.01096230186522007,0.0007059938926249743,0.0,0.0,-0.12124583546072244,0.0,0.0,0.0,0.0,0.0,0.0,-0.003669162839651108,0.0,0.0,0.0,0.0,0.0,0.005965889729559422,0.0,0.034062354773050176,0.0,-0.000987191405147314,0.0,0.158523331861943,0.12727532735094427,-0.0013958233594894408,0.0,0.0,0.020035166926681995,0.0,0.0,0.0018509767577052116,0.0809089806675911,0.0,0.0,0.010387236550450325,0.0,0.0,1.0,0.0
Gpatch2l,0.011028383653610944,0.0,0.015398116260766983,0.0034196579083800318,0.0007617412507534027,0.012786272019147872,0.0,0.0,0.0,0.0,-0.0014904656261205673,0.0,0.0,0.0,-0.004742675293236971,0.0,-0.022070147208869458,0.0,0.0,9.033652022480965e-05,0.0,0.02396212747320533,-0.0004914433881640434,0.0,0.0,0.0032530146837234496,-0.05549015546217561,0.0,0.0,-0.0077860930748283865,-0.008660198133438825,0.0,0.08048132877796889,0.0,0.0018067302927374839,0.0,-0.0708345241099596,0.0,0.0,-0.008539979718625546,0.0,0.0,-0.02693913832306862,0.019347332520410418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06316575709730386,-0.00746624443680048,0.0,0.0,0.0,0.004506619237363338,0.001323738545179367,0.0,0.0,0.0011039074510335923,0.0,0.0,0.0,0.0,0.0,0.0,0.008387862462550402,0.0,0.0,0.0,0.0,0.0,-0.05990075757727027,0.0,-0.09120123587548733,0.0,-0.005923148263245821,0.0,0.18274746336974204,0.11385877700522543,-0.0020937348902225496,0.0,0.0,0.016407261015847326,0.0,0.0,-0.007519593080505729,0.0809089806675911,0.0,0.0,0.010387236550450325,0.0,0.0,1.0,0.0
Neu1,-0.115880521168001,0.0,0.008205026499927043,0.0017870470369234681,0.0034278354793787,0.015239527747035027,0.0,0.0,0.0,0.0,0.00723940446972847,0.0,0.0,0.0,0.007904458809643983,0.0,0.023979047182947397,0.0,0.0,9.033652022480965e-05,0.0,0.048532441700808705,0.0055287379771471025,0.0,0.0,0.0032530146837234496,0.003687390647828579,0.0,0.0,0.03178271852433681,0.013084353911690414,0.0,0.03152053894475102,0.0,0.0018067302927374839,0.0,0.1349259103089571,0.0,0.0003600848838686943,-0.008539979718625546,0.0,0.0,-0.02693913832306862,0.04274791564792395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04051011262461543,0.007466244474053383,0.0,0.0,0.0,-0.000882723219692707,0.0008383677527308464,0.0,0.0,0.008095321357250213,0.0,0.0,0.0,0.0,0.0,0.0,0.003825348690152168,0.0,0.0,0.0,0.0,0.0,0.005965889729559422,0.0,-0.016872859802097084,0.0,-0.0019743827637284995,0.0,0.11432030921801925,0.04815108295064419,-0.0020937348902225496,0.0,0.0,-0.005469512678682804,0.0,0.0,-0.007519593080505729,-0.2874013023450971,0.0,0.0,0.0026601459458470344,0.0,0.0,1.0,0.0
Herpud1,-0.002318144049495459,0.0,0.008205026499927043,0.0034196579083800318,0.0007617412507534027,0.008984052166342736,0.0,0.0,0.0,0.0,-0.0014904656261205673,0.0,0.0,0.0,0.007904458809643983,0.0,-0.008723619654774665,0.0,0.0,9.033652022480965e-05,0.0,0.05540337620303035,-0.0004914433881640434,0.0,0.0,0.00833585012704134,-0.05443622764199972,0.0,0.0,0.0023644155357033015,-0.008660198133438825,0.0,0.03152053894475102,0.0,0.0018067302927374839,0.0,-0.0708345241099596,0.0,0.0003600848838686943,-0.008539979718625546,0.0,0.0,-0.02693913832306862,0.04071166723966599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0723853437975049,-0.00746624443680048,0.0,0.0,0.0,-0.000882723219692707,0.001323738545179367,0.0,0.0,0.0011039074510335923,0.0,0.0,0.0,0.0,0.0,0.0,-0.005372552126646042,0.0,0.0,0.0,0.0,0.0,0.005965889729559422,0.0,0.045366519149392846,0.0,-0.0017769444826990367,0.0,0.10648179562762379,0.09026862949132919,-0.0020937348902225496,0.0,0.0,-0.028358327709138393,0.0,0.0,-0.007519593080505729,-0.2874013023450971,0.0,0.0,0.0026601459458470344,0.0,0.0,1.0,1.0
Asxl2,0.013428813256323337,0.0,0.01702417351305485,0.0019856078177690507,0.0034278354793787,0.013978317873552441,0.0,0.0,0.0,0.0,-0.0014904656261205673,0.0,0.0,0.0,-0.004742675293236971,0.0,-0.020966239720582962,0.0,0.0,0.0003613460808992386,0.0,0.046195552432909605,-0.0003685825318098068,0.0,0.0,-0.025210863798856734,-0.01922964026220143,0.0,0.0,0.0023644155357033015,-0.005351294502615928,0.0,0.08048132877796889,0.0,0.003794133588671684,0.0,0.07926230943761765,0.0,-0.007465759925544262,-0.008539979718625546,0.0,0.0,-0.02693913832306862,0.054965298119932414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06246714778244496,-0.004496715646237135,0.0,0.0,0.0,-0.000882723219692707,0.0007059938926249743,0.0,0.0,-0.12124583546072244,0.0,0.0,0.0,0.0,0.0,0.0,0.004087733095511794,0.0,0.0,0.0,0.0,0.0,0.005965889729559422,0.0,0.037026260319398714,0.0,-0.0017769444826990367,0.0,0.17967858029529452,0.1155797216668725,-0.0020937348902225496,0.0,0.0,0.020035166926681995,0.0,0.0,0.0018509767577052116,0.0809089806675911,0.0,0.0,0.010387236550450325,0.0,0.0,1.0,0.0
Smpd1,-0.07342265201732516,0.0,0.014856097251176835,0.0017870470369234681,0.0011426118016242982,0.014722493290901185,0.0,0.0,0.0,0.0,0.00723940446972847,0.0,0.0,0.0,0.004918330088257789,0.0,0.01919544821605086,0.0,0.0,3.613460808992386e-05,0.0,0.05946637849789113,-0.0004914433881640434,0.0,0.0,0.00833585012704134,0.00965964861214161,0.0,0.0,0.008386283069849015,0.00991298232227564,0.0,0.08048132877796889,0.0,0.0011743747629225254,0.0,0.04405126394471154,0.0,0.0003600848838686943,-0.008539979718625546,0.0,0.0,0.05353727474808693,0.04283275933936238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.059991611498408016,-0.0038179661147296428,0.0,0.0,0.0,0.008519611358642577,0.0008383677527308464,0.0,0.0,-0.12124583546072244,0.0,0.0,0.0,0.0,0.0,0.0,-0.003669162839651108,0.0,0.0,0.0,0.0,0.0,0.005965889729559422,0.0,0.033026626277714966,0.0,0.004541080463677644,0.0,0.14560417475178838,0.07174307296983898,0.003489558398723602,0.0,0.0,-0.028358327709138393,0.0,0.0,-0.007519593080505729,0.0809089806675911,0.0,0.0,0.010387236550450325,0.0,0.0,1.0,0.0
