gene_name,gene_length.meta,18mo.2mo.contact.log_ratio.max.20kb-5Mb.enhancer_DMR,18mo.9mo.activity.log_ratio.max.5kb-20kb.enhancer_DMR,9mo.2mo.activity.log_ratio.min.5kb-20kb.enhancer_DMR,18mo.2mo.contact.log_ratio.min.20kb-5Mb.enhancer_DMR,18mo.2mo.contact.log_ratio.mean.20kb-5Mb.enhancer_DMR,9mo.2mo.activity.log_ratio.max.5kb-20kb.enhancer_DMR,18mo.9mo.contact.log_ratio.mean.20kb-5Mb.enhancer_DMR,18mo.9mo.contact.log_ratio.min.20kb-5Mb.enhancer_DMR,count.enhancer_DMR,9mo.2mo.activity.log_ratio.median.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.min.5kb-20kb.enhancer_peak,18mo.9mo.activity.log_ratio.max.20kb-5Mb.enhancer_peak,9mo.2mo.contact.log_ratio.std.20kb-5Mb.enhancer_peak,9mo.2mo.activity.log_ratio.mean.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.max.5kb-20kb.enhancer_peak,18mo.2mo.activity.log_ratio.mean.5kb-20kb.enhancer_peak,18mo.2mo.activity.log_ratio.count.0-5kb.enhancer_peak,18mo.9mo.activity.log_ratio.median.0-5kb.enhancer_peak,18mo.9mo.contact.log_ratio.std.20kb-5Mb.enhancer_peak,18mo.2mo.contact.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.mean.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.max.0-5kb.enhancer_peak,9mo.2mo.contact.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.9mo.contact.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.count.5kb-20kb.enhancer_peak,9mo.2mo.activity.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.9mo.contact.log_ratio.mean.20kb-5Mb.enhancer_peak,9mo.2mo.activity.log_ratio.min.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.max.5kb-20kb.enhancer_peak,9mo.2mo.activity.log_ratio.count.0-5kb.enhancer_peak,18mo.2mo.activity.log_ratio.min.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.median.20kb-5Mb.enhancer_peak,18mo.2mo.contact.log_ratio.median.20kb-5Mb.enhancer_peak,18mo.9mo.log_ratio.DAR,18mo.2mo.log_ratio.DAR,count.DAR,rel_pos.DAR,count.DMR,18mo.2mo.log_ratio.DMR,rel_pos.DMR,distance.log2.DMR,18mo.9mo.Q.std.loops,loop_size.log.max.loops,18mo.9mo.Q.mean.loops,18mo.9mo.T.median.loops,count.loops,18mo.2mo.T.max.loops,18mo.2mo.T.median.loops,9mo.2mo.T.min.loops,loop_size.log.min.loops,Tanova.median.loops,Tanova.min.loops,Tanova.max.loops,Qanova.mean.loops,9mo.2mo.Q.mean.loops,loop_size.log.median.loops,min_distance.log.std.loops,min_distance.log.mean.loops,18mo.9mo.T.mean.loops,Qanova.std.loops,18mo.2mo.Q.min.loops,Qanova.median.loops,18mo.2mo.T.min.loops,min_distance.log.median.loops,18mo.2mo.T.mean.loops,18mo.2mo.Q.std.loops,min_distance.log.min.loops,Qanova.max.loops,18mo.9mo.Q.min.loops,9mo.2mo.Q.min.loops,9mo.2mo.Q.max.loops,Tanova.mean.loops,9mo.2mo.Q.std.loops,loop_size.log.mean.loops,18mo.9mo.log_ratio.mcg_genebody,18mo.2mo.log_ratio.mcg_genebody,9mo.2mo.log_ratio.mcg_genebody,18mo.2mo.log_ratio.mch_genebody,9mo.2mo.log_ratio.mch_genebody,18mo.9mo.log_ratio.mch_genebody,18mo.2mo.log_ratio.mean.atac,18mo.2mo.log_ratio.max.atac,log2_distance.max.atac,9mo.2mo.log_ratio.min.atac,9mo.2mo.log_ratio.std.atac,count.atac,log2_distance.std.atac,log2_distance.min.atac,9mo.2mo.log_ratio.mean.atac,18mo.9mo.log_ratio.max.atac,18mo.9mo.log_ratio.mean.atac,9mo.2mo.log_ratio.max.atac,DEG,pred
Ncl,0.06155552262440324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0029494141088798644,0.0,0.0,0.0,0.01239602604880929,0.0,0.007214189586229622,0.006308600082993507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00684754490852356,0.0,0.0,0.0,0.056920907734893264,0.0,0.01296142429113388,0.0,0.012535527385771274,0.0457719412771985,0.03552371606230736,0.030795934069901706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008520891517400742,0.013849846529774367,0.05444175720214844,0.0,0.0,0.0,0.0,-0.10791627839207649,0.0,0.0,-0.046779600391164425,0.009235434816218913,0.0,0.0,0.0,0.0,0.0,0.0,0.06271531658247113,0.006972667165100575,0.011574569181539119,0.0,0.0,-0.031143405102193357,0.0,1.0,1.0
Tecr,0.004862421229481697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00047828334849327805,0.0,0.0,0.0,0.01239602604880929,0.0,-0.002431191774085164,-0.08626701368018985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00684754490852356,0.0,0.0,0.0,0.03814591466914862,0.0,0.01296142429113388,0.0,0.012535527385771274,0.05819417715072632,0.03552371606230736,0.028976825564168394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006390668451786042,0.019182731434702872,0.03670345814432949,0.0,0.0,0.0,0.0,0.010236629396677016,0.0,0.0,-0.02678183661773801,-0.016524839596822858,0.0,0.0,0.0,0.0,0.0,0.0,0.06128506036475301,0.006972667165100575,0.012001484613865614,0.0,0.0,0.05113740449305624,0.0,1.0,0.0
Gm26660,-0.04577075546607375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012893722113221883,0.0,0.0,0.0,0.008006995525211096,0.0,0.014975692955777048,0.002968752980232239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00684754490852356,0.0,0.0,0.0,0.035970338936895135,0.0,0.01296142429113388,0.0,0.012535527385771274,0.041476006209850313,0.013386543234810233,-0.05024029698222875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004047423377633095,-0.12081692926585674,0.02809241695329547,0.0,0.0,0.0,0.0,0.004417012929916381,0.0,0.0,0.10711958562955261,0.07832646982744336,0.0,0.0,0.0,0.0,0.0,0.0,0.04745774985291064,0.006972667165100575,0.016108388919383286,0.0,0.0,-0.03324627179652453,0.0,1.0,1.0
Lgi2,0.0036664631217718123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012893722113221883,0.0,0.0,0.0,0.007458366695791483,0.0,0.014015592504292726,0.002968752980232239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002323274165391922,0.0,0.0,0.0,0.036339923273772,0.0,0.004401993155479431,0.0,0.007399868443608284,0.05819417715072632,-0.0803741217404604,0.009679394224658609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.007306664325296879,0.01177624236792326,-0.10933986435644329,0.0,0.0,0.0,0.0,0.010236629396677016,0.0,0.0,0.06039414595812559,0.027973658479750155,0.0,0.0,0.0,0.0,0.0,0.0,0.060097323805093764,0.006972667165100575,0.016242805933579803,0.0,0.0,0.050815789587795736,0.0,1.0,1.0
Ncor1,-0.08918161803856492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006775680789723993,0.0,0.0,0.0,0.0031764719262719152,0.0,0.0011488251108676196,0.0019791686534881593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00684754490852356,0.0,0.0,0.0,-0.08155705485492945,0.0,0.01296142429113388,0.0,0.012535527385771274,0.029082035720348356,-0.022493782006204128,-0.07015975195914508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008520891517400742,0.003021432161331177,0.021967508904635905,0.0,0.0,0.0,0.0,0.004522824138402939,0.0,0.0,-0.033928847243078056,-0.03782455735374242,0.0,0.0,0.0,0.0,0.0,0.0,-0.17726203365251422,0.002550975792109966,0.0045443712640553715,0.0,0.0,0.03230169646441936,0.0,1.0,0.0
Gpatch2l,-0.07284120805561542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001494635511189699,0.0,0.0,0.0,0.0100661348272115,0.0,-0.04077357348054647,0.006308600082993507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00684754490852356,0.0,0.0,0.0,0.043707620250061155,0.0,0.01296142429113388,0.0,0.012535527385771274,0.032906454801559445,0.03552371606230736,0.045849238261580466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006390668451786042,0.013680548593401908,0.05444175720214844,0.0,0.0,0.0,0.0,0.00589836984872818,0.0,0.0,0.030731820268556476,-0.0037506878934800625,0.0,0.0,0.0,0.0,0.0,0.0,0.0604996383190155,-0.06321318013593555,0.005723023032769561,0.0,0.0,-0.031143405102193357,0.0,1.0,0.0
Neu1,0.09402092966251076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0029494141088798644,0.0,0.0,0.0,0.009760017730295658,0.0,0.007214189586229622,0.002968752980232239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00684754490852356,0.0,0.0,0.0,-0.12411069069057704,0.0,0.01296142429113388,0.0,0.012535527385771274,0.04569439545273781,0.03552371606230736,0.012488624565303325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008520891517400742,0.019182731434702872,0.03489746674895287,0.0,0.0,0.0,0.0,0.012431606948375702,0.0,0.0,-0.046779600391164425,0.009235434816218913,0.0,0.0,0.0,0.0,0.0,0.0,0.07179391769692302,0.002550975792109966,0.007676947573199869,0.0,0.0,-0.03374106395989657,0.0,1.0,0.0
Herpud1,0.09367039948701858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0029494141088798644,0.0,0.0,0.0,0.01239602604880929,0.0,0.007214189586229622,0.006308600082993507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00684754490852356,0.0,0.0,0.0,0.0574922882579267,0.0,0.01296142429113388,0.0,0.012535527385771274,0.05819417715072632,0.03552371606230736,0.045849238261580466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006390668451786042,0.019182731434702872,0.05444175720214844,0.0,0.0,0.0,0.0,0.012431606948375702,0.0,0.0,-0.04464937766082585,-0.007278027790598571,0.0,0.0,0.0,0.0,0.0,0.0,0.07179391769692302,0.006972667165100575,0.013097550645470619,0.0,0.0,-0.031143405102193357,0.0,1.0,1.0
Asxl2,-0.13913267345167696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012893722113221883,0.0,0.0,0.0,0.003999415207654238,0.0,0.01420761261601001,0.0019791686534881593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002323274165391922,0.0,0.0,0.0,-0.08155705485492945,0.0,0.004401993155479431,0.0,0.007399868443608284,0.03140988230705261,0.0073241948755458,0.022841402553021906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006390668451786042,0.005039644734933972,-0.10594124571420252,0.0,0.0,0.0,0.0,0.00589836984872818,0.0,0.0,0.017319874288514257,0.010139457564800978,0.0,0.0,0.0,0.0,0.0,0.0,0.054474879242479804,0.002550975792109966,0.008661274425685405,0.0,0.0,-0.03374106395989657,0.0,1.0,0.0
Smpd1,0.048522622846066954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014547785930335523,0.0,0.0,0.0,0.004822358377277851,0.0,0.002078437078744173,0.002968752980232239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.045303846225142476,0.0,0.0,0.0,-0.12468207121361047,0.0,0.00531907506287098,0.0,0.008439227938652039,0.03327215957920998,-0.0803741217404604,0.02864964410662651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.002620174065232277,0.006443357462994754,0.01883740787394345,0.0,0.0,0.0,0.0,-0.10791627839207649,0.0,0.0,-0.023513546511530876,-0.020718097425997256,0.0,0.0,0.0,0.0,0.0,0.0,0.04747800651937723,0.002550975792109966,0.0051836618827655915,0.0,0.0,-0.03374106395989657,0.0,1.0,0.0
Sys1,0.061300185793079436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.016520704361610114,0.0,0.0,0.0,0.00933485509827733,0.0,-0.011857359404675662,0.006308600082993507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00684754490852356,0.0,0.0,0.0,0.03948923982214183,0.0,0.01296142429113388,0.0,0.012535527385771274,-0.14128673935309052,0.03552371606230736,0.030795934069901706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008520891517400742,0.013532412904314697,0.05444175720214844,0.0,0.0,0.0,0.0,0.00788172498345375,0.0,0.0,0.006632877700030804,0.01019200167618692,0.0,0.0,0.0,0.0,0.0,0.0,0.059355560056865216,-0.02482949770987034,0.0037351075652986765,0.0,0.0,-0.031143405102193357,0.0,1.0,1.0
Scaf4,-0.0526232726033777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010761375911533832,0.0,0.0,0.0,0.0038951658457517624,0.0,0.0017244087904691697,0.002968752980232239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00684754490852356,0.0,0.0,0.0,0.02134474439546466,0.0,0.01296142429113388,0.0,0.012535527385771274,-0.1245431069470942,-0.03552371599711478,-0.08464339338243007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012781336903572083,0.0029563560243695973,0.026227078987285494,0.0,0.0,0.0,0.0,0.0038456324068829417,0.0,0.0,-0.050461571933701634,0.03303808824159205,0.0,0.0,0.0,0.0,0.0,0.0,-0.18461059814319014,0.0024659432657063007,0.004819383998401463,0.0,0.0,-0.043750113323330876,0.0,1.0,0.0
Rhobtb2,0.060624355021864175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0029494141088798644,0.0,0.0,0.0,0.0038951658457517624,0.0,-0.03398783470969647,0.002968752980232239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00684754490852356,0.0,0.0,0.0,0.021514042331837117,0.0,0.01296142429113388,0.0,0.012535527385771274,-0.1731739383749664,-0.036538679338991645,-0.1159280264377594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008520891517400742,0.004699488966725767,0.026281941873021422,0.0,0.0,0.0,0.0,0.00788172498345375,0.0,0.0,-0.04901633441448212,-0.028996243509463965,0.0,0.0,0.0,0.0,0.0,0.0,0.04689438050612807,0.0024659432657063007,0.005623059449717403,0.0,0.0,-0.03324627179652453,0.0,1.0,0.0
