gene_name,gene_length.meta,18mo.2mo.contact.log_ratio.max.20kb-5Mb.enhancer_DMR,18mo.9mo.activity.log_ratio.max.5kb-20kb.enhancer_DMR,9mo.2mo.activity.log_ratio.min.5kb-20kb.enhancer_DMR,18mo.2mo.contact.log_ratio.min.20kb-5Mb.enhancer_DMR,18mo.2mo.contact.log_ratio.mean.20kb-5Mb.enhancer_DMR,9mo.2mo.activity.log_ratio.max.5kb-20kb.enhancer_DMR,18mo.9mo.contact.log_ratio.mean.20kb-5Mb.enhancer_DMR,18mo.9mo.contact.log_ratio.min.20kb-5Mb.enhancer_DMR,count.enhancer_DMR,9mo.2mo.activity.log_ratio.median.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.min.5kb-20kb.enhancer_peak,18mo.9mo.activity.log_ratio.max.20kb-5Mb.enhancer_peak,9mo.2mo.contact.log_ratio.std.20kb-5Mb.enhancer_peak,9mo.2mo.activity.log_ratio.mean.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.max.5kb-20kb.enhancer_peak,18mo.2mo.activity.log_ratio.mean.5kb-20kb.enhancer_peak,18mo.2mo.activity.log_ratio.count.0-5kb.enhancer_peak,18mo.9mo.activity.log_ratio.median.0-5kb.enhancer_peak,18mo.9mo.contact.log_ratio.std.20kb-5Mb.enhancer_peak,18mo.2mo.contact.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.mean.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.max.0-5kb.enhancer_peak,9mo.2mo.contact.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.9mo.contact.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.count.5kb-20kb.enhancer_peak,9mo.2mo.activity.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.9mo.contact.log_ratio.mean.20kb-5Mb.enhancer_peak,9mo.2mo.activity.log_ratio.min.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.max.5kb-20kb.enhancer_peak,9mo.2mo.activity.log_ratio.count.0-5kb.enhancer_peak,18mo.2mo.activity.log_ratio.min.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.median.20kb-5Mb.enhancer_peak,18mo.2mo.contact.log_ratio.median.20kb-5Mb.enhancer_peak,18mo.9mo.log_ratio.DAR,18mo.2mo.log_ratio.DAR,count.DAR,rel_pos.DAR,count.DMR,18mo.2mo.log_ratio.DMR,rel_pos.DMR,distance.log2.DMR,18mo.9mo.Q.std.loops,loop_size.log.max.loops,18mo.9mo.Q.mean.loops,18mo.9mo.T.median.loops,count.loops,18mo.2mo.T.max.loops,18mo.2mo.T.median.loops,9mo.2mo.T.min.loops,loop_size.log.min.loops,Tanova.median.loops,Tanova.min.loops,Tanova.max.loops,Qanova.mean.loops,9mo.2mo.Q.mean.loops,loop_size.log.median.loops,min_distance.log.std.loops,min_distance.log.mean.loops,18mo.9mo.T.mean.loops,Qanova.std.loops,18mo.2mo.Q.min.loops,Qanova.median.loops,18mo.2mo.T.min.loops,min_distance.log.median.loops,18mo.2mo.T.mean.loops,18mo.2mo.Q.std.loops,min_distance.log.min.loops,Qanova.max.loops,18mo.9mo.Q.min.loops,9mo.2mo.Q.min.loops,9mo.2mo.Q.max.loops,Tanova.mean.loops,9mo.2mo.Q.std.loops,loop_size.log.mean.loops,18mo.9mo.log_ratio.mcg_genebody,18mo.2mo.log_ratio.mcg_genebody,9mo.2mo.log_ratio.mcg_genebody,18mo.2mo.log_ratio.mch_genebody,9mo.2mo.log_ratio.mch_genebody,18mo.9mo.log_ratio.mch_genebody,18mo.2mo.log_ratio.mean.atac,18mo.2mo.log_ratio.max.atac,log2_distance.max.atac,9mo.2mo.log_ratio.min.atac,9mo.2mo.log_ratio.std.atac,count.atac,log2_distance.std.atac,log2_distance.min.atac,9mo.2mo.log_ratio.mean.atac,18mo.9mo.log_ratio.max.atac,18mo.9mo.log_ratio.mean.atac,9mo.2mo.log_ratio.max.atac,DEG,pred
Ncl,-0.40855969485826793,0.004726048847660422,0.0008091814815998077,0.0,0.0,0.0008091814815998077,-0.011048602955415845,0.0,-0.0008440845459699631,0.0,0.0,0.0,0.0,0.0,0.0,-0.0025329151703044773,0.0,-0.037180531923659145,-0.0045362267643213276,-0.0020634701848030092,0.08636846367269754,-0.035231502745300534,0.0,-0.011055781580507755,0.0,-0.0032688334584236147,-0.0032451897487044334,0.0,-0.006117342375218869,0.014490241706371308,0.0,-0.08587172624655068,0.06177287273108959,0.0017359880357980728,0.0,0.0007606503739953041,0.0010193438734859227,0.0,0.0010903285443782807,0.0,-0.0008716889284551144,-0.0031712746620178225,-0.020783147308975458,-0.05292630637995899,0.0008681614929810167,-0.006280849538743496,0.0028711026534438133,0.0,0.18134793356060983,0.015859511457383634,-0.003563747350126505,0.00045383866876363754,0.08122054712846875,0.0,-0.006269049886614084,-0.0008539737109094859,0.0,-0.010859976676292717,0.0,-0.014459691680967808,0.03962573988363147,0.0,0.0,0.0,0.0,0.0,0.042385365553200244,0.0002578695164993405,-0.001020118221640587,0.0,0.0,0.0009024256467819214,0.0,0.0,0.0,-0.046219987655058505,0.003455298766493797,-0.009491111729294061,0.0,-0.011144891679286957,-0.006793221943080425,0.00024503469467163086,0.0,0.0,0.0,0.0,-0.00184545936062932,0.019054978713393213,-0.02715464625507593,0.004324351735413075,-0.004993381793610752,0.0,-0.0020774091966450216,-0.02718679577112198,1.0,1.0
Tecr,-0.17978931311517954,-0.0012355683743953704,-0.002832135036587715,0.0,0.0,0.0008091814815998077,-0.004950067666359245,0.0,-0.0025322535634040833,0.0,0.0,0.0,0.0,0.0,0.0,-0.0012355683743953704,0.0,-0.07353417070582509,0.0004586474597454071,-0.0020634701848030092,0.029977403618395328,-0.031363686341792346,0.0,-0.014626195356249809,0.0,-0.007191433608531952,-0.005600525299087167,0.0,0.013814815543591976,-0.003363795541226864,0.0,-0.09361432250589133,-0.051285556480288506,7.890854962170124e-05,0.0,0.0023896821774542333,0.0009266762435436249,0.0,0.004543035682290792,0.0,-0.0032688334584236147,-0.0031712746620178225,-0.025077855996787548,0.10428469615057111,-0.005191297032870352,-0.0010055812448263167,-0.0033017680514603855,0.0,-0.01652910865843296,0.0,-0.0008385287970304489,-0.010835255347192287,-0.06717276797629892,0.0,0.01355569831095636,0.008417740864679217,0.0,-0.01629569709766656,0.0,-0.014459691680967808,-0.01766797192860395,0.0,0.0,0.0,0.0,0.0,-0.003226337926462293,0.003735428503714502,-0.002380275875329971,0.0,0.0,0.0006016170978546142,0.0,0.0,0.0,-0.05016522143036127,0.004534804783761501,-0.017000097203999757,0.0,-0.007095539271831513,-0.0477165811508894,0.0,0.0,0.0,0.0,0.0,-0.001739070452749729,0.044273969009518625,-0.03381674598902464,0.005903151333332062,0.007886940105818212,-0.0026995682716369628,-0.003794883210211992,0.20854548253118993,1.0,0.0
Gm26660,0.8341808764450253,0.056218359470367435,0.0008091814815998077,0.0,0.0,0.0008091814815998077,0.004415867887437344,0.0,-0.0012661267817020417,0.0,0.0,0.0,0.0,0.0,0.0,0.021776892244815826,0.0,-0.02801383292302489,-0.0045362267643213276,-0.0020634701848030092,-0.002515586316585541,-0.035635412055999044,0.0,-0.007886450439691543,0.0,-0.0032688334584236147,0.024118387140333652,0.0,-0.0023664827086031437,-0.003537717070430517,0.0,-0.048142849672585725,-0.040085881967097524,0.0005523598473519087,0.0,0.011851029247045517,0.0075678560882806774,0.0,0.004270453536882997,0.0,-0.0008716889284551144,-0.0015856373310089112,-0.015514740310609341,0.35557462900877,-0.04523254778236151,0.007962712086737156,0.043411071486771105,0.0,-0.005667122900485992,0.020251376256346702,-0.0012577931582927705,0.00045383866876363754,0.11487675774842501,0.0,-0.008502349946647883,-0.00048798497766256333,0.0,0.003096404653042555,0.0,-0.014459691680967808,0.033858179226517675,0.0,0.0,0.0,0.0,0.0,0.006596157411113381,0.02572285307571292,-0.002380275875329971,0.0,0.0,0.0014648357033729554,0.0,0.0,0.0,0.23231791369616986,0.015337843485176562,-0.0074083168432116505,0.0,0.00444762572646141,0.055764313340187076,-0.0011026561260223389,0.0,0.0,0.0,0.0,-0.002214668467640877,0.044273969009518625,-0.02587908072397113,0.015209759920835494,-0.004993381793610752,0.0,-0.004908314868807793,-0.010569086521863938,1.0,1.0
Lgi2,0.06577346107224002,-0.00046333812177181246,0.0074849286302924155,0.0,0.0,-0.07849060118198395,-0.0006088655395433307,0.0,-0.0008440845459699631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05872878466267139,0.020150955840945242,-0.0010317350924015046,-0.002515586316585541,0.3057092932611704,0.0,-0.005166247449815273,0.0,-0.003486755695194006,0.0009477451350539922,0.0,-0.0021852812729775905,0.014962501898407936,0.0,0.14659738941118122,0.732209501452744,0.0017359880357980728,0.0,-0.00681282608769834,-0.00046333812177181246,0.0,-0.0021806570887565615,0.0,-0.0013075334019958973,-0.0015856373310089112,-0.008663475327193738,-0.07468409798108042,0.07892924170009792,0.004482576632872224,0.0036175892688333987,0.0,0.0646996533870697,-0.00024399248883128166,-0.0012577931582927705,0.0016013766080141068,-0.07471710288897157,0.0,-0.006269049886614084,-0.0017079474218189717,0.0,-0.011591733978129924,0.0,-0.0028168230503797533,0.06287408188916743,0.0,0.0,0.0,0.0,0.0,0.042385365553200244,-0.0015575733268633485,-0.001020118221640587,0.0,0.0,-0.009292613714933395,0.0,0.0,0.0,-0.028608034648932516,-0.0035141859389841556,-0.018911889400333167,0.0,0.0030416005849838255,0.016853565424680708,0.00405160803347826,0.0,0.0,0.0,0.0,-0.00184545936062932,0.020934301987290384,-0.014891873952001334,0.003908878043293953,-0.014867109144106508,-0.004780485481023789,-0.013837934508919715,-0.018865913450717926,1.0,1.0
Ncor1,0.8125521003454924,0.014517928026616573,0.0012137721478939056,0.0,0.0,0.0012137721478939056,-0.006140426676720381,0.0,-0.0012661267817020417,0.0,0.0,0.0,0.0,0.0,0.0,0.002934474889189005,0.0,-0.03060876253992319,0.0004586474597454071,-0.0010317350924015046,-0.002515586316585541,-0.024504259638488294,0.0,-0.007886450439691543,0.0,-0.003486755695194006,0.0019524435605853797,0.0,-0.001913479119539261,-0.011756345294415951,0.0,-0.09741955265402794,-0.031006661774590612,0.0005523598473519087,0.0,0.002502436973154545,0.002471136674284935,0.0,-0.0039978714659810064,0.0,0.08869434796273708,-0.0015856373310089112,-0.02208708525635302,-0.23521464838646353,4.686132073402405e-05,-0.020828268798068164,0.007005490474402905,0.0,-0.005667122900485992,-0.0008539737109094859,-0.0012577931582927705,0.045616114363074306,-0.06378639157861471,0.0,-0.05620114337652922,0.06051013585180044,0.0,-0.021046093748882413,0.0,-0.001877882033586502,0.10245936550199986,0.0,0.0,0.0,0.0,0.0,0.006596157411113381,-0.0015819652378559112,-0.002380275875329971,0.0,0.0,0.0006016170978546142,0.0,0.0,0.0,-0.04459873087704182,0.016092586163431406,-0.009684397168457507,0.0,-0.00889525145292282,0.007852894067764283,0.0,0.0,0.0,0.0,0.0,-0.010206103324890137,-0.1769003913924098,-0.02587908072397113,-0.005314635932445526,0.007886940105818212,0.0,-0.01657418705523014,-0.010569086521863938,1.0,0.0
Gpatch2l,0.3669090277259238,-0.004170043226331473,0.0012137721478939056,0.0,0.0,0.0012137721478939056,0.018202699087560177,0.0,-0.0012661267817020417,0.0,0.0,0.0,0.0,0.0,0.0,0.0007722302339971066,0.0,0.05738109380472452,0.0004586474597454071,-0.0020634701848030092,-0.007644219174981117,0.001236514076590538,0.0,-0.004996115528047085,0.0,-0.0032688334584236147,0.006404621535912156,0.0,-0.0015510762482881546,-0.011284085102379321,0.0,0.11733335755765438,-0.028082284890115262,0.0001578170992434025,0.0,0.0028769330866634845,0.0012355683743953704,0.0,0.0020897964481264354,0.0,-0.0008716889284551144,-0.0015856373310089112,-0.017710405783727765,-0.26249412035569547,0.012186007425189018,0.013571786554530263,0.012058630995452404,0.0,0.0646996533870697,0.0706358239799738,-0.0012577931582927705,-0.0016365397348999976,0.13394745450466872,0.0,-0.05620114337652922,-0.004879849776625633,0.0,0.017804726138710977,0.0,-0.014459691680967808,0.12515845254063607,0.0,0.0,0.0,0.0,0.0,0.004049517717212439,0.008199190460145474,-0.001020118221640587,0.0,0.0,0.0014648357033729554,0.0,0.0,0.0,-0.021649213698692618,-0.009936686940491199,-0.009341468811035156,0.0,0.0037149639427661897,-0.018240112625062466,-0.001715242862701416,0.0,0.0,0.0,0.0,-0.007500882595777512,0.042691941633820535,0.11883313888683915,0.014681636206805706,-0.014867109144106508,0.0,0.00791084134951234,-0.010569086521863938,1.0,0.0
Neu1,-0.42503409514203666,-0.0006486733816564083,0.0006068860739469528,0.0,0.0,-0.0018206583335995674,-0.00631657250225544,0.0,-0.0012661267817020417,0.0,0.0,0.0,0.0,0.0,0.0,-0.0006486733816564083,0.0,-0.07130679400637746,-0.0031201594695448877,-0.0020634701848030092,-0.006288965791463852,-0.027512749526649713,0.0,-0.014626195356249809,0.0,-0.007191433608531952,0.00043066538870334625,0.0,-0.006117342375218869,-0.004954497795552015,0.0,-0.08587172624655068,-0.06981977090239525,7.890854962170124e-05,0.0,0.0015440859366208314,0.0007413410395383835,0.0,0.0019989357329905032,0.0,-0.0032688334584236147,-0.0031712746620178225,-0.02154681157320738,-0.055188368568196894,-0.005288864672183991,-0.001229878356680274,-0.0022107490431517362,0.0,-0.01652910865843296,-0.00024399248883128166,-0.009433448687195778,0.00045383866876363754,-0.06342785490676761,0.0,-0.006269049886614084,-0.0017079474218189717,0.0,-0.012128356024622916,0.0,-0.014459691680967808,-0.008622780386358499,0.0,0.0,0.0,0.0,0.0,-0.003226337926462293,-0.00044949591159820556,-0.002380275875329971,0.0,0.0,0.0009024256467819214,0.0,0.0,0.0,-0.046219987655058505,0.003455298766493797,-0.01574533563107252,0.0,-0.00889525145292282,0.023171777985990048,0.0,0.0,0.0,0.0,0.0,-0.002243134928867221,0.021340129300951957,-0.03867987740784883,0.004324351735413075,-0.004993381793610752,0.0,0.010647093895822763,-0.02718679577112198,1.0,0.0
Herpud1,-0.5140225633606315,0.00639406634029001,0.0008091814815998077,0.0,0.0,0.0008091814815998077,0.0017800515424460173,0.0,-0.0025322535634040833,0.0,0.0,0.0,0.0,0.0,0.0,6.177842151373625e-05,0.0,-0.07130679400637746,-0.0045362267643213276,-0.0020634701848030092,-0.00921961322426796,-0.035055721905082465,0.0,-0.014626195356249809,0.0,-0.0032688334584236147,0.00043066538870334625,0.0,-0.0033993208408355713,-0.004954497795552015,0.0,-0.06539596402086317,-0.06981977090239525,7.890854962170124e-05,0.0,0.0018114770296961068,0.001451792842708528,0.0,0.0019989357329905032,0.0,-0.0008716889284551144,-0.0031712746620178225,-0.02118082285858691,-0.04792657003737986,0.0032341766729950903,-0.001229878356680274,-0.0022107490431517362,0.0,-0.01652910865843296,-0.00012199624441564083,-0.009433448687195778,0.00045383866876363754,0.0847085901722312,0.0,0.024459687639027835,0.015127533990889787,0.0,-0.017659827219322324,0.0,-0.014459691680967808,-0.014320350904017686,0.0,0.0,0.0,0.0,0.0,-0.003226337926462293,0.004899279158562422,-0.002380275875329971,0.0,0.0,0.0006016170978546142,0.0,0.0,0.0,-0.03365606982260942,0.003455298766493797,-0.00877182425931096,0.0,-0.007429927885532379,-0.025066401548683642,0.0,0.0,0.0,0.0,0.0,-0.002243134928867221,0.021340129300951957,-0.03867987740784883,0.004324351735413075,-0.004993381793610752,0.0,-0.0020774091966450216,-0.02718679577112198,1.0,1.0
Asxl2,0.6786409492045641,0.014517928026616573,0.0008091814815998077,0.0,0.0,0.0008091814815998077,-0.016824083188548684,0.0,-0.0012661267817020417,0.0,0.0,0.0,0.0,0.0,0.0,0.002934474889189005,0.0,-0.0323240053281188,-0.0045362267643213276,-0.0010317350924015046,-0.002515586316585541,-0.026104775667190553,0.0,-0.007886450439691543,0.0,-0.0032688334584236147,0.0019524435605853797,0.0,-0.001913479119539261,-0.011756345294415951,0.0,-0.09741955265402794,-0.05292956509627402,0.0005523598473519087,0.0,0.0013071272522211074,0.002471136674284935,0.0,-0.0039978714659810064,0.0,-0.0008716889284551144,-0.0015856373310089112,-0.02367303639650345,-0.28177484490908683,0.001063296776264906,-0.020828268798068164,0.007005490474402905,0.0,-0.005667122900485992,-0.0026839173212647436,-0.0012577931582927705,-0.061589284315705296,0.08372454904019833,0.0,-0.05620114337652922,-0.01683548152446747,0.0,-0.019522447483614088,0.0,0.067290772870183,0.10245936550199986,0.0,0.0,0.0,0.0,0.0,0.006596157411113381,-0.0016307490598410368,-0.002380275875329971,0.0,0.0,-0.00778857097029686,0.0,0.0,0.0,-0.04459873087704182,0.005746908616274595,-0.010745873302221298,0.0,0.0030416005849838255,0.007852894067764283,0.00024503469467163086,0.0,0.0,0.0,0.0,-0.010206103324890137,-0.0284022980555892,-0.02587908072397113,0.0057369618862867355,0.007886940105818212,0.0,0.00791084134951234,-0.010569086521863938,1.0,0.0
Smpd1,-0.5075421642139554,-0.0006486733816564083,0.0012137721478939056,0.0,0.0,0.0012137721478939056,0.0017800515424460173,0.0,-0.0012661267817020417,0.0,0.0,0.0,0.0,0.0,0.0,-0.0006486733816564083,0.0,-0.0859971340186894,0.0004586474597454071,-0.0020634701848030092,-0.00921961322426796,-0.04101265968754888,0.0,-0.014626195356249809,0.0,-0.0032688334584236147,-0.0032451897487044334,0.0,-0.0033993208408355713,-0.004954497795552015,0.0,-0.06539596402086317,-0.08065374188125134,0.0005523598473519087,0.0,0.0017311648279428483,0.0007413410395383835,0.0,0.0010903285443782807,0.0,-0.0008716889284551144,-0.0031712746620178225,-0.02118082285858691,-0.04461536789312959,0.0032341766729950903,-0.006280849538743496,0.0028711026534438133,0.0,-0.01652910865843296,0.015859511457383634,-0.009433448687195778,0.00045383866876363754,0.0847085901722312,0.0,0.024459687639027835,-0.0008539737109094859,0.0,-0.017659827219322324,0.0,-0.014459691680967808,0.09681246617808938,0.0,0.0,0.0,0.0,0.0,0.006596157411113381,0.0017945597879588603,-0.002380275875329971,0.0,0.0,0.0006016170978546142,0.0,0.0,0.0,-0.03210371010936797,0.003455298766493797,-0.007775868885219097,0.0,-0.007429927885532379,0.007852894067764283,0.0,0.0,0.0,0.0,0.0,-0.002243134928867221,0.021340129300951957,-0.03814185302704573,0.004324351735413075,-0.004993381793610752,0.0,-0.0020774091966450216,-0.02718679577112198,1.0,0.0
