,DEG,pred,score_0,score_1,score_2
Ell,1,0,0.6924737095832825,0.24718384444713593,0.06034240871667862
Gpr180,1,1,0.16649824380874634,0.697020411491394,0.13648132979869843
Tcof1,1,1,0.305658221244812,0.4564477205276489,0.23789407312870026
Pappa2,1,2,0.13875804841518402,0.31132635474205017,0.5499155521392822
Sh2d5,1,1,0.4672664403915405,0.4719110131263733,0.060822512954473495
Gm16541,1,1,0.22157716751098633,0.6314899325370789,0.14693288505077362
Fam222a,1,1,0.42480650544166565,0.4734613299369812,0.10173212736845016
Klhl22,1,0,0.5274350643157959,0.4136062562465668,0.058958642184734344
Ftsj1,1,1,0.32492294907569885,0.5632432103157043,0.1118338406085968
Orc4,1,1,0.3360155522823334,0.49616506695747375,0.16781944036483765
Akt1s1,1,0,0.6516333818435669,0.30292385816574097,0.04544277489185333
Atad2,1,1,0.23545299470424652,0.6304568648338318,0.1340901255607605
Rfwd3,1,0,0.48406583070755005,0.44499993324279785,0.0709342360496521
P4htm,1,0,0.7514562606811523,0.21135330200195312,0.03719041869044304
Adamtsl1,1,2,0.11588096618652344,0.19764669239521027,0.6864722967147827
Armcx3,1,1,0.2198687493801117,0.6116222143173218,0.16850899159908295
Ndufb5,1,1,0.4261687994003296,0.5100744962692261,0.06375666707754135
Ppme1,1,0,0.6301819682121277,0.30151107907295227,0.06830700486898422
Taf11,1,0,0.6096894145011902,0.3380277454853058,0.05228285491466522
4931414P19Rik,1,1,0.24713343381881714,0.6561259031295776,0.09674067050218582
Spata1,1,1,0.20848608016967773,0.6677221059799194,0.12379185110330582
Cttn,1,0,0.6436710357666016,0.29488375782966614,0.061445239931344986
Patz1,1,1,0.36153343319892883,0.5768856406211853,0.061580874025821686
Neurl1b,1,0,0.7080118060112,0.23164953291416168,0.06033870577812195
Tdrd5,1,1,0.2222268283367157,0.6062382459640503,0.171534925699234
AW146154,1,0,0.5773159265518188,0.35678955912590027,0.0658944770693779
Htatip2,1,1,0.42506420612335205,0.47504478693008423,0.09989097714424133
Slc4a3,1,1,0.24468407034873962,0.6748993992805481,0.08041656762361526
Nrn1,1,1,0.21948456764221191,0.5928311944007874,0.18768417835235596
Ndufab1,1,0,0.5573541522026062,0.39285197854042053,0.04979385808110237
Otud6b,1,1,0.3222615122795105,0.4775010049343109,0.200237438082695
Mnt,1,0,0.661981463432312,0.2864493429660797,0.05156917870044708
Mecp2,1,2,0.19729644060134888,0.39498770236968994,0.4077158570289612
Cyhr1,1,0,0.6756548881530762,0.2731650769710541,0.05118003115057945
Lsm5,1,1,0.33391642570495605,0.5477014780044556,0.11838208884000778
Gk5,1,1,0.35190147161483765,0.4670726954936981,0.18102584779262543
Snap29,1,1,0.359346866607666,0.5607408285140991,0.07991225272417068
Pcdh7,1,2,0.12775398790836334,0.2154732346534729,0.656772792339325
Gm26512,1,1,0.12982091307640076,0.4879724085330963,0.38220667839050293
Anp32e,1,1,0.4286467134952545,0.5181578993797302,0.05319540202617645
Trim66,1,1,0.4049290418624878,0.421745628118515,0.1733253300189972
Aasdh,1,1,0.30165696144104004,0.5818732976913452,0.11646970361471176
Icmt,1,1,0.4444870352745056,0.4883006811141968,0.0672123059630394
Decr2,1,0,0.506230890750885,0.3922704756259918,0.10149864107370377
Sertad4,1,1,0.3324158489704132,0.562959611415863,0.10462457686662674
Trim59,1,1,0.18128953874111176,0.5798609852790833,0.238849475979805
Junb,1,0,0.7066240906715393,0.2606760561466217,0.0326998233795166
Ccdc162,1,2,0.25930526852607727,0.28529587388038635,0.4553987979888916
Midn,1,0,0.6786614060401917,0.2761867344379425,0.04515182599425316
3110056K07Rik,1,1,0.3982159197330475,0.5455955266952515,0.05618853121995926
Sytl5,1,1,0.19294671714305878,0.435140997171402,0.3719123303890228
Rela,1,0,0.7056849002838135,0.25219041109085083,0.042124610394239426
Ptger3,1,2,0.11534945666790009,0.40663495659828186,0.4780155420303345
Natd1,1,0,0.5336019396781921,0.3630656898021698,0.10333234071731567
Tomm70a,1,1,0.43084651231765747,0.4933304786682129,0.07582299411296844
Usp38,1,1,0.3344123363494873,0.4937977194786072,0.1717900037765503
Pnpo,1,1,0.41724103689193726,0.504658579826355,0.07810037583112717
Agbl1,1,2,0.08257650583982468,0.25348344445228577,0.6639400720596313
Phex,1,2,0.15527328848838806,0.3723852336406708,0.47234147787094116
Eif5a2,1,1,0.2861713767051697,0.613048791885376,0.10077987611293793
Slx4,1,0,0.6112608909606934,0.3492726981639862,0.03946641832590103
Romo1,1,1,0.4193638265132904,0.4898751378059387,0.09076105058193207
Gm26981,1,1,0.38067808747291565,0.5335608720779419,0.08576099574565887
Epc2,1,1,0.3007085621356964,0.3735078275203705,0.3257836401462555
Dennd1a,1,2,0.10990779101848602,0.23082660138607025,0.6592656373977661
Gnl2,1,0,0.5414980053901672,0.34293216466903687,0.1155698299407959
Tmem138,1,0,0.5002313256263733,0.4405677914619446,0.05920090153813362
Cep104,1,0,0.694405198097229,0.25569742918014526,0.04989735782146454
Arhgap5,1,1,0.24250204861164093,0.5660112500190735,0.19148676097393036
Nup214,1,0,0.5278028249740601,0.2795238196849823,0.19267338514328003
Gm12709,1,1,0.16461631655693054,0.6755919456481934,0.1597917377948761
BC017158,1,1,0.35928502678871155,0.5657018423080444,0.07501309365034103
Hadhb,1,1,0.3357507288455963,0.5104579329490662,0.15379132330417633
Brpf1,1,0,0.6158974766731262,0.333507776260376,0.050594769418239594
Rpgr,1,2,0.1854788213968277,0.3745834231376648,0.4399377405643463
Ankrd42,1,1,0.19754528999328613,0.4589520990848541,0.34350264072418213
Nudt21,1,1,0.4206983149051666,0.5023036003112793,0.07699808478355408
Fn3k,1,1,0.4301571547985077,0.5252023935317993,0.044640474021434784
Kif13a,1,1,0.3384310007095337,0.3611278235912323,0.30044111609458923
Ankrd11,1,0,0.40408486127853394,0.2901378870010376,0.30577725172042847
Apmap,1,1,0.2548263669013977,0.6233203411102295,0.121853306889534
Ccdc84,1,0,0.5528939366340637,0.40004149079322815,0.04706458002328873
Ssh2,1,2,0.35788947343826294,0.19220073521137238,0.4499097764492035
Paqr9,1,1,0.29681721329689026,0.6389379501342773,0.0642448142170906
Dhx36,1,1,0.3425822854042053,0.48547032475471497,0.17194734513759613
Ik,1,0,0.5069519877433777,0.4455316662788391,0.04751637950539589
Zranb1,1,0,0.5065705180168152,0.3875536322593689,0.10587582737207413
Arid3b,1,0,0.470436692237854,0.4022805392742157,0.1272827833890915
A430110L20Rik,1,1,0.28410232067108154,0.6192789673805237,0.09661869704723358
Gm12592,1,1,0.3528205454349518,0.5967245101928711,0.050454940646886826
Clcn5,1,2,0.20439451932907104,0.316488116979599,0.4791173040866852
Elovl4,1,2,0.1772162765264511,0.3998905420303345,0.4228931665420532
Pclo,1,2,0.26277047395706177,0.27746978402137756,0.45975974202156067
Ate1,1,2,0.30054399371147156,0.27631449699401855,0.4231414496898651
Zfp68,1,1,0.44197091460227966,0.4909505546092987,0.06707849353551865
Cp,1,2,0.1455053687095642,0.37551644444465637,0.47897815704345703
Gtpbp4,1,1,0.4251476526260376,0.4595722556114197,0.11528012901544571
Cux1,1,2,0.17060920596122742,0.30833932757377625,0.5210514664649963
Ccne2,1,1,0.28047648072242737,0.651214599609375,0.06830891966819763
Letm1,1,0,0.5240563154220581,0.4264542758464813,0.04948941245675087
Nrbf2,1,1,0.40436631441116333,0.47322937846183777,0.12240428477525711
C330007P06Rik,1,1,0.2663101851940155,0.5589576959609985,0.17473213374614716
Vamp4,1,1,0.3940454125404358,0.39464569091796875,0.21130889654159546
Mmp24,1,1,0.43344244360923767,0.46140599250793457,0.10515152662992477
