gene_name,gene_length.meta,18mo.2mo.contact.log_ratio.min.20kb-5Mb.enhancer_DMR,count.enhancer_DMR,18mo.2mo.contact.log_ratio.mean.20kb-5Mb.enhancer_DMR,9mo.2mo.activity.log_ratio.max.5kb-20kb.enhancer_DMR,9mo.2mo.activity.log_ratio.median.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.max.5kb-20kb.enhancer_peak,18mo.2mo.activity.log_ratio.mean.5kb-20kb.enhancer_peak,18mo.9mo.contact.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.count.5kb-20kb.enhancer_peak,18mo.2mo.activity.log_ratio.min.5kb-20kb.enhancer_peak,18mo.2mo.contact.log_ratio.median.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.median.0-5kb.enhancer_peak,18mo.9mo.contact.log_ratio.mean.20kb-5Mb.enhancer_peak,9mo.2mo.activity.log_ratio.min.20kb-5Mb.enhancer_peak,18mo.9mo.contact.log_ratio.std.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.max.5kb-20kb.enhancer_peak,9mo.2mo.activity.log_ratio.mean.20kb-5Mb.enhancer_peak,9mo.2mo.contact.log_ratio.max.20kb-5Mb.enhancer_peak,9mo.2mo.activity.log_ratio.count.0-5kb.enhancer_peak,18mo.2mo.activity.log_ratio.min.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.mean.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.median.20kb-5Mb.enhancer_peak,count.DAR,18mo.2mo.log_ratio.DAR,18mo.9mo.log_ratio.DAR,18mo.2mo.log_ratio.DMR,count.DMR,rel_pos.DMR,18mo.9mo.Q.std.loops,loop_size.log.max.loops,18mo.9mo.Q.min.loops,18mo.9mo.Q.mean.loops,9mo.2mo.Q.mean.loops,9mo.2mo.Q.min.loops,loop_size.log.median.loops,18mo.2mo.T.min.loops,min_distance.log.std.loops,min_distance.log.mean.loops,min_distance.log.median.loops,18mo.2mo.T.max.loops,18mo.9mo.T.mean.loops,loop_size.log.mean.loops,18mo.2mo.Q.std.loops,18mo.2mo.T.median.loops,min_distance.log.min.loops,loop_size.log.min.loops,Tanova.median.loops,18mo.2mo.log_ratio.mcg_genebody,18mo.2mo.log_ratio.mch_genebody,9mo.2mo.log_ratio.mch_genebody,log2_distance.std.atac,log2_distance.min.atac,18mo.2mo.log_ratio.mean.atac,18mo.2mo.log_ratio.max.atac,log2_distance.max.atac,9mo.2mo.log_ratio.mean.atac,count.atac,18mo.9mo.log_ratio.max.atac,9mo.2mo.log_ratio.min.atac,9mo.2mo.log_ratio.std.atac,9mo.2mo.log_ratio.max.atac,DEG,pred
Gpr180,-0.3050655450299382,0.0,-0.025464169569313525,0.0,0.001978110419586301,0.0,0.045338211581110954,0.0,0.0,0.0,0.0016034178715199233,0.0,0.0,0.056485894750803706,-0.0032186386361718177,-0.008774731904268265,-0.0024615851044654845,0.0,0.0,-0.002655815631151199,-0.0852508194744587,-0.03971316546201706,0.49460164047777655,0.0,0.0,0.0,0.0,-0.009536283314228058,0.0,0.0,0.06013415121473372,-0.0034405221417546272,0.0,0.0,0.0031331044808030127,0.0,-0.022523419680073858,0.0,-0.016277359649538994,-0.02895814299583435,0.0,-0.026110608093440534,-0.022870151065289973,0.0,0.011594472732394934,0.0,-0.019362880997359753,0.0,-0.08229607932269573,0.0013875502534210682,0.0076550260838121175,0.0029857970867305994,-0.0027692832425236704,0.0,0.0,0.0,0.0,0.01976320325396955,-0.002868464924395084,-0.003645634576678276,0.0,-0.00283233180642128,-0.014126668088138103,1.0,1.0
Sh2d5,-0.23439003549516202,0.0,-0.03723325952887535,0.0,-0.008461186280474067,0.0,-0.017705735652707517,0.0,0.0,0.0,-0.005879198964685202,0.0,0.0,0.04747248964384198,-0.0032186386361718177,-0.008774731904268265,0.04215464498847723,0.0,0.0,-0.005311631262302398,-0.06651889059692621,-0.03971316546201706,-0.07317536391317844,0.0,0.0,0.0,0.0,-0.017674121111631393,0.0,0.0,-0.029902861793525515,-0.005629945117980242,0.0,0.0,0.0009458428621292115,0.0,0.004665348110720515,0.0,-0.016277359649538994,-0.06098210830241442,0.0,-0.02617795016616583,-0.030724591538310052,0.0,-0.005518107367679477,0.0,-0.019362880997359753,0.0,-0.07952479466795921,0.0005550201050937176,0.0011967718787491322,0.0014469230361282826,-0.0033846795558929443,0.0,0.0,0.0,0.0,-0.018251807652413844,-0.002868464924395084,-0.003645634576678276,0.0,-0.00283233180642128,-0.014126668088138103,1.0,1.0
Gm16541,-0.31695664338767526,0.0,0.0648040065728128,0.0,-0.0015135444235056638,0.0,-0.027547315349802374,0.0,0.0,0.0,0.0016034178715199233,0.0,0.0,0.06435955559834838,-0.0007427627593278884,-0.005184711888432503,-0.0060513967275619505,0.0,0.0,-0.005311631262302398,0.10346428543329239,-0.03971316546201706,-0.06677159428596496,0.0,0.0,0.0,0.0,-0.017674121111631393,0.0,0.0,0.06080757205374539,0.004300652537494898,0.0,0.0,0.0031331044808030127,0.0,0.013322601467370987,0.0,-0.004602710558101535,-0.08744849562644959,0.0,-0.03271013241261244,0.0295312140788883,0.0,0.03910929886624217,0.0,-0.019362880997359753,0.0,0.09868228323757648,0.008602811563760042,0.0031810417678207158,0.0029857970867305994,-0.007589887417852878,0.0,0.0,0.0,0.0,0.03263895470649004,0.02526981013827026,0.03581299848854542,0.0,-0.0012138564884662628,0.0619416718557477,1.0,1.0
Adamtsl1,1.0175255263689906,0.0,0.05157536953687668,0.0,0.004265567408874631,0.0,0.04884375248104334,0.0,0.0,0.0,0.016568651292473077,0.0,0.0,0.050356329577043654,-0.0032186386361718177,-0.00547174409031868,-0.0016410568356513978,0.0,0.0,-0.0017705438286066055,0.0500656561832875,-0.012949945218861104,0.19886641256511212,0.0,0.0,0.0,0.0005915549956262111,-0.005161514282226562,0.0,0.0,0.19446431622840465,0.004535233592614532,0.0,0.0,0.0031331044808030127,0.0,0.0728567413892597,0.0,0.04080870668403804,0.2005850767996162,0.0,0.05806591961532831,0.06988335464149714,0.0,0.045633960831910375,0.0,-0.002836407646536827,0.0,-0.08956906804814935,0.008602811563760042,0.06585040430538357,0.04270426038652658,0.016513133458793162,0.0,0.0,0.0,0.0,0.01976320325396955,-0.0012293421104550362,-0.0017870757728815079,0.0,-0.0008092376589775085,0.005072781536728144,1.0,2.0
Armcx3,-0.24846727898344398,0.0,-0.031065640896558763,0.0,-0.015681161340326072,0.0,0.05866848167963326,0.0,0.0,0.0,-0.014430760787799955,0.0,0.0,-0.10547819828614592,-0.0012379379570484161,0.09778480596840382,0.016615699511021376,0.0,0.0,-0.002655815631151199,-0.0852508194744587,-0.03971316546201706,0.49460164047777655,0.0,0.0,0.0,0.0,-0.007713945209980011,0.0,0.0,0.04917514475062489,-0.0034405221417546272,0.0,0.0,0.0011231883987784387,0.0,-0.022523419680073858,0.0,-0.015447373799979687,-0.02895814299583435,0.0,-0.014037618599832057,-0.017543001938611268,0.0,0.011594472732394934,0.0,-0.02010213676840067,0.0,-0.04002685548737645,0.0013875502534210682,0.003639911962673068,0.0029857970867305994,-0.0018461889401078224,0.0,0.0,0.0,0.0,0.008698374219238757,0.05982798274606466,0.03581299848854542,0.0,-0.0012138564884662628,0.05705440565943718,1.0,1.0
Ndufb5,-0.2226026137545705,0.0,-0.042834730856120586,0.0,-0.009493644218891858,0.0,0.05375572089105844,0.0,0.0,0.0,0.0005344726331532001,0.0,0.0,-0.11546359742060304,-0.0007427627593278884,-0.005184711888432503,-0.0024615851044654845,0.0,0.0,-0.005311631262302398,-0.06957150163128972,-0.03971316546201706,-0.07317536391317844,0.0,0.0,0.0,0.0,-0.017674121111631393,0.0,0.0,-0.0225148596893996,-0.005395364062860608,0.0,0.0,0.0011231883987784387,0.0,-0.04247478016652167,0.0,-0.015447373799979687,-0.06763338376767933,0.0,-0.026110608093440534,-0.007227654047310353,0.0,0.008365013850852848,0.0,-0.02010213676840067,0.0,0.05820899902842939,-0.010406626891344785,-0.010800236444920302,-0.004572617784142494,-0.0027692832425236704,0.0,0.0,0.0,0.0,0.011940469862893224,-0.002868464924395084,-0.003645634576678276,0.0,-0.0012138564884662628,0.05705440565943718,1.0,1.0
4931414P19Rik,-0.29083769738674164,0.0,-0.029238714035600424,0.0,-0.01804010136052966,0.0,0.03929064308293164,0.0,0.0,0.0,-0.014430760787799955,0.0,0.0,-0.09421279760077596,-0.0007427627593278884,-0.005184711888432503,-0.0024615851044654845,0.0,0.0,-0.005311631262302398,0.08362231640145183,-0.03971316546201706,-0.07317536391317844,0.0,0.0,0.0,-0.0020704424288123845,-0.017674121111631393,0.0,0.0,0.049848565589636566,0.004300652537494898,0.0,0.0,0.0005911517888307572,0.0,0.011635087803006173,0.0,-0.004602710558101535,-0.0780283310636878,0.0,-0.03271013241261244,-0.030724591538310052,0.0,-0.017363996244966984,0.0,-0.02010213676840067,0.0,0.08386127443984151,0.0016650603059679269,0.003639911962673068,0.002690019616857171,-0.0027692832425236704,0.0,0.0,0.0,0.0,-0.010742332125082611,-0.002868464924395084,-0.003645634576678276,0.0,-0.00283233180642128,-0.019013934284448624,1.0,1.0
Ndufab1,-0.22910725492984058,0.0,0.1477817915380001,0.0,-0.003872484443709254,0.0,-0.03188168581575155,0.0,0.0,0.0,0.0005344726331532001,0.0,0.0,-0.06851984728127718,-0.0032186386361718177,-0.008774731904268265,-0.0060513967275619505,0.0,0.0,-0.005311631262302398,-0.0459500672807917,-0.03971316546201706,-0.06677159428596496,0.0,0.0,0.0,0.0,-0.017674121111631393,0.0,0.0,-0.0225148596893996,-0.0034405221417546272,0.0,0.0,0.0005911517888307572,0.0,-0.030344667537137868,0.0,-0.010091247372329235,-0.05667864959686995,0.0,-0.026110608093440534,-0.007227654047310353,0.0,-0.00630492546595633,0.0,-0.02010213676840067,0.0,-0.06803085835650563,0.0005550201050937176,-0.0013951574731618165,-0.004572617784142494,-0.007589887417852878,0.0,0.0,0.0,0.0,-0.007870761714875697,-0.002868464924395084,-0.003645634576678276,0.0,-0.00283233180642128,-0.018652549032121896,1.0,0.0
Ccdc162,0.7546196724660694,0.0,0.06299830835312605,0.0,0.001978110419586301,0.0,0.04967258204706013,0.0,0.0,0.0,0.0026723631378263234,0.0,0.0,0.05609117637388408,-0.0007427627593278884,-0.0018817240744829179,-0.0024615851044654845,0.0,0.0,-0.005311631262302398,0.03022368710488081,-0.012949945218861104,-0.031191186532378196,0.0,0.0,0.0,0.0005915549956262111,-0.007446868568658829,0.0,0.0,-0.161416427064687,0.016029704939574004,0.0,0.0,0.0031331044808030127,0.0,0.07188011505641043,0.0,0.02347122478298843,0.29160054767504334,0.0,0.047627896666526795,0.06988335464149714,0.0,-0.017363996244966984,0.0,-0.002959616929292679,0.0,0.10642345756292343,0.0016650603059679269,0.01299392524175346,0.027735212920233607,-0.0027692832425236704,0.0,0.0,0.0,0.0,0.03263895470649004,-0.0012293421104550362,-0.003645634576678276,0.0,-0.0008092376589775085,-0.0072481479868292805,1.0,2.0
Natd1,-0.19958739469759165,0.0,-0.02363724270835519,0.0,-0.003872484443709254,0.0,-0.027547315349802374,0.0,0.0,0.0,-0.014430760787799955,0.0,0.0,0.049746763873845336,-0.0007427627593278884,-0.005184711888432503,-0.0060513967275619505,0.0,0.0,-0.005311631262302398,0.08084721503779292,-0.016403264068067074,-0.07317536391317844,0.0,0.0,0.0,0.0,-0.017674121111631393,0.0,0.0,0.04722285859286785,-0.013683894388377667,0.0,0.0,-0.0055568268150091174,0.0,0.008208283721469343,0.0,-0.004602710558101535,-0.07830745361745357,0.0,-0.03271013241261244,-0.005573332943022251,0.0,-0.03136710627004504,0.0,0.38726539924740794,0.0,0.07589610784314572,-0.009019076628610491,-0.0052086566854268315,-0.008070058757439255,-0.007589887417852878,0.0,0.0,0.0,0.0,-0.022508355733007194,-0.002868464924395084,-0.003645634576678276,0.0,-0.00283233180642128,-0.014126668088138103,1.0,0.0
