gene_name,gene_length.meta,18mo.2mo.contact.log_ratio.min.20kb-5Mb.enhancer_DMR,count.enhancer_DMR,18mo.2mo.contact.log_ratio.mean.20kb-5Mb.enhancer_DMR,9mo.2mo.activity.log_ratio.max.5kb-20kb.enhancer_DMR,9mo.2mo.activity.log_ratio.median.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.max.5kb-20kb.enhancer_peak,18mo.2mo.activity.log_ratio.mean.5kb-20kb.enhancer_peak,18mo.9mo.contact.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.count.5kb-20kb.enhancer_peak,18mo.2mo.activity.log_ratio.min.5kb-20kb.enhancer_peak,18mo.2mo.contact.log_ratio.median.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.median.0-5kb.enhancer_peak,18mo.9mo.contact.log_ratio.mean.20kb-5Mb.enhancer_peak,9mo.2mo.activity.log_ratio.min.20kb-5Mb.enhancer_peak,18mo.9mo.contact.log_ratio.std.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.max.5kb-20kb.enhancer_peak,9mo.2mo.activity.log_ratio.mean.20kb-5Mb.enhancer_peak,9mo.2mo.contact.log_ratio.max.20kb-5Mb.enhancer_peak,9mo.2mo.activity.log_ratio.count.0-5kb.enhancer_peak,18mo.2mo.activity.log_ratio.min.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.mean.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.median.20kb-5Mb.enhancer_peak,count.DAR,18mo.2mo.log_ratio.DAR,18mo.9mo.log_ratio.DAR,18mo.2mo.log_ratio.DMR,count.DMR,rel_pos.DMR,18mo.9mo.Q.std.loops,loop_size.log.max.loops,18mo.9mo.Q.min.loops,18mo.9mo.Q.mean.loops,9mo.2mo.Q.mean.loops,9mo.2mo.Q.min.loops,loop_size.log.median.loops,18mo.2mo.T.min.loops,min_distance.log.std.loops,min_distance.log.mean.loops,min_distance.log.median.loops,18mo.2mo.T.max.loops,18mo.9mo.T.mean.loops,loop_size.log.mean.loops,18mo.2mo.Q.std.loops,18mo.2mo.T.median.loops,min_distance.log.min.loops,loop_size.log.min.loops,Tanova.median.loops,18mo.2mo.log_ratio.mcg_genebody,18mo.2mo.log_ratio.mch_genebody,9mo.2mo.log_ratio.mch_genebody,log2_distance.std.atac,log2_distance.min.atac,18mo.2mo.log_ratio.mean.atac,18mo.2mo.log_ratio.max.atac,log2_distance.max.atac,9mo.2mo.log_ratio.mean.atac,count.atac,18mo.9mo.log_ratio.max.atac,9mo.2mo.log_ratio.min.atac,9mo.2mo.log_ratio.std.atac,9mo.2mo.log_ratio.max.atac,DEG,pred
Mcmdc2,-0.01239137513563037,-0.011510944096371531,0.0,0.0,-0.010773750925436617,0.0,0.0,-0.0008601325750350952,-0.09651335131376981,0.0,-0.005197685733437538,0.0,0.0008436776697635651,0.0,0.0,0.0,0.0,0.0,-0.009190341159701347,0.003521342193707824,0.0,-0.12082542780786752,-0.16648524794727565,-0.08056232132017613,-0.023818866051733494,-0.09601348467171192,0.0,0.0,0.0,0.0,-0.0435187760181725,0.001521364999935031,0.0,-0.0006836808286607265,-0.0004084578901529312,-0.000745188295841217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03413383041042835,-0.015593091305345298,0.0,0.0,0.005797225637361407,0.0,0.02033950448036194,0.07743831928819418,-0.051060930914245545,0.03639623468741775,0.0,-0.04603005487471819,0.0,0.0,-0.08551919035613537,0.002361571192741394,0.0,0.0,0.0,0.0,1.0,1.0
Lrrc51,-0.003889263737946749,-0.00044539538212120535,0.0,0.0,-0.010773750925436617,0.0,0.0,0.0019352982938289642,0.07913213182240725,0.0,0.011003428734838963,0.0,0.0009139841422438622,0.0,0.0,0.0,0.0,0.0,0.00584839891642332,0.008498385846614838,0.0,0.0512463004887104,0.0451417975127697,0.014543446227908135,-0.023818866051733494,0.07688277376815676,0.0,0.0,0.0,0.0,-0.01989712843671441,-0.002405879534780979,0.0,-0.0005127606168389321,-0.0004084578901529312,0.007451882958412171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03460767429322004,0.0,0.0,0.0,0.017643248736858366,0.0,-0.0041020849347114564,0.18088540436699987,0.17414815561845898,0.11443427946418523,0.0,0.006535693723708391,0.0,0.0,0.03138627503067255,0.010627070367336273,0.0,0.0,0.0,0.0,1.0,0.0
Slc39a7,0.00786897549405694,-0.00029125121887773275,0.0,0.0,-0.00434334462042898,0.0,0.0,-0.0014514737203717232,-0.05469345666002482,0.0,-0.003268161527812481,0.0,0.0009139841422438622,0.0,0.0,0.0,0.0,0.0,0.00584839891642332,0.008498385846614838,0.0,0.035807632021605966,0.05178971365094185,0.005978599982336163,0.041619255095720294,0.04398847801610827,0.0,0.0,0.0,0.0,-0.02732345974072814,-0.002405879534780979,0.0,-0.000341840423643589,-0.0004084578901529312,-0.0004967921972274781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.10611187238246203,0.0,0.0,0.0,0.017643248736858366,0.0,0.004785765763372183,0.2018504539038986,0.10456020501907914,-0.14804196272045375,0.0,0.006535693723708391,0.0,0.0,0.009958636406809091,0.0014759819954633714,0.0,0.0,0.0,0.0,1.0,0.0
Hjurp,0.00786897549405694,-0.0024911270570009947,0.0,0.0,-0.010773750925436617,0.0,0.0,-0.0014514737203717232,-0.09448346786201,0.0,-0.004327412508428097,0.0,0.0008436776697635651,0.0,0.0,0.0,0.0,0.0,-0.009190341159701347,0.008498385846614838,0.0,0.0512463004887104,0.028602435998618603,0.022203440219163893,-0.023818866051733494,-0.06498553194105625,0.0,0.0,0.0,0.0,-0.04430692315101623,0.0009198951162397861,0.0,-0.0005127606168389321,-0.0004084578901529312,-0.000745188295841217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.056363849313929675,0.0,0.0,0.0,0.017643248736858366,0.0,-0.0041020849347114564,0.08540553281083703,0.15279811977408828,-0.11211485955864191,0.0,-0.015809384398162363,0.0,0.0,0.009958636406809091,-0.015497810952365399,0.0,0.0,0.0,0.0,1.0,1.0
Tecr,-0.003889263737946749,-0.0002348441444337368,0.0,0.0,0.015173502620309592,0.0,0.0,0.0019352982938289642,0.07913213182240725,0.0,0.00864125855267048,0.0,-0.007874324917793274,0.0,0.0,0.0,0.0,0.0,0.00584839891642332,0.008498385846614838,0.0,0.0512463004887104,0.04911613509058952,0.014543446227908135,-0.018178158402442933,-0.05556446462869644,0.0,0.0,0.0,0.0,-0.0188520173355937,0.0009198951162397861,0.0,-0.0005127606168389321,-0.0004084578901529312,-0.0004967921972274781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07047250349074602,0.0,0.0,0.0,0.017643248736858366,0.0,-0.0041020849347114564,0.14493465669453143,0.14694478278979659,-0.11211485955864191,0.0,-0.010961113963276148,0.0,0.0,0.009958636406809091,0.010627070367336273,0.0,0.0,0.0,0.0,1.0,0.0
Macrod1,-0.004703295733779669,-0.00038423902820795776,0.0,0.0,-0.00434334462042898,0.0,0.0,0.011235481761395931,0.08340987374074757,0.0,-0.006718517579138279,0.0,0.002320113591849804,0.0,0.0,0.0,0.0,0.0,0.028824251741170884,0.00604819088242948,0.0,0.03363627210259437,0.07819447707384825,0.021885397508740426,0.041619255095720294,0.05794116212055087,0.0,0.0,0.0,0.0,0.08270920665934682,0.004705617325380444,0.0,-0.0005127606168389321,-0.0007148013077676297,0.015400558114051818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10171777253970504,0.0,0.0,0.0,0.006048797471448779,0.0,-0.0041020849347114564,-0.2998596914298832,-0.09384924761950969,0.04352406939491629,0.0,0.02941690307110548,0.0,0.0,0.011189016234129667,0.010627070367336273,0.0,0.0,0.0,0.0,1.0,0.0
Eps8,-0.004703295733779669,-0.0025841148663312196,0.0,0.0,-0.010773750925436617,0.0,0.0,-0.002419122867286205,-0.06405324462335557,0.0,0.04566342819482088,0.0,0.0008436776697635651,0.0,0.0,0.0,0.0,0.0,-0.04720493413507938,0.003999394658021629,0.0,-0.07070254379883409,-0.16098399445414543,-0.05681037813425064,-0.01564453974366188,-0.0504680775012821,0.0,0.0,0.0,0.0,0.11489617655053735,0.001521364999935031,0.0,-0.0017092020623385906,-0.004595151264220476,-0.00496792197227478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03908245556056499,-0.015593091305345298,0.0,0.0,0.004287794632837176,0.0,-0.013759076558053494,-0.38634832178708167,-0.22213246555998922,0.0355921115539968,0.0,-0.04603005487471819,0.0,0.0,0.011189016234129667,0.002361571192741394,0.0,0.0,0.0,0.0,1.0,2.0
Rgs22,-0.004703295733779669,-0.0025841148663312196,0.0,0.0,-0.010773750925436617,0.0,0.0,-0.002419122867286205,-0.06405324462335557,0.0,-0.031099309735000132,0.0,0.0008436776697635651,0.0,0.0,0.0,0.0,0.0,-0.04720493413507938,0.003999394658021629,0.0,-0.025168041829019785,-0.18361205104738473,-0.05681037813425064,-0.01564453974366188,-0.0504680775012821,0.0,0.0,0.0,0.0,0.11489617655053735,-0.008739003604277968,0.0,-0.0017092020623385906,-0.004595151264220476,-0.00496792197227478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014590480513870716,-0.015593091305345298,0.0,0.0,0.006048797471448779,0.0,-0.013759076558053494,-0.4767244630819187,-0.20582490833476186,0.0355921115539968,0.0,0.025949605740606785,0.0,0.0,0.011189016234129667,0.002361571192741394,0.0,0.0,0.0,0.0,1.0,1.0
Eif3g,0.00786897549405694,-0.0024911270570009947,0.0,0.0,-0.010773750925436617,0.0,0.0,0.0019352982938289642,0.05300725005567074,0.0,0.011003428734838963,0.0,0.0005624517798423767,0.0,0.0,0.0,0.0,0.0,0.00584839891642332,0.008498385846614838,0.0,0.008720280439592897,0.04911613509058952,0.007780840061604977,-0.023818866051733494,-0.05514262579381466,0.0,0.0,0.0,0.0,-0.018449960667639972,0.0009198951162397861,0.0,-0.0006836808286607265,-0.0004084578901529312,-0.0004967921972274781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06502603396773338,0.0,0.0,0.0,0.017643248736858366,0.0,0.02033950448036194,0.14729682710021735,0.14374484236352145,-0.11211485955864191,0.0,-0.010961113963276148,0.0,0.0,0.009958636406809091,-0.017711783945560455,0.0,0.0,0.0,0.0,1.0,1.0
Ptbp1,0.00786897549405694,-0.00044539538212120535,0.0,0.0,-0.010773750925436617,0.0,0.0,-0.0014514737203717232,0.12591877260245382,0.0,0.00864125855267048,0.0,0.0008436776697635651,0.0,0.0,0.0,0.0,0.0,0.00584839891642332,0.008498385846614838,0.0,0.04218752922490239,0.0655889680981636,0.022203440219163893,-0.023818866051733494,-0.09601348467171192,0.0,0.0,0.0,0.0,-0.020882235020399095,0.0017690290696918964,0.0,-0.000341840423643589,-0.0004084578901529312,-0.0004967921972274781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07117556843906642,0.0,0.0,0.0,0.017643248736858366,0.0,0.004785765763372183,0.09180808526929468,0.14353882713243366,0.0864391341432929,0.0,0.010647252611815929,0.0,0.0,0.03138627503067255,0.010627070367336273,0.0,0.0,0.0,0.0,1.0,0.0
