gene_name,gene_length.meta,18mo.2mo.contact.log_ratio.min.20kb-5Mb.enhancer_DMR,count.enhancer_DMR,18mo.2mo.contact.log_ratio.mean.20kb-5Mb.enhancer_DMR,9mo.2mo.activity.log_ratio.max.5kb-20kb.enhancer_DMR,9mo.2mo.activity.log_ratio.median.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.max.5kb-20kb.enhancer_peak,18mo.2mo.activity.log_ratio.mean.5kb-20kb.enhancer_peak,18mo.9mo.contact.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.count.5kb-20kb.enhancer_peak,18mo.2mo.activity.log_ratio.min.5kb-20kb.enhancer_peak,18mo.2mo.contact.log_ratio.median.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.median.0-5kb.enhancer_peak,18mo.9mo.contact.log_ratio.mean.20kb-5Mb.enhancer_peak,9mo.2mo.activity.log_ratio.min.20kb-5Mb.enhancer_peak,18mo.9mo.contact.log_ratio.std.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.max.5kb-20kb.enhancer_peak,9mo.2mo.activity.log_ratio.mean.20kb-5Mb.enhancer_peak,9mo.2mo.contact.log_ratio.max.20kb-5Mb.enhancer_peak,9mo.2mo.activity.log_ratio.count.0-5kb.enhancer_peak,18mo.2mo.activity.log_ratio.min.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.mean.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.median.20kb-5Mb.enhancer_peak,count.DAR,18mo.2mo.log_ratio.DAR,18mo.9mo.log_ratio.DAR,18mo.2mo.log_ratio.DMR,count.DMR,rel_pos.DMR,18mo.9mo.Q.std.loops,loop_size.log.max.loops,18mo.9mo.Q.min.loops,18mo.9mo.Q.mean.loops,9mo.2mo.Q.mean.loops,9mo.2mo.Q.min.loops,loop_size.log.median.loops,18mo.2mo.T.min.loops,min_distance.log.std.loops,min_distance.log.mean.loops,min_distance.log.median.loops,18mo.2mo.T.max.loops,18mo.9mo.T.mean.loops,loop_size.log.mean.loops,18mo.2mo.Q.std.loops,18mo.2mo.T.median.loops,min_distance.log.min.loops,loop_size.log.min.loops,Tanova.median.loops,18mo.2mo.log_ratio.mcg_genebody,18mo.2mo.log_ratio.mch_genebody,9mo.2mo.log_ratio.mch_genebody,log2_distance.std.atac,log2_distance.min.atac,18mo.2mo.log_ratio.mean.atac,18mo.2mo.log_ratio.max.atac,log2_distance.max.atac,9mo.2mo.log_ratio.mean.atac,count.atac,18mo.9mo.log_ratio.max.atac,9mo.2mo.log_ratio.min.atac,9mo.2mo.log_ratio.std.atac,9mo.2mo.log_ratio.max.atac,DEG,pred
Mcmdc2,-0.25451648239046337,0.003351483456790447,-0.01143013060092926,0.0006089287064969539,0.015801240112632512,0.0,0.0,-0.043035827800631525,0.005779374968260527,0.0,-0.004618597580119967,0.0,0.0,-0.032258211337029934,-0.00227755531668663,-0.02092934099957347,-0.01773252885788679,0.12053847080096602,-0.0012952815555036068,-0.00382015286013484,-0.06587423142511398,0.22504150558263064,0.30389440346509217,0.0,0.0,0.0009783443436026573,0.00040893204510211945,0.0,0.0,0.0,0.029227756215259432,0.0,0.0,-0.011814426258206367,0.011190853747539222,0.0,0.006796506997197867,-0.017536638677120207,0.0,0.0,-0.00047850104048848154,-0.07008388374000787,-0.0034652344509959222,0.0,-0.021912693716585635,0.0,-0.0002709434926509857,0.0,-0.14559633478522302,-0.012045425847172737,0.004604841750115156,0.015900607965886594,-0.059140658229589464,0.0,0.0,0.03835417725145817,0.0,0.1288265934586525,0.0,-0.012370666153728962,0.0,-0.02947880234569311,0.09198148130439222,1.0,1.0
Lrrc51,-0.33309081113897265,-0.0003086892701685429,-0.01143013060092926,0.0006089287064969539,0.0018952378071844579,0.0,0.0,-0.043035827800631525,-0.008256249912083149,0.0,-0.0015302582341246308,0.0,0.0,-0.0038396644219756124,-0.00227755531668663,-0.0330150380730629,-0.01773252885788679,-0.0889805006235838,-0.008419330082833767,-0.009972740225493907,-0.03383187282830477,-0.07742065129801631,-0.06636923287063837,0.0,0.0,0.0006522295810282231,0.00040893204510211945,0.0,0.0,0.0,0.030320449788123368,0.0,0.0,-0.011814426258206367,0.005566957737319172,0.0,-0.00044689400121569636,-0.017536638677120207,0.0,0.0,-0.00047850104048848154,-0.07425696380436421,-0.0034652344509959222,0.0,-0.02761733554303646,0.0,-0.0008128304779529571,0.0,-0.11565186457708478,0.003179829833097756,-0.019894034899771214,-0.009704237766563893,-0.059140658229589464,0.0,0.0,-0.035068817138671875,0.0,-0.045106278927996755,0.0,-0.012370666153728962,0.0,-0.03785786367952824,-0.035320444144308565,1.0,0.0
Slc39a7,-0.3534844643250108,-0.0008819693140685558,-0.01143013060092926,0.0006089287064969539,-0.005687727145850658,0.0,0.0,0.03663773700594902,0.005779374968260527,0.0,0.0020867157727479935,0.0,0.0,-0.00779482301324606,-0.00227755531668663,-0.0330150380730629,-0.016711662895977496,0.10194215198978782,-0.0012952815555036068,-0.00382015286013484,-0.03383187282830477,-0.08134991014376283,-0.06211183562874794,0.0,0.0,0.0006522295810282231,0.00040893204510211945,0.0,0.0,0.0,0.030841130083426833,0.0,0.0,0.007088655754923821,0.008948739622719587,0.0,-0.00044689400121569636,-0.017536638677120207,0.0,0.0,-0.00047850104048848154,-0.07425696380436421,-0.0034652344509959222,0.0,-0.026243762820959093,0.0,-0.0008128304779529571,0.0,-0.15707742065191269,-0.02266782066319138,-0.011505331750959158,-0.027290759924799204,-0.058465548157691956,0.0,0.0,-0.03871361400932074,0.0,-0.045106278927996755,0.0,-0.012370666153728962,0.0,-0.03785786367952824,-0.035320444144308565,1.0,0.0
Hjurp,-0.36658828511834146,-0.0008819693140685558,0.022547106817364694,0.0006089287064969539,0.004094728110358119,0.0,0.0,0.044723791852593425,0.005779374968260527,0.0,0.0072061251383274795,0.0,0.0,0.00251228179782629,-0.00227755531668663,-0.030571389365941285,0.046308750994503496,0.10668762324377895,-0.0012952815555036068,-0.00382015286013484,0.0378915835916996,-0.08332004663534462,-0.07434485711157322,0.0,0.0,0.0014131640642881394,0.0008178640902042389,0.0,0.0,0.0,0.030841130083426833,0.0,0.0,0.004725770503282547,0.012654847977682949,0.0,-0.03022373721934855,-0.0037578512728214265,0.0,0.0,-0.00047850104048848154,-0.04428832959383726,-0.0034652344509959222,0.0,0.04601669428870082,0.0,-0.0008128304779529571,0.0,-0.14263956185430288,0.016048399177379907,0.008348397761583328,-0.029221609812229873,-0.07399307981133461,0.0,0.0,0.042917129062116144,0.0,-0.059448614083230496,0.0,-0.012370666153728962,0.0,-0.03785786367952824,-0.03787918988615274,1.0,1.0
Tecr,-0.3209196835011244,-0.0003086892701685429,-0.01143013060092926,0.0006089287064969539,-0.019827444721013308,0.0,0.0,-0.043035827800631525,-0.008256249912083149,0.0,-0.004618597580119967,0.0,0.0,0.00251228179782629,0.11134714893996715,-0.030571389365941285,0.045287885032594205,-0.08461605284363032,-0.008419330082833767,-0.009972740225493907,-0.05580218468327075,-0.030702043222263456,-0.06606699422001838,0.0,0.0,0.0009783443436026573,0.00040893204510211945,0.0,0.0,0.0,0.026713005090132354,0.0,0.0,0.007088655754923821,0.005566957737319172,0.0,-0.022980336220934986,-0.017536638677120207,0.0,0.0,-0.00047850104048848154,-0.04428832959383726,-0.0034652344509959222,0.0,0.04527769891545177,0.0,-0.0008128304779529571,0.0,-0.07459678091108798,-0.0006650406285189092,-0.012380228266119958,-0.009704237766563893,-0.058465548157691956,0.0,0.0,0.0172801402467303,0.0,0.07874963268637657,0.0,-0.012370666153728962,0.0,-0.01682571731507778,0.07551118835574017,1.0,0.0
Macrod1,0.8658527447469533,-8.819693699479104e-05,0.056367766931653025,0.0016745539754629134,0.004013929720968008,0.0,0.0,-0.043035827800631525,-0.01293479161337018,0.0,-0.0015302582341246308,0.0,0.0,-0.0056170130521059035,-0.00227755531668663,-0.018167647626250984,0.045287885032594205,-0.10400426339358092,-0.008419330082833767,-0.009972740225493907,-0.01781320706009865,0.057691291514784096,-0.040113695152103904,0.0,0.0,0.0006522295810282231,0.0008178640902042389,0.0,0.0,0.0,-0.08360168469604105,0.0,0.0,0.04286948956549168,0.006182392123155296,0.0,-0.028136669350788,-0.006576239503920079,0.0,0.0,-0.0032298819813877345,-0.04846140965819359,-0.0015401042066514492,0.0,-0.03675156949087977,0.0,0.0,0.0,-0.11495606537908315,0.002734249089844525,0.008348397761583328,0.005374760404229164,-0.008270543348044158,0.0,0.0,-0.018235287573188545,0.0,-0.045106278927996755,0.0,-0.005498073846101761,0.0,-0.03785786367952824,-0.027586238253861667,1.0,0.0
Eps8,0.708654137775302,-8.819693699479104e-05,0.022547106817364694,0.0016745539754629134,0.015801240112632512,0.0,0.0,0.03658158384263516,0.0066049999743700025,0.0,-0.0015302582341246308,0.0,0.0,0.010403098706156015,-0.0007591851055622101,0.03753900751471519,-0.0048792588338255885,-0.03714415478985757,0.13600456271320582,-0.0034321868978440763,0.04225267618894577,0.10930480631068348,0.17003110367804766,0.0,0.0,0.0014131640642881394,0.0008178640902042389,0.0,0.0,0.0,-0.13826637487858534,0.0,0.0,-0.07156166762113571,-0.07816846353001893,0.0,-0.08651381699368357,-0.0037578512728214265,0.0,0.0,-0.0032298819813877345,0.052050035977736116,-0.0015401042066514492,0.0,-0.014916242901235818,0.0,0.0,0.0,0.18682255822699517,-0.0054090377362445,0.09403605102561415,0.004657853720709681,-0.020422524642199277,0.0,0.0,-0.035068817138671875,0.0,-0.06254861641675234,0.0,-0.005498073846101761,0.0,-0.012619287893176078,-0.025167991984635592,1.0,2.0
Rgs22,0.7377951273322105,-0.0001322953961789608,0.013778788000345231,0.0016745539754629134,0.015801240112632512,0.0,0.0,0.03658158384263516,0.0066049999743700025,0.0,0.0020867157727479935,0.0,0.0,0.00251228179782629,-0.00227755531668663,-0.011504031009972096,-0.006808454990386963,0.04203656695783138,0.03173439856618643,0.03095769349485636,0.05942165542393923,-0.05336112270131707,0.10392951246351004,0.0,0.0,0.0032611478120088576,0.0008178640902042389,0.0,0.0,0.0,-0.13826637487858534,0.0,0.0,-0.07156166762113571,-0.057472545672208074,0.0,-0.049033710695803166,0.013778788000345231,0.0,0.0,-0.0032298819813877345,0.15872352086007596,-0.0015401042066514492,0.0,-0.021684532407671212,0.0,0.0,0.0,-0.09927571717184037,0.04656692332122475,0.016266032420098782,0.028155003376305103,-0.020422524642199277,0.0,0.0,-0.03871361400932074,0.0,0.11077033761888742,0.0,-0.005498073846101761,0.0,-0.03785786367952824,-0.03723384039476514,1.0,1.0
Eif3g,-0.2666639723163098,-0.0003086892701685429,-0.01143013060092926,-0.00334910798817873,0.0018952378071844579,0.0,0.0,-0.043035827800631525,-0.004403333365917206,0.0,-0.004618597580119967,0.0,0.0,-0.00779482301324606,-0.00227755531668663,-0.0330150380730629,-0.01773252885788679,-0.08461605284363032,-0.008419330082833767,-0.009972740225493907,-0.03759891462977975,-0.0687963019311428,-0.062414074279367925,0.0,0.0,0.0006522295810282231,0.00040893204510211945,0.0,0.0,0.0,-0.019052694763522594,0.0,0.0,-0.007426210790872574,0.005566957737319172,0.0,-0.00044689400121569636,-0.017536638677120207,0.0,0.0,-0.0013158778520300984,-0.07425696380436421,-0.0034652344509959222,0.0,-0.02761733554303646,0.0,-0.0008128304779529571,0.0,-0.1074226114153862,-0.0006650406285189092,-0.019894034899771214,-0.009704237766563893,-0.06791708916425705,0.0,0.0,0.03835417725145817,0.0,-0.045106278927996755,0.0,-0.012370666153728962,0.0,-0.02947880234569311,0.09735939363017679,1.0,1.0
Ptbp1,-0.28165962137281897,-0.0003086892701685429,-0.01143013060092926,0.0003044643625617027,-0.0028539332188665867,0.0,0.0,-0.0357359167188406,-0.004403333365917206,0.0,-0.004618597580119967,0.0,0.0,0.00251228179782629,-0.00227755531668663,0.12155466672033072,-0.01773252885788679,-0.06923226112499833,-0.008419330082833767,-0.009972740225493907,-0.03383187282830477,-0.0764669015724212,-0.05142306024208665,0.0,0.0,0.0006522295810282231,0.0008178640902042389,0.0,0.0,0.0,-0.020879480957519264,0.0,0.0,-0.011814426258206367,0.005890984078869224,0.0,-0.03022373721934855,-0.017536638677120207,0.0,0.0,-0.0013158778520300984,-0.05599212061613798,-0.0034652344509959222,0.0,0.04318875024095178,0.0,-0.0008128304779529571,0.0,-0.12948724251240493,-0.007178806874435395,0.008348397761583328,-0.009704237766563893,-0.059140658229589464,0.0,0.0,0.03835417725145817,0.0,-0.04200627659447491,0.0,-0.012370666153728962,0.0,-0.03785786367952824,-0.03542800238355994,1.0,0.0
