gene_name,gene_length.meta,18mo.2mo.contact.log_ratio.max.20kb-5Mb.enhancer_DMR,18mo.9mo.activity.log_ratio.max.5kb-20kb.enhancer_DMR,9mo.2mo.activity.log_ratio.min.5kb-20kb.enhancer_DMR,18mo.2mo.contact.log_ratio.min.20kb-5Mb.enhancer_DMR,18mo.2mo.contact.log_ratio.mean.20kb-5Mb.enhancer_DMR,9mo.2mo.activity.log_ratio.max.5kb-20kb.enhancer_DMR,18mo.9mo.contact.log_ratio.mean.20kb-5Mb.enhancer_DMR,18mo.9mo.contact.log_ratio.min.20kb-5Mb.enhancer_DMR,count.enhancer_DMR,9mo.2mo.activity.log_ratio.median.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.min.5kb-20kb.enhancer_peak,18mo.9mo.activity.log_ratio.max.20kb-5Mb.enhancer_peak,9mo.2mo.contact.log_ratio.std.20kb-5Mb.enhancer_peak,9mo.2mo.activity.log_ratio.mean.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.max.5kb-20kb.enhancer_peak,18mo.2mo.activity.log_ratio.mean.5kb-20kb.enhancer_peak,18mo.2mo.activity.log_ratio.count.0-5kb.enhancer_peak,18mo.9mo.activity.log_ratio.median.0-5kb.enhancer_peak,18mo.9mo.contact.log_ratio.std.20kb-5Mb.enhancer_peak,18mo.2mo.contact.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.mean.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.max.0-5kb.enhancer_peak,9mo.2mo.contact.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.9mo.contact.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.count.5kb-20kb.enhancer_peak,9mo.2mo.activity.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.9mo.contact.log_ratio.mean.20kb-5Mb.enhancer_peak,9mo.2mo.activity.log_ratio.min.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.max.5kb-20kb.enhancer_peak,9mo.2mo.activity.log_ratio.count.0-5kb.enhancer_peak,18mo.2mo.activity.log_ratio.min.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.median.20kb-5Mb.enhancer_peak,18mo.2mo.contact.log_ratio.median.20kb-5Mb.enhancer_peak,18mo.9mo.log_ratio.DAR,18mo.2mo.log_ratio.DAR,count.DAR,rel_pos.DAR,count.DMR,18mo.2mo.log_ratio.DMR,rel_pos.DMR,distance.log2.DMR,18mo.9mo.Q.std.loops,loop_size.log.max.loops,18mo.9mo.Q.mean.loops,18mo.9mo.T.median.loops,count.loops,18mo.2mo.T.max.loops,18mo.2mo.T.median.loops,9mo.2mo.T.min.loops,loop_size.log.min.loops,Tanova.median.loops,Tanova.min.loops,Tanova.max.loops,Qanova.mean.loops,9mo.2mo.Q.mean.loops,loop_size.log.median.loops,min_distance.log.std.loops,min_distance.log.mean.loops,18mo.9mo.T.mean.loops,Qanova.std.loops,18mo.2mo.Q.min.loops,Qanova.median.loops,18mo.2mo.T.min.loops,min_distance.log.median.loops,18mo.2mo.T.mean.loops,18mo.2mo.Q.std.loops,min_distance.log.min.loops,Qanova.max.loops,18mo.9mo.Q.min.loops,9mo.2mo.Q.min.loops,9mo.2mo.Q.max.loops,Tanova.mean.loops,9mo.2mo.Q.std.loops,loop_size.log.mean.loops,18mo.9mo.log_ratio.mcg_genebody,18mo.2mo.log_ratio.mcg_genebody,9mo.2mo.log_ratio.mcg_genebody,18mo.2mo.log_ratio.mch_genebody,9mo.2mo.log_ratio.mch_genebody,18mo.9mo.log_ratio.mch_genebody,18mo.2mo.log_ratio.mean.atac,18mo.2mo.log_ratio.max.atac,log2_distance.max.atac,9mo.2mo.log_ratio.min.atac,9mo.2mo.log_ratio.std.atac,count.atac,log2_distance.std.atac,log2_distance.min.atac,9mo.2mo.log_ratio.mean.atac,18mo.9mo.log_ratio.max.atac,18mo.9mo.log_ratio.mean.atac,9mo.2mo.log_ratio.max.atac
Rpl13,2894.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2008098946724568,0.7679370421319786,1,0.7922831447635625,0,0.0,0.0,0.0,0.0012968428842692,19.28771237954945,-3.492296206896556e-05,-0.0302946799999999,29,0.1594729599999999,-0.0126106799999999,-0.04013627,16.095067301607052,0.98098445,0.04956284,4.805007,1.481425196448276,0.0005855426241379,17.931568569324174,0.0,13.33734314727405,-0.028825793537931,1.538805682907777,-0.0013018236,0.7668838,-0.1170398206,13.33734314727405,0.0015309761172413,0.0017545300646201,13.33734314727405,5.483181,-0.0028384909999999,-0.0011259229,0.0031013699999999,1.49553294,0.0011547192508554,17.82599025224005,0.0333135515429073,0.070110306575737,0.0367967550328296,0.2430249207874819,0.127327804300311,0.1156971164871709,0.4997004998168521,0.7679370421319786,10.77807712953544,0.3742188280395808,0.1364067808091407,2,0.2080741976320057,10.483815777264358,0.4706729877495513,0.2008098946724568,0.0290275120673008,0.5671271474595218
A930005H10Rik,6549.0,0.0,0.0,0.0,-0.2630344058313891,-0.1315172029156945,0.0,-0.3827673731785181,-0.7655347463570363,12,-0.1796863624914446,0.0,0.1518162235089084,0.5643644239392334,-0.2316189484517434,0.0,0.0,1.0,0.0936589298088277,0.6935071594767043,0.4150374992668215,-0.2773742416822763,0.0936589298088277,0.5025003405256472,-0.027741182022817,0.9999999999278651,0.0,0.036441904496169,0.2925310609868091,-0.5758444568106653,0.0,2.0,-0.4856780025248681,-0.2649196858367171,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0198581307405217,0.0579864540199211,0.0381283232793994,0.1241424956999816,0.1428844504290929,-0.0187419547291112,-0.0533181221822499,0.0105444255655953,11.449148645375487,-0.2108395997389229,0.1386043397198741,2,0.2153072284447601,11.144658242831946,-0.112831531221116,0.0936589298088277,0.059513409038866,-0.014823462703309
Med16,14215.0,-0.1443899093344516,0.1348133330011475,-0.2191717411568538,-0.6674246609099859,-0.4059072851222187,0.0538905472572416,-0.0971474075803038,-0.1202942337172103,9,-0.0111039015569089,0.05185915199187,0.1071337910595984,0.2635137942181864,-0.0074890586774414,0.0346457018572459,0.05185915199187,0.0,0.0203322983721543,0.2690558965304356,0.415037499274836,0.022142965152879,0.0203322983721543,0.4150374992728327,0.0916957309679711,0.5849625007151449,4.0,0.0496324309875628,0.2592576827342328,-0.0573808625835106,0.05185915199187,0.0,-0.0465746025522424,0.0213077670429084,0.1926450779415374,0.16484230718808,0.5802197517901289,1,0.4450178424375515,1,-0.4208431209011753,0.2295360966236618,12.029632328044173,0.0009179215765934,16.485970779443274,0.0020249425666666,0.01222792,15,0.12304751,0.0128736799999999,-0.05680119,15.500872993244906,0.6068831,0.02183024,2.6435673,2.126643878,0.0005397324333333,16.018221916460465,0.2753442230049789,13.66460030094301,0.0205111332666666,1.00421060174348,0.0007940989999999,2.4661016,-0.06803166,13.633449374713493,0.0188201985999999,0.0011510346458239,13.415081526165672,3.3183873,0.0007910299999999,-0.002138456,0.002614322,0.7204750148,0.0014776422004962,15.991422004900905,0.0362737234720118,0.0278644993975272,-0.0084092240744845,-0.0340020282469161,-0.010587660871912,-0.0234143673750041,0.2401376369647121,0.5802197517901289,13.076982565981176,-0.1045945816625617,0.256933042725473,4,1.1291543739089702,10.900112062977533,0.1076736208542538,0.2720078558345419,0.1324640161104583,0.4153774446020488
Irf9,6459.0,0.3719687773850291,0.1647550113487977,-0.117875320332888,0.3719687773850291,0.3719687773850291,0.1978879019395542,0.280682546739615,-0.2630344058325917,13,-0.0225926217727296,-0.1003396805507175,0.1089545185417271,0.5289187986955617,-0.0270465463431381,0.0913132000929755,-0.0562210635543449,1.0,-0.0070535894227532,0.3426906381938862,0.4556794837750733,0.0581379722789934,-0.0070535894227532,0.5849625007171486,0.3465297193572429,0.584962500716347,2.0,0.1195020481477588,0.1029146345653161,-0.1453604109747663,0.0072482652920067,1.0,-0.1739016862093914,0.0754026474837781,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.000591780929689,18.93156856932417,-0.0002652762857142,-0.037787532,14,0.07657544,-0.0130996749999999,-0.06646567,15.78338196224744,0.6147128,0.12773426,2.3779254,0.3853904969285714,-4.8438950000000025e-05,18.416048779900397,0.0291208418482146,13.52628747670668,-0.0416554731428571,0.3143528304781762,-0.001709076,0.30097415,-0.138754174,13.526287476706678,-0.0219823270714285,0.0005121435674134,13.498225931349918,0.98253417,-0.0011358889999999,-0.0015577769999999,0.0007962682,0.8373006857142856,0.0005912297198161,17.793887550330204,-0.0239471772373475,-0.0270704219610447,-0.0031232447236971,0.0328258795282683,-0.0219473336601787,0.0547732131884471,0.1176068357503501,0.1176068357503501,11.14656867574085,0.1246604251731033,0.0,1,0.0,11.14656867574085,0.1246604251731033,-0.0070535894227532,-0.0070535894227532,0.1246604251731033
Trpm3,856364.0,0.0,0.0738286246486653,-0.0774309508037532,0.0,0.0,0.0198920893779661,0.0,0.0,4,-0.0795891490160838,0.0715532587740255,0.2838476098412767,0.343150639833,-0.0629344480046608,-0.1555282309913797,0.0715532587740255,1.0,-0.5782791757052466,0.2712620294753187,0.530514716696314,-0.0025615665485637,-0.5782791757052466,-0.1375035237486233,0.1734880053526497,0.3785116232504006,1.0,0.1478133441972704,0.1292257764166264,-0.2205964307813857,0.0715532587740255,1.0,-0.1646660590379647,-0.0130139408938589,0.0824621601915014,-0.2144622949518644,-0.5115913894435647,14,0.6516275567804352,3,-0.2136082871826279,0.904057060517608,16.033295228950028,0.0010382939227152,19.863989613410425,0.0005326493399658,0.031474017,585,0.20851503,0.01916242,-0.18825448,13.797458885915104,0.95268565,0.0010805416,9.170235,1.266181346539487,-0.0001250261001709,17.138091772090046,0.992472619772916,16.792168412332423,0.026935091072547,1.2056604123262114,-0.0022180062,0.88857764,-0.185753477,17.065068967556588,0.017938136248376,0.0009051418436615,13.536732889835417,7.196865,-0.0021821513,-0.0034953174999999,0.0024711425,1.382545944576752,0.0008777510958585,16.999957572939174,-0.0073979502581636,-0.0019400013872277,0.0054579488709359,-0.0057323427005352,-0.0126971983052697,0.0069648556047344,-0.3806577786299935,0.1552044560405194,18.59419701518964,-0.908034029779614,0.3118952355810931,53,2.0580260244383477,10.6803595235138,-0.1481339264170558,0.5659362695404406,-0.2325238522129377,0.6816473530635632
Nanp,9713.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0219204708972335,0.0211471218949028,-0.0007733490023307,0.1727349314508023,0.1274510287523658,0.0452839026984365,0.0614513501219342,0.1539446919346372,11.422064766172864,0.0185620106364514,0.0777940745853796,3,0.3301289068530648,10.763212366814484,0.0912620955163285,0.1353826812981857,-0.0298107453943942,0.173306134109368
Sorbs1,219026.0,0.2094533656283408,0.204311078850687,-0.1050532185014605,0.2094533656283408,0.2094533656283408,0.0910008100123354,0.4020984435700923,0.4020984435700923,3,0.1127251886214031,-0.178101120606376,0.0833734917033237,0.0,0.1127251886214031,-0.0475636341828329,-0.178101120606376,0.0,0.0,0.0453469964690608,0.0,0.1167545525252209,0.0,0.0,0.1167545525252209,0.0641303374194306,1.0,0.1127251886214031,0.0320651687097153,0.1127251886214031,-0.178101120606376,0.0,0.1167545525252209,0.1167545525252209,0.0,0.1955935913204131,0.5732230200574847,8,0.6379520401373878,7,-0.8757940665123731,0.667386831011424,14.98578629303144,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0146486915404922,-0.0219465358312371,-0.0072978442907449,-0.0942181591211148,-0.017288349534438,-0.0769298095866768,0.2482902519430602,1.0027795527612378,15.749240939022329,-0.1302372273028162,0.3073795931289868,18,1.352653391641636,11.613789464472626,0.2827398265689876,0.5826992699967004,-0.0344495746259274,0.8740257751569303
Dbt,36911.0,0.2630344058321907,0.0,0.0,0.2630344058321907,0.2630344058321907,0.0,0.9999999999919846,0.9999999999919846,6,-0.1803888006966372,-0.027741182022817,0.1423562559683926,1.1207377321523129,-0.1803888006966372,0.1104294241470933,-0.027741182022817,1.0,-0.2021101481533991,0.4628147946721146,0.628031222608413,-0.2068413475177625,-0.2021101481533991,0.0,-0.1026492248681569,1.584962500673066,1.0,-0.1447765113249701,0.9494890559796194,-0.2160010900683042,-0.027741182022817,1.0,-0.3889987753018715,-0.1678586949505107,0.0,-0.2621238818584454,-0.295714283021724,2,0.807020974918105,0,0.0,0.0,0.0,0.0016242815280544,18.960137721520944,0.0016593791846153,0.05743687,13,0.09501839,0.0284015799999999,-0.083956827,14.71821176577204,0.90694684,0.13989367,1.4263295,2.5032292335384616,-0.0002280913076923,15.518960445508393,0.4449855304682165,13.677516162266713,0.0352163129999999,2.558136082264235,-0.0006534185,1.8114102,-0.09429664,13.434367601668914,0.0128343769230769,0.0014154218371904,13.434367601668914,8.609522,-0.0002974881999999,-0.001327334,0.0007808939999999,0.8293328615384615,0.0006680452657062,16.4067971789255,0.0093591201964985,0.0178058492937085,0.00844672909721,0.0573055421240191,0.0475493092514282,0.0097562328725909,0.0668078864786592,0.9948175523575404,14.26971112114279,-1.585139186941663,0.5938324574084817,8,1.9786812476533604,9.154818109052355,-0.222469198379813,2.5799567392992038,0.2892770848584722,0.2711253350566575
Birc2,18837.0,1.3625700793721132,0.1174654691792976,0.0,-0.4150374992728327,0.5463822617551932,0.0,0.4591253169239773,-1.2630344058169625,21,-0.0827410680502696,0.0,0.0708825475215304,0.52439963480017,-0.1669962878125767,0.0,0.0,1.0,0.0973829078852028,1.1099873646672338,1.584962500673066,-0.2805163721516993,0.2868601292877453,0.8479969065485378,-0.1097383785514538,1.9068905955820687,0.0,0.0257251767030748,0.016322753112299,-0.5727425648087325,0.0,1.0,-0.6961811435470397,-0.2143157972575544,0.6315172029021694,0.2446325355804868,-0.4809918897852205,1,0.5929850680912554,0,0.0,0.0,0.0,0.0,16.838157513955796,-0.0002301873999999,0.07696915,1,0.13267596,0.13267596,0.05570681,16.838157513955796,2.4813035,2.4813035,2.4813035,1.2658181,0.0014038509999999,16.838157513955796,0.0,14.21856323619027,0.07696915,0.0,0.0011736635999999,1.2658181,0.13267596,14.21856323619027,0.13267596,0.0,14.21856323619027,1.2658181,-0.0002301873999999,0.0014038509999999,0.0014038509999999,2.4813035,0.0,16.838157513955796,0.0399623667617944,0.0781815696325918,0.0382192028707974,0.1540356460606742,0.0598928101507361,0.0941428359099381,-0.2360115109329288,-0.0468241712255448,13.18223914980686,-0.7256244253657074,0.2515502557561989,4,1.1700814715665495,10.434628227636829,-0.3910226272061293,0.2868601292877453,0.1550111162732005,-0.1179493983083057
Rbm33,102118.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0097794923881169,0.0,0.091759954285016,0.7674293107430765,-0.0590332520046397,0.0,0.0,1.0,0.1798778373243843,0.8717958249125101,1.1699250014222748,-0.0028943357274306,0.1798778373243843,0.9999999999639329,0.1077914490559441,0.7369655941469699,0.0,0.0103476953991572,-0.0876781352723209,-0.1972269438011933,0.0,1.0,-0.1054669895161772,-0.0069509012247448,0.1609640474400742,0.0,0.0,0,0.0,1,-0.7567288487845827,0.4074046153991123,15.399912068850115,0.0021389578904963,19.95661437830061,0.0015221359666666,0.07045222,36,0.20535116,0.073920835,-0.122819766,14.673032966961804,1.5213507000000002,0.08725969,6.1759834,3.280453382777777,5.6315341666666576e-05,19.666460754207183,0.4535916187687985,13.99309732333547,0.081347505,3.912806507516932,-0.0007807513999999,1.3396507999999998,-0.11593906,13.884265932291957,0.0749753026944444,0.0020087881673571,13.456867738380344,13.571317,-0.0014197557999999,-0.0013138256,0.0013098432999999,2.1794582719444446,0.0005831084184119,18.40103072491643,0.0196436848880141,0.0257690459940827,0.0061253611060685,0.1167003780891018,0.0819255956099194,0.0347747824791824,0.0027354368266533,0.0552908083957142,11.01471792986008,-0.1245870289286701,0.137534163143682,3,0.5462451480624595,9.930737337563034,-0.0258931802471059,0.1798778373243843,0.0286286170737592,0.1312047960883009
