,DEG,pred,score_0,score_1,score_2
Rpl13,1,1,0.4313354790210724,0.5265980958938599,0.042066410183906555
A930005H10Rik,1,1,0.32671743631362915,0.5580862164497375,0.11519630998373032
Med16,1,1,0.28122127056121826,0.6683932542800903,0.05038550868630409
Irf9,1,1,0.27947697043418884,0.6878308653831482,0.03269210830330849
Trpm3,1,2,0.15695112943649292,0.22805489599704742,0.6149939894676208
Nanp,1,1,0.3712795376777649,0.539514422416687,0.08920605480670929
Sorbs1,1,0,0.35116586089134216,0.30200815200805664,0.3468260169029236
Dbt,1,1,0.28760889172554016,0.559588611125946,0.152802512049675
Birc2,1,1,0.26783207058906555,0.5366610884666443,0.19550682604312897
Rbm33,1,0,0.43642932176589966,0.38866886496543884,0.1749018281698227
Med15,1,0,0.4229821264743805,0.4007982015609741,0.1762196272611618
Gm10785,1,0,0.6898549795150757,0.289637953042984,0.020507076755166054
Slc39a13,1,0,0.5210691094398499,0.4441179037094116,0.03481302037835121
Aloxe3,1,0,0.5044554471969604,0.4532986283302307,0.04224597290158272
Nr4a2,1,1,0.1070513054728508,0.6057402491569519,0.2872084379196167
Ruvbl2,1,0,0.6039031147956848,0.3107176423072815,0.08537928014993668
Immp1l,1,1,0.17293071746826172,0.5072381496429443,0.31983110308647156
Gfpt1,1,1,0.36365604400634766,0.46407246589660645,0.1722714602947235
Macrod1,1,0,0.7416209578514099,0.18722447752952576,0.07115457206964493
Nr2f1,1,1,0.12037874013185501,0.6950196623802185,0.1846015453338623
Ppm1a,1,1,0.35943856835365295,0.4273168742656708,0.21324460208415985
Slc1a6,1,1,0.12685690820217133,0.7421175241470337,0.1310255378484726
Bex1,1,1,0.18669727444648743,0.5937597155570984,0.21954303979873657
Dlg1,1,0,0.4315029978752136,0.3004016876220703,0.2680952548980713
Chrna5,1,1,0.27300187945365906,0.683616042137146,0.043382082134485245
Angpt2,1,0,0.47513842582702637,0.42388999462127686,0.10097155719995499
Nt5c3,1,0,0.5829364657402039,0.3053774833679199,0.11168606579303741
Mob2,1,0,0.6079926490783691,0.34987735748291016,0.04213002324104309
Atl3,1,0,0.6483082175254822,0.29790574312210083,0.05378604307770729
Tox3,1,1,0.28907063603401184,0.4580596685409546,0.25286972522735596
Emid1,1,1,0.19024039804935455,0.6548708081245422,0.15488876402378082
Psmc2,1,1,0.31367194652557373,0.5920000672340393,0.09432795643806458
Wdr34,1,0,0.6875221729278564,0.2867203950881958,0.025757407769560814
Rbm12b1,1,1,0.2555405795574188,0.5748916864395142,0.1695677638053894
Med12,1,1,0.43645817041397095,0.5052030682563782,0.05833873152732849
Zcchc12,1,1,0.2467106431722641,0.6769120097160339,0.07637736201286316
Def8,1,1,0.4711833894252777,0.47265681624412537,0.0561598464846611
Trp53bp1,1,0,0.7368758916854858,0.20412065088748932,0.059003446251153946
Zfp655,1,1,0.3992575705051422,0.5409302115440369,0.05981224775314331
Mef2a,1,2,0.14314167201519012,0.17671559751033783,0.6801427006721497
