gene_name,gene_length.meta,18mo.2mo.contact.log_ratio.max.20kb-5Mb.enhancer_DMR,18mo.9mo.activity.log_ratio.max.5kb-20kb.enhancer_DMR,9mo.2mo.activity.log_ratio.min.5kb-20kb.enhancer_DMR,18mo.2mo.contact.log_ratio.min.20kb-5Mb.enhancer_DMR,18mo.2mo.contact.log_ratio.mean.20kb-5Mb.enhancer_DMR,9mo.2mo.activity.log_ratio.max.5kb-20kb.enhancer_DMR,18mo.9mo.contact.log_ratio.mean.20kb-5Mb.enhancer_DMR,18mo.9mo.contact.log_ratio.min.20kb-5Mb.enhancer_DMR,count.enhancer_DMR,9mo.2mo.activity.log_ratio.median.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.min.5kb-20kb.enhancer_peak,18mo.9mo.activity.log_ratio.max.20kb-5Mb.enhancer_peak,9mo.2mo.contact.log_ratio.std.20kb-5Mb.enhancer_peak,9mo.2mo.activity.log_ratio.mean.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.max.5kb-20kb.enhancer_peak,18mo.2mo.activity.log_ratio.mean.5kb-20kb.enhancer_peak,18mo.2mo.activity.log_ratio.count.0-5kb.enhancer_peak,18mo.9mo.activity.log_ratio.median.0-5kb.enhancer_peak,18mo.9mo.contact.log_ratio.std.20kb-5Mb.enhancer_peak,18mo.2mo.contact.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.mean.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.max.0-5kb.enhancer_peak,9mo.2mo.contact.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.9mo.contact.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.count.5kb-20kb.enhancer_peak,9mo.2mo.activity.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.9mo.contact.log_ratio.mean.20kb-5Mb.enhancer_peak,9mo.2mo.activity.log_ratio.min.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.max.5kb-20kb.enhancer_peak,9mo.2mo.activity.log_ratio.count.0-5kb.enhancer_peak,18mo.2mo.activity.log_ratio.min.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.median.20kb-5Mb.enhancer_peak,18mo.2mo.contact.log_ratio.median.20kb-5Mb.enhancer_peak,18mo.9mo.log_ratio.DAR,18mo.2mo.log_ratio.DAR,count.DAR,rel_pos.DAR,count.DMR,18mo.2mo.log_ratio.DMR,rel_pos.DMR,distance.log2.DMR,18mo.9mo.Q.std.loops,loop_size.log.max.loops,18mo.9mo.Q.mean.loops,18mo.9mo.T.median.loops,count.loops,18mo.2mo.T.max.loops,18mo.2mo.T.median.loops,9mo.2mo.T.min.loops,loop_size.log.min.loops,Tanova.median.loops,Tanova.min.loops,Tanova.max.loops,Qanova.mean.loops,9mo.2mo.Q.mean.loops,loop_size.log.median.loops,min_distance.log.std.loops,min_distance.log.mean.loops,18mo.9mo.T.mean.loops,Qanova.std.loops,18mo.2mo.Q.min.loops,Qanova.median.loops,18mo.2mo.T.min.loops,min_distance.log.median.loops,18mo.2mo.T.mean.loops,18mo.2mo.Q.std.loops,min_distance.log.min.loops,Qanova.max.loops,18mo.9mo.Q.min.loops,9mo.2mo.Q.min.loops,9mo.2mo.Q.max.loops,Tanova.mean.loops,9mo.2mo.Q.std.loops,loop_size.log.mean.loops,18mo.9mo.log_ratio.mcg_genebody,18mo.2mo.log_ratio.mcg_genebody,9mo.2mo.log_ratio.mcg_genebody,18mo.2mo.log_ratio.mch_genebody,9mo.2mo.log_ratio.mch_genebody,18mo.9mo.log_ratio.mch_genebody,18mo.2mo.log_ratio.mean.atac,18mo.2mo.log_ratio.max.atac,log2_distance.max.atac,9mo.2mo.log_ratio.min.atac,9mo.2mo.log_ratio.std.atac,count.atac,log2_distance.std.atac,log2_distance.min.atac,9mo.2mo.log_ratio.mean.atac,18mo.9mo.log_ratio.max.atac,18mo.9mo.log_ratio.mean.atac,9mo.2mo.log_ratio.max.atac,DEG,pred
A930005H10Rik,0.0501775636151433,0.0,0.0,0.0,0.0,0.0,0.0,0.0005572589114308357,0.0031297153234481814,-0.10692785995081067,0.0063433657214045525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00877835340797901,0.0,0.0,0.0,0.014801186807453633,0.0,0.0,0.0,0.0,0.0,0.04793342366814613,0.0,0.03722276736050844,0.0,0.021188799533993007,0.044309659423306585,0.0,0.0,0.0,0.0,0.0,0.0,0.0029720475524663923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0026296066120266915,0.0,0.00493329219520092,0.018518237955868246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08615498861297965,0.0,0.0,0.0012039522081613541,0.0,0.01011231355369091,0.0,0.014484238866716624,0.017683130474761128,-0.014987932941876352,0.029859403278678656,0.0,0.0,0.008385925311595202,0.0,0.0,0.07530541758984327,0.006541874650865793,0.038362186942249535,0.0,0.0,-0.022714102268218996,0.0,1.0,1.0
Trpm3,-0.06117910313885659,0.0,0.0,0.0,0.0,0.0,0.0,0.0002229035645723343,0.001467054057866335,0.014112233577761799,0.0030755712650716305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001170447110198438,0.0,0.0,0.0,0.005574472993612289,0.0,0.0,0.0,0.0,0.0,0.01889612980186939,0.0,-0.011630124144721777,0.0,-0.010984728386392816,0.026757049749139696,0.0,0.0,0.0,0.0,0.0,0.0,-0.00774589887005277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.026985613284632563,0.0,-0.15361934565007687,-0.15951109442859887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1198166636552196,0.0,0.0,0.001906257662922144,0.0,0.0006861927290447056,0.0,0.017449448928236962,0.009170149154961109,0.013245696295052766,0.008147370761726051,0.0,0.0,-0.002499650875106454,0.0,0.0,-0.1751140134513844,-0.007280473262071609,0.009692139034159481,0.0,0.0,0.04758615373633802,0.0,1.0,2.0
Nanp,0.06487649830407463,0.0,0.0,0.0,0.0,0.0,0.0,0.0011145178228616714,0.0031297153234481814,0.07221583139151334,0.0063433657214045525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0032918825559318065,0.0,0.0,0.0,0.014801186807453633,0.0,0.0,0.0,0.0,0.0,0.04793342366814613,0.0,0.03722276736050844,0.0,0.021188799533993007,0.06877475198358297,0.0,0.0,0.0,0.0,0.0,0.0,0.009157621469348669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017854937724769116,0.0,0.00493329219520092,0.03511717259883881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09800227705040016,0.0,0.0,0.004514820780605078,0.0,0.01011231355369091,0.0,-0.0036473002098500727,-0.07150519949384034,-0.014987932941876352,0.029859403278678656,0.0,0.0,0.008385925311595202,0.0,0.0,0.08385149769484997,0.0,0.023156240112148226,0.0,0.0,0.04183617051690817,0.0,1.0,1.0
Nr4a2,0.051975542875006796,0.0,0.0,0.0,0.0,0.0,0.0,0.0005572589114308357,0.0031297153234481814,-0.10692785995081067,0.0063433657214045525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00877835340797901,0.0,0.0,0.0,0.014801186807453633,0.0,0.0,0.0,0.0,0.0,0.028464579582214357,0.0,0.03401569657027721,0.0,0.021188799533993007,0.044309659423306585,0.0,0.0,0.0,0.0,0.0,0.0,0.0029720475524663923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017854937724769116,0.0,0.005036257207393646,0.03569616980850696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0741085284203291,0.0,0.0,0.004514820780605078,0.0,0.01011231355369091,0.0,-0.0036473002098500727,0.02649322803132236,0.014006578605622053,0.029859403278678656,0.0,0.0,-0.0009676067903637886,0.0,0.0,0.08105288029182703,0.0,0.038362186942249535,0.0,0.0,0.04183617051690817,0.0,1.0,1.0
Ruvbl2,0.06387961573898793,0.0,0.0,0.0,0.0,0.0,0.0,0.0011145178228616714,0.0015159558597952127,0.07221583139151334,0.0014993409905582665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00877835340797901,0.0,0.0,0.0,-0.011360391704365612,0.0,0.0,0.0,0.0,0.0,-0.026064622895792127,0.0,-0.09058311000466347,0.0,0.008750653825700283,0.06178179386071861,0.0,0.0,0.0,0.0,0.0,0.0,0.009157621469348669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004346426483243704,0.0,0.0021997211128473282,0.018280584439635275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08776147037744522,0.0,0.0,0.0012039522081613541,0.0,0.002907290179282427,0.0,0.00709825137630105,0.0202285932097584,-0.07534710884094238,0.00717001136392355,0.0,0.0,-0.01693311832845211,0.0,0.0,0.09449252877384424,0.0,-0.023414445261005314,0.0,0.0,-0.022714102268218996,0.0,1.0,0.0
Immp1l,-0.19815512776374816,0.0,0.0,0.0,0.0,0.0,0.0,0.0005572589114308357,0.0031297153234481814,0.033587415656074884,0.0063433657214045525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00877835340797901,0.0,0.0,0.0,0.014801186807453633,0.0,0.0,0.0,0.0,0.0,0.028464579582214357,0.0,0.01212568478193134,0.0,0.009888289142400026,0.04008181822486222,0.0,0.0,0.0,0.0,0.0,0.0,0.0019504061993211507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017854937724769116,0.0,0.005036257207393646,0.027165638841688634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.060601237239316104,0.0,0.0,0.004514820780605078,0.0,0.0036657137237489225,0.0,-0.0036473002098500727,0.02415585528127849,0.011506927928421647,0.021718990989029408,0.0,0.0,0.003789793262258172,0.0,0.0,0.07377102004364133,0.0,0.038158549927175045,0.0,0.0,0.04183617051690817,0.0,1.0,1.0
Nr2f1,0.04670579283556435,0.0,0.0,0.0,0.0,0.0,0.0,0.0005572589114308357,0.0031297153234481814,0.056798334848135706,0.0063433657214045525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0034138041362166403,0.0,0.0,0.0,0.014801186807453633,0.0,0.0,0.0,0.0,0.0,0.028464579582214357,0.0,-0.06533771995455026,0.0,0.008750653825700283,0.05930135048925877,0.0,0.0,0.0,0.0,0.0,0.0,-0.05204798251390457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002418578378856182,0.0,0.005036257207393646,0.016788727883249522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.061556359657552094,0.0,0.0,0.004514820780605078,0.0,0.002907290179282427,0.0,0.017860690020024775,0.016602690229192377,0.034345119427889585,0.021086971368640663,0.0,0.0,-0.004515498299151659,0.0,0.0,0.06927785029984079,0.0,-0.055922093279659746,0.0,0.0,0.04183617051690817,0.0,1.0,1.0
Tox3,-0.21575184496119618,0.0,0.0,0.0,0.0,0.0,0.0,0.0003715059533715248,0.0031297153234481814,0.028739263373427092,0.0030755712650716305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0034138041362166403,0.0,0.0,0.0,0.0034600176848471166,0.0,0.0,0.0,0.0,0.0,-0.031754278242588044,0.0,0.009973671389743685,0.0,-0.02929162748157978,0.04734743492910638,0.0,0.0,0.0,0.0,0.0,0.0,-0.019671239815652372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.003788979183882475,0.0,0.0035728352516889573,0.026797333098948002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.042168634044937786,0.0,0.0,0.004514820780605078,0.0,0.0019719012081623076,0.0,-0.0036473002098500727,0.012524537169374525,0.028554245866835117,0.009458136912435293,0.0,0.0,-0.0009676067903637886,0.0,0.0,0.06989131958223879,0.0,0.017796385786496102,0.0,0.0,0.04183617051690817,0.0,1.0,1.0
C1d,0.0561461086885538,0.0,0.0,0.0,0.0,0.0,0.0,0.0005572589114308357,0.0031297153234481814,0.056798334848135706,0.0063433657214045525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0032918825559318065,0.0,0.0,0.0,0.014801186807453633,0.0,0.0,0.0,0.0,0.0,0.028464579582214357,0.0,0.03722276736050844,0.0,0.021188799533993007,0.05930135048925877,0.0,0.0,0.0,0.0,0.0,0.0,-0.05204798251390457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017854937724769116,0.0,0.005036257207393646,0.03511717259883881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08899325782549568,0.0,0.0,0.004514820780605078,0.0,0.01011231355369091,0.0,0.00709825137630105,-0.07150519949384034,0.0020249724807217717,0.029859403278678656,0.0,0.0,0.008385925311595202,0.0,0.0,0.06840030711144209,0.0,0.023156240112148226,0.0,0.0,0.04183617051690817,0.0,1.0,1.0
Ccdc58,0.017889926701318472,0.0,0.0,0.0,0.0,0.0,0.0,0.0003715059533715248,0.001467054057866335,0.027636903319507838,0.0030755712650716305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025603530742228033,0.0,0.0,0.0,0.004613356944173574,0.0,0.0,0.0,0.0,0.0,0.009818928875029087,0.0,0.011822315368335693,0.0,0.009964131489396096,0.0229561339202337,0.0,0.0,0.0,0.0,0.0,0.0,-0.019002529103308918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00282786313444376,0.0,0.0034984715282917024,0.026425752714276315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3275798741262406,0.0,0.0,0.0012039522081613541,0.0,0.003539309799671173,0.0,-0.0036473002098500727,-0.015590948164463042,0.011506927928421647,-0.05152283827774227,0.0,0.0,0.003789793262258172,0.0,0.0,0.06928483395371586,0.0,0.01617939750663936,0.0,0.0,-0.022714102268218996,0.0,1.0,1.0
