,DEG,pred,score_0,score_1,score_2
Prrt1,1,1,0.32314619421958923,0.6071440577507019,0.06970978528261185
Scamp2,1,0,0.5781167149543762,0.3506881594657898,0.07119512557983398
Zbtb21,1,1,0.4267939031124115,0.4544593095779419,0.1187468022108078
Tet1,1,1,0.1769196093082428,0.7064002752304077,0.1166800856590271
Plxnb2,1,1,0.3035304844379425,0.6138989329338074,0.08257057517766953
Dram2,1,0,0.5077590942382812,0.39495599269866943,0.09728493541479111
Nipal3,1,1,0.3310842216014862,0.5665884613990784,0.10232730209827423
Gnb5,1,1,0.38750573992729187,0.47168853878974915,0.1408056914806366
Psma6,1,1,0.2615048587322235,0.6560535430908203,0.08244162052869797
Ppp1r1a,1,1,0.2228797972202301,0.6611785888671875,0.11594167351722717
Slc9a7,1,2,0.0882679671049118,0.294173002243042,0.6175590753555298
Ppard,1,0,0.5668941736221313,0.2958786189556122,0.13722717761993408
Specc1l,1,1,0.3077963888645172,0.5167897939682007,0.1754138171672821
Tubb2a,1,1,0.2786538600921631,0.6576602458953857,0.06368584930896759
1700052K11Rik,1,1,0.2610541582107544,0.6646488308906555,0.0742969959974289
Cst3,1,1,0.3489941358566284,0.612201988697052,0.038803860545158386
Prkrip1,1,1,0.38442176580429077,0.5580872297286987,0.05749098211526871
Cops5,1,1,0.20127972960472107,0.7027313113212585,0.09598895907402039
Clk3,1,0,0.6194649934768677,0.3384956121444702,0.04203934967517853
1110059E24Rik,1,1,0.09591234475374222,0.8031178116798401,0.1009698435664177
Cyb561d1,1,1,0.18038980662822723,0.7365114092826843,0.08309875428676605
Tk2,1,1,0.23676586151123047,0.6498280167579651,0.11340612918138504
Add2,1,0,0.6339083313941956,0.26511505246162415,0.10097659379243851
4933407K13Rik,1,1,0.25546810030937195,0.6468334197998047,0.09769849479198456
Cntnap1,1,1,0.24738560616970062,0.6856848001480103,0.06692957878112793
Arg2,1,1,0.17292389273643494,0.4865669012069702,0.3405091464519501
Jrkl,1,1,0.16937237977981567,0.617946982383728,0.2126806080341339
Polr2e,1,1,0.19948185980319977,0.7464092373847961,0.05410890653729439
Ghitm,1,1,0.22174012660980225,0.6855999827384949,0.09265988320112228
1700109H08Rik,1,1,0.2653319835662842,0.5601624846458435,0.17450550198554993
Spopl,1,1,0.27034831047058105,0.6745384335517883,0.05511326715350151
Dagla,1,0,0.6865556240081787,0.2366717904806137,0.076772540807724
Spcs2,1,1,0.280227392911911,0.6331954598426819,0.08657713234424591
Osgin2,1,1,0.2496696561574936,0.5091316103935242,0.24119870364665985
Lrp1b,1,2,0.1400294303894043,0.1582770198583603,0.7016935348510742
Nfix,1,0,0.8315462470054626,0.12384670972824097,0.0446070060133934
Gm26543,1,1,0.12681187689304352,0.7206491827964783,0.1525389701128006
Dcn,1,1,0.12686504423618317,0.5937473773956299,0.27938759326934814
Commd4,1,1,0.33395808935165405,0.6302986145019531,0.03574333339929581
Inpp5f,1,0,0.3929530680179596,0.38870513439178467,0.21834179759025574
4930432K21Rik,1,1,0.47201603651046753,0.4905147850513458,0.037469182163476944
Rbx1,1,1,0.3414400517940521,0.5989358425140381,0.05962410569190979
Gfer,1,0,0.7013698220252991,0.2644512355327606,0.0341789536178112
Fntb,1,1,0.2588299512863159,0.5844447612762451,0.15672530233860016
Nelfa,1,1,0.41296452283859253,0.5246397256851196,0.062395740300416946
Gm21781,1,1,0.19663918018341064,0.692542552947998,0.1108182743191719
Ift140,1,1,0.43301549553871155,0.51408851146698,0.05289601534605026
Brpf1,1,1,0.3461114764213562,0.600520133972168,0.05336836352944374
Magee1,1,1,0.1646089106798172,0.7168421149253845,0.11854902654886246
Wtap,1,0,0.5509172677993774,0.40703991055488586,0.0420428141951561
Abcb6,1,0,0.5733373165130615,0.35795360803604126,0.06870909035205841
Unc5c,1,2,0.19902046024799347,0.15966705977916718,0.6413124799728394
Brip1os,1,0,0.5953770875930786,0.2518259286880493,0.15279701352119446
Zfp9,1,1,0.2839755713939667,0.6639165878295898,0.0521078035235405
Gk5,1,1,0.40476688742637634,0.5345250368118286,0.06070806831121445
2610507B11Rik,1,0,0.737299919128418,0.22301383316516876,0.03968621417880058
Map2k2,1,0,0.7177809476852417,0.2357446849346161,0.04647436738014221
Clock,1,1,0.18174788355827332,0.7217486500740051,0.09650348126888275
Rps23,1,1,0.31205835938453674,0.5709174275398254,0.11702419817447662
Zfp449,1,1,0.13847218453884125,0.4950624704360962,0.3664652705192566
Mettl22,1,1,0.15622474253177643,0.6542829871177673,0.18949227035045624
Shank3,1,0,0.4954235553741455,0.45877912640571594,0.045797303318977356
Cdyl,1,1,0.2581683397293091,0.6762238144874573,0.06560783833265305
Nme1,1,0,0.5790680646896362,0.3614398241043091,0.05949212238192558
Amn1,1,1,0.23168863356113434,0.6662576794624329,0.1020536720752716
Gm20404,1,1,0.11506747454404831,0.8124339580535889,0.07249854505062103
Sp3os,1,1,0.19170789420604706,0.7547397017478943,0.05355242267251015
Ino80d,1,1,0.20633375644683838,0.7046234607696533,0.0890427753329277
Yars,1,0,0.5535545945167542,0.36678779125213623,0.07965761423110962
Col25a1,1,2,0.2970108389854431,0.3332224488258362,0.3697666823863983
Zfyve26,1,1,0.10878506302833557,0.729975163936615,0.16123975813388824
Sphkap,1,1,0.17071735858917236,0.673284649848938,0.15599796175956726
1810013L24Rik,1,0,0.6173526048660278,0.33302462100982666,0.0496228002011776
Rhbdl3,1,1,0.4034779965877533,0.531121015548706,0.06540093570947647
Chd9,1,0,0.43446776270866394,0.25361043214797974,0.31192177534103394
Pms1,1,1,0.09926950186491013,0.6565101742744446,0.2442203164100647
Sacs,1,2,0.17835469543933868,0.4092787206172943,0.4123665690422058
Thpo,1,1,0.4235326051712036,0.5294391512870789,0.047028232365846634
Idi1,1,1,0.43274784088134766,0.5085657835006714,0.05868636816740036
Zfp27,1,0,0.5016933679580688,0.4370189309120178,0.061287667602300644
Rasgef1c,1,0,0.5722706317901611,0.3679168224334717,0.05981254205107689
Calb1,1,1,0.14294743537902832,0.7814923524856567,0.07556017488241196
Syt14,1,0,0.5932846069335938,0.29778021574020386,0.1089351549744606
Kcnd1,1,1,0.1362900584936142,0.7461528182029724,0.11755716055631638
Sh3bp4,1,1,0.28309276700019836,0.5797470211982727,0.13716021180152893
Gipc2,1,1,0.3874504864215851,0.47096356749534607,0.14158599078655243
Ecd,1,1,0.15429285168647766,0.8070418238639832,0.03866533190011978
Brd1,1,1,0.3880460262298584,0.5464261174201965,0.06552784144878387
Kcnk10,1,1,0.4236294627189636,0.4606379568576813,0.11573252826929092
Ppat,1,1,0.3364980220794678,0.5982838273048401,0.06521813571453094
Stx3,1,1,0.44368958473205566,0.5022323727607727,0.05407801270484924
0610040F04Rik,1,1,0.12676560878753662,0.7966244220733643,0.07660998404026031
2900026A02Rik,1,0,0.7758187055587769,0.17081978917121887,0.05336155369877815
Dag1,1,0,0.5001285076141357,0.4082059860229492,0.09166552871465683
Trim26,1,1,0.1747419387102127,0.7562503814697266,0.06900772452354431
Kif13a,1,1,0.32742470502853394,0.6021947264671326,0.0703805461525917
Rad23a,1,0,0.5712175965309143,0.3687301576137543,0.06005222722887993
2310015A10Rik,1,1,0.19431497156620026,0.7524158954620361,0.05326911434531212
Ppp1r9b,1,1,0.17518523335456848,0.7845062613487244,0.040308449417352676
Ier3ip1,1,1,0.3326464593410492,0.5844717621803284,0.08288173377513885
Klhl8,1,0,0.485675573348999,0.38291457295417786,0.13140985369682312
6230400D17Rik,1,0,0.44805029034614563,0.40793734788894653,0.14401237666606903
Gm11149,1,1,0.25674793124198914,0.6773262023925781,0.06592585891485214
Rpl7a,1,1,0.09623388946056366,0.8605748414993286,0.0431913323700428
Cntln,1,1,0.1902713179588318,0.5954798460006714,0.21424880623817444
Ybx3,1,1,0.36588796973228455,0.505698025226593,0.12841403484344482
Gm15494,1,0,0.5663965940475464,0.35798513889312744,0.07561829686164856
1110019D14Rik,1,0,0.6242040395736694,0.23584525287151337,0.1399507373571396
Ppfia2,1,2,0.05327992886304855,0.13808034360408783,0.8086397647857666
Keap1,1,1,0.34609338641166687,0.620747447013855,0.03315913304686546
Mpi,1,1,0.309782475233078,0.6134123206138611,0.0768052190542221
Hyou1,1,1,0.3990367650985718,0.5348612666130066,0.06610196828842163
Itpr1,1,0,0.6226447224617004,0.19171972572803497,0.1856355220079422
Zfp932,1,1,0.20905621349811554,0.7246724963188171,0.06627127528190613
Naa35,1,1,0.14965315163135529,0.8083619475364685,0.04198484495282173
Ttc9c,1,1,0.43531715869903564,0.52409428358078,0.04058853164315224
Tpmt,1,0,0.6710789203643799,0.29584312438964844,0.03307799994945526
Ankzf1,1,1,0.3394663631916046,0.6376810669898987,0.02285253256559372
C230038L03Rik,1,1,0.14831440150737762,0.7444508075714111,0.10723476111888885
Zfp37,1,1,0.2892893850803375,0.6115492582321167,0.09916136413812637
Atp2b3,1,1,0.2405538260936737,0.46475622057914734,0.29468992352485657
Hnrnph1,1,0,0.5276540517807007,0.44113999605178833,0.031205974519252777
Pdzd8,1,0,0.49289432168006897,0.47671273350715637,0.030392998829483986
Lsg1,1,1,0.21563871204853058,0.6530008316040039,0.1313604712486267
Snrpd1,1,1,0.3940557539463043,0.5686174035072327,0.03732690587639809
Pate2,1,0,0.44653165340423584,0.41355302929878235,0.1399153172969818
Zscan12,1,1,0.10897625982761383,0.6754754185676575,0.2155483216047287
Atp5j,1,1,0.11661830544471741,0.8318462371826172,0.05153539776802063
Kif1c,1,1,0.3383336365222931,0.6062222123146057,0.05544413626194
Atad3a,1,0,0.8210813403129578,0.13888035714626312,0.04003829509019852
Slc35g2,1,1,0.2152125984430313,0.7271311283111572,0.05765625461935997
Iqck,1,1,0.3179000914096832,0.516995906829834,0.1651040017604828
Xpot,1,0,0.5044997930526733,0.4134289026260376,0.08207129687070847
Sirt6,1,0,0.5231736898422241,0.3802180886268616,0.09660821408033371
Jmjd8,1,0,0.49390169978141785,0.4320336580276489,0.07406465709209442
Anapc16,1,1,0.38676369190216064,0.5551362037658691,0.05810009688138962
Snx5,1,1,0.12152805924415588,0.8317088484764099,0.04676305875182152
Efcab7,1,1,0.26948466897010803,0.6304005980491638,0.10011471807956696
Coq4,1,0,0.78534334897995,0.17320138216018677,0.04145529121160507
Dpy19l2,1,1,0.12423743307590485,0.8003838062286377,0.07537879794836044
Gfra2,1,1,0.37812578678131104,0.4329468607902527,0.18892736732959747
Chchd3,1,2,0.14539405703544617,0.4169448912143707,0.4376610815525055
Maob,1,2,0.07024901360273361,0.2783234119415283,0.6514275670051575
Gtf2h5,1,1,0.2719185948371887,0.6243806481361389,0.10370071977376938
Synpo2,1,1,0.18853096663951874,0.6046861410140991,0.20678289234638214
Zbtb9,1,0,0.7025320529937744,0.2651962339878082,0.03227170556783676
Pak7,1,2,0.18719060719013214,0.134479820728302,0.6783296465873718
A330074K22Rik,1,1,0.33049795031547546,0.555733323097229,0.11376872658729553
Crtac1,1,0,0.6426663994789124,0.2743944227695465,0.08293920755386353
Dguok,1,1,0.3963477909564972,0.5152608156204224,0.08839140087366104
Wdr89,1,1,0.0981057807803154,0.8154736161231995,0.08642061054706573
Angpt1,1,2,0.2071072906255722,0.3339986205101013,0.45889410376548767
Lsm1,1,1,0.3235965073108673,0.605495810508728,0.07090766727924347
Ubtd2,1,1,0.42622217535972595,0.5259819626808167,0.04779588803648949
Calm1,1,0,0.4949648082256317,0.44872403144836426,0.05631123483181
Tuba1a,1,1,0.4396743178367615,0.5254279971122742,0.03489772975444794
Car12,1,1,0.4031439423561096,0.5465298891067505,0.0503261536359787
Smim7,1,1,0.3271603584289551,0.6104519963264465,0.06238766759634018
St3gal3,1,0,0.5459480881690979,0.3285079598426819,0.12554393708705902
Afg3l2,1,1,0.22319313883781433,0.7109072208404541,0.06589961051940918
Kif21b,1,0,0.5611032247543335,0.2952811121940613,0.14361566305160522
Fmn2,1,2,0.2956080734729767,0.21652851998806,0.4878633916378021
Nwd1,1,1,0.25086137652397156,0.5306561589241028,0.21848249435424805
Cend1,1,1,0.29859060049057007,0.6250482201576233,0.07636117190122604
Sdr42e1,1,1,0.15345139801502228,0.7082575559616089,0.13829103112220764
Fbxo32,1,1,0.2873031497001648,0.650008499622345,0.06268840283155441
Nnat,1,1,0.14820320904254913,0.7312424778938293,0.12055430561304092
Bcas3,1,0,0.42344656586647034,0.23571190237998962,0.34084153175354004
Sumo3,1,0,0.8201162219047546,0.15387766063213348,0.02600615657866001
Incenp,1,1,0.34229177236557007,0.5755066275596619,0.08220158517360687
Cisd2,1,1,0.3385887145996094,0.6042642593383789,0.057147059589624405
Rybp,1,1,0.18922173976898193,0.7231905460357666,0.08758771419525146
Stx8,1,2,0.27733930945396423,0.3302246928215027,0.39243602752685547
Ubtd1,1,0,0.6923689842224121,0.2868523895740509,0.02077866531908512
Pde1b,1,1,0.3125128149986267,0.6372002363204956,0.050286948680877686
Catsper2,1,1,0.3458103537559509,0.5533093810081482,0.10088025778532028
Elk1,1,1,0.1348063349723816,0.507440984249115,0.3577526807785034
Rab9,1,1,0.1516556441783905,0.7416574954986572,0.10668691992759705
Dtx4,1,1,0.2060043066740036,0.7311467528343201,0.06284892559051514
Arhgdia,1,0,0.5828887820243835,0.38153135776519775,0.03557981550693512
Ciz1,1,0,0.5625453591346741,0.3633107542991638,0.07414387911558151
Col6a4,1,1,0.2767523229122162,0.569037675857544,0.15421001613140106
1810030O07Rik,1,1,0.13858897984027863,0.511688768863678,0.3497222363948822
B230110C06Rik,1,1,0.2035650759935379,0.7385252118110657,0.057909682393074036
Snapin,1,1,0.21238838136196136,0.5469567179679871,0.24065493047237396
Prss23,1,1,0.20699231326580048,0.6497581005096436,0.14324957132339478
Nus1,1,1,0.14417597651481628,0.7725140452384949,0.08331000804901123
Gosr2,1,0,0.4818739891052246,0.46011021733283997,0.05801580473780632
Cntrl,1,1,0.3280748426914215,0.610342800617218,0.06158238276839256
Gm13483,1,1,0.1450430005788803,0.5721728801727295,0.282784104347229
Thra,0,0,0.6153728365898132,0.31535303592681885,0.06927412003278732
Slc17a7,0,0,0.6331378817558289,0.3098188042640686,0.05704329535365105
Sulf1,0,1,0.1219993382692337,0.7687150239944458,0.10928564518690109
Gabbr2,0,2,0.369732528924942,0.18800312280654907,0.4422643184661865
Kcnq2,0,0,0.7188203930854797,0.2137840986251831,0.06739551573991776
Cpt1c,0,0,0.4760544002056122,0.47077417373657227,0.05317138135433197
Grina,0,1,0.39409536123275757,0.5025628209114075,0.10334185510873795
Meg3,0,1,0.18141861259937286,0.7808244824409485,0.03775692358613014
Speg,0,0,0.801202118396759,0.15819604694843292,0.04060184583067894
Stxbp1,0,0,0.8230427503585815,0.13415154814720154,0.042805757373571396
Mapk11,0,1,0.2792004942893982,0.6778491735458374,0.042950306087732315
Ephb6,0,0,0.4194587469100952,0.3751331865787506,0.2054080218076706
Gpr158,2,0,0.4265153408050537,0.21765930950641632,0.3558253049850464
Il1rapl1,2,2,0.2039705514907837,0.2014857679605484,0.5945436358451843
Slc6a7,0,1,0.316200315952301,0.5450612306594849,0.1387384682893753
Pacsin1,0,0,0.767120897769928,0.15233030915260315,0.08054884523153305
Prkar1b,0,0,0.715482234954834,0.21679440140724182,0.067723348736763
Cdh4,0,0,0.5081725716590881,0.3160823583602905,0.17574502527713776
Stk25,0,0,0.6207572817802429,0.34873607754707336,0.03050665743649006
Cox8a,0,1,0.3332030773162842,0.6211844682693481,0.04561247676610947
