gene_name,gene_length.meta,18mo.9mo.activity.log_ratio.max.5kb-20kb.enhancer_DMR,9mo.2mo.activity.log_ratio.mean.5kb-20kb.enhancer_DMR,9mo.2mo.contact.log_ratio.mean.20kb-5Mb.enhancer_peak,9mo.2mo.activity.log_ratio.median.20kb-5Mb.enhancer_peak,count.enhancer_peak,18mo.9mo.contact.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.2mo.contact.log_ratio.count.20kb-5Mb.enhancer_peak,18mo.2mo.contact.log_ratio.mean.20kb-5Mb.enhancer_peak,9mo.2mo.contact.log_ratio.min.20kb-5Mb.enhancer_peak,9mo.2mo.activity.log_ratio.min.20kb-5Mb.enhancer_peak,18mo.9mo.contact.log_ratio.std.20kb-5Mb.enhancer_peak,9mo.2mo.activity.log_ratio.mean.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.median.20kb-5Mb.enhancer_peak,distance.log2.DMR,18mo.9mo.Q.std.loops,Qanova.mean.loops,9mo.2mo.Q.min.loops,loop_size.log.median.loops,9mo.2mo.Q.std.loops,min_distance.log.median.loops,18mo.2mo.T.max.loops,loop_size.log.mean.loops,18mo.9mo.log_ratio.mcg_genebody,18mo.9mo.log_ratio.mch_genebody,9mo.2mo.log_ratio.mch_genebody,18mo.2mo.log_ratio.std.atac,log2_distance.std.atac,18mo.2mo.log_ratio.mean.atac,log2_distance.max.atac,9mo.2mo.log_ratio.mean.atac,count.atac,log2_distance.mean.atac,9mo.2mo.log_ratio.max.atac,DEG,pred
Ppp1r1a,0.0,0.0,-0.007037417571011342,-0.0396177489310503,0.0,-0.026682998029221045,0.003192444577028877,0.0,0.0,0.010556824811685243,0.0,0.0,0.0,-0.10452545701379054,0.0,-0.18770624839357639,0.01850560733950452,0.0,0.028983621612975474,0.0,0.0028614770424993416,0.0,0.01195273831437685,0.10758123520492135,-0.00824903912450138,0.03354771657062596,0.0,-0.061164266037705695,-0.06872268704893558,-0.26392768965543884,0.0,-0.01749612670391798,0.0,-0.05216976956121231,1.0,1.0
Cops5,0.0,0.0,0.0910172670295364,-0.0396177489310503,0.0,-0.054095971937242304,0.0071830000042131074,0.0,0.0,0.010151860304176807,0.0,0.0,0.0,-0.2020007084662977,0.0,0.21791452306665873,0.03376003795940625,0.0,0.01542045205439392,0.0,0.003815302723332455,0.0,0.016617265382879658,-0.022261766906778672,-0.00824903912450138,-0.036400209131993745,0.0,0.04029867204984552,-0.17070819221829114,-0.11949797413360916,0.0,-0.01749612670391798,0.0,-0.08274402498806778,1.0,1.0
4933407K13Rik,0.0,0.0,-0.003753289580345154,-0.0396177489310503,0.0,-0.020896692453932605,-0.007781583656507887,0.0,0.0,0.017112909485340902,0.0,0.0,0.0,-0.4377906525899705,0.0,-0.2984103468295775,0.020973326540306994,0.0,0.0238446341337342,0.0,0.004292215563749012,0.0,0.03036713844018155,-0.01913025814084042,-0.00824903912450138,-0.04723947823635841,0.0,-0.15343218713410592,0.08374927239492536,0.03854006523952672,0.0,0.01685602504661993,0.0,0.018994921916409543,1.0,1.0
Jrkl,0.0,0.0,-0.007037417571011342,-0.026885007520353322,0.0,0.19671847273007428,0.00818063893453463,0.0,0.0,0.010556824811685243,0.0,0.0,0.0,-0.032466229271927945,0.0,-0.230003829310207,0.022200449811000573,0.0,0.028983621612975474,0.0,0.0028614770424993416,0.0,0.01195273831437685,0.10758123520492135,-0.003240693997787802,0.03354771657062596,0.0,-0.061164266037705695,-0.06872268704893558,-0.26392768965543884,0.0,-0.01749612670391798,0.0,-0.05216976956121231,1.0,1.0
Ghitm,0.0,0.0,-0.007037417571011342,-0.010051741509845382,0.0,-0.011754327453672886,-0.005387249892871631,0.0,0.0,-0.029773867542022152,0.0,0.0,0.0,0.16451703587939082,0.0,-0.17346161199537546,-0.03973611159936378,0.0,0.08267954952622715,0.0,0.005007584824373848,0.0,0.01195273831437685,0.14879958236001825,-0.0017676512269597304,-0.05353463025714614,0.0,-0.061164266037705695,-0.06872268704893558,-0.011829065158963203,0.0,-0.08321328843502622,0.0,-0.04685475672350118,1.0,1.0
1700109H08Rik,0.0,0.0,0.025803864982567336,0.05414398649315301,0.0,0.005003443569876254,-0.019354194586508368,0.0,0.0,-0.02490522918340407,0.0,0.0,0.0,0.04275557955138778,0.0,-0.23588732448651603,0.01900800549131083,0.0,0.03754879544047933,0.0,0.0028614770424993416,0.0,0.01195273831437685,-0.028210806684862626,-0.0011784342166624572,0.09179629379344222,0.0,-0.061164266037705695,-0.10177008185143534,-0.19341407091307797,0.0,-0.034778886989347245,0.0,-0.03762577523134256,1.0,1.0
Spopl,0.0,0.0,-0.007037417571011342,-0.0071056559681892395,0.0,-0.01118226549097974,-0.007781583656507887,0.0,0.0,-0.029773867542022152,0.0,0.0,0.0,0.10971984632411286,0.0,-0.18191994192372812,0.017907024018074338,0.0,0.08267954952622715,0.0,0.0028614770424993416,0.0,0.01195273831437685,0.029610217867517157,0.047726583422014586,0.02702509343477064,0.0,-0.061164266037705695,-0.10177008185143534,0.06117420957276696,0.0,-0.08321328843502622,0.0,-0.05216976956121231,1.0,1.0
Commd4,0.0,0.0,0.01642064103170445,-0.010051741509845382,0.0,-0.046738413015478535,0.0071830000042131074,0.0,0.0,0.044461902721147785,0.0,0.0,0.0,0.16838625502331475,0.0,0.22309671587457783,0.04173265250497743,0.0,0.08419305262596984,0.0,0.006676779765831797,0.0,0.01195273831437685,-0.02699671693048195,-0.0017676512269597304,-0.03355814833929272,0.0,-0.09848994570539187,-0.10177008185143534,0.0631006114969128,0.0,-0.08321328843502622,0.0,0.03358910340619715,1.0,1.0
Rbx1,0.0,0.0,0.025803864982567336,0.05414398649315301,0.0,0.005003443569876254,-0.019354194586508368,0.0,0.0,-0.029773867542022152,0.0,0.0,0.0,0.09824324894304338,0.0,-0.2734318678512385,0.01900800549131083,0.0,0.08267954952622715,0.0,0.0028614770424993416,0.0,0.01195273831437685,0.14879958236001825,-0.0011784342166624572,-0.05353463025714614,0.0,-0.061164266037705695,-0.06872268704893558,-0.011829065158963203,0.0,-0.08321328843502622,0.0,-0.03762577523134256,1.0,1.0
Fntb,0.0,0.0,-0.003753289580345154,0.1735187416994258,0.0,0.011398064499524864,0.00818063893453463,0.0,0.0,-0.062099007252407704,0.0,0.0,0.0,-0.14137340748780652,0.0,-0.37163917989911216,0.03170507567885675,0.0,0.03625322250943435,0.0,-0.007392149026456632,0.0,-0.03931075829620424,-0.07653403007670452,-0.0029460854436221874,-0.09739882668088141,0.0,0.012409985506613003,-0.06518050763559968,0.05042188560688182,0.0,0.01685602504661993,0.0,0.017802639913402106,1.0,1.0
Nelfa,0.0,0.0,-0.025334703098786503,-0.010051741509845382,0.0,-0.022098833670545565,0.004389611293414706,0.0,0.0,0.044461902721147785,0.0,0.0,0.0,0.17111757110902354,0.0,0.09730049263146755,-0.11048471133567785,0.0,0.08419305262596984,0.0,0.009776713228539416,0.0,0.01195273831437685,-0.011287271412775704,-0.0017676512269597304,0.12595630651584974,0.0,-0.09848994570539187,-0.06586277867226224,0.047102905589302906,0.0,-0.08321328843502622,0.0,-0.12485153914282196,1.0,1.0
Gm21781,0.0,0.0,0.025803864982567336,0.05414398649315301,0.0,0.005003443569876254,-0.019354194586508368,0.0,0.0,-0.011248093796893954,0.0,0.0,0.0,-0.003886829939131674,0.0,-0.2734318678512385,0.01900800549131083,0.0,-0.2152524797343894,0.0,0.0028614770424993416,0.0,-0.05116465682850072,0.11040399390836492,-0.0011784342166624572,-0.07757969619706273,0.0,-0.04058294503116294,-0.048158625876040834,-0.1702435056335832,0.0,-0.020483270287513733,0.0,-0.03762577523134256,1.0,1.0
