gene_name,gene_length.meta,18mo.9mo.activity.log_ratio.max.5kb-20kb.enhancer_DMR,9mo.2mo.activity.log_ratio.mean.5kb-20kb.enhancer_DMR,9mo.2mo.contact.log_ratio.mean.20kb-5Mb.enhancer_peak,9mo.2mo.activity.log_ratio.median.20kb-5Mb.enhancer_peak,count.enhancer_peak,18mo.9mo.contact.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.2mo.contact.log_ratio.count.20kb-5Mb.enhancer_peak,18mo.2mo.contact.log_ratio.mean.20kb-5Mb.enhancer_peak,9mo.2mo.contact.log_ratio.min.20kb-5Mb.enhancer_peak,9mo.2mo.activity.log_ratio.min.20kb-5Mb.enhancer_peak,18mo.9mo.contact.log_ratio.std.20kb-5Mb.enhancer_peak,9mo.2mo.activity.log_ratio.mean.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.median.20kb-5Mb.enhancer_peak,distance.log2.DMR,18mo.9mo.Q.std.loops,Qanova.mean.loops,9mo.2mo.Q.min.loops,loop_size.log.median.loops,9mo.2mo.Q.std.loops,min_distance.log.median.loops,18mo.2mo.T.max.loops,loop_size.log.mean.loops,18mo.9mo.log_ratio.mcg_genebody,18mo.9mo.log_ratio.mch_genebody,9mo.2mo.log_ratio.mch_genebody,18mo.2mo.log_ratio.std.atac,log2_distance.std.atac,18mo.2mo.log_ratio.mean.atac,log2_distance.max.atac,9mo.2mo.log_ratio.mean.atac,count.atac,log2_distance.mean.atac,9mo.2mo.log_ratio.max.atac,DEG,pred
Ppp1r1a,-0.2878622685215975,0.012763166040378181,0.0,-0.020071639164694045,0.0,0.06455410046404914,-0.013546245270653776,0.002048603455094915,0.0,0.0,0.00757314377513371,0.0062056945538834524,-0.23981405941671446,0.0,0.0,0.0,-0.021454704190163237,0.012744997579016183,-0.0035209828301479944,0.0,0.0035317603124942827,-0.0031524514289278734,0.0,-0.15572967277349611,0.030729080893491443,0.0,-0.022229542392060944,0.0,0.0,0.3212844580411911,0.0,0.11711262088072927,0.07362838442388334,0.0,1.0,1.0
Cops5,-0.3322646265457335,0.020287424620044858,0.0,-0.07897186014605195,0.0,-0.01783731717028116,0.08595972547405645,-0.003698428651612056,0.0,0.0,-0.018129646533021803,0.003818889197550322,0.24275285191833973,0.0,0.0,0.0,-0.014489526419263137,0.008231122585895815,0.009242579929138484,0.0,0.007618511536795842,-0.0031524514289278734,0.0,0.28762039978449283,-0.08266237642812102,0.0,-0.013638844615534731,0.0,0.0,-0.07865349811158683,0.0,-0.013593429209370362,0.09266183853737618,0.0,1.0,1.0
4933407K13Rik,-0.41044597180658265,0.004457934073319561,0.0,-0.011594397334479973,0.0,0.14482202753424644,0.03809766329236721,0.009090039928100611,0.0,0.0,-0.00849110059636204,0.0062056945538834524,0.13543674761527463,0.0,0.0,0.0,-0.04634680201936709,0.012744997579016183,-0.0035209828301479944,0.0,0.0011099818174874312,-0.007565883429426896,0.0,-0.30346626734459087,0.030729080893491443,0.0,-0.014141874632945186,0.0,0.0,-0.11867524301143069,0.0,-0.013593429209370362,-0.029177621104999593,0.0,1.0,1.0
Jrkl,-0.07631744811997603,0.016956819956632035,0.0,0.01216879766434431,0.0,-0.007644564501549068,-0.016474492749885508,-0.013883948375127818,0.0,0.0,0.012392416400344749,-0.0057283337963254825,0.5421751148410534,0.0,0.0,0.0,-0.021454704190163237,0.006637867344053168,-0.0035209828301479944,0.0,0.010141197481731834,-0.0031524514289278734,0.0,-0.39217688937328365,-0.07071911827906181,0.0,0.178231737723476,0.0,0.0,0.6673705094542942,0.0,0.11711262088072927,0.09350486366862529,0.0,1.0,1.0
Ghitm,-0.2367146950656254,0.0028779604717304834,0.0,0.002170068849074213,0.0,0.14482202753424644,0.03809766329236721,0.0955218088960177,0.0,0.0,-0.00849110059636204,0.003818889197550322,0.13543674761527463,0.0,0.0,0.0,0.460730096913482,0.008231122585895815,-0.010562948490443983,0.0,-0.00403629753150438,-0.007565883429426896,0.0,-0.31634694019234494,-0.08266237642812102,0.0,-0.014141874632945186,0.0,0.0,-0.07998177507206013,0.0,-0.013593429209370362,-0.023054539176978563,0.0,1.0,1.0
1700109H08Rik,-0.30286485544945063,0.04705899051929775,0.0,0.0450973951894986,0.0,-0.007644564501549068,0.029836052244431095,0.002048603455094915,0.0,0.0,0.007114165364519546,0.0062056945538834524,-0.42171226990850347,0.0,0.0,0.0,-0.021454704190163237,0.012744997579016183,-0.0035209828301479944,0.0,0.03784028872063285,-0.0031524514289278734,0.0,0.16233892052581436,0.030729080893491443,0.0,0.055914895118851414,0.0,0.0,0.3212844580411911,0.0,0.11711262088072927,0.17704057914057844,0.0,1.0,1.0
Spopl,-0.41232298853758137,0.006362981211982276,0.0,0.00468056060765919,0.0,0.14482202753424644,0.02502708754649288,0.009090039928100611,0.0,0.0,0.004819272968329881,0.0062056945538834524,-0.10930850263684988,0.0,0.0,0.0,-0.04634680201936709,0.012744997579016183,-0.0035209828301479944,0.0,0.0017658801210161887,-0.007565883429426896,0.0,-0.12632850895782835,0.030729080893491443,0.0,0.005136323234948672,0.0,0.0,-0.06412907081999276,0.0,-0.013593429209370362,-0.052593176694292774,0.0,1.0,1.0
Commd4,-0.27799242852549805,-0.010170009624409048,0.0,-0.005929709853310334,0.0,-0.01783731717028116,-0.016474492749885508,-0.003698428651612056,0.0,0.0,0.012392416400344749,-0.0057283337963254825,0.0641283874743079,0.0,0.0,0.0,-0.03674484431547554,0.008231122585895815,-0.0035209828301479944,0.0,0.0007568057626485825,-0.007565883429426896,0.0,-0.29807580095764835,-0.07788876571545475,0.0,-0.0071799195812721,0.0,0.0,-0.06412907081999276,0.0,-0.013593429209370362,-0.016967020781808777,0.0,1.0,1.0
Rbx1,-0.3082280581522929,0.003130229091957996,0.0,0.0026746062855971487,0.0,-0.01783731717028116,0.02502708754649288,-0.003698428651612056,0.0,0.0,0.004819272968329881,0.003818889197550322,-0.10930850263684988,0.0,0.0,0.0,-0.03674484431547554,0.008231122585895815,-0.0035209828301479944,0.0,0.001009074382876095,-0.007565883429426896,0.0,-0.1461474070031392,-0.08266237642812102,0.0,-0.0071799195812721,0.0,0.0,-0.06412907081999276,0.0,-0.013593429209370362,-0.026081761835437072,0.0,1.0,1.0
Fntb,0.15300636576782717,0.004849369784719066,0.0,0.003419217702589537,0.0,-0.01783731717028116,-0.10011160599165841,-0.003698428651612056,0.0,0.0,-0.06632237665747341,-0.0057283337963254825,0.20328197598849473,0.0,0.0,0.0,-0.06910453089757969,0.008231122585895815,0.009242579929138484,0.0,-0.009081669298833922,-0.007565883429426896,0.0,0.2383346417551174,-0.07788876571545475,0.0,-0.013638844615534731,0.0,0.0,-0.05972277765211306,0.0,-0.006273890404324783,-0.03569118178596622,0.0,1.0,1.0
