gene_name,gene_length.meta,18mo.9mo.activity.log_ratio.max.5kb-20kb.enhancer_DMR,9mo.2mo.contact.log_ratio.mean.20kb-5Mb.enhancer_peak,9mo.2mo.activity.log_ratio.median.20kb-5Mb.enhancer_peak,count.enhancer_peak,18mo.9mo.contact.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.2mo.contact.log_ratio.count.20kb-5Mb.enhancer_peak,9mo.2mo.activity.log_ratio.min.20kb-5Mb.enhancer_peak,18mo.9mo.contact.log_ratio.std.20kb-5Mb.enhancer_peak,9mo.2mo.activity.log_ratio.mean.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.median.20kb-5Mb.enhancer_peak,distance.log2.DMR,18mo.9mo.Q.std.loops,Qanova.mean.loops,9mo.2mo.Q.min.loops,loop_size.log.median.loops,18mo.2mo.T.max.loops,loop_size.log.mean.loops,18mo.9mo.log_ratio.mcg_genebody,18mo.9mo.log_ratio.mch_genebody,9mo.2mo.log_ratio.mch_genebody,18mo.2mo.log_ratio.std.atac,log2_distance.std.atac,18mo.2mo.log_ratio.mean.atac,log2_distance.max.atac,count.atac,log2_distance.mean.atac,9mo.2mo.log_ratio.max.atac,DEG,pred
Ypel4,0.03411025201019488,0.040466266047013436,0.0,0.0,0.22218185535779125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1017710238106941,0.0,-0.0035023752011750873,0.0,0.0,0.0,0.0760079021810701,0.09125935237266515,0.07235462992991272,0.06446242606953571,0.05915120925362173,0.0,0.05969537520094922,0.05538342618628552,0.12612125743180513,0.0,1.0,1.0
Atpif1,0.03411025201019488,0.040466266047013436,0.0,0.0,0.1566442319339043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.11935538661323096,0.0,-0.0035023752011750873,0.0,0.0,0.0,0.02338477077060624,0.09125935237266515,0.07235462992991272,0.028966638798776426,-0.059396649955918916,0.0,0.04041386425103012,0.0247033384481543,0.09151411840790197,0.0,1.0,1.0
Pspc1,0.024878122010513357,-0.03418024413679775,0.0,0.0,0.07622975383051916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027787481851287578,0.0,0.01488509460499412,0.0,0.0,0.0,-0.0930019209872147,-0.016793045313342622,-0.10320036319133483,-0.10820318166607697,0.01619908635161425,0.0,0.018027266781581074,0.02863038943982438,0.07259727445872206,0.0,1.0,1.0
Rpsa,0.03411025201019488,0.015715054775539198,0.0,0.0,-0.1929345229444535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022462188511302595,0.0,-0.0035023752011750873,0.0,0.0,0.0,0.06124921535190783,0.026299384863753068,0.07235462992991272,-0.029829311821805805,0.05915120925362173,0.0,0.03517691124426691,0.05538342618628552,0.11132786378852631,0.0,1.0,1.0
Ikbkb,0.03411025201019488,0.00825040375715808,0.0,0.0,0.06806410558668799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.20261319106640785,0.0,-0.0035023752011750873,0.0,0.0,0.0,0.02289388936601187,-0.03131758997608956,0.07235462992991272,0.028966638798776426,0.015217323542425507,0.0,0.04041386425103012,0.02617598251488648,-0.015754130325819318,0.0,1.0,1.0
Kif18a,0.03411025201019488,-0.03418024413679775,0.0,0.0,0.14401547892607355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08714084089488576,0.0,0.01488509460499412,0.0,0.0,0.0,-0.04401260124225365,-0.016793045313342622,0.07235462992991272,0.06446242606953571,0.01619908635161425,0.0,0.041307905688881874,0.02863038943982438,0.06425668225672684,0.0,1.0,1.0
Atp5j2,0.024878122010513357,0.015715054775539198,0.0,0.0,-0.2445899274592337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02936544489899748,0.0,0.01488509460499412,0.0,0.0,0.0,0.06434377866159928,0.026299384863753068,-0.10320036319133483,0.02698877458705714,0.05915120925362173,0.0,0.01964596139365121,0.05538342618628552,0.08363441211220465,0.0,1.0,1.0
Sf3a1,0.024878122010513357,0.013750672928596797,0.0,0.0,0.156587522550437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08831947002755969,0.0,0.01488509460499412,0.0,0.0,0.0,0.0760079021810701,-0.08201052248477936,-0.10320036319133483,0.06446242606953571,0.05915120925362173,0.0,0.041307905688881874,0.05538342618628552,0.0922323981986234,0.0,1.0,1.0
Scaper,-0.14886050436057544,0.009821909234711998,0.0,0.0,-0.13183142036493672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021423696344228166,0.0,0.05866478461968271,0.0,0.0,0.0,-0.017797485484104408,0.01623324469025982,0.0352530313753768,0.06284694501051777,0.009081305984995867,0.0,-0.05888805636449864,0.024457897941925023,-0.2000409613829106,0.0,1.0,2.0
Tmem209,0.03411025201019488,0.013750672928596797,0.0,0.0,0.09461005469539056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03644067140933322,0.0,-0.0035023752011750873,0.0,0.0,0.0,0.023765640124972714,-0.08201052248477936,0.07235462992991272,-0.16095358540156954,-0.059396649955918916,0.0,0.03912843038377009,0.0247033384481543,0.08531870947856653,0.0,1.0,1.0
