gene_name,gene_length.meta,18mo.9mo.activity.log_ratio.max.5kb-20kb.enhancer_DMR,9mo.2mo.contact.log_ratio.mean.20kb-5Mb.enhancer_peak,9mo.2mo.activity.log_ratio.median.20kb-5Mb.enhancer_peak,count.enhancer_peak,18mo.9mo.contact.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.2mo.contact.log_ratio.count.20kb-5Mb.enhancer_peak,9mo.2mo.activity.log_ratio.min.20kb-5Mb.enhancer_peak,18mo.9mo.contact.log_ratio.std.20kb-5Mb.enhancer_peak,9mo.2mo.activity.log_ratio.mean.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.median.20kb-5Mb.enhancer_peak,distance.log2.DMR,18mo.9mo.Q.std.loops,Qanova.mean.loops,9mo.2mo.Q.min.loops,loop_size.log.median.loops,18mo.2mo.T.max.loops,loop_size.log.mean.loops,18mo.9mo.log_ratio.mcg_genebody,18mo.9mo.log_ratio.mch_genebody,9mo.2mo.log_ratio.mch_genebody,18mo.2mo.log_ratio.std.atac,log2_distance.std.atac,18mo.2mo.log_ratio.mean.atac,log2_distance.max.atac,count.atac,log2_distance.mean.atac,9mo.2mo.log_ratio.max.atac,DEG,pred
Ypel4,-0.16356043828847378,0.0,0.0,0.0,0.0,0.0070952936810882465,-0.002274029349025927,0.0,0.0,0.11648290859241235,0.0,0.0,0.0,0.2775965871191339,0.0,-0.008894302820982901,-0.003088033169900116,-0.00254104188398311,-0.13738591978816608,-0.05088480307083381,0.0012900534232980327,0.0,-0.02263229791271059,-0.0013314163018214075,0.13213417796712174,0.002794427110960609,0.17800131802888294,0.3005618096182221,1.0,1.0
Atpif1,-0.2795948856755307,0.0,0.0,0.0,0.0,0.003870160269894098,-0.004548058698051854,0.0,0.0,-0.0861247819113104,0.0,0.0,0.0,-0.03638446958441483,0.0,0.009016386355812612,-0.003088033169900116,-0.008893646593940886,-0.08099082994617914,-0.0585582699920786,0.0,0.0,-0.028016253129432078,-0.002662832603642815,-0.034304065433771985,0.002794427110960609,0.17164871331892514,-0.09715129199780916,1.0,1.0
Pspc1,-0.3142450438616307,0.0,0.0,0.0,0.0,0.023220961080177835,-0.004548058698051854,0.0,0.0,0.18289383530224623,0.0,0.0,0.0,-0.03638446958441483,0.0,0.013705727105077944,-0.007593370091758277,-0.008893646593940886,0.1222530705364127,0.024959830126087917,0.0070952937301052245,0.0,-0.02929986111427608,-0.002662832603642815,-0.034304065433771985,0.004191640568406959,-0.07874049609036822,0.3005618096182221,1.0,1.0
Rpsa,-0.20186361967046795,0.0,0.0,0.0,0.0,0.003870160269894098,-0.004548058698051854,0.0,0.0,-0.0861247819113104,0.0,0.0,0.0,-0.03638446958441483,0.0,0.009016386355812612,-0.003088033169900116,-0.00254104188398311,-0.08099082994617914,-0.0585582699920786,0.0,0.0,-0.028016253129432078,-0.002662832603642815,0.13213417796712174,0.002794427110960609,0.17800131802888294,0.3005618096182221,1.0,1.0
Ikbkb,-0.3498585973131029,0.0,0.0,0.0,0.0,0.003870160269894098,-0.004548058698051854,0.0,0.0,-0.0861247819113104,0.0,0.0,0.0,-0.03638446958441483,0.0,-0.013157339815638568,-0.007593370091758277,-0.008893646593940886,-0.08099082994617914,0.02368091894803863,0.0,0.0,-0.03468381633099757,-0.002662832603642815,-0.034304065433771985,0.004191640568406959,-0.07874049609036822,-0.09715129199780916,1.0,1.0
Kif18a,-0.2872332025221304,0.0,0.0,0.0,0.0,-0.057568632948555444,-0.004548058698051854,0.0,0.0,0.14886867833372794,0.0,0.0,0.0,-0.03638446958441483,0.0,0.013705727105077944,-0.003088033169900116,0.06183201917692235,0.09532320670979588,0.024959830126087917,0.0017738234570347949,0.0,-0.02263229791271059,-0.002662832603642815,0.06183201917692235,0.004191640568406959,0.17969534595153833,0.3005618096182221,1.0,1.0
Atp5j2,-0.1916263986525959,0.0,0.0,0.0,0.0,0.002902620128895107,-0.004548058698051854,0.0,0.0,-0.08128708052007776,0.0,0.0,0.0,-0.03638446958441483,0.0,-0.008894302820982901,-0.003088033169900116,-0.00254104188398311,-0.07615312924118418,-0.05088480307083381,-0.00870786060726172,0.0,-0.028016253129432078,-0.002662832603642815,0.13213417796712174,0.002794427110960609,0.17800131802888294,0.3005618096182221,1.0,1.0
Sf3a1,-0.3780005752648178,0.0,0.0,0.0,0.0,0.002902620128895107,-0.004548058698051854,0.0,0.0,-0.08128708052007776,0.0,0.0,0.0,-0.03638446958441483,0.0,0.013705727105077944,-0.007593370091758277,-0.008893646593940886,-0.07615312924118418,0.024959830126087917,-0.00870786060726172,0.0,-0.03468381633099757,-0.002662832603642815,-0.034304065433771985,0.004191640568406959,-0.07874049609036822,-0.09715129199780916,1.0,1.0
Scaper,1.027458125798914,0.0,0.0,0.0,-0.009872985513586747,-0.057568632948555444,-0.002274029349025927,0.0,0.0,0.14886867833372794,0.0,0.0,0.0,-0.018192234792207416,0.0,-0.06645717020881803,-0.006682917475700378,-0.003811562825974665,0.09532320670979588,0.043482542332065735,0.0017738234570347949,0.0,-0.03176810749267277,-0.0013314163018214075,-0.016516772245890217,0.010479101421017396,-0.051637797175269375,0.12143911499726145,1.0,2.0
Tmem209,-0.2682024166723223,0.0,0.0,0.0,0.0012341231891983434,0.003870160269894098,-0.004548058698051854,0.0,0.0,-0.05830767887987589,0.0,0.0,0.0,-0.03638446958441483,0.0,-0.013157339815638568,-0.0019742136723116823,-0.008893646593940886,-0.08099082994617914,-0.00824996662375174,0.0,0.0,0.21491550938471368,-0.002662832603642815,-0.034304065433771985,0.004191640568406959,0.12414040227763747,0.3005618096182221,1.0,1.0
Pkm,-0.22731597251013705,0.0,0.0,0.0,0.0,0.003870160269894098,-0.002274029349025927,0.0,0.0,-0.0861247819113104,0.0,0.0,0.0,0.2775965871191339,0.0,-0.008894302820982901,-0.003088033169900116,-0.00254104188398311,-0.08099082994617914,-0.05088480307083381,0.0,0.0,-0.028016253129432078,-0.0013314163018214075,0.13213417796712174,0.002794427110960609,0.17800131802888294,-0.09715129199780916,1.0,0.0
Ndn,-0.2595188750052138,0.0,0.0,0.0,0.0,-0.016448180852948052,-0.0032166423962304465,0.0,0.0,0.1103551534837798,0.0,0.0,0.0,-0.025733139169843572,0.0,-0.008894302820982901,-0.007593370091758277,-0.008893646593940886,-0.10706966586018864,-0.05088480307083381,0.0006450267116490163,0.0,-0.02929986111427608,0.16908987033131875,-0.034304065433771985,0.002794427110960609,-0.07874049609036822,-0.09715129199780916,1.0,1.0
Stk36,-0.2656191557057594,0.0,0.0,0.0,0.0,0.008062833748561772,-0.004548058698051854,0.0,0.0,-0.1297029400930593,0.0,0.0,0.0,-0.03638446958441483,0.0,0.009016386355812612,-0.003088033169900116,-0.00254104188398311,0.06865907107528887,-0.0585582699920786,0.00032251335582450817,0.0,-0.028016253129432078,-0.002662832603642815,0.13213417796712174,0.002794427110960609,0.17800131802888294,-0.09715129199780916,1.0,1.0
Fbln2,-0.3460696913105877,0.0,0.0,0.0,0.0,-0.013223047294702969,-0.004548058698051854,0.0,0.0,-0.10422438736024656,0.0,0.0,0.0,-0.03638446958441483,0.0,0.013705727105077944,-0.007593370091758277,-0.008893646593940886,0.06478891051129292,-0.006971055445702453,0.0,0.0,-0.03468381633099757,-0.002662832603642815,-0.034304065433771985,0.004191640568406959,-0.07874049609036822,-0.09715129199780916,1.0,0.0
2310039H08Rik,-0.10362158215751774,0.0,0.0,0.0,-0.004936492756793373,-0.057568632948555444,-0.0032166423962304465,0.0,0.0,0.14886867833372794,0.0,0.0,0.0,-0.025733139169843572,0.0,-0.013157339815638568,-0.003088033169900116,-0.00254104188398311,0.09532320670979588,-0.00824996662375174,0.0017738234570347949,0.0,-0.020164051534313904,-0.0013314163018214075,0.13213417796712174,0.004191640568406959,0.17800131802888294,-0.09715129199780916,1.0,0.0
Hif3a,-0.2883959268464854,0.0,0.0,0.0,0.0,0.003870160269894098,-0.004548058698051854,0.0,0.0,-0.0861247819113104,0.0,0.0,0.0,-0.03638446958441483,0.0,0.009016386355812612,-0.007593370091758277,-0.008893646593940886,-0.08099082994617914,-0.0585582699920786,0.0,0.0,-0.03468381633099757,-0.002662832603642815,-0.034304065433771985,0.002794427110960609,-0.07874049609036822,-0.09715129199780916,1.0,0.0
Rap2b,-0.2744201968767141,0.0,0.0,0.0,0.0,-0.016448180852948052,-0.004548058698051854,0.0,0.0,0.1103551534837798,0.0,0.0,0.0,-0.03638446958441483,0.0,0.009016386355812612,-0.007593370091758277,0.14483938738703728,-0.10706966586018864,-0.0585582699920786,0.0006450267116490163,0.0,-0.02929986111427608,-0.002662832603642815,-0.01524625130389866,0.002794427110960609,-0.07238789138041045,-0.09715129199780916,1.0,1.0
Znrf3,0.23963979023851847,0.0,0.0,0.0,0.0,0.008062833748561772,-0.002274029349025927,0.0,0.0,-0.1297029400930593,0.0,0.0,0.0,0.2775965871191339,0.0,0.0549449922614976,-0.007593370091758277,-0.008893646593940886,0.06865907107528887,-0.0170895753330306,0.00032251335582450817,0.0,-0.03468381633099757,-0.0013314163018214075,-0.034304065433771985,0.004191640568406959,-0.07874049609036822,-0.045539668123973046,1.0,0.0
Ncs1,-0.283161246855008,0.0,0.0,0.0,0.0012341231891983434,0.003870160269894098,-0.002274029349025927,0.0,0.0,-0.0861247819113104,0.0,0.0,0.0,0.2775965871191339,0.0,0.009016386355812612,-0.0036950015806053813,-0.008893646593940886,-0.08099082994617914,-0.0585582699920786,0.0,0.0,0.1642664133718139,-0.0013314163018214075,-0.034304065433771985,0.002794427110960609,-0.06165390434723936,-0.09715129199780916,1.0,0.0
Arhgdia,-0.27569045842086015,0.0,0.0,0.0,-0.004936492756793373,-0.016448180852948052,-0.004548058698051854,0.0,0.0,0.1103551534837798,0.0,0.0,0.0,-0.03638446958441483,0.0,-0.008894302820982901,-0.007593370091758277,-0.008893646593940886,-0.10706966586018864,-0.05088480307083381,0.0006450267116490163,0.0,-0.026831614735879396,-0.002662832603642815,-0.034304065433771985,0.002794427110960609,-0.07874049609036822,-0.09715129199780916,1.0,0.0
Fancc,1.2747228429407667,0.0,0.0,0.0,0.0,0.023220961080177835,-0.002274029349025927,0.0,0.0,0.18289383530224623,0.0,0.0,0.0,-0.018192234792207416,0.0,0.0549449922614976,-0.006682917475700378,-0.0023292883936511842,0.1222530705364127,0.21612474337024123,0.0070952937301052245,0.0,-0.0441093393846562,-0.0013314163018214075,-0.010799428006928218,0.010479101421017396,0.013370524356631856,-0.045539668123973046,1.0,2.0
Gm16091,-0.27815870401498516,0.0,0.0,0.0,0.0,0.003870160269894098,-0.004548058698051854,0.0,0.0,-0.0861247819113104,0.0,0.0,0.0,-0.03638446958441483,0.0,-0.008894302820982901,-0.007593370091758277,-0.008893646593940886,-0.08099082994617914,-0.05088480307083381,0.0,0.0,-0.03468381633099757,-0.002662832603642815,-0.034304065433771985,0.002794427110960609,-0.07874049609036822,-0.09715129199780916,1.0,1.0
Nob1,-0.3780005752648178,0.0,0.0,0.0,0.0,0.004837700337367623,-0.004548058698051854,0.0,0.0,-0.10712700744012468,0.0,0.0,0.0,-0.03638446958441483,0.0,0.013705727105077944,-0.007593370091758277,-0.008893646593940886,0.0657564506522919,0.024959830126087917,-0.016125667497123543,0.0,-0.03468381633099757,-0.002662832603642815,-0.034304065433771985,0.004191640568406959,-0.07874049609036822,-0.09715129199780916,1.0,1.0
BC002059,-0.25530231619057686,0.0,0.0,0.0,0.0,0.023220961080177835,-0.004548058698051854,0.0,0.0,0.18289383530224623,0.0,0.0,0.0,-0.03638446958441483,0.0,0.013705727105077944,-0.003088033169900116,0.06183201917692235,0.1222530705364127,-0.006971055445702453,0.0070952937301052245,0.0,-0.02263229791271059,-0.002662832603642815,0.06183201917692235,0.004191640568406959,0.17969534595153833,0.3005618096182221,1.0,1.0
Kxd1,-0.2795948856755307,0.0,0.0,0.0,0.0,0.003870160269894098,-0.004548058698051854,0.0,0.0,-0.0861247819113104,0.0,0.0,0.0,-0.03638446958441483,0.0,0.009016386355812612,0.0403509305201863,-0.008893646593940886,-0.08099082994617914,-0.0585582699920786,0.0,0.0,-0.026345523858540935,-0.002662832603642815,-0.034304065433771985,0.002794427110960609,0.12653902015575258,-0.09715129199780916,1.0,0.0
Taok2,-0.36402484529504653,0.0,0.0,0.0,0.0,0.004837700337367623,-0.004548058698051854,0.0,0.0,-0.10712700744012468,0.0,0.0,0.0,-0.03638446958441483,0.0,0.013705727105077944,-0.007593370091758277,-0.00254104188398311,0.0657564506522919,0.024959830126087917,-0.016125667497123543,0.0,-0.03468381633099757,-0.002662832603642815,0.13213417796712174,0.004191640568406959,-0.07238789138041045,-0.09715129199780916,1.0,0.0
4930473D10Rik,-0.26332629266145985,0.0,0.0,0.0,0.0,0.023220961080177835,-0.004548058698051854,0.0,0.0,0.18289383530224623,0.0,0.0,0.0,-0.03638446958441483,0.0,-0.013157339815638568,-0.003088033169900116,-0.00254104188398311,0.1222530705364127,0.02368091894803863,0.0070952937301052245,0.0,-0.02263229791271059,-0.002662832603642815,0.13213417796712174,0.004191640568406959,0.17800131802888294,0.3005618096182221,1.0,1.0
Osbpl6,0.8775370496472246,0.0,0.0,0.0,0.009872985513586747,0.023220961080177835,-0.0032166423962304465,0.0,0.0,0.14251417254931048,0.0,0.0,0.0,-0.025733139169843572,0.0,-0.06645717020881803,-0.0036950015806053813,-0.003811562825974665,0.1222530705364127,0.016441472560951586,0.0070952937301052245,0.0,0.33159116684998335,-0.0013314163018214075,-0.016516772245890217,0.010479101421017396,-0.05276025775329847,-0.045539668123973046,1.0,2.0
Ccnd3,0.14517671428620815,0.0,0.0,0.0,0.0,0.008062833748561772,-0.004548058698051854,0.0,0.0,-0.1297029400930593,0.0,0.0,0.0,-0.03638446958441483,0.0,-0.06645717020881803,-0.007593370091758277,-0.008893646593940886,0.06865907107528887,-0.042241495396745835,0.00032251335582450817,0.0,-0.03468381633099757,-0.002662832603642815,-0.034304065433771985,0.004191640568406959,-0.07874049609036822,-0.045539668123973046,1.0,0.0
