gene_name,gene_length.meta,18mo.9mo.activity.log_ratio.max.5kb-20kb.enhancer_DMR,9mo.2mo.contact.log_ratio.mean.20kb-5Mb.enhancer_peak,9mo.2mo.activity.log_ratio.median.20kb-5Mb.enhancer_peak,count.enhancer_peak,18mo.9mo.contact.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.2mo.contact.log_ratio.count.20kb-5Mb.enhancer_peak,9mo.2mo.activity.log_ratio.min.20kb-5Mb.enhancer_peak,18mo.9mo.contact.log_ratio.std.20kb-5Mb.enhancer_peak,9mo.2mo.activity.log_ratio.mean.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.median.20kb-5Mb.enhancer_peak,distance.log2.DMR,18mo.9mo.Q.std.loops,Qanova.mean.loops,9mo.2mo.Q.min.loops,loop_size.log.median.loops,18mo.2mo.T.max.loops,loop_size.log.mean.loops,18mo.9mo.log_ratio.mcg_genebody,18mo.9mo.log_ratio.mch_genebody,9mo.2mo.log_ratio.mch_genebody,18mo.2mo.log_ratio.std.atac,log2_distance.std.atac,18mo.2mo.log_ratio.mean.atac,log2_distance.max.atac,count.atac,log2_distance.mean.atac,9mo.2mo.log_ratio.max.atac,DEG,pred
Prkab2,-0.2899931013142984,-0.3532876962501752,0.007838129954363563,0.0,0.0,-0.01386364431757676,-0.0033739876051090264,0.0,-0.002737659568849363,0.0,0.002969879460962195,0.0,-0.016582286132401543,-0.0026971249792136645,0.014040559040088402,0.004920132654277902,0.0,0.0,-0.18618951016412066,0.010136479805958899,0.0,-0.005175312882975528,-0.014748151297681034,-0.002036860898921364,0.0,-0.016819337480946592,0.2967297357850169,0.09472821045078729,1.0,1.0
Ddx41,-0.2661246394640521,-0.2639434687597187,0.00681266208228312,0.0,0.0,0.01386364431757676,-0.010121962741801613,0.0,0.005475319137698726,0.0,-0.00593975892192439,0.0,-0.016582286132401543,-0.0026971249792136645,-0.0108846344641949,0.0021706466612062955,0.0,0.0,-0.151835662680433,-0.0720483115629146,0.0,-0.011644453986694938,0.0005927820150789462,-0.006443798738090615,0.0,-0.016819337480946592,-0.15964680356218627,-0.054441500259073156,1.0,1.0
Wwox,1.401098442950139,0.2202969228750781,-0.01362363897925733,0.0,0.0028868104870382106,-0.035236762640507596,-0.0033739876051090264,0.0,-0.031026808446959445,0.0,0.027058901755433334,0.0,0.11082115367447075,-0.0008990416597378882,0.07121059332827204,-0.0036177445006997963,0.0,0.0,0.2718781013789244,0.17958932693459487,0.0,0.04625435889159378,-0.010005894478557533,-0.0015628454520514137,0.0,-0.007358460147914134,-0.09623442778952028,-0.02504309011917365,1.0,2.0
Ubl5,-0.21439859670537867,0.2137951597963509,0.02079197348977782,0.0,-0.010392517929798678,-0.035236762640507596,-0.0033739876051090264,0.0,-0.002737659568849363,0.0,0.006599732135471545,0.0,0.03305000270177659,-0.0026971249792136645,0.021249248254063883,0.010274394464335944,0.0,0.0,-0.5002716503253108,-0.06685205303916805,0.0,-0.005175312882975528,0.01942564994341841,0.06323646734419622,0.0,-0.016819337480946592,0.36607734781787976,-0.054441500259073156,1.0,0.0
Ypel1,-0.26421340545149224,0.14547393843531609,0.0073052035938752325,0.0,0.0,0.03639206633363899,-0.010121962741801613,0.0,0.005475319137698726,0.0,0.002639892854188618,0.0,-0.020738291921780297,-0.0026971249792136645,-0.025481363758444786,0.0032559701388603763,0.0,0.0,-0.22473725993308777,-0.0720483115629146,0.0,-0.011644453986694938,-0.014155369251966476,-0.006443798738090615,0.0,-0.016819337480946592,-0.21282121784200794,-0.054441500259073156,1.0,0.0
Psmd11,-0.34015531837940216,-0.4198108261549159,0.008412885038476241,0.0,0.0,0.01386364431757676,-0.010121962741801613,0.0,-0.002737659568849363,0.0,0.006434738832084756,0.0,-0.023410010102548097,-0.0008990416597378882,0.02439601699772634,-0.005933101141923352,0.0,0.0,0.14738828524653064,0.010136479805958899,0.0,-0.011644453986694938,0.001975940148297109,-0.006443798738090615,0.0,-0.016819337480946592,-0.17295024039125756,-0.054441500259073156,1.0,1.0
Nrg3,1.2658128947215646,0.1846552277474027,0.0065092996351028744,0.0,0.0028868104870382106,0.03639206633363899,-0.0033739876051090264,0.0,-0.031026808446959445,0.0,0.005609772315150813,0.0,-0.0787294426638829,-0.0008990416597378882,-0.28174473384493276,-0.006729004953644778,0.0,0.0,0.19555410392901026,0.12091392072799959,0.0,-0.003881484662231646,-0.01502074238746182,-0.0015628454520514137,0.0,-0.007358460147914134,-0.11180004962768994,-0.02504309011917365,1.0,2.0
Mettl5,-0.24662064858957342,0.1621557164349054,0.012541444825106546,0.0,0.0,0.03639206633363899,-0.010121962741801613,0.0,0.005475319137698726,0.0,0.006599732135471545,0.0,-0.020738291921780297,-0.0026971249792136645,0.021249248254063883,0.0032559701388603763,0.0,0.0,-0.24846976522454306,-0.0720483115629146,0.0,-0.011644453986694938,0.005730226415356523,-0.0053549687329091525,0.0,-0.016819337480946592,-0.28393191373661947,0.09472821045078729,1.0,1.0
Gm17178,-0.368580885035427,-0.3995887321469031,0.00964291834909665,0.0,0.0,-0.01386364431757676,-0.010121962741801613,0.0,-0.002737659568849363,0.0,-0.017819276765773173,0.0,0.03483114815562179,-0.0008990416597378882,0.018621251379188738,0.0036177445987337514,0.0,0.0,0.15105479960574916,0.010136479805958899,0.0,-0.011644453986694938,0.001975940148297109,-0.006443798738090615,0.0,-0.016819337480946592,-0.17967924529588536,-0.054441500259073156,1.0,1.0
Prdm9,-0.174033480990482,0.31620603343962056,-0.22351724703453088,0.0,0.0,0.03639206633363899,0.10796760284881059,0.0,0.005475319137698726,0.0,-0.05279785708377236,0.0,0.06659490801393986,-0.0008990416597378882,0.03978556546529657,0.012445041223576194,0.0,0.0,0.28271227140028615,-0.0720483115629146,0.0,-0.005175312882975528,0.018240085913260515,-0.002036860898921364,0.0,0.11247931940383032,0.337687041291869,0.09472821045078729,1.0,1.0
