gene_name,gene_length.meta,18mo.9mo.activity.log_ratio.max.5kb-20kb.enhancer_DMR,9mo.2mo.activity.log_ratio.mean.5kb-20kb.enhancer_DMR,9mo.2mo.contact.log_ratio.mean.20kb-5Mb.enhancer_peak,9mo.2mo.activity.log_ratio.median.20kb-5Mb.enhancer_peak,count.enhancer_peak,18mo.9mo.contact.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.2mo.contact.log_ratio.count.20kb-5Mb.enhancer_peak,18mo.2mo.contact.log_ratio.mean.20kb-5Mb.enhancer_peak,9mo.2mo.contact.log_ratio.min.20kb-5Mb.enhancer_peak,9mo.2mo.activity.log_ratio.min.20kb-5Mb.enhancer_peak,18mo.9mo.contact.log_ratio.std.20kb-5Mb.enhancer_peak,9mo.2mo.activity.log_ratio.mean.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.median.20kb-5Mb.enhancer_peak,distance.log2.DMR,18mo.9mo.Q.std.loops,Qanova.mean.loops,9mo.2mo.Q.min.loops,loop_size.log.median.loops,9mo.2mo.Q.std.loops,min_distance.log.median.loops,18mo.2mo.T.max.loops,loop_size.log.mean.loops,18mo.9mo.log_ratio.mcg_genebody,18mo.9mo.log_ratio.mch_genebody,9mo.2mo.log_ratio.mch_genebody,18mo.2mo.log_ratio.std.atac,log2_distance.std.atac,18mo.2mo.log_ratio.mean.atac,log2_distance.max.atac,9mo.2mo.log_ratio.mean.atac,count.atac,log2_distance.mean.atac,9mo.2mo.log_ratio.max.atac,DEG,pred
Rbbp6,-0.33461077584836046,0.12437659320666601,0.0,0.045590348737804515,0.0,0.002606808747115888,-0.003906935943584693,0.0,0.0,0.0,0.0,0.0025441774020069524,-0.08135961466713955,-0.009549668561177034,0.004924879691220428,0.0,-0.013405082257170426,0.11547108028868311,0.0,0.0,0.0,0.0,0.0,-0.11899274925848372,-0.024151397967024854,-0.0196237349637637,0.0,0.0,-0.0024704250850175555,-0.02391091949845615,-0.197178888869913,-0.04248427834949995,-0.04828769816575866,-0.007467581155268769,1.0,1.0
Adprhl2,-0.18188741911619313,-0.24448381283467538,0.0,0.026459060695120377,0.0,0.002606808747115888,0.006511559905974488,0.0,0.0,0.0,0.0,0.0025441774020069524,0.04230699962691257,-0.04218976853697218,-0.002441788983751873,0.0,-0.010228380168739119,-0.0706093612519142,0.0,0.0,0.0,0.0,0.0,-0.048692342580149046,-0.029360645107532803,-0.010328396517587336,0.0,0.0,-0.0024704250850175555,-0.02391091949845615,-0.10072201725683715,-0.04279073553257867,-0.04828769816575866,0.011408804842319927,1.0,1.0
Pyroxd1,-0.38417869283033435,0.17889010249391982,0.0,0.056897963642289766,0.0,0.002606808747115888,0.012046385580967916,0.0,0.0,0.0,0.0,0.0025441774020069524,0.04230699962691257,0.035676062058069204,0.005032087247328539,0.0,-0.0068334900332908885,0.12087520653087842,0.0,0.0,0.0,0.0,0.0,0.12304940055075445,0.018703290114277286,-0.024780589351920707,0.0,0.0,-0.0024704250850175555,0.09288472574400275,-0.3078842454736954,-0.042177821166421235,0.10398055715976577,0.07446837822269452,1.0,1.0
Slc30a6,-0.3215046885398854,-0.35526894735123377,0.0,-0.049370556763422335,0.0,0.002606808747115888,0.006511559905974488,0.0,0.0,0.0,0.0,0.0025441774020069524,0.04230699962691257,-0.04374011578405962,0.0010841514327024158,0.0,0.15359953339946897,0.12615565817165925,0.0,0.0,0.0,0.0,0.0,0.04237847898376027,-0.029360645107532803,-0.014882786098352977,0.0,0.0,-0.0012352125425087778,0.09288472574400275,0.268230206945813,-0.04248427833724571,0.10398055715976577,0.02302504196076801,1.0,1.0
Fto,0.4209423059426052,0.3276902452405346,0.0,0.1434801866447455,0.0,0.002606808747115888,-0.039394936622365526,0.0,0.0,0.0,0.0,-0.0025441774020069524,0.04230699962691257,0.07060504187584708,-0.14669651989089816,0.0,-0.02030253135844281,0.3743940122229488,0.0,0.0,0.0,0.0,0.0,0.2771929635323192,0.03980109526922828,0.13388128652188339,0.0,0.0,-0.0012352125425087778,-0.011035808999287454,0.48934254523268655,-0.011046186236566618,-0.04828769816575866,-0.00933447649310294,1.0,2.0
Trmt11,0.2306198657637364,0.1552011825046257,0.0,0.06421319022774696,0.0,0.002606808747115888,0.012046385580967916,0.0,0.0,0.0,0.0,0.0025441774020069524,0.04230699962691257,0.01950219807852256,0.006130407123189224,0.0,-0.0068334900332908885,0.29759872126344006,0.0,0.0,0.0,0.0,0.0,0.0882006881170367,0.018703290114277286,-0.048842796761738624,0.0,0.0,-0.0024704250850175555,-0.02391091949845615,-0.3425520594770971,-0.019136655879648107,-0.04828769816575866,-0.02924802600357093,1.0,1.0
Cpeb3,0.20045368020471774,0.1183005182660724,0.0,-0.02790925867463413,0.0,0.002606808747115888,0.045580918263447914,0.0,0.0,0.0,0.0,0.0025441774020069524,0.04230699962691257,-0.08968571723916714,-0.019225271988513048,0.0,-0.0069435548625494305,-0.29076869388748156,0.0,0.0,0.0,0.0,0.0,0.03779019111473309,0.05835903847688123,-0.052914886612837254,0.0,0.0,-0.0024704250850175555,-0.011035808999287454,-0.12008975402108933,-0.01974957024580554,-0.04828769816575866,-0.02924802600357093,1.0,0.0
9930104L06Rik,-0.22027968429028988,0.1236501807641042,0.0,0.042374909953459314,0.0,0.002606808747115888,-0.006511559758923556,0.0,0.0,0.0,0.0,0.0025441774020069524,-0.08135961466713955,-0.09484581460588072,-0.0018115706349674024,0.0,-0.008630520272019663,-0.08235166207151978,0.0,0.0,0.0,0.0,0.0,0.04496846591294008,0.01577308832814819,-0.05142647341678017,0.0,0.0,-0.0024704250850175555,-0.02391091949845615,-0.18017155946673533,-0.04279073553257867,0.10398055715976577,-0.02924802600357093,1.0,0.0
Tmem231,-0.40922167791837927,-0.32223190640491484,0.0,-0.05652040115704662,0.0,0.002606808747115888,0.012046385580967916,0.0,0.0,0.0,0.0,0.0025441774020069524,0.04230699962691257,-0.01359788551436443,0.001516748893711912,0.0,-0.001847590564897186,0.1322239180046477,0.0,0.0,0.0,0.0,0.0,-0.09620386646986988,0.018703290114277286,0.01086426006728097,0.0,0.0,-0.0012352125425087778,-0.02391091949845615,0.15848353147310645,-0.04236169546646507,-0.04828769816575866,0.00684528263579858,1.0,1.0
Gm21814,-0.27671346932306495,0.14480063753312847,0.0,-0.06810950176594288,0.0,0.002606808747115888,0.012046385580967916,0.0,0.0,0.0,0.0,0.0025441774020069524,0.04230699962691257,0.05588892651844377,0.0022109569920423,0.0,-0.03064856384145586,0.13362825904531697,0.0,0.0,0.0,0.0,0.0,-0.17427281624833613,0.018703290114277286,-0.05412249320407251,0.0,0.0,-0.0012352125425087778,0.09288472574400275,0.1906637956241244,0.3461209446893343,0.05446872463155734,0.021573012253563655,1.0,1.0
