gene_name,gene_length.meta,9mo.2mo.activity.log_ratio.count.20kb-5Mb.enhancer_DMR,18mo.9mo.activity.log_ratio.min.20kb-5Mb.enhancer_DMR,18mo.9mo.contact.log_ratio.max.20kb-5Mb.enhancer_peak,9mo.2mo.log_ratio.DAR,9mo.2mo.log_ratio.mean.atac,18mo.2mo.log_ratio.mean.atac,18mo.2mo.log_ratio.max.atac,log2_distance.max.atac,DEG,pred
Rpia,-0.00047077063251944147,-0.002826167599243276,-0.06668168810360572,0.10010730825802859,0.0,0.032998299007030094,0.09467783964732114,0.06717933495255078,-0.10737347745281808,1.0,1.0
Rapgef6,-0.1697745947715114,-0.002826167599243276,-0.06583441125557703,-0.021966255762997794,0.0,0.00015097188160699958,-0.03371123618939344,-0.06524401081397253,-0.11982851672698469,1.0,2.0
4932441J04Rik,-0.14415897724821286,-0.002826167599243276,-0.08108539386268925,-0.07025931556435193,0.0,-0.0026017178726546906,0.02698892990455908,0.06717933495255078,0.09949190837933737,1.0,2.0
Mkrn1,-0.04707467610783437,-0.002826167599243276,-0.06583441125557703,-0.021966255762997794,0.0,-0.23557191911865683,-0.03371123618939344,-0.06524401081397253,0.11625830686705954,1.0,1.0
Zfp1,0.018829426892540035,-0.002826167599243276,-0.08108539386268925,-0.07025931556435193,0.0,0.028869264375637558,0.02698892990455908,0.06717933495255078,0.11194694765350398,1.0,1.0
Hgs,-0.060668297988526965,-0.011304670396973105,-0.06244530419216437,0.026989873279543483,0.0,-0.23419557424152598,-0.08743281563853517,0.06717933495255078,-0.10150229333735564,1.0,1.0
Fktn,-0.1697745947715114,-0.002826167599243276,-0.06583441125557703,-0.021966255762997794,0.0,0.00015097188160699958,-0.03371123618939344,-0.06524401081397253,-0.11982851672698469,1.0,1.0
Mob3b,-0.1697745947715114,-0.002826167599243276,-0.06583441125557703,-0.021966255762997794,0.0,0.00015097188160699958,-0.03371123618939344,-0.06524401081397253,-0.11982851672698469,1.0,2.0
Sirt4,0.4378914611742777,-0.011304670396973105,-0.03112731786335216,0.026989873279543483,0.0,-0.2236160876996377,-0.08743281563853517,0.06664626694777433,-0.07404326006550999,1.0,1.0
Reep5,-0.00047077063251944147,-0.002826167599243276,-0.06244530419216437,0.026989873279543483,0.0,0.032998299007030094,-0.08743281563853517,0.06717933495255078,-0.10737347745281808,1.0,1.0
Notch2,-0.13087678262416055,-0.002826167599243276,-0.06244530419216437,0.026989873279543483,0.0,-0.16652070128304117,-0.08743281563853517,-0.08595861735589364,-0.08552047467845328,1.0,2.0
Actn4,-0.1697745947715114,-0.002826167599243276,-0.06244530419216437,0.026989873279543483,0.0,0.0015273167587378446,-0.08743281563853517,-0.06524401081397253,-0.11982851672698469,1.0,1.0
Fmnl2,-0.10674725976936958,-0.002826167599243276,0.19470778962268548,0.05816709973356303,0.0,0.03705853212843923,0.1048451609471265,-0.05564878607059226,0.19078672896413243,1.0,2.0
Mynn,-0.0010796149863916285,-0.011304670396973105,-0.08108539386268925,-0.07025931556435193,0.0,0.028869264375637558,0.02698892990455908,0.06717933495255078,-0.1058136525509112,1.0,1.0
Hist1h1c,0.3683292396257029,0.09938689430846888,0.18456358205088796,-0.042299176456735414,0.0,0.04318743823643993,0.0685054951292627,0.06664626694777433,-0.0024177902652060285,1.0,0.0
Ajap1,-0.13021742530605374,-0.002826167599243276,-0.06583441125557703,-0.021966255762997794,0.0,-0.167897046160172,-0.03371123618939344,-0.06524401081397253,-0.10689443744280759,1.0,2.0
Mrfap1,0.497480144176413,-0.011304670396973105,-0.03536370177479351,0.10010730825802859,0.0,0.04357778554891839,0.09467783964732114,0.06664626694777433,-0.07835461927906555,1.0,1.0
Parp6,-0.0010796149863916285,-0.011304670396973105,-0.08108539386268925,-0.07025931556435193,0.0,0.028869264375637558,0.02698892990455908,0.06717933495255078,-0.1058136525509112,1.0,1.0
Bri3,-0.13021742530605374,-0.002826167599243276,-0.06244530419216437,0.026989873279543483,0.0,-0.16652070128304117,-0.08743281563853517,-0.06524401081397253,-0.10689443744280759,1.0,2.0
Ubl5,0.4514850830549703,-0.002826167599243276,-0.03112731786335216,0.026989873279543483,0.0,-0.2236160876996377,-0.08743281563853517,-0.06577707881874897,0.1437173401389052,1.0,1.0
Akap7,-0.1697745947715114,-0.002826167599243276,-0.06583441125557703,-0.021966255762997794,0.0,0.00015097188160699958,-0.03371123618939344,-0.06524401081397253,-0.11982851672698469,1.0,2.0
Bace1,-0.00047077063251944147,-0.002826167599243276,-0.06583441125557703,-0.021966255762997794,0.0,0.03162195412989925,-0.03371123618939344,0.06717933495255078,-0.10737347745281808,1.0,1.0
Creg2,-0.06005945363465477,-0.002826167599243276,-0.06244530419216437,0.026989873279543483,0.0,-0.23419557424152598,-0.08743281563853517,0.06717933495255078,-0.10306211823926252,1.0,1.0
Sox10,0.03834532891564509,0.016957005595459658,0.3122750150368494,-0.042299176456735414,0.0,0.03669621981680393,0.0685054951292627,0.06717933495255078,0.10659861203063936,1.0,1.0
Upf1,0.01904513139058562,-0.002826167599243276,0.3122750150368494,-0.042299176456735414,0.0,0.03669621981680393,0.0685054951292627,0.06717933495255078,-0.0929386411957881,1.0,1.0
Gadd45gip1,0.5173891860553447,-0.002826167599243276,-0.03536370177479351,0.10010730825802859,0.0,0.04357778554891839,0.09467783964732114,0.06664626694777433,0.13940598092534962,1.0,0.0
Twistnb,-0.0010796149863916285,-0.011304670396973105,-0.08108539386268925,-0.07025931556435193,0.0,0.028869264375637558,0.02698892990455908,0.06717933495255078,-0.1058136525509112,1.0,1.0
Eef1a1,0.03834532891564509,-0.002826167599243276,0.3122750150368494,-0.042299176456735414,0.0,0.03669621981680393,0.0685054951292627,0.06717933495255078,0.12638178391053395,1.0,1.0
Emg1,-0.030789782238357207,0.09938689430846888,0.25296563792097215,-0.016458955648190835,0.0,-0.22901587911388455,-0.06675503424861852,0.06717933495255078,-0.01594224024344893,1.0,1.0
Prpf4,0.018436287036713433,-0.011304670396973105,0.3122750150368494,-0.042299176456735414,0.0,0.03669621981680393,0.0685054951292627,0.06717933495255078,-0.09137881629388123,1.0,1.0
Slc9a6,-0.16406801912714453,-0.011304670396973105,-0.08108539386268925,-0.07025931556435193,0.0,-0.0026017178726546906,0.02698892990455908,0.06717933495255078,-0.11826869182507782,1.0,1.0
Nek1,-0.16345917477327235,-0.002826167599243276,-0.06244530419216437,0.026989873279543483,0.0,0.0015273167587378446,-0.08743281563853517,0.06717933495255078,-0.11982851672698469,1.0,2.0
Galnt11,-0.13095849522334688,-0.002826167599243276,0.25296563792097215,-0.016458955648190835,0.0,0.006707011886379298,-0.06675503424861852,-0.06524401081397253,0.11392674463636734,1.0,1.0
Cdon,-0.12390200530781466,-0.002826167599243276,-0.08108539386268925,-0.07025931556435193,0.0,-0.1706497359144337,0.02698892990455908,0.06717933495255078,-0.10689443744280759,1.0,2.0
Rpl13,0.5173891860553447,-0.002826167599243276,-0.03536370177479351,0.10010730825802859,0.0,0.04357778554891839,0.09467783964732114,0.06664626694777433,0.13940598092534962,0.0,0.0
Schip1,0.1802961663069094,-0.0018841118058737587,-0.06645729206502438,-0.07025931556435193,0.0,0.028378512819900233,0.02698892990455908,-0.012703926466843662,0.2742725122062599,0.0,2.0
Ebf1,0.056920242221916426,-0.0018841118058737587,-0.0478172023944995,0.026989873279543483,0.0,-0.22294185880352468,-0.08743281563853517,-0.17977859298972523,0.1198962454629295,2.0,2.0
Pou6f2,0.024329876198488122,-0.0018841118058737587,-0.0656264803974944,-0.07025931556435193,0.0,0.4478523191064596,0.02698892990455908,0.06717933495255078,-0.08957145735621452,2.0,0.0
Cdh18,0.07278170754366062,-0.0018841118058737587,-0.03574739599271732,-0.021966255762997794,0.0,0.03686955078121494,-0.03371123618939344,-0.0053352461579967946,0.5236868773970533,2.0,2.0
Cmss1,0.0514615983428324,-0.0018841118058737587,-0.06645729206502438,-0.07025931556435193,0.0,0.028378512819900233,0.02698892990455908,-0.05564878607059226,0.2742725122062599,0.0,2.0
Rassf3,-0.11136088060105548,0.016957005595459658,0.2436455931952771,0.019788019468679148,0.0,-0.1603882997570669,-0.09463466857286061,-0.08595861735589364,-0.09086881106828942,2.0,2.0
