gene_name,gene_length.meta,18mo.9mo.activity.log_ratio.min.20kb-5Mb.enhancer_DMR,9mo.2mo.activity.log_ratio.count.20kb-5Mb.enhancer_DMR,count.enhancer_DMR,18mo.2mo.activity.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.9mo.contact.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.median.20kb-5Mb.enhancer_peak,9mo.2mo.contact.log_ratio.std.20kb-5Mb.enhancer_peak,18mo.9mo.contact.log_ratio.std.20kb-5Mb.enhancer_peak,18mo.2mo.contact.log_ratio.max.20kb-5Mb.enhancer_peak,9mo.2mo.log_ratio.DAR,18mo.2mo.log_ratio.DAR,count.DAR,size.log2.DMR,distance.log2.DMR,18mo.9mo.Q.std.loops,Tanova.max.loops,Qanova.mean.loops,loop_size.log.std.loops,18mo.2mo.Q.mean.loops,18mo.9mo.Q.mean.loops,9mo.2mo.Q.mean.loops,9mo.2mo.Q.max.loops,18mo.9mo.Q.median.loops,min_distance.log.std.loops,9mo.2mo.T.mean.loops,count.loops,Qanova.min.loops,18mo.2mo.T.mean.loops,18mo.2mo.Q.std.loops,Qanova.std.loops,9mo.2mo.T.median.loops,18mo.2mo.Q.max.loops,Tanova.median.loops,18mo.9mo.Q.max.loops,9mo.2mo.log_ratio.max.atac,18mo.2mo.log_ratio.mean.atac,18mo.2mo.log_ratio.max.atac,log2_distance.max.atac,9mo.2mo.log_ratio.mean.atac,18mo.2mo.log_ratio.min.atac,18mo.9mo.log_ratio.mean.atac
Heatr5a,95450.0,0.0,0.0,3,-0.007757182938235,0.4150374992764392,0.0326227063309318,0.4527062369772203,0.7487335700235455,0.2344652536357498,0.0,0.0,0,3.684153332690317,12.923975636631742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3971613975941634,-0.1307035394068366,0.1611623965545516,14.701739638674356,0.0472490229454175,-0.4319514351297436,-0.1779525623522542
Kdm5a,80450.0,-0.0167184296146164,0.0,4,-0.0636833275774382,-0.1255308820827658,-0.0316475207456461,0.1518629850103411,0.2652529686904729,0.459431618632379,0.0,0.0,0,4.27729442584937,13.961783397286297,0.0013473275337137,3.364134,2.115118493818421,2.194235549151017,0.000895624818421,0.0016576176447368,-0.0007619928263157,0.0007001289999999,0.0015159990499999,0.757016476334654,-0.0311710100263157,38,0.0017552151,-0.0031153435526315,0.0011472655028429,1.5387376959233603,-0.0211456,0.0029307799999999,1.018573,0.0038335214999999,0.1085076921239585,-0.2373596900087312,-0.2066102072700157,11.20579324939722,-0.0364553241017523,-0.2536765894456358,-0.2009043659069789
4933423P22Rik,9189.0,0.0016559393878489,6.0,24,0.0306633969877339,1.2223924213272874,-0.0316953665343828,0.5175445088289649,0.6390931773814754,0.6918777046334399,0.0,0.0,0,6.619592673445126,12.03862919024674,0.0009892659292142,2.774845,1.16825870592,0.5875745736541509,0.001410895265,0.00153243009,-0.0001215348249999,0.0012015164999999,0.0013979494999999,0.1467830614515078,-0.06084296295,20,0.0056063584,0.0250991535,0.0006280214781167,0.8713426088984068,-0.0711991749999999,0.002648103,0.98014275,0.0030217314999999,0.2536792005046548,-0.0625703221233264,-0.0073340077044387,12.495355392236007,0.0061707885415025,-0.1091124521052564,-0.0687411106648289
Decr1,28267.0,0.0,0.0,2,-0.1636071851120242,0.1699250014403088,0.0777375752679474,0.915078526425998,0.1201551208115762,1.1699250014222748,0.0,0.0,0,0.0,0.0,0.0006998956202649,6.0383005,1.442671369090909,0.0232623119189167,0.000329008290909,-0.000551519990909,0.0008805282818181,0.0015256312,-0.000563599,0.3240149111952681,0.1268324798181818,11,0.25442573,0.032537088,0.0005546444510155,1.0156525391210105,0.11848602,0.001251721,2.387373,0.0004413501,-0.1102043553967009,-0.1717163209624013,-0.116802874624784,11.489847960439349,-0.1734465282082953,-0.2266297673000186,0.001730207245894
Agk,71590.0,0.0693279645373695,1.0,2,0.0345889500647578,0.999999999981966,0.0315318635452122,1.146855004346952,0.9054893443798387,0.8479969065506752,0.0,0.0,0,0.0,0.0,0.0009272265575939,4.5109787,1.1043391641538465,0.9973830438390984,0.0001206191205128,0.0002384503358974,-0.0001178312153846,0.0019839465,0.0001432118,0.5259235858022349,0.0026861967435897,39,0.015837822,0.0253399973333333,0.0006818539000008,0.9050186342350868,0.0011243699999999,0.0014611676,1.1786623,0.0025974503,0.1575587488374126,-0.0508347462449366,0.4152417414793946,14.574416135894367,0.0090582498891968,-0.3371885119258798,-0.0598929961341334
Tspan14,60362.0,0.0,0.0,9,-0.0808287044027271,1.999999999891798,-0.018340220470697,0.6172557423139211,1.271124994918876,1.999999999891798,0.0,0.0,0,6.284927804167324,13.8738005731717,0.0009541648505794,3.063288,0.5666142,0.0708982351026588,0.0006263925333333,0.0011465766666666,-0.0005201841333333,0.0005447815999999,0.0016974639999999,0.2197969771101877,0.1367356833333333,3,0.18881634,0.1308584933333333,3.187747135287413e-05,0.3271825442553968,0.14353264,0.0006447969999999,3.063288,0.0016974639999999,0.1975934106349999,0.0995313954238078,0.4911905946857917,14.556086884168364,0.0755469791407501,-0.1501314307586252,0.0239844162830576
Glis1,200470.0,0.0,0.0,7,-0.063311018110248,0.0,0.0,0.0,0.0,1.5849625006890964,0.5265604400004587,0.6071913058125084,3,6.076556245167441,15.180082189932726,0.0010073904075374,3.8123167,1.0455424066666668,1.409041609980728,0.0002705051979797,5.91791080808081e-05,0.0002113260898989,0.0028157115,-0.0001309626999999,0.6804485255899202,0.0108982269090909,99,0.027736494,0.0070144868131313,0.0010937551659726,0.9354303998196608,0.0112165459999999,0.0033229212,0.8901647,0.0026926039999999,0.8429611505667656,0.3564074066007101,0.765659895526421,16.637983303777855,0.3419698528754229,-0.1361454108026665,0.0144375537252872
Eif6,7093.0,-0.0242578911737168,1.0,9,-0.0327989673340303,0.6780719051018176,-0.0858182451153068,0.4381189615247611,0.3907055042605237,0.9999999999879776,0.0,0.0,0,5.209453365632849,10.255028569818847,0.0012527094498174,4.8362136,0.992351038235294,0.8114070436018287,0.0001814582294117,0.0003095144764705,-0.0001280562470588,0.00070315,-0.000313682,0.2716037358672892,0.0474841087058823,17,0.10526984,-0.0031973821882352,0.0009500614582476,0.7479220652297922,0.07345468,0.0017344459999999,1.1405224,0.002593746,0.3443747479736784,0.059934010392306,0.3943373422303456,11.547858506058464,0.201887309684411,-0.3495921996468013,-0.141953299292105
Frmpd1,101061.0,-0.0675439247726404,0.0,6,0.0039700010460279,0.5145731728235754,-0.0884113995024278,0.3250648081626098,0.4201472362475812,0.2954558835249568,0.0,0.0,0,6.37526775522304,15.07013560926108,0.00110411320331,4.1195393,1.0850473067391306,1.2368372669187522,0.0005133848413043,0.001221189297826,-0.0007078044565217,0.0013615827,0.0013245185,0.4425743552739047,-0.0116883048043478,46,0.01848936,-0.0322530462173913,0.0009442369531443,0.9104165862459408,-0.0016539925,0.0027684779999999,0.601511375,0.004011715,0.8332867133031772,0.1017988605721802,0.7491717727540177,15.602785841598738,0.2526297159977292,-0.6665783442554165,-0.150830855425549
Apopt1,41792.0,0.0,0.0,3,-0.0875754383909122,0.3785116232504006,-0.0078917092428278,0.0584492123774854,0.6459568870409875,0.8930847960739761,0.0,0.0,0,6.391171333269749,13.00822547343658,0.0007245561625375,6.3432617,0.9343373734035088,1.0814388383092397,0.0001651382315789,0.0002228181087719,-5.767987719298241e-05,0.0019303645999999,0.0001246924,0.527769868567377,0.0297265335526315,57,0.0071540615,0.0116572196403508,0.0011719290143254,0.9666067250738568,0.0192227999999999,0.0029317234999999,1.0510913,0.0023227689999999,0.9216015998761308,0.2376104189462422,1.0837662794398235,14.367483007346054,0.2401870361420074,-0.8404672149447587,-0.0025766171957651
