,DEG,pred,score_0,score_1,score_2
Heatr5a,1,2,0.2180386483669281,0.28205642104148865,0.4999050199985504
Kdm5a,1,1,0.2816402018070221,0.5286639332771301,0.189695805311203
4933423P22Rik,1,1,0.34064754843711853,0.538085401058197,0.12126711010932922
Decr1,1,1,0.3184153437614441,0.5946704149246216,0.08691416680812836
Agk,1,1,0.15657255053520203,0.5625855326652527,0.2808419167995453
Tspan14,1,1,0.1606249362230301,0.48157811164855957,0.3577969968318939
Glis1,1,2,0.10510069876909256,0.13266009092330933,0.7622392177581787
Eif6,1,1,0.19161514937877655,0.7179190516471863,0.0904657393693924
Frmpd1,1,2,0.1388797163963318,0.18670260906219482,0.6744176745414734
Apopt1,1,1,0.22033780813217163,0.5405567288398743,0.2391054779291153
Nkx2-2os,1,2,0.21841974556446075,0.2389654815196991,0.542614758014679
Tcp11l2,1,1,0.19866207242012024,0.6824598908424377,0.11887799203395844
Sirpa,1,1,0.1815434843301773,0.6626638770103455,0.15579259395599365
Ajap1,1,2,0.12216152250766754,0.18328867852687836,0.6945497989654541
Mgmt,1,2,0.13917817175388336,0.14093069732189178,0.7198910713195801
Pank1,1,2,0.19076433777809143,0.3761516511440277,0.43308401107788086
Zfp566,1,1,0.3169126510620117,0.606643557548523,0.07644379138946533
4933434E20Rik,1,1,0.19447049498558044,0.7155119776725769,0.09001754969358444
Slc2a8,1,1,0.34442979097366333,0.5719733238220215,0.0835968628525734
Klhdc4,1,1,0.24931442737579346,0.5293803215026855,0.22130529582500458
Kmt2e,1,1,0.19904476404190063,0.4179094135761261,0.3830457925796509
Yipf5,1,1,0.450405091047287,0.45370617508888245,0.09588876366615295
Dlg2,1,0,0.49581682682037354,0.23030629754066467,0.2738769054412842
Ciapin1,1,1,0.20377586781978607,0.6458638310432434,0.15036027133464813
2810454H06Rik,1,0,0.4424137473106384,0.4284230172634125,0.1291632354259491
Arhgap21,1,2,0.18237125873565674,0.19571533799171448,0.6219133734703064
Oprl1,1,1,0.420568585395813,0.445207804441452,0.13422361016273499
Abhd14b,1,0,0.4588782787322998,0.4504144489765167,0.09070730209350586
