gene_name,gene_length.meta,18mo.9mo.activity.log_ratio.min.20kb-5Mb.enhancer_DMR,9mo.2mo.activity.log_ratio.count.20kb-5Mb.enhancer_DMR,count.enhancer_DMR,18mo.2mo.activity.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.9mo.contact.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.median.20kb-5Mb.enhancer_peak,9mo.2mo.contact.log_ratio.std.20kb-5Mb.enhancer_peak,18mo.9mo.contact.log_ratio.std.20kb-5Mb.enhancer_peak,18mo.2mo.contact.log_ratio.max.20kb-5Mb.enhancer_peak,9mo.2mo.log_ratio.DAR,18mo.2mo.log_ratio.DAR,count.DAR,size.log2.DMR,distance.log2.DMR,18mo.9mo.Q.std.loops,Tanova.max.loops,Qanova.mean.loops,loop_size.log.std.loops,18mo.2mo.Q.mean.loops,18mo.9mo.Q.mean.loops,9mo.2mo.Q.mean.loops,9mo.2mo.Q.max.loops,18mo.9mo.Q.median.loops,min_distance.log.std.loops,9mo.2mo.T.mean.loops,count.loops,Qanova.min.loops,18mo.2mo.T.mean.loops,18mo.2mo.Q.std.loops,Qanova.std.loops,9mo.2mo.T.median.loops,18mo.2mo.Q.max.loops,Tanova.median.loops,18mo.9mo.Q.max.loops,9mo.2mo.log_ratio.max.atac,18mo.2mo.log_ratio.mean.atac,18mo.2mo.log_ratio.max.atac,log2_distance.max.atac,9mo.2mo.log_ratio.mean.atac,18mo.2mo.log_ratio.min.atac,18mo.9mo.log_ratio.mean.atac,DEG,pred
Heatr5a,-0.17384711718734572,0.0,0.0,-0.035527728497982025,0.0,-0.030496298088966048,-0.06911508612992133,0.005300807602265302,-0.022219655158765176,0.03853246898335569,0.0,0.0,0.0,0.0,-0.002281539689968614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007234877358902903,0.0,0.03495729144881753,-0.03187327941550928,0.2282996546367512,0.0,-0.018592162386459464,0.0071959311471265905,0.0,-0.030496298088966048,1.0,2.0
Glis1,-0.18194649982101777,0.0,-0.002546794931678211,0.0874260770266547,0.0,0.028966774725738692,0.019707195159486112,0.005300807602265302,0.010360094389932998,-0.008937943836345393,0.0,0.0,0.0,0.0,-0.009126158759874456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.022555794470998293,0.0,-0.008937943836345393,-0.020727325449971593,-0.2683199049137971,0.0,-0.010581007117734235,-0.0172844370279242,0.0,0.001229281263316379,1.0,2.0
Frmpd1,-0.18194649982101777,0.0,-0.002546794931678211,0.0874260770266547,0.0,-0.020606062635231542,0.012580717694671714,0.005300807602265302,0.010360094389932998,0.006753113120794296,0.0,0.0,0.0,0.0,-0.009126158759874456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.007660458371152773,0.0,-0.017081403776126748,-0.020727325449971593,-0.21222818193628507,0.0,-0.010581007117734235,-0.0172844370279242,0.0,-0.020606062635231542,1.0,2.0
Nkx2-2os,-0.20960870407083454,0.0,0.0,-0.035527728497982025,0.0,-0.03722456513958819,-0.08656888778376229,0.005300807602265302,0.011227867072995971,-0.0182731296209728,0.0,0.0,0.0,0.0,-0.002281539689968614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.012554640744758002,0.0,-0.0182731296209728,-0.03187327941550928,0.18927920056397424,0.0,-0.018592162386459464,0.009509991197025074,0.0,0.0004570471972007962,1.0,2.0
Yipf5,0.15635009855031967,0.0,0.0,-0.035527728497982025,0.0,0.15089165638474858,0.09411916079218774,-0.004417339668554419,0.020484109628288186,-0.056408356656046474,0.0,0.0,0.0,0.0,-0.002281539689968614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06029064536971204,0.0,0.01072553260361447,-0.019896793233997682,0.3437413337695248,0.0,-0.018592162386459464,0.03180696278372232,0.0,0.011623499805436414,1.0,1.0
Arhgap21,-0.20960870407083454,0.0,0.0,0.0874260770266547,0.0,-0.05055943703936303,-0.16694903001189232,-0.004417339668554419,0.011227867072995971,-0.02145106520722894,0.0,0.0,0.0,0.0,-0.002281539689968614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009930224322220859,0.0,0.006355871172512279,-0.011009178179151872,0.17912695030955708,0.0,-0.010581007117734235,0.009509991197025074,0.0,0.0005989075528786463,1.0,2.0
Utp3,0.15635009855031967,0.0,-0.002546794931678211,-0.035527728497982025,0.0,0.03875513804857345,0.025254083359066176,0.005300807602265302,0.020484109628288186,0.011917258448460522,0.0,0.0,0.0,0.0,-0.009126158759874456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015604637563228607,0.0,0.0091365648104864,-0.029614940504817402,-0.3613127436050597,0.0,-0.018592162386459464,0.03180696278372232,0.0,0.001796722658635939,1.0,1.0
Zc3h12c,-0.19235960635192254,0.0,0.0,-0.035527728497982025,0.0,-0.05175725214512033,0.045645861092078334,0.005300807602265302,-0.006021230645916041,0.03853246898335569,0.0,0.0,0.0,0.0,-0.002281539689968614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009930224322220859,0.0,0.03495729144881753,-0.03187327941550928,0.26279829311020236,0.0,-0.018592162386459464,0.009509991197025074,0.0,-0.05175725214512033,1.0,1.0
2610020C07Rik,-0.20960870407083454,0.0,0.0,0.04005577245398479,0.0,0.15089165638474858,0.10365296779748272,-0.05035767222152037,0.011227867072995971,0.03853246898335569,0.0,0.0,0.0,0.0,-0.002281539689968614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06029064536971204,0.0,0.03495729144881753,0.07795861667460378,0.37710965600083857,0.0,-0.0062381648732458845,0.009509991197025074,0.0,0.011623499805436414,1.0,1.0
Efna2,0.10635920186691425,0.0,-0.002546794931678211,0.0874260770266547,0.0,-0.03940098190351444,0.01458414170124075,0.005300807602265302,0.013252670191885793,0.011917258448460522,0.0,0.0,0.0,0.0,-0.009126158759874456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008511620847617878,0.0,0.0091365648104864,-0.018468986539279714,-0.2635969433056958,0.0,-0.010581007117734235,-0.07264055804732968,0.0,0.0,1.0,1.0
Egfem1,0.287347870577565,0.0,0.0,-0.016718931167441255,0.0,-0.07892362674807801,0.03783792922930682,0.005300807602265302,-0.10559029449873111,0.012513121370883548,0.0,0.0,0.0,0.0,0.07757234945893288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.021279051352073166,0.0,-0.058195945423315555,-0.018070555018151507,0.15362543955116587,0.00759405768750345,0.11962359146598507,0.0071959311471265905,0.0,0.0008431642371065476,1.0,0.0
Phc3,-0.20960870407083454,0.0,0.0,-0.014629064675639658,0.0,0.09024636014638578,0.07811810506288619,0.01943629454163944,0.011227867072995971,0.03853246898335569,0.0,0.0,0.0,0.0,-0.002281539689968614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08405225241885465,0.0,0.03495729144881753,0.18543930285993745,0.32320272451376214,0.0,-0.008676342447014415,0.009509991197025074,0.0,0.00665838791824439,1.0,0.0
Supv3l1,0.13859902212724967,0.0,-0.002546794931678211,-0.035527728497982025,0.0,-0.02982540921691586,0.012441901928361724,0.005300807602265302,-0.06647606489851195,-0.008937943836345393,0.0,0.0,0.0,0.0,-0.009126158759874456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.010284875190871604,0.0,-0.008937943836345393,-0.029614940504817402,-0.2133040686740595,0.0,-0.018592162386459464,0.01850111536024248,0.0,0.0,1.0,1.0
Ccnk,0.17359919626923168,0.0,0.0,0.0874260770266547,0.0,0.09024636014638578,0.06957740306525546,0.005300807602265302,0.0032350119093761723,0.012513121370883548,0.0,0.0,0.0,0.0,-0.002281539689968614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08405225241885465,0.0,-0.058195945423315555,-0.018468986539279714,0.28884129741174336,0.0,-0.010581007117734235,0.03180696278372232,0.0,0.00665838791824439,1.0,1.0
Faah,-0.18194649982101777,0.0,-0.002546794931678211,-0.035527728497982025,0.0,-0.02982540921691586,0.012839143904035582,-0.004417339668554419,0.010360094389932998,-0.016088298905421707,0.0,0.0,0.0,0.0,-0.009126158759874456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.010284875190871604,0.0,0.004965524353525218,-0.02215513214468956,-0.22045442615361774,0.0,-0.018592162386459464,-0.0172844370279242,0.0,0.0,1.0,1.0
Nutf2,0.12360829964060993,0.0,-0.002546794931678211,0.0874260770266547,0.0,-0.02982540921691586,0.014229490777806324,0.005300807602265302,-0.003996427527026218,0.011917258448460522,0.0,0.0,0.0,0.0,-0.009126158759874456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.010284875190871604,0.0,0.0091365648104864,-0.018468986539279714,-0.25402136957820726,0.0,-0.010581007117734235,-0.07264055804732968,0.0,0.0,1.0,1.0
Cdkn2aip,0.15635009855031967,0.0,0.0,0.0874260770266547,0.0,-0.12573753910906174,0.03790877677281113,0.005300807602265302,0.020484109628288186,-0.056408356656046474,0.0,0.0,0.0,0.0,-0.002281539689968614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015604637563228607,0.0,0.01072553260361447,-0.018468986539279714,0.24298405789715402,0.0,-0.010581007117734235,0.03180696278372232,0.0,0.0011978151057572925,1.0,1.0
BC031181,0.15635009855031967,0.0,0.0,-0.014629064675639658,0.0,0.15089165638474858,0.10365296779748272,0.01943629454163944,0.020484109628288186,0.03853246898335569,0.0,0.0,0.0,0.0,-0.002281539689968614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06029064536971204,0.0,0.03495729144881753,0.1876976417706293,0.37710965600083857,0.0,-0.008676342447014415,0.03180696278372232,0.0,0.011623499805436414,1.0,1.0
Ccz1,0.15635009855031967,0.0,0.0,-0.035527728497982025,0.0,-0.12573753910906174,0.04744258377810612,0.005300807602265302,0.020484109628288186,0.03853246898335569,0.0,0.0,0.0,0.0,-0.002281539689968614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015604637563228607,0.0,0.03495729144881753,-0.029614940504817402,0.2763523801284678,0.0,-0.018592162386459464,0.03180696278372232,0.0,0.0011978151057572925,1.0,1.0
Tmem234,0.15635009855031967,0.0,0.0,-0.035527728497982025,0.0,0.09024636014638578,0.07811810506288619,0.005300807602265302,0.020484109628288186,0.03853246898335569,0.0,0.0,0.0,0.0,-0.002281539689968614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08405225241885465,0.0,0.03495729144881753,-0.029614940504817402,0.32320272451376214,0.0,-0.018592162386459464,0.03180696278372232,0.0,0.00665838791824439,1.0,1.0
Lca5,-0.20960870407083454,0.0,-0.002546794931678211,-0.035527728497982025,0.0,0.03875513804857345,0.025254083359066176,0.005300807602265302,0.011227867072995971,0.011917258448460522,0.0,0.0,0.0,0.0,-0.009126158759874456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015604637563228607,0.0,0.0091365648104864,-0.03187327941550928,-0.3613127436050597,0.0,-0.018592162386459464,0.009509991197025074,0.0,0.001796722658635939,1.0,1.0
Acox3,0.1301718659918098,0.0,-0.002546794931678211,0.0874260770266547,0.0,-0.02982540921691586,0.013037764905568431,0.005300807602265302,0.010377820937291664,0.006753113120794296,0.0,0.0,0.0,0.0,-0.009126158759874456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.010284875190871604,0.0,-0.017081403776126748,-0.018468986539279714,-0.2214475310243228,-0.020937814705950374,-0.010581007117734235,-0.07264055804732968,0.0,0.0,1.0,2.0
9330179D12Rik,-0.20960870407083454,0.0,-0.002546794931678211,-0.035527728497982025,0.0,-0.020149015438030746,-0.057959789465017175,0.005300807602265302,0.011227867072995971,-0.006554492146653288,0.0,0.0,0.0,0.0,-0.009126158759874456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.007447667858179878,0.0,-0.006554492146653288,-0.03187327941550928,-0.16018288199077635,0.0,-0.018592162386459464,0.009509991197025074,0.0,0.0,1.0,1.0
Pcgf6,0.10635920186691425,0.0,-0.002546794931678211,-0.035527728497982025,0.0,0.03875513804857345,0.023863736485295436,-0.004417339668554419,0.013252670191885793,-0.016088298905421707,0.0,0.0,0.0,0.0,-0.009126158759874456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015604637563228607,0.0,0.004965524353525218,-0.019896793233997682,-0.3277458001804702,0.0,-0.018592162386459464,-0.07264055804732968,0.0,0.001796722658635939,1.0,1.0
Med28,0.13859902212724967,0.0,0.0,0.04005577245398479,0.0,-0.03722456513958819,-0.08656888778376229,-0.05035767222152037,-0.06647606489851195,-0.0182731296209728,0.0,0.0,0.0,0.0,-0.002281539689968614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.012554640744758002,0.0,-0.0182731296209728,0.08021695558529567,0.18927920056397424,0.0,-0.0062381648732458845,0.01850111536024248,0.0,0.0004570471972007962,1.0,1.0
Tyro3,0.13859902212724967,0.0,0.0,-0.035527728497982025,0.0,-0.07892362674807801,0.03783792922930682,0.005300807602265302,-0.06647606489851195,0.012513121370883548,0.0,0.0,0.0,0.0,-0.002281539689968614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.021279051352073166,0.0,-0.058195945423315555,-0.029614940504817402,0.2334793319596964,0.0,-0.018592162386459464,0.01850111536024248,0.0,0.0008431642371065476,1.0,1.0
