gene_name,gene_length.meta,18mo.9mo.activity.log_ratio.min.20kb-5Mb.enhancer_DMR,9mo.2mo.activity.log_ratio.count.20kb-5Mb.enhancer_DMR,count.enhancer_DMR,18mo.2mo.activity.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.9mo.contact.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.median.20kb-5Mb.enhancer_peak,9mo.2mo.contact.log_ratio.std.20kb-5Mb.enhancer_peak,18mo.9mo.contact.log_ratio.std.20kb-5Mb.enhancer_peak,18mo.2mo.contact.log_ratio.max.20kb-5Mb.enhancer_peak,9mo.2mo.log_ratio.DAR,18mo.2mo.log_ratio.DAR,count.DAR,size.log2.DMR,distance.log2.DMR,18mo.9mo.Q.std.loops,Tanova.max.loops,Qanova.mean.loops,loop_size.log.std.loops,18mo.2mo.Q.mean.loops,18mo.9mo.Q.mean.loops,9mo.2mo.Q.mean.loops,9mo.2mo.Q.max.loops,18mo.9mo.Q.median.loops,min_distance.log.std.loops,9mo.2mo.T.mean.loops,count.loops,Qanova.min.loops,18mo.2mo.T.mean.loops,18mo.2mo.Q.std.loops,Qanova.std.loops,9mo.2mo.T.median.loops,18mo.2mo.Q.max.loops,Tanova.median.loops,18mo.9mo.Q.max.loops,9mo.2mo.log_ratio.max.atac,18mo.2mo.log_ratio.mean.atac,18mo.2mo.log_ratio.max.atac,log2_distance.max.atac,9mo.2mo.log_ratio.mean.atac,18mo.2mo.log_ratio.min.atac,18mo.9mo.log_ratio.mean.atac,DEG,pred
2810454H06Rik,0.2344543379457558,0.06337997556992751,0.06080927913460661,0.0,0.0,-0.06795768171329708,0.044264758923364914,0.0,0.0,-0.00779806515749763,0.0,-0.06151257444392232,0.0,0.0,-0.002029525883057538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02702187845373855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17561998607262091,0.3582253080299672,0.07285436987876892,-0.008444114478633684,0.03863461151280824,0.0,0.04654850613544969,1.0,0.0
Nfx1,-0.03177317012758816,-0.02714495634769692,-0.01051024577635176,0.0,0.0,-0.022687958854743662,0.015879658995853627,0.0,0.0,-0.02306927609093049,0.0,-0.09766062086119372,0.0,0.0,-0.0060885776491726145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06069429339293171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.11633934343562406,-0.2506459666525616,-0.004897772827569176,-0.00817127525806427,-0.010108670959358705,0.0,-0.08129538551849477,1.0,1.0
Ing4,-0.042755978675011325,-0.03994584094513865,0.06080927913460661,0.0,0.0,-0.03679510069024913,0.011339318131136037,0.0,0.0,-0.00779806515749763,0.0,-0.09564986912643209,0.0,0.0,-0.0060885776491726145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06069429339293171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.11633934343562406,-0.06340647203957334,-0.007346659022219041,-0.02451382533592336,-0.04584238496061195,0.0,0.04654850613544969,1.0,1.0
Slc7a6,-0.05622485455344705,-0.03994584094513865,-0.02402341891737545,0.0,0.0,0.15781315060003714,0.0877843638882041,0.0,0.0,-0.00779806515749763,0.0,-0.07942309657878735,0.0,0.0,-0.002029525883057538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03925225576933693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17561998607262091,0.35675351409351125,0.003061108017230735,-0.02451382533592336,0.06668663408388109,0.0,0.0307831381831099,1.0,1.0
Tctn1,-0.03177317012758816,-0.02714495634769692,-0.02402341891737545,0.0,0.0,-0.017957924235173884,0.010570453795534215,0.0,0.0,-0.00779806515749763,0.0,-0.09766062086119372,0.0,0.0,-0.0060885776491726145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06069429339293171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.11633934343562406,-0.21146233544191895,-0.004897772827569176,-0.00817127525806427,-0.04734384831424583,0.0,0.0307831381831099,1.0,1.0
Eif3c,-0.02379310952828211,0.07482248254339485,0.06080927913460661,0.0,0.0,-0.017957924235173884,0.010570453795534215,0.0,0.0,-0.00779806515749763,0.0,-0.09766062086119372,0.0,0.0,-0.0060885776491726145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05182756012415185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.11633934343562406,-0.21146233544191895,-0.004897772827569176,-0.00817127525806427,-0.0440690385259907,0.0,0.04654850613544969,1.0,1.0
Cul4b,-0.05622485455344705,-0.03994584094513865,-0.02402341891737545,0.0,0.0,-0.06795768171329708,0.044264758923364914,0.0,0.0,-0.00779806515749763,0.0,-0.07942309657878735,0.0,0.0,-0.002029525883057538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03925225576933693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17561998607262091,0.27526420365799875,0.003061108017230735,-0.02451382533592336,0.03357639087035375,0.0,0.0307831381831099,1.0,1.0
Pomt2,-0.03337328074335614,-0.029456227237139556,0.06080927913460661,0.0,0.0,-0.06795768171329708,0.08413636622786083,0.0,0.0,-0.00779806515749763,0.0,0.7937555196968948,0.0,0.0,-0.002029525883057538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03851287516162676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05574593539623653,0.2633350709562792,-0.004897772827569176,-0.008914118523106855,0.03507785422398763,0.0,0.04654850613544969,1.0,0.0
Pdss1,-0.05622485455344705,-0.03994584094513865,-0.02402341891737545,0.0,0.0,-0.06795768171329708,0.044264758923364914,0.0,0.0,-0.00779806515749763,0.0,-0.07942309657878735,0.0,0.0,-0.002029525883057538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03925225576933693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17561998607262091,0.27526420365799875,0.003061108017230735,-0.02451382533592336,0.03357639087035375,0.0,0.0307831381831099,1.0,1.0
Rnf111,-0.040422030888936096,0.1523389505660709,-0.02402341891737545,0.0,0.0,-0.04208160997094477,0.01904973319003201,0.0,0.0,-0.00779806515749763,0.0,-0.0726670744445394,0.0,0.0,-0.002029525883057538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03038552250055706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17561998607262091,0.25597259621409807,0.003061108017230735,-0.017757804297349033,-0.09515449377324652,0.0,0.0307831381831099,1.0,1.0
Zfp266,-0.05622485455344705,-0.03994584094513865,0.06080927913460661,0.0,0.0,-0.06795768171329708,0.044264758923364914,0.0,0.0,-0.00779806515749763,0.0,-0.07942309657878735,0.0,0.0,-0.002029525883057538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03925225576933693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17561998607262091,0.27526420365799875,0.003061108017230735,-0.02451382533592336,0.03507785422398763,0.0,0.04654850613544969,1.0,1.0
Akr1b10,-0.022370788652230713,0.10077983198468299,-0.01051024577635176,0.0,0.0,-0.022687958854743662,0.015879658995853627,0.0,0.0,0.06303436002310585,0.0,-0.07930036973865594,0.0,0.0,-0.0060885776491726145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03038552250055706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17561998607262091,-0.28158143710564165,-0.004897772827569176,-0.0067489549298496805,-0.007035646998487851,0.0,-0.036131591727847565,1.0,1.0
