gene_name,gene_length.meta,9mo.2mo.activity.log_ratio.count.20kb-5Mb.enhancer_DMR,18mo.9mo.activity.log_ratio.min.20kb-5Mb.enhancer_DMR,18mo.9mo.contact.log_ratio.max.20kb-5Mb.enhancer_peak,9mo.2mo.log_ratio.DAR,9mo.2mo.log_ratio.mean.atac,18mo.2mo.log_ratio.mean.atac,18mo.2mo.log_ratio.max.atac,log2_distance.max.atac
Psmc2,18504.0,3.0,-0.0474523669627577,0.5849625007091332,0.0,0.1838817021209575,0.1436367754556164,0.5606310931087874,11.640244936222391
Crtc2,9962.0,1.0,-0.0176195819380689,0.8073549220524514,0.0,0.0088018424535253,-0.0103865518228638,0.1627781689117222,10.800899899920386
Atf6b,7928.0,0.0,0.0,0.1699250014403088,0.0,0.3262483996204521,0.1005372461508034,0.4338163318732539,11.662668375517589
Hsp90ab1,5496.0,2.0,0.0231179185883465,0.5849625007131416,0.0,-0.0096233042565876,-0.138866862163516,-0.0624435343905629,11.509775004326986
Zfyve16,43760.0,0.0,0.0,0.999999999981966,-0.2980328487704504,-0.1818459963482431,-0.199034258822581,0.0833474393798108,12.44423843807813
Grsf1,16723.0,0.0,0.0572806421560839,0.999999999981966,0.0,-0.0394956855148014,-0.0560502414471269,0.118832237685563,11.78831050370096
Hdlbp,72875.0,0.0,0.0,1.0995356735399224,-0.046785564767751,0.0200298088514675,-0.0922127340746212,0.2837908878607963,15.16529959292043
Chrm2,140330.0,0.0,0.0,0.0,-0.5157723332368953,-0.5330011304219758,-0.7537606881054255,-0.1123875841310276,15.513696758263064
Dus2,62503.0,0.0,0.0,0.8744691179052118,0.0,0.2672347530750255,0.0780033181094847,0.3355776904392924,15.014892242074431
Zdhhc1,24479.0,3.0,0.0063797568245792,0.7369655941623594,-0.2949192034122854,-0.1534204199518386,-0.2534542715641025,0.0787558294210699,12.66688970844028
Lrrc3b,81472.0,0.0,0.0,0.9999999999278651,0.6375054512477151,0.4845590104678026,0.602726353703275,1.1161571426673804,11.561287945164876
Eid2b,1750.0,1.0,-0.011166080728091,0.5305147166938475,0.0,0.091647950629911,0.0747367959174529,0.1429615384293092,11.131213905086335
Gle1,24945.0,0.0,0.0,0.0,0.0,0.0143344554580213,-0.0368508656042481,-0.0368508656042481,10.748192849589543
