,DEG,pred,score_0,score_1,score_2
Psmc2,1,1,0.11890485882759094,0.8024195432662964,0.07867556065320969
Crtc2,1,1,0.2303890585899353,0.7065584659576416,0.06305253505706787
Atf6b,1,1,0.19395692646503448,0.6780728697776794,0.12797018885612488
Hsp90ab1,1,0,0.4762381315231323,0.4709030091762543,0.05285884067416191
Zfyve16,1,0,0.5620471239089966,0.36281251907348633,0.0751403421163559
Grsf1,1,1,0.21205104887485504,0.7315384745597839,0.056410472840070724
Hdlbp,1,1,0.09191527962684631,0.6367119550704956,0.2713727355003357
Chrm2,1,0,0.6236615777015686,0.15733937919139862,0.21899905800819397
Dus2,1,1,0.06752486526966095,0.6966948509216309,0.235780268907547
Zdhhc1,1,0,0.571609616279602,0.36898529529571533,0.059405095875263214
Lrrc3b,1,2,0.0423298180103302,0.32006222009658813,0.6376079320907593
Eid2b,1,0,0.5149095058441162,0.4181111752986908,0.06697932630777359
Gle1,1,1,0.2314111739397049,0.6874488592147827,0.08113993704319
Wipi1,1,1,0.22324249148368835,0.669593334197998,0.10716412961483002
Abhd14b,1,1,0.3578145205974579,0.5562607645988464,0.08592472970485687
Slc22a15,1,2,0.10264341533184052,0.41997072100639343,0.47738584876060486
2310009B15Rik,1,1,0.3321269452571869,0.6131556630134583,0.054717373102903366
Nrg1,1,0,0.6958470940589905,0.10766337811946869,0.19648954272270203
Plagl1,1,1,0.12279108911752701,0.44930553436279297,0.42790332436561584
Mtcp1,1,0,0.7245614528656006,0.21626679599285126,0.05917178839445114
Gigyf2,1,2,0.15343324840068817,0.18371300399303436,0.6628537774085999
Fam193a,1,2,0.08402439951896667,0.26897719502449036,0.646998405456543
Zfp558,1,1,0.2709299325942993,0.6279695630073547,0.10110050439834595
Rpl39,1,0,0.6045297980308533,0.3302830159664154,0.06518715620040894
Mgat5,1,0,0.5423343181610107,0.1666288822889328,0.29103681445121765
Fastkd1,1,1,0.15034252405166626,0.7735172510147095,0.07614025473594666
Pdik1l,1,1,0.2303890585899353,0.7065584659576416,0.06305253505706787
Prelid1,1,1,0.15710240602493286,0.7888565063476562,0.054041050374507904
Pip5k1a,1,1,0.21601618826389313,0.7012186050415039,0.08276518434286118
Trim9,1,2,0.194450244307518,0.326157808303833,0.4793919324874878
Zscan29,1,1,0.1597217470407486,0.7801215052604675,0.06015681102871895
A930005H10Rik,1,1,0.35161659121513367,0.6096242070198059,0.0387592539191246
Smim20,1,1,0.2303890585899353,0.7065584659576416,0.06305253505706787
Lemd2,1,1,0.17208527028560638,0.5930469036102295,0.23486782610416412
Ngdn,1,1,0.24223768711090088,0.6978762149810791,0.059886109083890915
BC065397,1,1,0.33866795897483826,0.49509525299072266,0.1662367582321167
Ngrn,1,1,0.19837045669555664,0.7333928346633911,0.06823668628931046
Tsc2,1,1,0.154514342546463,0.7588683366775513,0.0866173729300499
Rnf220,1,2,0.09530791640281677,0.14834751188755035,0.7563446164131165
Isca1,1,1,0.2303890585899353,0.7065584659576416,0.06305253505706787
Mrps25,1,1,0.2817247807979584,0.641375720500946,0.07689956575632095
Rplp0,1,1,0.14574672281742096,0.7475435137748718,0.10670973360538483
Chic2,1,1,0.3052067160606384,0.6382043957710266,0.05658886954188347
Crem,1,1,0.28230220079421997,0.46875205636024475,0.2489457130432129
Dhx16,1,1,0.18688230216503143,0.7556480765342712,0.05746961385011673
