gene_name,gene_length.meta,9mo.2mo.activity.log_ratio.count.20kb-5Mb.enhancer_DMR,18mo.9mo.activity.log_ratio.min.20kb-5Mb.enhancer_DMR,18mo.9mo.contact.log_ratio.max.20kb-5Mb.enhancer_peak,9mo.2mo.log_ratio.DAR,9mo.2mo.log_ratio.mean.atac,18mo.2mo.log_ratio.mean.atac,18mo.2mo.log_ratio.max.atac,log2_distance.max.atac,DEG,pred
Psmc2,-0.10609546366750318,0.11754907821031178,0.009046027902513742,-0.10557197332930039,-0.03882085655213279,-0.01110844615408603,-0.41394233977531686,-0.005548949928625542,0.009717463063733542,1.0,1.0
Hdlbp,-0.12230530819472145,-0.020637766841579887,-0.07071524863953099,-0.26265759601750793,-0.05742526788483648,-0.02627159282565117,0.32473064652260614,-0.013053042266298743,-0.1490344194804921,1.0,1.0
Dus2,-0.160418401554446,-0.020637766841579887,-0.025236411348861808,-0.11820713222465094,-0.03882085655213279,-0.012034895391586949,-0.32933464427204695,-0.005811818382319282,-0.08526924919501386,1.0,1.0
Lrrc3b,-0.12953032271059997,-0.013992089559050166,-0.025236411348861808,-0.11400123734903686,-0.05039490395061234,-0.012034895391586949,-0.3307133126346504,-0.018654790323446777,0.049422133070252394,1.0,2.0
Fam193a,-0.160418401554446,-0.020637766841579887,-0.025236411348861808,-0.11820713222465094,-0.03882085655213279,-0.012034895391586949,-0.32933464427204695,-0.005811818382319282,-0.08526924919501386,1.0,2.0
Fastkd1,-0.12562373992713058,-0.013992089559050166,-0.07071524863953099,-0.22822619476081693,-0.05742526788483648,-0.02627159282565117,0.3592678059769027,0.08026350218364421,-0.01722849105649135,1.0,1.0
Trim9,-0.11909376153284136,-0.018623191644163692,0.04434010030373054,-0.2314678791033871,0.20837427971555905,-0.02492929666357882,0.40441459866569324,-0.011475831653703661,-0.137401188888094,1.0,2.0
A930005H10Rik,0.32755666516502113,-0.013207328012760948,-0.2858550295144703,0.3037196995745249,-0.03146346562596805,-0.010275661068804124,0.6321847757653278,0.030256570864687946,0.0348628422464518,1.0,1.0
Rnf220,-0.1759205724879661,-0.020637766841579887,-0.025236411348861808,-0.10428217053413391,-0.03882085655213279,-0.012034895391586949,-0.32933464427204695,-0.004234607769724201,-0.08526924919501386,1.0,2.0
Rplp0,-0.026255574049975944,-0.013992089559050166,0.2539075673283899,-0.08636737560086391,-0.03527326202567886,-0.008487553171375218,-0.5686666054979843,-0.004234607769724201,0.05878738446078975,1.0,1.0
Crem,-0.10716427501071901,-0.020637766841579887,0.4666700430543107,-0.15978979576817331,-0.05742526788483648,-0.017781081554644248,0.4911692574729814,0.07868629157104913,-0.12235388332320486,1.0,1.0
Sptbn1,-0.12230530819472145,-0.020637766841579887,-0.07071524863953099,-0.26265759601750793,-0.05742526788483648,-0.02627159282565117,0.32473064652260614,-0.013053042266298743,-0.1490344194804921,1.0,2.0
Slc38a6,-0.13780747912824154,-0.019853005295290667,-0.023979156058939063,0.4871419607935583,-0.045653844690498185,-0.013945916119743796,0.5567647046683466,-0.0006829688106389606,-0.13133170702220762,1.0,1.0
Tgfbr1,-0.1759205724879661,-0.020637766841579887,-0.025236411348861808,-0.10428217053413391,-0.03882085655213279,-0.012034895391586949,-0.32933464427204695,-0.004234607769724201,-0.08526924919501386,1.0,1.0
Wtap,-0.09708400191191364,-0.013992089559050166,0.41566094925955815,-0.15978979576817331,-0.05742526788483648,-0.017781081554644248,0.5442818166578517,0.07868629157104913,0.009452045100795873,1.0,1.0
St7,-0.13213132719016252,-0.01836160449858974,-0.023979156058939063,0.4513045143445625,0.16704350496258805,-0.013945916119743796,0.5949648505843738,-0.0006829688106389606,-0.13133170702220762,1.0,2.0
Vamp2,-0.02604627694167635,0.118333839756601,0.061882779002189636,0.15538901745286934,-0.023501838831340566,-0.005867646568838288,-0.7345626153709257,-0.0019513288348474924,0.018276190631748998,1.0,1.0
Foxg1,0.2732784613583456,-0.011715927216060022,-0.008542752629556857,0.4110111592556624,0.12127953195287024,-0.010275661068804124,0.7465087580768501,0.030256570864687946,0.0348628422464518,1.0,0.0
Ammecr1l,0.03985667710795122,-0.013992089559050166,0.04434010030373054,-0.24215115645133398,-0.05742526788483648,-0.023492245332283133,0.4504888012786122,0.07868629157104913,0.007208372959319283,1.0,1.0
Msl1,0.13403384239577196,-0.013992089559050166,-0.053814119200550896,-0.24873263432699091,-0.05742526788483648,-0.02336487765697872,0.4207622363944264,-0.011475831653703661,0.008067281040198663,1.0,1.0
Gpr108,-0.08015107675729428,0.1244681749273749,0.10045089676072273,-0.0794128622750149,0.15179834709338405,-0.008763294338303454,-0.5873083122732008,-0.006337555344490444,0.014108074424952707,1.0,1.0
Ascc3,-0.12230530819472145,-0.020637766841579887,-0.07071524863953099,-0.26265759601750793,-0.05742526788483648,-0.02627159282565117,0.32473064652260614,-0.013053042266298743,-0.1490344194804921,1.0,2.0
Rlbp1,-0.08636038498405148,-0.011977514361633974,-0.021807196878773326,-0.0870174153105301,0.15179834709338405,-0.0110659903353628,-0.4532739022637115,-0.004234607769724201,0.0524306902251042,1.0,1.0
Rps24,0.13403384239577196,-0.013992089559050166,-0.053814119200550896,-0.22822619476081693,-0.05742526788483648,-0.02336487765697872,0.45529939584872303,0.08026350218364421,0.008067281040198663,1.0,1.0
Ankrd44,0.35106619699474645,-0.0091679527917329,-0.008709261618445025,0.5155830598052811,-0.03895308044465149,-0.010275661068804124,0.4996220544254517,0.023033049834125182,0.3596796602394213,1.0,0.0
Wdr18,-0.08706990396603942,-0.013992089559050166,-0.021807196878773326,-0.10428217053413391,-0.03882085655213279,-0.0110659903353628,-0.416293703019619,-0.004234607769724201,0.0524306902251042,1.0,1.0
Guf1,0.01131693909273428,-0.013207328012760948,-0.023979156058939063,0.4468486057046582,-0.045653844690498185,-0.012508864788448109,0.61585570663652,0.030256570864687946,0.013277854825205663,1.0,1.0
Fndc3b,0.5380913048489567,-0.015735819935798645,0.0012031671563711237,-0.0979220215779017,-0.13324071677839933,-0.010587761014261666,-0.2820528624305392,-0.12782588436761322,0.05622778349446461,1.0,2.0
Per1,0.016993091030813316,-0.011977514361633974,-0.07071524863953099,-0.2314678791033871,0.20837427971555905,-0.024834541494355482,0.4126679815132828,-0.011475831653703661,-0.004424857633078799,1.0,1.0
Osbpl11,-0.1759205724879661,-0.019853005295290667,-0.018126067321966675,0.18539773848126917,-0.027049433357794497,-0.008073859135894215,-0.543495273874963,-0.0006369866759461515,-0.08128613890970454,1.0,1.0
Snx29,0.8638654714724159,-0.00995271433802212,-0.05004600062966347,-0.04816370065707494,-0.13324071677839933,-0.009483773809145479,-0.2959627967382617,0.006805866956710815,0.14325197432738015,1.0,2.0
Brd7,-0.12562373992713058,-0.013992089559050166,-0.1320562132031602,-0.1553838053060805,-0.05742526788483648,-0.02627159282565117,0.34776637549786005,0.08026350218364421,-0.01722849105649135,1.0,1.0
Crtc3,-0.16008240206386237,-0.019853005295290667,-0.018126067321966675,0.18539773848126917,-0.03862348075627404,-0.008073859135894215,-0.5477593962979668,-0.0006369866759461515,-0.08128613890970454,1.0,2.0
Tango6,-0.17521105350597815,-0.018623191644163692,-0.025236411348861808,-0.0870174153105301,0.15179834709338405,-0.012034895391586949,-0.3663148435161394,-0.004234607769724201,-0.08526924919501386,1.0,2.0
Etl4,0.31630695235970263,-0.007676551995031974,-0.004726150990737712,0.38547867980292616,0.17374426920843475,-0.009390525738982594,0.43046795535723076,0.012985096806112458,0.3336116482147618,0.0,0.0
Nfib,0.8474775642594871,-0.015200297183850232,-0.016819645595901152,-0.10608232451383681,0.1731189605232109,-0.009483773809145479,-0.2570647484458545,-0.0621087732450927,0.1242386581211844,2.0,2.0
Mpped1,-0.14565002438886201,-0.019853005295290667,-0.018126067321966675,0.18382052789606593,-0.03862348075627404,-0.008073859135894215,-0.5448739420184318,-0.01926306416006649,-0.07840068506843903,2.0,2.0
Tspan3,-0.11258617426980944,-0.013207328012760948,0.09107619288432248,0.4871419607935583,-0.045653844690498185,-0.012603619957671446,0.5982485108954065,-0.0006829688106389606,0.012107451994191198,0.0,0.0
Sema3e,-0.13537083774366798,-0.020637766841579887,-0.07071524863953099,-0.24873263432699091,-0.06229855109225301,-0.02627159282565117,0.3271672876880449,-0.011475831653703661,-0.1490344194804921,2.0,2.0
Rpsa,-0.02604627694167635,0.118333839756601,0.061882779002189636,0.15538901745286934,-0.023501838831340566,-0.005867646568838288,-0.7345626153709257,-0.0019513288348474924,0.018276190631748998,0.0,1.0
Arhgap5,-0.16373683328685515,-0.013207328012760948,-0.018126067321966675,0.18539773848126917,-0.027049433357794497,-0.008073859135894215,-0.543495273874963,-0.0006369866759461515,0.0505197895142962,2.0,1.0
Rabac1,-0.028603511725497598,-0.013992089559050166,-0.022104387609835935,-0.10428217053413391,-0.03527326202567886,-0.010811476968228817,-0.4803584662868696,-0.004234607769724201,0.05452414121314445,0.0,1.0
Tenm4,0.31630695235970263,-0.007676551995031974,-0.004726150990737712,0.38547867980292616,0.17374426920843475,-0.009390525738982594,0.43046795535723076,0.012985096806112458,0.3336116482147618,0.0,0.0
Grb14,-0.15970888257245808,-0.018623191644163692,-0.025236411348861808,-0.10094237700104713,0.15179834709338405,-0.012034895391586949,-0.3663148435161394,-0.005811818382319282,-0.08526924919501386,2.0,2.0
Fnip1,-0.16148819481296575,-0.019853005295290667,-0.018126067321966675,0.18382052789606593,-0.027049433357794497,-0.008073859135894215,-0.5406098195954281,-0.01926306416006649,-0.07840068506843903,2.0,1.0
Eya1,-0.13213132719016252,-0.01836160449858974,-0.023979156058939063,0.4513045143445625,0.16704350496258805,-0.013945916119743796,0.5949648505843738,-0.0006829688106389606,-0.13133170702220762,2.0,2.0
Ebf1,0.782851224847357,-0.014951058389509426,-0.011037005549844573,0.1758254498572034,-0.12146929358406101,-0.006407872938057955,-0.42250777192085104,-0.12422826327383518,0.101225132095244,2.0,2.0
St6gal1,-0.1759205724879661,-0.020637766841579887,-0.025236411348861808,-0.10428217053413391,-0.03882085655213279,-0.012034895391586949,-0.32933464427204695,-0.004234607769724201,-0.08526924919501386,2.0,2.0
Cd9,-0.10359159059932127,-0.018623191644163692,0.04434010030373054,-0.24539284079390414,0.20837427971555905,-0.02492929666357882,0.40441459866569324,-0.013053042266298743,-0.137401188888094,0.0,1.0
Abca8a,-0.12562373992713058,-0.013207328012760948,-0.023979156058939063,0.4468486057046582,-0.045653844690498185,-0.013945916119743796,0.5661185175618705,0.030256570864687946,0.00047422140179311526,2.0,1.0
Pard3b,0.3106308004216236,-0.00995271433802212,-0.03951291081166881,-0.17160908231402144,-0.05072450363898978,-0.01817566013949759,0.2199804070405662,0.002192233963047757,0.458858338650316,2.0,0.0
Atp6v0c,-0.014721674543312368,0.34718696948359995,-0.055330742643598246,-0.07326356592752478,-0.006624158088336973,-0.010811476968228817,-0.4637452888795558,-0.005548949928625542,0.012065648964113173,0.0,1.0
Phyhipl,-0.17726029951454086,-0.020637766841579887,-0.025236411348861808,-0.10428217053413391,-0.03882085655213279,-0.012034895391586949,-0.326449189992512,-0.008665789192652,-0.08238379535374835,2.0,2.0
Zfp385b,0.35746347589199157,-0.014148823478642632,-0.03951291081166881,-0.26653969222131896,0.21507504396140575,-0.01817566013949759,0.30373127065489397,0.0022511860794004273,0.5526392260182869,0.0,0.0
Syt14,-0.160418401554446,-0.020637766841579887,-0.025236411348861808,-0.11820713222465094,-0.03882085655213279,-0.012034895391586949,-0.32933464427204695,-0.005811818382319282,-0.08526924919501386,2.0,2.0
Nr6a1,-0.14171406333608663,-0.020637766841579887,-0.05846276638262412,-0.09738806196871926,-0.05039490395061234,-0.012034895391586949,-0.31410013511776924,-0.018654790323446777,-0.08238379535374835,2.0,2.0
2610316D01Rik,-0.09786106114659239,0.18706434220075607,0.41566094925955815,-0.17668151554158507,-0.05742526788483648,-0.017781081554644248,0.5097446572035551,-0.013578779228469905,-0.09355594938182656,2.0,2.0
Cntnap5a,0.31630695235970263,-0.007676551995031974,-1.877145019962507e-05,0.21616534477866747,0.17374426920843475,0.13680191091535723,0.47357675896080975,0.012985096806112458,0.3089163645019974,0.0,0.0
Zbtb16,-0.16008240206386237,-0.020637766841579887,-0.025236411348861808,-0.10428217053413391,-0.05039490395061234,-0.012034895391586949,-0.33359876691418533,-0.004234607769724201,-0.08526924919501386,0.0,2.0
Chd3,-0.16373683328685515,-0.013992089559050166,-0.025236411348861808,-0.10428217053413391,-0.03882085655213279,-0.012034895391586949,-0.32933464427204695,-0.004234607769724201,0.04653667922898689,0.0,1.0
Manf,-0.13780747912824154,-0.019853005295290667,-0.023979156058939063,0.4871419607935583,-0.045653844690498185,-0.013945916119743796,0.5567647046683466,-0.0006829688106389606,-0.13133170702220762,0.0,1.0
Plp1,-0.08970675012096763,-0.013992089559050166,0.11147337217870004,-0.08794458618606715,-0.05039490395061234,-0.009008238311199582,-0.5406843030496555,-0.02286068525384454,0.05798235711614218,2.0,1.0
Atp13a4,-0.1759205724879661,-0.019853005295290667,-0.018126067321966675,0.18539773848126917,-0.027049433357794497,-0.008073859135894215,-0.543495273874963,-0.0006369866759461515,-0.08128613890970454,2.0,2.0
Wls,-0.12230530819472145,-0.020637766841579887,-0.07071524863953099,-0.26265759601750793,-0.05742526788483648,-0.02627159282565117,0.32473064652260614,-0.013053042266298743,-0.1490344194804921,2.0,2.0
Ppfibp2,-0.16008240206386237,-0.020637766841579887,-0.05846276638262412,-0.0876689951538163,-0.05039490395061234,-0.012034895391586949,-0.3169855893973042,-0.004234607769724201,-0.08526924919501386,2.0,2.0
Grm1,0.34168799851527987,-0.016163398676058826,-0.028342248789746973,-0.21160031570231214,-0.05072450363898978,0.810218159109354,0.3368134420529446,-0.0104243578389287,-0.07500747400883805,0.0,0.0
