gene_name,gene_length.meta,9mo.2mo.activity.log_ratio.count.20kb-5Mb.enhancer_DMR,18mo.9mo.activity.log_ratio.min.20kb-5Mb.enhancer_DMR,18mo.9mo.contact.log_ratio.max.20kb-5Mb.enhancer_peak,9mo.2mo.log_ratio.DAR,9mo.2mo.log_ratio.mean.atac,18mo.2mo.log_ratio.mean.atac,18mo.2mo.log_ratio.max.atac,log2_distance.max.atac,DEG,pred
Psmc2,-1.2831887186997954,0.0,0.0,-0.02546174084658132,-0.06811540584792108,0.01356859614743906,0.017195465317105547,0.009400676168939647,0.04253084196106476,1.0,1.0
Hdlbp,0.2918594039100058,0.0,0.0,0.1499024610966444,-0.1648320110843462,0.029595402562442946,-0.04749223754248198,0.04900113657555159,0.040918629917809195,1.0,1.0
Dus2,0.10813424851307098,0.0,0.0,0.019094574867802507,-0.13645201636587873,0.02545671833350378,0.04421691081541426,0.009400676168939647,0.04847853471908499,1.0,1.0
Lrrc3b,0.6104330724611988,0.0,0.0,0.06025989278329208,0.7588092131430612,0.022504574947935695,0.04421691081541426,0.2113820173065452,0.023186685969395673,1.0,2.0
Fam193a,0.7994391039452132,0.0,0.0,0.019094574867802507,-0.13524320644929128,0.03399269830654649,0.04421691081541426,0.04900113657555159,0.0986607366186731,1.0,2.0
Fastkd1,-0.8004395633607226,0.0,0.0,-0.02546174084658132,-0.07773348305593519,0.01356859614743906,-0.018833128680639407,-0.2502255782704143,0.04253084196106476,1.0,1.0
Trim9,0.7155422657070791,0.0,0.0,-0.06825883587931886,-0.14331546896959052,0.031686337664723396,-0.04749223754248198,0.09335365223095697,0.0986607366186731,1.0,2.0
A930005H10Rik,-1.2471601222915685,0.0,0.0,-0.02546174084658132,-0.06811540584792108,0.01356859614743906,-0.018833128680639407,-0.2502255782704143,0.04253084196106476,1.0,1.0
Rnf220,0.8442121389157632,0.0,0.0,-0.05159829020061914,-0.1338986395036473,0.03422163810361834,0.04421691081541426,0.09335365223095697,0.10880193727857926,1.0,2.0
Rplp0,-1.162141610923059,0.0,0.0,-0.02546174084658132,-0.07348157991381253,0.01222705257618252,0.017195465317105547,0.1614664441303295,-0.008447812157956994,1.0,1.0
Crem,0.2918594039100058,0.0,0.0,0.1499024610966444,-0.1648320110843462,0.029595402562442946,-0.04749223754248198,-0.21062511786380234,0.040918629917809195,1.0,1.0
Sptbn1,0.8751387598321718,0.0,0.0,0.10082628879257861,-0.12080661689533907,0.037887792376910936,-0.04749223754248198,-0.21062511786380234,0.0922804250217536,1.0,2.0
Slc38a6,0.21989662874051752,0.0,0.0,-0.06825883587931886,-0.18480556239100063,0.023937226656605217,-0.04749223754248198,0.04900113657555159,0.050015334806898064,1.0,1.0
Tgfbr1,0.08824188651188332,0.0,0.0,-0.06825883587931886,-0.14452427888617797,0.023150357691680685,0.04421691081541426,0.009400676168939647,0.04847853471908499,1.0,1.0
Wtap,-0.8738263882148791,0.0,0.0,0.047349961693672574,-0.07298077133429401,0.0146228137480862,-0.018833128680639407,-0.2502255782704143,0.03729903002214782,1.0,1.0
St7,0.7701110046028214,0.0,0.0,-0.07383782076923286,-0.14731181982685537,0.030366618514937514,-0.04749223754248198,0.09335365223095697,-0.021933727075948435,1.0,2.0
Vamp2,-1.2255023459849113,0.0,0.0,-0.02546174084658132,-0.07348157991381253,0.01222705257618252,0.017195465317105547,0.009400676168939647,-0.008447812157956994,1.0,1.0
Foxg1,-1.0514707274406272,0.0,0.0,-0.016660223331521538,-0.07116440048112589,-0.1788417567663333,-0.018833128680639407,-0.2502255782704143,0.0334992840721765,1.0,0.0
Ammecr1l,-1.320546947145725,0.0,0.0,0.047349961693672574,-0.06336269412627991,0.0146228137480862,-0.018833128680639407,-0.2502255782704143,0.03729903002214782,1.0,1.0
Msl1,-1.2471601222915685,0.0,0.0,-0.02546174084658132,-0.06811540584792108,0.01356859614743906,-0.018833128680639407,-0.2502255782704143,0.04253084196106476,1.0,1.0
Gpr108,-1.2988891708390677,0.0,0.0,0.047349961693672574,-0.06872886819217135,0.01328127017682966,0.017195465317105547,0.009400676168939647,-0.013679624096873929,1.0,1.0
Ascc3,0.8751387598321718,0.0,0.0,0.10082628879257861,-0.12080661689533907,0.037887792376910936,-0.04749223754248198,0.04900113657555159,0.0922804250217536,1.0,2.0
Rlbp1,-1.2831887186997954,0.0,0.0,-0.02546174084658132,-0.06811540584792108,0.01356859614743906,0.017195465317105547,0.009400676168939647,0.04253084196106476,1.0,1.0
Rps24,-1.2246457519667113,0.0,0.0,0.0068273087415625065,-0.0711752193815568,0.012803642599679092,-0.018833128680639407,-0.2502255782704143,-0.008447812157956994,1.0,1.0
