gene_name,gene_length.meta,18mo.9mo.activity.log_ratio.mean.20kb-5Mb.enhancer_DMR,18mo.2mo.activity.log_ratio.mean.20kb-5Mb.enhancer_DMR,18mo.2mo.activity.log_ratio.std.20kb-5Mb.enhancer_DMR,count.enhancer_DMR,18mo.9mo.activity.log_ratio.max.5kb-20kb.enhancer_DMR,18mo.2mo.activity.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.median.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.min.0-5kb.enhancer_peak,9mo.2mo.activity.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.median.0-5kb.enhancer_peak,18mo.9mo.activity.log_ratio.median.0-5kb.enhancer_peak,18mo.9mo.contact.log_ratio.mean.20kb-5Mb.enhancer_peak,9mo.2mo.activity.log_ratio.min.20kb-5Mb.enhancer_peak,18mo.2mo.contact.log_ratio.std.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.mean.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.mean.20kb-5Mb.enhancer_peak,9mo.2mo.log_ratio.DAR,18mo.2mo.log_ratio.DAR,rel_pos.DAR,count.DAR,18mo.9mo.log_ratio.DAR,18mo.9mo.log_ratio.DMR,distance.log2.DMR,18mo.2mo.Q.mean.loops,18mo.9mo.Q.min.loops,9mo.2mo.Q.mean.loops,9mo.2mo.Q.min.loops,9mo.2mo.Q.std.loops,18mo.9mo.T.mean.loops,18mo.2mo.T.mean.loops,18mo.2mo.T.median.loops,18mo.2mo.Q.min.loops,9mo.2mo.log_ratio.mcg_genebody,18mo.9mo.log_ratio.mcg_genebody,18mo.2mo.log_ratio.mcg_genebody,18mo.2mo.log_ratio.mean.atac,18mo.2mo.log_ratio.max.atac,log2_distance.max.atac,9mo.2mo.log_ratio.mean.atac,count.atac,18mo.9mo.log_ratio.max.atac,18mo.9mo.log_ratio.mean.atac,9mo.2mo.log_ratio.std.atac,18mo.9mo.log_ratio.std.atac,9mo.2mo.log_ratio.max.atac
Bcdin3d,4651.0,0.0551395853990407,0.0842123614820909,0.0969724204919681,10,0.0803814548268818,0.278673977945485,0.0668107366368717,-0.0243838445739146,0.0,0.3095770761332241,0.0,0.0,-0.0793324652187794,0.0073489678658251,0.1839172117444993,-0.0312190822294376,0.0944533948487055,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0002861343111111,-0.000308874,-0.0002731799777777,-0.0015597399999999,0.0006968775621627,0.0132220799999999,0.0063036333333333,0.01391589,-0.0005641939999999,0.0073426412155599,-0.0141377895112493,-0.0067951482956893,0.0082577090858668,0.236032082454217,11.486332252768715,0.0606931553511774,4,-0.0244555270950082,-0.0524354462653106,0.2000849945564637,0.0285370381871261,0.2604876095492252
Slc39a3,8888.0,0.0035975757446958,0.04369698237526,0.0,14,0.3172737805098666,0.218106492874325,0.0209550069820991,-0.0309472025209331,0.2457994129961735,0.3009559048982906,0.2457994129961735,-0.0930091852135124,0.0565735788137651,0.1180633540752387,0.2680346252205282,-0.0309472025209331,0.1818871401644632,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0082856122319176,0.0051003269293089,0.0133859391612266,0.1187292751447399,0.1187292751447399,11.178664851006534,0.1148399814059972,1,0.0038892937387426,0.0038892937387426,0.0,0.0,0.1148399814059972
Ecd,28269.0,-0.0502142345094605,-0.0447238611409565,0.0278703537656728,5,-0.0580321746221508,0.3411170443379001,0.1230536324424802,0.0199600325995321,0.0764729209040888,0.2424331918978781,0.0764729209040888,0.0746229115355197,0.0729330520401113,-0.0115137648856187,0.768006497402174,0.0279211990679189,0.156920983363757,0.0,0.0,0.0,0,0.0,0.0,0.0,-1.9679999999999978e-05,-4.536680000000008e-05,-0.0004803006888888,-0.0011043412,0.0003611592640788,0.0326676776666666,0.0067478322222222,0.0089441999999999,-0.0005389584999999,0.0008625741343408,-0.0198957671699771,-0.0190331930356362,-0.1068748776704219,0.2787887690422282,13.287568102831418,-0.1562339419759141,6,0.3429872269892886,0.0493590643054921,0.1767040020635596,0.1653259847930087,0.0018500093685691
Galnt2,114333.0,-0.0093279891911973,-0.0746645817919863,0.0,6,0.0,0.2405189151531006,0.0216072685771191,-0.0229981274826287,0.3252691776217968,0.263610122669907,0.3252691776217968,-0.051598854863724,0.3070454435449268,-0.0774195813007159,0.4593669424953218,-0.0290043787885068,0.0700971432019668,0.1289404984025319,0.0179384431285665,0.144139842647444,2,-0.1110020552739654,-0.9148866615734628,14.83411246274646,0.0002437862837398,-0.0004254309999999,-0.0001482634910569,-0.001436345,0.0004739747656813,-0.0008558394878048,-0.0066321458943089,-0.0082368649999999,-0.000922561,-0.0214429171183263,-0.0062756006279446,-0.0277185177462709,0.0070804475967267,0.3614159642600866,15.842006522992191,0.1381586180581018,37,0.072968287536747,-0.1310781704613751,0.2128968205946165,0.1160472189621236,0.7639444054079031
Wwp2,122230.0,0.1905679053786291,0.1454184942736623,0.0216093568556368,5,0.0,0.3840051566996587,0.0933205971823074,0.0828470966162098,0.254785117698284,0.2906845595173513,0.254785117698284,-0.0688007971603967,0.0685042588629096,0.0029663925296343,0.1750827257290046,0.0828470966162098,0.2804041481541879,0.3187582861041919,0.3328733991249632,0.4173322979069596,3,0.0141151130207712,-0.426579305736851,15.847717196863712,0.0005490267897435,-0.0005169834999999,-0.0005322293974358,-0.0018215949999999,0.0005946081078266,0.0244072788846153,0.0282555517179487,0.0307796999999999,-0.0008574365,-0.0170149744314778,-0.0054167953659028,-0.0224317697973806,0.1770480750846461,0.6474162476650785,15.933621505718351,0.134992481891035,37,0.3085078592227811,0.0420555931936111,0.2766569745469531,0.1175898808548067,0.5746608643010599
Pigu,79187.0,-0.0342356493349187,-0.0219050761834084,0.0,2,0.1418888211628774,0.135652340398984,0.0315430058897745,-0.0573031450071495,0.0414967198930451,0.1480210120246883,0.1225868497678268,-0.0343230876570306,-0.1699250014420616,0.0698928514781904,0.1294712951954956,-0.032027281999963,0.1015201706596096,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0014840200357229,0.0021032482116573,0.0006192281759344,0.0010717114234598,0.1675781426369864,15.327587728650764,0.1648209627653828,21,0.074658521537962,-0.163749251341923,0.1414904328781747,0.1705370676780294,0.5348317143510803
Acadl,32438.0,0.0107973803974594,0.0238852987555756,0.1015195083609774,8,0.2114947203648824,0.0573575906473262,0.1284229851400269,0.0934201010206328,0.0,-0.0368719730059643,0.0,0.0,0.1726292955641133,-0.1645124604061809,0.5089423636878078,0.0878292006080614,-0.0355506272539507,0.1596624540522819,0.3764849065251754,0.9401174597947198,1,0.2168224524728934,0.0,0.0,0.0005661951755102,-0.0001475575999999,-0.0001597832979591,-0.0010331852999999,0.0004405499609127,0.0154747136122448,0.016015171387755,0.0172418999999999,-0.0002731599999999,0.0082749741790584,-0.0074566617367973,0.000818312442261,0.0701189750152673,0.3764849065251754,14.124767535822482,-0.073339582361069,6,0.3535867401181322,0.1434585573763364,0.2243042811939558,0.1221090816350215,0.1596624540522819
Elovl7,71279.0,-0.0552122853513903,0.045531230585341,0.0176359901301196,14,0.152984501339501,0.0380589403979687,-0.0153011791997146,-0.0153011791997146,-0.0913978361894161,0.0533601195976833,-0.0599163097094721,-0.014871228256118,0.888354644169679,0.0533601195976833,0.0,-0.0153011791997146,0.0380589403979687,-0.4516317763752053,-0.532686861868622,0.392889271326319,1,-0.0810550854934166,0.0,0.0,0.0001472697714285,2.529149999999994e-05,-0.0006582666928571,-0.001637957,0.000476179487511,0.0417171171428571,0.0461373417857142,0.04723373,-0.0003022468,0.0047176284482403,-0.0090543078713146,-0.0043366794230743,-0.1154746921822022,0.272346357949613,15.19571822814733,-0.0375189800755281,38,0.2036505453868695,-0.0779557121066741,0.1617131854576341,0.1330795638904547,0.3854653843963507
Klf12,414047.0,0.1194973334710971,0.0,0.0,7,0.0,0.1934213229436991,0.1110526699805838,0.0831705515570626,0.0,0.1062664323532809,0.0,0.0,-0.1666666666606554,-0.1508660591598793,1.2052673375323928,0.0716241918052513,0.0757400449448764,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0103882390218239,-0.0046204771912763,-0.0150087162131003,-1.2417192572281144,-0.8197004304529096,17.06641508900481,-0.8702609269562924,13,0.09717391727738,-0.3714583302718217,0.3306003381731261,0.2429546543474518,-0.3511428415195172
Stat1,42425.0,0.0969918240861982,0.0348431468834105,0.1409553959747842,8,0.0934885078672692,0.165094015575745,0.1331048591937262,0.1171873655899378,0.1248799742190911,0.0630942197413046,0.1248799742190911,0.0370143638995008,-0.3920817966646714,-0.0705155256277505,0.7173419227158767,0.0694203474610908,0.0876990367934182,-0.2826703528249652,-0.3341649416475114,0.626214324178783,1,-0.0514945888225462,0.0,0.0,0.00058392105,0.0009220916,-0.0005404051499999,-0.0006022292,8.743240999083273e-05,0.0535586649999999,0.0498571249999999,0.0498571249999999,0.0004435105,-0.0072560537845298,0.0056368124512113,-0.0016192413333185,-0.1944988810649435,0.1248799742190911,14.082897478144334,-0.1575388607461898,7,0.1105411410384252,-0.0369600203187537,0.1632178552398384,0.1323425038886826,0.0878656103195902
