gene_name,gene_length.meta,18mo.9mo.activity.log_ratio.mean.20kb-5Mb.enhancer_DMR,18mo.2mo.activity.log_ratio.mean.20kb-5Mb.enhancer_DMR,18mo.2mo.activity.log_ratio.std.20kb-5Mb.enhancer_DMR,count.enhancer_DMR,18mo.9mo.activity.log_ratio.max.5kb-20kb.enhancer_DMR,18mo.2mo.activity.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.median.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.min.0-5kb.enhancer_peak,9mo.2mo.activity.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.median.0-5kb.enhancer_peak,18mo.9mo.activity.log_ratio.median.0-5kb.enhancer_peak,18mo.9mo.contact.log_ratio.mean.20kb-5Mb.enhancer_peak,9mo.2mo.activity.log_ratio.min.20kb-5Mb.enhancer_peak,18mo.2mo.contact.log_ratio.std.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.mean.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.mean.20kb-5Mb.enhancer_peak,9mo.2mo.log_ratio.DAR,18mo.2mo.log_ratio.DAR,rel_pos.DAR,count.DAR,18mo.9mo.log_ratio.DAR,18mo.9mo.log_ratio.DMR,distance.log2.DMR,18mo.2mo.Q.mean.loops,18mo.9mo.Q.min.loops,9mo.2mo.Q.mean.loops,9mo.2mo.Q.min.loops,9mo.2mo.Q.std.loops,18mo.9mo.T.mean.loops,18mo.2mo.T.mean.loops,18mo.2mo.T.median.loops,18mo.2mo.Q.min.loops,9mo.2mo.log_ratio.mcg_genebody,18mo.9mo.log_ratio.mcg_genebody,18mo.2mo.log_ratio.mcg_genebody,18mo.2mo.log_ratio.mean.atac,18mo.2mo.log_ratio.max.atac,log2_distance.max.atac,9mo.2mo.log_ratio.mean.atac,count.atac,18mo.9mo.log_ratio.max.atac,18mo.9mo.log_ratio.mean.atac,9mo.2mo.log_ratio.std.atac,18mo.9mo.log_ratio.std.atac,9mo.2mo.log_ratio.max.atac,DEG,pred
Slc39a3,-1.271541072577238,0.0,-0.006138356048613787,0.1120279764290899,0.0,0.0,-0.022972206892445682,0.0,-0.01361243423074484,0.0023898474406450986,-0.007766312584280967,-0.053059558282839134,-0.04025028576841578,0.0,0.0005664672236889601,-0.011761067230254411,-0.03715710314922035,0.008046738337725401,-0.005409520193934441,-0.00400510098785162,0.04886326365172863,-0.0010609401343390345,0.0,-0.00010497842915356159,-0.003043398465961218,-0.010136486971750855,0.010336198550648988,0.005808681752532721,-4.789522849023342e-05,-0.0033486763201653956,-0.000148974274052307,0.0,0.0014278979320079088,0.006076984871178866,-0.010759785723639653,9.510491043329238e-05,-0.017647758470848204,0.09754413331858813,-0.0951448302110657,-0.025221298742108048,-0.015902404780499636,0.036732742032036185,-0.055678542079403995,0.07065613385289908,-0.03502232419326901,-0.0066434805188328025,-0.018812731347279624,1.0,0.0
Elovl7,0.43469987910240887,0.0,-0.009187009651213884,-0.016860109912231566,0.0,0.0,0.024275595932267607,0.0,-0.021816747523844243,-0.006390750375576317,0.01629942980594933,-0.015285599183989688,-0.04919750966131687,0.0,-0.002417901405133307,-0.006365904100239277,-0.09994283924694174,0.00370951222255826,-0.007519501992501319,-0.03032607041299343,-0.17944622884504496,0.0020414153300225735,0.0,-0.0005248921550810337,-0.0027104151248931885,-0.008726919651962817,0.03264565014280379,-0.00853177547454834,-0.0006023872178047895,0.0060308223217725755,0.0016118088574148715,0.0,0.0011155452579259873,0.007107730428688228,-0.05307507519144565,0.0008242425974458456,-0.0028895117342472077,-0.16314409841783345,-0.017323276964016258,-0.0013632179982960224,-0.04758712091017515,-0.09053619844838977,0.05157025316730142,-0.254329088605009,-0.05645335560664535,-0.0055051648337394,-0.007721383236348629,1.0,1.0
Klf12,1.3308004103647546,0.0,-0.0037268221378326414,0.08833957099588588,0.0,0.0,-0.01607289939187467,0.0,-0.0014758185669779779,-0.00022054852917790412,0.00521690767724067,0.013183741606771946,-0.02563565466552973,0.0,0.0072019844315946106,0.06448394756764174,-0.03517717586830258,-0.013081526905298234,-0.0008068017661571503,-0.01052364457398653,0.08983346203807742,0.020529815182089805,0.0,0.0,-0.009857236072421074,0.009026211160235107,0.054288946194574236,0.007390211373567581,0.004306197948753834,0.008267782554030418,-0.021505794823169708,0.0,0.0026773086190223696,0.021916067935526373,0.03717926561832428,0.0008242425974458456,0.027168524484150112,-0.2943852559383959,-0.13743243663571775,0.06411092799156905,0.03208657319657505,-0.08694800386205316,-0.03542036388069391,-0.09324174370849506,0.06807171422056854,0.010330358548089861,-0.0016068159695714712,1.0,2.0
Stat1,0.42234378420282154,0.0,-0.0044746148772537705,-0.03398992402013391,0.0,0.0,0.02171340965665877,0.0,0.027430214751511812,-0.007173938360065222,0.00476569991093129,-0.06622240437660366,-0.03408732566982508,0.0,0.012361081829294563,0.05147210922092199,0.058808677038177846,-0.03313997574150562,-0.019618981201201677,-0.00537985309958458,-0.055843638572841886,0.0038492791168391704,0.0,-0.0005248921550810337,-0.001228957697749138,0.012561180610209704,0.0800460953079164,-0.0062873889878392215,0.010963920550420881,0.007485493645071983,0.00260069799143821,0.0,0.0026773086190223696,0.005278515480458736,0.01607710257638246,0.0008242425974458456,-0.0028895117342472077,-0.46839038119651377,-0.050924547202885154,-0.005807203026488423,-0.03105666191317141,0.06994974359171464,-0.03756718682125211,-0.12684107234701514,-0.032963500972837206,-0.0055051648337394,-0.024298460967838765,1.0,1.0
Snrk,0.7393338182754815,0.0,0.011183225214481354,0.06903480946901254,0.0,0.0,0.06292212074622512,0.0,0.015217680819332599,0.02534421789459884,0.004420438786037266,-0.0705398934474215,-0.06030699979513884,0.0,-0.023277477277442813,0.06448394756764174,0.21471190239768476,0.00379120968747884,-0.003635040372610092,-0.009940747432410716,0.06457774974405765,0.0020414153300225735,0.0,0.0,-0.0027091222070157526,-0.005998196178115905,0.05487240738235414,0.007390211373567581,0.00876406322233379,0.018532440662384034,-0.0033684791531413795,0.0,0.0026773086190223696,0.012866774313151837,0.013729701172560454,0.0008242425974458456,-0.0072797406930476425,0.044984089499339464,0.023680727346800268,0.0023489451128989457,-0.039320414010435345,0.044205772140994665,0.018096990138292312,-0.19935083823278546,-0.07368726570159197,0.010330358548089861,-0.03375956172938459,1.0,1.0
Tspan9,0.9916952331084758,0.0,0.005997961983084678,0.007454756905790418,0.0,0.0,-0.009879482374526561,0.0,-0.0014777488308027388,0.00014182114973664283,0.00521690767724067,0.006934681860730052,-0.035425249566324056,0.0,-0.020546935992315413,-0.015966701172292232,0.04877916267607361,0.020529035730287432,-0.002326886784285307,-0.015583559572696686,-0.09988179673906415,-0.02180260301101953,0.0,-0.0001749640516936779,-0.0016114133596420287,-0.01903659963980317,0.027058777287602424,-0.06073427390307188,-0.015219927532598376,0.008267782554030418,-0.00047692363732494415,0.0,-0.021239981707185506,-0.06793844091705978,0.046417575397063045,0.0008242425974458456,-0.014472952373325824,-0.3083860969170928,0.16476639655418693,0.0364965127967298,-0.022825055606663227,-0.042772136288695035,0.014552667485550046,-0.17492155622690916,0.037244905326515435,0.04287708948366344,0.14576626920024865,1.0,1.0
Ikbip,-0.809914784450084,0.0,-0.008730987664312123,0.12648413324845023,0.0,0.0,0.04281439296435565,0.0,0.0032022516475990414,-0.0021770266629755498,-0.0026499650254845617,-0.09375406492035836,-0.028016190379858016,0.0,0.008072699750773609,0.037535267034545544,-0.031173947085626423,0.0016674324870109558,-0.015292326733469964,-0.005739341117441654,0.08012284840457141,-0.0012347660772502422,0.0,-0.00010497842915356159,-0.002884640647098422,-0.016751733697019516,0.041056696772575375,-0.006853006612509489,-0.013399887289851904,-0.0033486763201653956,0.0012695476767839865,0.0,-0.019812083775177597,-0.011505703600123525,-0.01749381866073236,9.510491043329238e-05,-0.017818863773718475,0.08935260722413658,-0.08433587079402059,-0.06292887297458946,-0.030335676118265837,0.05761606200132519,-0.05171371442265808,0.10166901628021151,-0.05816013854928315,-0.006265695756301284,-0.014235741382290144,1.0,1.0
Snhg5,-1.4664456407167017,0.0,-0.006138356048613787,-0.07179381041554735,0.0,0.0,0.014733812157064676,0.0,0.0071735927648842335,-0.0004232307057827711,0.004667882584035396,-0.022154959160834552,-0.014299661396071315,0.0,-0.009501362671144306,-0.011392117301002145,-0.0007478435640223324,0.0028018742520362137,-0.005409520193934441,-0.004469848079606891,0.0486111522000283,-0.0010609401343390345,0.0,0.001994590125977993,-0.003043398465961218,-0.012641634859610349,0.010336198550648988,0.005808681752532721,-0.00019489936530590058,-0.0031350438296794893,-0.000148974274052307,0.0,0.002454199567437172,0.006076984871178866,-0.016802302560536192,9.510491043329238e-05,-0.017647758470848204,0.08416214174591005,-0.10453917837236076,-0.02122997957281768,-0.011340407929383218,0.036732742032036185,-0.03687326946295798,0.07424073940142989,-0.03829824171029031,-0.006118588438257575,-0.016026745607377962,1.0,0.0
Anp32b,-0.4750514723360538,0.0,-0.009145808722823858,0.0848186142090708,0.0,0.0,-0.04859775804448873,0.0,-0.006746000209823251,0.06034504627808929,0.018665788816288113,-0.056600069482810794,0.15772224683314562,0.0,-0.00014957386068999767,-0.01603462329134345,-0.04203426134772599,0.008046738337725401,-0.014942632233723998,-0.008300484903156758,0.043667462468147275,-8.454029448330402e-05,0.0,0.0,-0.004151307307183743,-0.013876945530064404,-0.03393805348314345,-0.005495524443686009,-0.013032067772001029,-0.004009415134787559,-0.00033976025879383086,0.0,-0.004417559206485748,-0.011735280938446523,-0.012406765250489116,0.00022191147319972516,-0.01743274907115847,-0.18369016549549996,-0.07343895411817357,-0.009699656702578068,-0.02343393540941179,0.031102282786741854,-0.07929762662388384,-0.1294399662874639,0.02723331680521369,0.004138566087931395,-0.02477724349242635,1.0,0.0
Tspyl4,-1.3569313822407276,0.0,-0.005038053831085563,-0.06860668486682699,0.0,0.0,-0.01935089857317507,0.0,0.013549879733473063,-0.010870702010579407,-0.0017556408757809549,-0.0202641288517043,-0.013418512595817446,0.0,0.006455644373781979,-0.012456253925338388,0.025509398616850375,-0.012043924033641816,-0.005442452235147357,-0.0051024080719798805,0.037935383701696995,-0.0004372055735439062,0.0,-0.00024494966957718135,-0.0015459693688899278,0.056677138130180535,0.02585413099208381,0.004677446633577347,-0.012125545695889741,-0.0031952048651874066,0.000629965205444023,0.0,0.002454199567437172,0.006303655756637454,-0.012404675042489544,0.0,-0.01599298127926886,0.10662278494797647,-0.08919679719954729,-0.01001241382677108,-0.013505133800208569,0.029156728400848805,-0.03550755957141519,-0.03280811773613095,-0.033957281094044445,-0.006537093184888363,-0.011121946737985127,1.0,0.0
