,DEG,pred,score_0,score_1,score_2
4930503L19Rik,1,1,0.30927982926368713,0.6319625377655029,0.05875762924551964
Bhlhe41,1,0,0.7242675423622131,0.2434479147195816,0.032284557819366455
Enoph1,1,0,0.43570828437805176,0.43516749143600464,0.12912417948246002
Mrpl52,1,0,0.8260742425918579,0.14177490770816803,0.032150860875844955
Chsy3,1,0,0.6507713794708252,0.2437954545021057,0.10543323308229446
Shcbp1l,1,1,0.22375428676605225,0.4491060674190521,0.327139675617218
Clock,1,1,0.08081748336553574,0.6267056465148926,0.2924768924713135
Pcyt1b,1,1,0.10345190763473511,0.5565767288208008,0.3399713635444641
Cog3,1,1,0.1515885889530182,0.5569865703582764,0.29142484068870544
Cntrl,1,1,0.06485443562269211,0.5379840135574341,0.3971615433692932
Usp14,1,1,0.074519582092762,0.6589822173118591,0.26649826765060425
Grik1,1,2,0.056429263204336166,0.22378657758235931,0.719784140586853
Tmprss5,1,1,0.08367110043764114,0.8016111850738525,0.11471767723560333
Nudt9,1,1,0.43388065695762634,0.48170205950737,0.08441729098558426
Rnf219,1,1,0.19121575355529785,0.4697360694408417,0.33904820680618286
Med23,1,1,0.1415378302335739,0.6590253114700317,0.19943687319755554
Bcs1l,1,0,0.7726197838783264,0.20329944789409637,0.02408074401319027
Scpep1,1,1,0.19638200104236603,0.6575601696968079,0.1460578441619873
Pdzrn4,1,0,0.4391494393348694,0.28068456053733826,0.28016605973243713
Zbtb38,1,1,0.19954726099967957,0.5149399638175964,0.285512775182724
Crtc3,1,2,0.08277791738510132,0.2555466890335083,0.6616753935813904
Lrsam1,1,1,0.18262574076652527,0.7208353877067566,0.09653881937265396
Plekha8,1,1,0.11754674464464188,0.8165873289108276,0.06586592644453049
Neu1,1,0,0.7768520712852478,0.19557051360607147,0.027577370405197144
Gm14403,1,2,0.34315025806427,0.2323039323091507,0.4245457947254181
Ogdh,1,1,0.07609989494085312,0.7029821872711182,0.22091789543628693
Rbmxl1,1,0,0.848060667514801,0.12915508449077606,0.022784262895584106
Terf1,1,1,0.16203871369361877,0.6969721913337708,0.14098910987377167
Zfp2,1,1,0.4190984070301056,0.521095871925354,0.05980570241808891
Rell1,1,2,0.03392829746007919,0.18316775560379028,0.7829039096832275
Nme7,1,1,0.05567152798175812,0.4954267740249634,0.4489016532897949
Mcoln1,1,0,0.684403657913208,0.2767091691493988,0.0388871394097805
Ttc37,1,2,0.06900259107351303,0.37849482893943787,0.5525025725364685
Me1,1,1,0.18691855669021606,0.6033207774162292,0.20976071059703827
Zfp148,1,1,0.14404462277889252,0.616993248462677,0.2389621138572693
Scfd2,1,2,0.03248882293701172,0.1397174745798111,0.8277937173843384
Fkbp14,1,1,0.4232979118824005,0.5031000375747681,0.07360204309225082
Capn2,1,1,0.19731977581977844,0.6414259672164917,0.16125424206256866
Zfp317,1,1,0.23381084203720093,0.49161404371261597,0.2745750844478607
Abca5,1,2,0.062494076788425446,0.45032384991645813,0.487182080745697
Rasgrf1,1,1,0.2037190943956375,0.42392104864120483,0.37235984206199646
Ift46,1,1,0.32025063037872314,0.6348053812980652,0.044943924993276596
Zfp101,1,1,0.1997414529323578,0.6350101828575134,0.16524839401245117
Strn4,1,1,0.47088363766670227,0.4745326638221741,0.05458369106054306
Akr1a1,1,1,0.4460533857345581,0.49748826026916504,0.05645832046866417
Slc17a5,1,1,0.11497805267572403,0.8067517280578613,0.07827020436525345
Arid2,1,1,0.0969211682677269,0.5438435673713684,0.3592351973056793
Aldoc,1,0,0.6267629265785217,0.3316566050052643,0.04158046469092369
Mrps14,1,0,0.620632529258728,0.33857131004333496,0.040796175599098206
Rdx,1,1,0.43900567293167114,0.47910186648368835,0.0818924531340599
Hgs,1,1,0.3825457990169525,0.5682985782623291,0.0491555780172348
Slc4a7,1,1,0.0694563016295433,0.49757513403892517,0.4329685866832733
Crls1,1,1,0.20654064416885376,0.7577698826789856,0.03568948432803154
Nagk,1,0,0.6209667325019836,0.35156363248825073,0.02746967412531376
Pdk2,1,1,0.4422588348388672,0.520672082901001,0.03706904500722885
Mvk,1,1,0.43254175782203674,0.5222107768058777,0.04524745047092438
Fdxacb1,1,0,0.7934368848800659,0.18575432896614075,0.020808812230825424
Izumo4,1,0,0.8813338875770569,0.09611078351736069,0.02255534753203392
Nrg1,1,2,0.059782691299915314,0.19599923491477966,0.7442180514335632
Fam171b,1,2,0.03916981443762779,0.16001258790493011,0.800817608833313
Chid1,1,1,0.13374345004558563,0.5114560127258301,0.3548005521297455
Ythdf1,1,0,0.5896182060241699,0.3519723415374756,0.05840945616364479
Pak2,1,1,0.10066746175289154,0.8333099484443665,0.06602254509925842
Akap17b,1,1,0.14557960629463196,0.7391367554664612,0.11528363078832626
Elavl3,1,0,0.39858633279800415,0.39310410618782043,0.208309605717659
Mrps5,1,1,0.2679779529571533,0.6734180450439453,0.05860403925180435
Pik3r4,1,1,0.1666538566350937,0.5453302264213562,0.2880159318447113
Creb5,1,1,0.13387131690979004,0.5951563119888306,0.2709723711013794
Nav2,1,2,0.017341507598757744,0.047023363411426544,0.9356351494789124
Aar2,1,1,0.37056028842926025,0.5731481909751892,0.056291475892066956
Nck2,1,2,0.06118091940879822,0.24992363154888153,0.6888954043388367
Pgls,1,0,0.6976214647293091,0.22811706364154816,0.07426143437623978
Rasa1,1,1,0.04930972680449486,0.532604992389679,0.4180852770805359
Gtf3c5,1,0,0.6672455668449402,0.2974057197570801,0.03534873574972153
Elmo2,1,1,0.15533475577831268,0.775371789932251,0.06929344683885574
Cep295,1,1,0.10356537997722626,0.6696921586990356,0.2267424762248993
Extl2,1,1,0.24296385049819946,0.6995541453361511,0.05748199671506882
Ecd,1,1,0.22107484936714172,0.501872718334198,0.2770524322986603
Jmjd6,1,0,0.7043977975845337,0.26884129643440247,0.0267608854919672
Hspbp1,1,0,0.5343191623687744,0.3598039448261261,0.10587694495916367
Sympk,1,1,0.2595846652984619,0.6183205842971802,0.12209481000900269
Hlcs,1,2,0.10491696745157242,0.406197726726532,0.4888853132724762
Cntn2,1,1,0.35173600912094116,0.41030794382095337,0.2379560023546219
Cox11,1,0,0.7756889462471008,0.20421698689460754,0.020094066858291626
Rnf11,1,1,0.1969211995601654,0.5949106216430664,0.20816820859909058
Map3k13,1,2,0.0671791359782219,0.25963106751441956,0.6731898188591003
Fam117a,1,1,0.22946056723594666,0.44530853629112244,0.32523083686828613
Pgam5,1,0,0.6826822757720947,0.28744077682495117,0.02987697347998619
Zgpat,1,1,0.4703131914138794,0.484593003988266,0.04509381949901581
Ppm1g,1,1,0.43958404660224915,0.5106924176216125,0.04972349852323532
Kansl1l,1,2,0.043861888349056244,0.22376748919487,0.7323706150054932
Qsox2,1,1,0.3339780271053314,0.563413143157959,0.10260884463787079
Mrpl30,1,0,0.5747359395027161,0.38965272903442383,0.035611316561698914
Smim20,1,1,0.3950396478176117,0.40871408581733704,0.19624628126621246
Ppp2cb,1,1,0.30996742844581604,0.6184877753257751,0.07154476642608643
E330020D12Rik,1,0,0.682318389415741,0.2921735942363739,0.025507967919111252
Mtx1,1,0,0.6594669222831726,0.304159939289093,0.03637312725186348
Gigyf1,1,0,0.6179252862930298,0.3161908984184265,0.06588376313447952
Sept10,1,1,0.10923169553279877,0.5084201097488403,0.3823482096195221
Lpcat3,1,2,0.1722494661808014,0.40760356187820435,0.42014697194099426
Aamp,1,0,0.6962584257125854,0.27706268429756165,0.026678821071982384
Xrn1,1,2,0.08293439447879791,0.28598055243492126,0.6310850381851196
Eif5,1,0,0.5726214647293091,0.4032787084579468,0.024099864065647125
Ttc27,1,2,0.07629360258579254,0.3482990264892578,0.5754073858261108
Arl4d,1,0,0.6000248789787292,0.20695888996124268,0.19301629066467285
T2,1,1,0.11634358763694763,0.671311616897583,0.21234475076198578
Ppp2r3d,1,2,0.18057283759117126,0.3559960722923279,0.46343106031417847
Sec22a,1,1,0.1527479887008667,0.506698727607727,0.34055325388908386
Ndufb4,1,0,0.6218946576118469,0.34683194756507874,0.03127339109778404
3110056K07Rik,1,1,0.2096490114927292,0.574438750743866,0.21591229736804962
Csnk2a1,1,1,0.10768736898899078,0.44831833243370056,0.44399428367614746
Bnip2,1,1,0.31911396980285645,0.6218106746673584,0.05907531827688217
Inpp5b,1,1,0.08592648804187775,0.45719656348228455,0.4568769633769989
Mxi1,1,2,0.12337852269411087,0.26470163464546204,0.6119198799133301
Ost4,1,0,0.8614306449890137,0.11223093420267105,0.02633843384683132
Irak2,1,1,0.16489751636981964,0.4288055896759033,0.40629687905311584
Fbxw17,1,1,0.3678082823753357,0.5974006056785583,0.03479108214378357
Spink10,1,1,0.154621884226799,0.5151087641716003,0.33026936650276184
Pde4b,1,1,0.3815404772758484,0.45008790493011475,0.16837161779403687
Nop58,1,1,0.22320501506328583,0.6740480065345764,0.10274697095155716
Elavl2,1,1,0.3407219648361206,0.3841351270675659,0.2751428484916687
Braf,1,1,0.0535588376224041,0.5767782330513,0.36966297030448914
Atpaf1,1,1,0.21466565132141113,0.6850934624671936,0.10024090111255646
Lzts2,1,0,0.6493285894393921,0.31304189562797546,0.03762945905327797
Cdc42ep1,1,0,0.6938185095787048,0.26546600461006165,0.04071543365716934
Nup85,1,0,0.4886898696422577,0.4648236632347107,0.04648640751838684
Igbp1,1,1,0.2358984351158142,0.6644155979156494,0.09968595951795578
Vamp3,1,0,0.5764147043228149,0.39274004101753235,0.03084525093436241
Ankrd13c,1,1,0.09084349125623703,0.6614474654197693,0.2477089911699295
