gene_name,gene_length.meta,18mo.9mo.activity.log_ratio.mean.20kb-5Mb.enhancer_DMR,18mo.2mo.activity.log_ratio.mean.20kb-5Mb.enhancer_DMR,18mo.2mo.activity.log_ratio.std.20kb-5Mb.enhancer_DMR,count.enhancer_DMR,18mo.9mo.activity.log_ratio.max.5kb-20kb.enhancer_DMR,18mo.2mo.activity.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.median.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.min.0-5kb.enhancer_peak,9mo.2mo.activity.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.median.0-5kb.enhancer_peak,18mo.9mo.activity.log_ratio.median.0-5kb.enhancer_peak,18mo.9mo.contact.log_ratio.mean.20kb-5Mb.enhancer_peak,9mo.2mo.activity.log_ratio.min.20kb-5Mb.enhancer_peak,18mo.2mo.contact.log_ratio.std.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.mean.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.mean.20kb-5Mb.enhancer_peak,9mo.2mo.log_ratio.DAR,18mo.2mo.log_ratio.DAR,rel_pos.DAR,count.DAR,18mo.9mo.log_ratio.DAR,18mo.9mo.log_ratio.DMR,distance.log2.DMR,18mo.2mo.Q.mean.loops,18mo.9mo.Q.min.loops,9mo.2mo.Q.mean.loops,9mo.2mo.Q.min.loops,9mo.2mo.Q.std.loops,18mo.9mo.T.mean.loops,18mo.2mo.T.mean.loops,18mo.2mo.T.median.loops,18mo.2mo.Q.min.loops,9mo.2mo.log_ratio.mcg_genebody,18mo.9mo.log_ratio.mcg_genebody,18mo.2mo.log_ratio.mcg_genebody,18mo.2mo.log_ratio.mean.atac,18mo.2mo.log_ratio.max.atac,log2_distance.max.atac,9mo.2mo.log_ratio.mean.atac,count.atac,18mo.9mo.log_ratio.max.atac,18mo.9mo.log_ratio.mean.atac,9mo.2mo.log_ratio.std.atac,18mo.9mo.log_ratio.std.atac,9mo.2mo.log_ratio.max.atac,DEG,pred
Bhlhe41,-0.10059211079962552,-0.054802260212600235,0.0006521634431555868,0.0016196960816159845,-0.03396780481562019,-0.02373892179923132,0.0042250282317399974,0.0,0.0,-0.03824201149865985,0.0,0.012694764276966452,-0.001623709611594677,0.0010872588714119047,-0.023900730405002832,0.0006909030210226774,0.0,0.0,0.0,0.0006832617614418268,0.0,0.001994622126221657,0.0,0.007642524661496282,-0.025295446822419763,0.002372824251651764,0.003838199297897518,0.00267224607989192,0.0,0.007887030504643917,0.0,0.00541476434096694,0.005690215956419707,-0.004274250629823655,-0.0028092919103801252,-0.003959368983050809,-0.054456476918567205,0.002599297445267439,0.019489684496074914,-0.02834914527833462,0.0,0.0,0.004739229440456256,-0.004240502286702395,0.03438835348933935,0.0,-0.0015982061810791493,1.0,0.0
Pcyt1b,0.15608342963270844,0.0717964282259345,0.0007962460815906524,0.017623662343248726,-0.10953188562765717,0.0027667146432213486,0.0068423132598400115,0.0,0.0,0.00807530663907528,0.0,0.013884670874103904,0.0005639194697141648,-0.010284878015518188,0.004644625489600002,0.002214654218405485,0.0,0.0,0.018513938896358013,0.0007212207466363907,0.0,0.011949819214642048,0.0,0.03459952381439507,0.011497531197965144,0.012942677736282349,0.0324057911336422,0.0016706802137196064,0.0,0.009838574528694154,0.0,-0.001184257473796606,0.014363902360200883,0.0015127591742202639,-0.0019570348132401704,0.004421381987631321,0.029872974366880953,0.07315276777371764,0.01899568224325776,0.04872782863676548,0.0,0.0,-0.005840987988049165,-0.01004811007529497,-0.013116154200397433,0.0,0.009034056589007378,1.0,1.0
Cog3,0.15075682736933232,-0.017315947618335485,0.0012209106888622047,-0.012796745621599256,0.004919930784963071,0.003434063708409667,0.006734159253537655,0.0,0.0,0.004803851740434766,0.0,0.012995391599833966,-0.00081185482442379,0.001317889504134655,0.010625339793041349,0.002214654218405485,0.0,0.0,0.00024674756452441215,0.0009489746391773224,0.0,0.009618322178721429,0.0,-0.30166751632466915,-0.07322588827461005,0.004458033442497253,0.008491178508847952,0.0031269390834495424,0.0,0.007957841046154499,0.0,0.010682629868388176,0.013606676105409861,-0.01169078498147428,-0.00505041241645813,-0.008991271909326314,0.028374283083248884,0.06584060755558312,0.024275804087519646,-0.005338386055082083,0.0,0.0,-0.01561598347965628,0.007359013482928276,0.0096675882069394,0.0,0.009034056589007378,1.0,1.0
Cntrl,0.2553527001943439,0.10083411026047542,0.0019375321362167597,-0.038724203892052174,0.056191479954868555,-0.030079474300146104,0.008615713883191347,0.0,0.0,0.007608598619699478,0.0,0.01744609191082418,-0.00045089902356266977,0.0017408638261258603,0.03506108416244388,0.002214654218405485,0.0,0.0,0.018513938896358013,0.007155268844217062,0.0,0.012947130277752876,0.0,0.04517483595758676,0.009666756689548493,0.012942677736282349,0.0319931813608855,0.010921078324317933,0.0,0.010059530064463616,0.0,0.015674289129674435,0.020743791405111553,-0.0003180153109133244,0.0007891269400715828,-0.020048289485275747,0.0454157038910489,0.09683173082768917,0.030884041376411916,-0.010848154863342643,0.0,0.0,0.014918272374197841,-0.01004811007529497,-0.016220768336206674,0.0,0.0238278603926301,1.0,1.0
Nudt9,0.19097727682441473,-0.007612509189639241,0.002309113657101989,-0.00640837037935853,-0.0983604245632887,0.0036178558692336084,0.003907472491264343,0.0,0.0,0.0027717887610197067,0.0,0.009083939341362566,-0.0013680818863213062,-0.042355008758604526,-0.011817488735541701,-0.0003726615384221077,0.0,0.0,0.005616520033217966,0.001651215897873044,0.0,0.00497262453660369,0.0,0.01991217496804893,0.009666756689548493,0.012942677736282349,-0.274680627733469,-0.05013167029246688,0.0,0.010059530064463616,0.0,0.010294933877885342,0.006902874791994691,-0.0003180153109133244,0.0007891269400715828,0.008767599673010409,0.015774029116146268,0.04765686430968344,0.024725163597613575,-0.025855551399290563,0.0,0.0,0.0053687885240651665,-0.01004811007529497,-0.017551696952432395,0.0,0.006023470684885979,1.0,1.0
Neu1,-0.30897242706269024,0.10754574529826641,0.0005687472131103278,-0.003141844077035785,-0.027973064668476582,-0.03213966998504475,0.005500631593167782,0.0,0.0,0.007608598619699478,0.0,0.01267830335535109,-0.0010148185305297376,0.0010872588714119047,0.0077328338287770745,0.002214654218405485,0.0,0.0,0.0,0.0021446827286854386,0.0,0.0013297480531036855,0.0,0.016896575707942247,0.002014923810493201,-0.01827793711796403,0.01610733352601528,0.0030287460424005984,0.0,0.007997859232127667,0.0,0.00541476434096694,0.0017408734431955963,-0.0007854009792208672,-0.0013572983304038645,-0.0020342143811285496,0.019217878339550225,-0.1011677093990147,0.01573773045092821,0.017628188729286193,0.0,0.0,0.0041766057757195085,0.007561282441020012,0.02150619840249419,0.0,0.030767154209315778,1.0,0.0
Zfp2,0.23465534563176335,0.0015308957104571163,0.0007962460815906524,0.010133283240720629,-0.06650532658677548,0.00635143275372684,0.0068423132598400115,0.0,0.0,0.006430562399327755,0.0,0.012116162916645407,-0.0013680818863213062,-0.042584304474294184,-0.001855451250448823,0.002214654218405485,0.0,0.0,0.003327437564730644,0.001651215897873044,0.0,0.011889400593936443,0.0,0.034014186863787474,-0.005960011184215546,0.012942677736282349,0.05399619556963444,-0.05013167029246688,0.0,0.010650114640593528,0.0,0.009253106005489826,0.014434840828180313,0.010186991915106773,0.0026830315962433817,-0.0038332637771964074,0.07360997202806174,0.08555749845691026,0.026221472471952438,-0.025855551399290563,0.0,0.0,0.0034207342797890304,-0.01004811007529497,-0.030700745256617666,0.0,0.009034056589007378,1.0,1.0
Ttc37,0.21197736599948258,-0.05545898418873549,-0.011147445254027843,0.035013059861958025,0.04871768882498145,0.0059009501524269585,0.009853336662054062,0.0,0.0,0.00465721633285284,0.0,0.012746248804032802,-0.001623709611594677,0.001317889504134655,-0.010239621135406196,-0.059069491662085055,0.0,0.0,0.0006496823113411664,0.0007212207466363907,0.0,0.003741049114614725,0.0,0.031114301783964037,0.009666756689548493,0.012942677736282349,0.01112942349165678,0.0016706802137196064,0.0,0.010059530064463616,0.0,0.011701464429497719,0.025279056457802655,-0.0003180153109133244,0.0007891269400715828,0.003390674162656069,0.024633271649945526,-0.058498811721801755,0.02800187110900879,0.04378846392035484,0.0,0.0,0.006908858804963529,-0.005883771702647209,-0.041332598328590396,0.0,0.006023470684885979,1.0,2.0
Scfd2,0.03672608898021281,-0.010112064378336071,-0.0034011082618962975,0.011886687893420457,0.026267189339268953,0.0015991870174184443,0.00540623065084219,0.0,0.0,0.002564647849649191,0.0,0.008282660245895386,-0.006494838446378708,0.0004942085593938828,-0.05569219768047333,-9.346146136522293e-05,0.0,0.0,0.0,0.0013665234949439763,0.0,0.001994622126221657,0.0,-0.16431431183125825,-0.00912363245151937,0.002732343077659607,0.0021185866417363286,0.003863478619605303,0.0,0.007286215722560882,0.0,0.004430501917377114,0.008363307267427445,0.017466985937207937,0.013415157943964005,-0.0022286473755957557,-0.004326462233439088,-0.08959317576140165,-0.16110549258068205,-0.024938107542693613,0.0,0.0,-0.006140509003307671,0.045744344601407645,-0.09049921773374081,0.0,-0.11129710903391242,1.0,2.0
Rasgrf1,0.05338587179314345,0.009713228554464876,0.0017782829236239195,0.013063209429383278,0.10182559963315725,0.0016836955957114695,0.01123828686773777,0.0,0.0,0.004256662242114544,0.0,0.01623139928560704,-0.001623709611594677,0.000658944770693779,-0.02693184525705874,0.002214654218405485,0.0,0.0,0.000192248800303787,0.0005232917482499033,0.0,0.004223065571859479,0.0,0.03017414514673874,0.0018240388669073582,0.005392782390117645,-0.027188519302289934,-0.019020227594301106,0.0,-0.2033990179747343,0.0,0.015439215414226055,0.032226681504398585,0.0042036229721270505,-0.0021779903583228587,0.005945723848417401,0.027088111337507145,-0.0451879190094769,0.022387788742780686,-0.029294801577925682,0.0,0.0,0.015326733365654946,0.0069482288882136345,0.049181699492037295,0.0,0.021242703199386596,1.0,1.0
