gene_name,gene_length.meta,18mo.9mo.activity.log_ratio.mean.20kb-5Mb.enhancer_DMR,18mo.2mo.activity.log_ratio.mean.20kb-5Mb.enhancer_DMR,18mo.2mo.activity.log_ratio.std.20kb-5Mb.enhancer_DMR,count.enhancer_DMR,18mo.9mo.activity.log_ratio.max.5kb-20kb.enhancer_DMR,18mo.2mo.activity.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.median.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.min.0-5kb.enhancer_peak,9mo.2mo.activity.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.median.0-5kb.enhancer_peak,18mo.9mo.activity.log_ratio.median.0-5kb.enhancer_peak,18mo.9mo.contact.log_ratio.mean.20kb-5Mb.enhancer_peak,9mo.2mo.activity.log_ratio.min.20kb-5Mb.enhancer_peak,18mo.2mo.contact.log_ratio.std.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.mean.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.mean.20kb-5Mb.enhancer_peak,9mo.2mo.log_ratio.DAR,18mo.2mo.log_ratio.DAR,rel_pos.DAR,count.DAR,18mo.9mo.log_ratio.DAR,18mo.9mo.log_ratio.DMR,distance.log2.DMR,18mo.2mo.Q.mean.loops,18mo.9mo.Q.min.loops,9mo.2mo.Q.mean.loops,9mo.2mo.Q.min.loops,9mo.2mo.Q.std.loops,18mo.9mo.T.mean.loops,18mo.2mo.T.mean.loops,18mo.2mo.T.median.loops,18mo.2mo.Q.min.loops,9mo.2mo.log_ratio.mcg_genebody,18mo.9mo.log_ratio.mcg_genebody,18mo.2mo.log_ratio.mcg_genebody,18mo.2mo.log_ratio.mean.atac,18mo.2mo.log_ratio.max.atac,log2_distance.max.atac,9mo.2mo.log_ratio.mean.atac,count.atac,18mo.9mo.log_ratio.max.atac,18mo.9mo.log_ratio.mean.atac,9mo.2mo.log_ratio.std.atac,18mo.9mo.log_ratio.std.atac,9mo.2mo.log_ratio.max.atac,DEG,pred
Bhlhe41,-1.1689139887318014,-0.0019720597565174103,0.003627762999385595,-0.05563707103021443,0.0,-0.0027827158756554126,-0.035217315331101416,-0.0036774931475520136,-0.0020045961812138555,-0.002034616032615304,-0.0454825835255906,-0.0037122836709022524,-0.005096739251166582,-0.0006082896888256073,0.0021257422864437102,-0.029238106058910487,0.04012866897392087,0.009210700283292681,0.0,0.019741349322721362,-0.019297728277160787,0.0019411222636699676,0.0,0.0,0.0,-0.005239634444005787,-0.0004358360171318054,0.0008378694951534271,0.007386359963566065,-0.0029126274585723876,-0.006082221437245607,0.0004003514163196087,0.0,0.009441954502835869,-0.006645086093340069,0.0013033268763683735,-0.040005335714668036,0.15182584507390856,-0.00021501295268535613,-0.00400977972894907,-0.0010846601519733667,-0.00393713191151619,-0.06523950565606355,0.1031639929395169,-0.03152910031261854,-0.0029665634781122206,-0.040836144648492334,1.0,0.0
Pcyt1b,1.0788167379703373,0.0003083027806133032,-0.029809990283101797,-0.056302090864628555,0.0,0.026911475416272878,0.009692884990945458,-0.02396769050974399,0.002651654835790396,0.0017620563134551049,0.021219167604576795,-0.0009280709177255631,0.019718245984986425,-0.0005006086081266403,0.001090124249458313,0.005220007062889636,-0.035832143281586466,0.013046946367248893,0.0,0.03606332113500685,0.02803148887120187,0.0030734435841441154,0.0,0.0,0.0,-0.004619892695918679,-0.021102445423603056,0.0008378694951534271,0.014689819156192243,-0.0007281568646430969,-0.009594111964106559,-0.0003463700972497463,0.0,0.019615323953330516,-0.00300650507415412,-0.005201226950157433,0.03633976334705949,-0.008394738459028304,-0.10614131819456815,-0.03405551471514627,-0.008949572080746293,-0.002161158078815788,-0.018345834743231534,0.11724760399898514,-0.007027272498235106,-0.002700183168053627,-0.015912313824519516,1.0,1.0
Cog3,0.6425609214231371,0.00032403251389041544,-0.023308458926621825,0.03901226768270135,0.0,0.008486836720257997,-0.07442249302053824,0.01551732566440478,-0.04948168609291315,-0.0007551670004613697,-0.004660369232296944,-0.0009280709177255631,-0.005585833042860031,-0.00413403769955039,0.001090124249458313,-0.0020454652421176434,-0.034886532181408254,-0.0044129179161973295,0.0,0.008202786957845092,0.05045816565863788,0.0043675250932574275,0.0,0.0,0.0,-0.015155501700937747,-0.006070412397384643,0.0016757390275597573,0.043300189969595525,-0.0007281568646430969,-0.004389097634702921,0.016079873610287905,0.0,0.01851891679689288,-0.0026178171773790383,-0.007435367574216798,-0.000711192898452282,-0.34004174105357377,-0.10904774038121104,0.08179189783986658,0.011541960053145886,-0.007654166070278734,0.16276149690151215,-0.013229832130018621,0.004503887079190463,-0.016029295921325685,-0.013911780379712581,1.0,1.0
Cntrl,0.9251842635311186,0.0007235677447170019,-0.0046384358126670125,0.06189559219405055,0.0,-0.03521189164370298,0.04114958906546235,-0.0036315032700076698,0.02009830078110099,0.002435783836990595,-0.0181051796162501,-0.0009280709177255631,-0.005585833042860031,-0.000234968364238739,0.001090124249458313,0.005723775662481785,-0.10367814484750852,-0.0044129179161973295,0.0,0.008202786957845092,0.05939001995138824,0.0030734435841441154,0.0,0.0,0.0,-0.004619892695918679,-0.021102445423603056,0.0008378694951534271,0.016029992401599885,-0.0004893325641751289,-0.0036532648093998434,0.0018301347130909563,0.0,0.02299510458484292,0.03119496501982212,0.028897375389933585,0.0875658268481493,0.001115603819489479,-0.0720074277278036,0.07648379093036056,0.07349466063082218,0.00780408188700676,0.1525587796792388,0.16214022286236285,0.03556483301799744,-0.002700183168053627,-0.01513970348984003,1.0,1.0
Nudt9,-0.6875314964959398,-0.0018839732464402915,-0.0019123983616009354,0.07929103123024106,0.0,0.008944393619894981,-0.07154500191099941,-0.0011897212406620384,0.0017582312773447484,-0.002034616032615304,-0.039284563066903505,-0.0037122836709022524,-0.00455389354377985,0.00024603404104709623,-0.0006813276559114456,-0.047747919596731664,-0.07344495344907045,0.005299724575597793,0.0,0.01183251750189811,0.014455440412275493,0.0019411222636699676,0.0,0.0,0.0,-0.004619892695918679,0.015042375922203064,-0.0011969564110040664,-0.037436097897589206,-0.0029126274585723876,0.07683419099077582,0.0021015935391187667,0.0,-0.00138245964422822,0.0032922261394560336,0.0016058247070759534,-0.028416152149438857,0.0074933066731318835,-0.06481984505429864,0.07987005717121065,-0.011902316212654114,-0.002601184211671352,-0.05235914669930935,0.06051623104023747,-0.013194291852414608,-0.0018520087748765946,-0.03084859468974173,1.0,1.0
Neu1,-0.9345198812810122,-0.001688924552872777,-0.000412116227671504,0.0776740906573832,0.0,-0.0035569448582828045,0.0056430312898010015,-0.0007900414243340492,0.0019859993713907897,-0.004625875316560268,-0.01871800837572664,-0.0037122836709022524,-0.00455389354377985,-0.000857106139883399,-0.0004905559122562409,-0.02806166186928749,-0.05703807700425387,0.005299724575597793,0.0,0.012503850390203297,0.02354274411685765,0.0019411222636699676,0.0,0.0,0.0,0.004056491106748581,0.0,0.0016757390275597573,0.01047261537052691,-0.0029126274585723876,-0.006829947531223297,0.002619021744467318,0.0,0.007882109275087715,-0.0007044217549264431,-0.0031260836217552423,-0.03009922593832016,0.07617000717669725,-0.08081036359071732,-0.08302072934806347,0.03358348297188059,-0.008404334485530853,-0.06384447358548641,-0.12959890940459445,0.00014562485972419381,0.008260908126831055,0.12343993665650486,1.0,0.0
Zfp2,-0.7379492645990103,-0.0018682435131631792,-0.001956441616639495,-0.05563707103021443,0.0,0.0075510511174798015,-0.038643062422052024,-0.00143825103295967,-0.005037695085629821,-0.002034616032615304,-0.0454825835255906,-0.0037122836709022524,-0.00455389354377985,0.00024603404104709623,-0.0006813276559114456,-0.012602440891787409,0.04769150022533722,0.009210700283292681,0.0,0.012767273602075874,0.008086542007513344,0.0019411222636699676,0.0,0.0,0.0,-0.015155501700937747,-0.0004358360171318054,-0.0011969564110040664,0.0018076165509410202,-0.001240857280790806,-0.006082221437245607,0.0021015935391187667,0.0,-0.004400112042203546,0.0032922261394560336,0.0038901111762970684,0.16822320733219384,0.044570968989282846,-0.10440686670131981,-0.031387668466195465,-4.1521820239722725e-05,-0.002601184211671352,-0.02977541511878371,0.1077991603454575,0.03982438476756215,-0.0029665634781122206,-0.04134430176578462,1.0,1.0
Ttc37,1.0156154133100062,0.0026425952091813087,0.008187890285626054,-0.022642406998202205,0.0,0.006278484165668488,0.015490314653143288,0.016351314708590508,-0.008872450357303023,0.002435783836990595,0.020145035113673656,-0.0009280709177255631,0.019718245984986425,-0.0016867735050618649,0.001090124249458313,0.0878885822603479,0.05544841232709587,-0.0015983925550244749,0.0,0.01097700938116759,0.05100531526841223,0.0030734435841441154,0.0,0.0,0.0,-0.015155501700937747,-0.021102445423603056,0.0008378694951534271,0.03719592144712806,-0.00048543792217969894,-0.009594111964106559,-0.0019327213801443577,0.0,0.03923492345958948,0.009292679792270064,0.0033735998114570974,0.055106054544448856,0.24117438726127147,-0.0903487979900092,-0.0730393479578197,0.0069517665146850045,-0.00111185516230762,0.14413937194272874,0.21316808650735766,-0.041183013543486593,-0.0038147378712892533,-0.010145020661875606,1.0,2.0
Scfd2,1.1439015867840499,-0.012143354394938797,0.003708067573606968,-0.023657413870096206,0.0,-0.003600768279284239,0.008270044615492224,0.0037281184340827167,-0.004487018464133143,0.001710231127217412,0.02535519689787179,-0.0009280709177255631,-0.01105790924280882,-0.003275527700316161,8.175931870937347e-05,-0.008859094260260462,0.05359715105965734,-0.0015983925550244749,0.0,0.01253210311755538,-0.041576220192946496,-0.006632167734205723,0.0,0.0,0.0,-0.015155501700937747,-0.002078409269452095,-0.009894839897751808,0.0030883206892758606,-0.0004893325641751289,-0.0028336887247860433,0.0065821979753673075,0.0,-0.09375502191483974,0.005081794827710837,0.014112405912019312,0.06546573059633375,0.17699237760622055,0.6263656288292259,0.039663010770455004,-0.006594106710981578,0.013937197201885283,0.11133827940560877,-0.22760514872614293,0.11555205462267622,-0.0018638158589601517,0.35491561465431004,1.0,2.0
Rasgrf1,1.0197051576175726,8.808651007711887e-05,-0.0020211823284626007,-0.021659229258075355,0.0,0.006278484165668488,0.04566888053901494,-0.003992034695111215,0.05613633677363396,0.001710231127217412,0.05178377287928015,-0.0009280709177255631,-0.034485678933560845,-0.000649705408141017,0.001090124249458313,-0.011125601567327977,0.0946462099160999,0.013046946367248893,0.0,0.029724619165062905,-0.12330630366690457,0.0030734435841441154,0.0,0.0,0.0,-0.015155501700937747,0.07734068632125854,-0.0018752317689359188,-0.02472709524445236,0.028429274894297123,-0.0028983920998871325,0.008242262173444032,0.0,-0.04200753697194159,0.0301065057516098,0.01323589077219367,-0.004446958559565246,0.0920787412300706,-0.035394698586314916,0.07648379093036056,0.013769836267456412,0.005770690599456429,-0.018225030563771723,-0.2359028675733134,-0.07427905917167664,-0.0038147378712892533,0.028447029888629915,1.0,1.0
Crls1,-0.5838344333507121,-0.0018682435131631792,0.005402735080569983,-0.05297354615293443,0.0,0.006278484165668488,0.009037072878563777,0.0028832538868300618,-0.005322723006829619,-0.0013090633228421212,0.03648756929207593,-0.0037122836709022524,-0.004130047373473644,-0.001977070113644004,0.00013626553118228912,-0.03212387936189771,0.0133151142206043,0.00428196708438918,0.0,0.013406261424534023,0.015953981736674904,0.0043675250932574275,0.0,0.0,0.0,-0.015155501700937747,0.0,0.0016757390275597573,0.007938430702779442,-0.0029126274585723876,-0.0049966852366924285,0.00347591120749712,0.0,0.01356727306265384,-0.0028673923027236013,0.0016671863896772264,-0.043321857172995804,-0.1605869157705456,-0.09242892774753272,-0.08662613651482388,-0.001021149531006813,-0.00832171575166285,-0.05392771273851395,-0.10704119831556454,0.012997752805240452,-0.010622184164822102,-0.03634493188001216,1.0,1.0
Nagk,-1.2088996896435855,-0.001688924552872777,-0.0005157666001468897,0.03906425680033863,0.0,-0.0019329236075282096,-0.031896980665624144,0.003432346414774656,0.008744401661679148,-0.004729525689035654,-0.0454825835255906,-0.0037122836709022524,-0.003317955657839775,-0.0005668095406144857,0.0021257422864437102,-0.02779223585501313,0.037479653880000116,0.005299724575597793,0.0,0.011720346775837243,0.015725616901181638,0.0019411222636699676,0.0,0.0,0.0,0.006422778116539121,-0.0004358360171318054,0.0008378694951534271,0.004849746990948915,-0.0029126274585723876,-0.006082221437245607,0.0019897746294736864,0.0,0.010718401949852706,-0.001572036542929709,0.0011693635361734777,-0.03861798487603665,0.15641498689539732,-0.0909865478798747,-0.035235651994589716,0.02308128337841481,-0.00393713191151619,-0.06465007282793522,0.044278994579799474,-0.03065640546148643,-0.0029665634781122206,0.052081646043807266,1.0,0.0
