,DEG,pred,score_0,score_1,score_2
Arhgap39,1,1,0.3496347963809967,0.5118827819824219,0.13848240673542023
Smarcd2,1,1,0.4810415208339691,0.4949461817741394,0.024012381210923195
Gprasp1,1,2,0.05379737913608551,0.10993213206529617,0.8362705111503601
Plekhg1,1,1,0.1818699985742569,0.5300540924072266,0.28807589411735535
Chm,1,2,0.07200995832681656,0.38483932614326477,0.5431507229804993
Mrps36,1,0,0.6726278066635132,0.29952162504196167,0.027850516140460968
Zfyve28,1,1,0.15610098838806152,0.7087695002555847,0.13512949645519257
2700046G09Rik,1,0,0.8626031875610352,0.12070534378290176,0.016691463068127632
Ikzf2,1,2,0.05855464190244675,0.4442693591117859,0.49717599153518677
Spata24,1,0,0.8026236295700073,0.18274609744548798,0.014630243182182312
Msl2,1,1,0.3933264911174774,0.46220049262046814,0.14447297155857086
Slc35f4,1,2,0.055693577975034714,0.17923977971076965,0.7650666832923889
Osbpl8,1,1,0.046682208776474,0.636653482913971,0.31666427850723267
Atp5c1,1,1,0.31687289476394653,0.5418707728385925,0.14125628769397736
Dzank1,1,2,0.10245224088430405,0.3787354826927185,0.5188122987747192
Acot8,1,0,0.5918798446655273,0.38017162680625916,0.02794855833053589
Tmem222,1,1,0.42142441868782043,0.5252624750137329,0.05331309139728546
Prkab2,1,1,0.4483071267604828,0.4719473719596863,0.07974553108215332
4933407K13Rik,1,2,0.027215413749217987,0.05330459401011467,0.9194799661636353
Rab8a,1,1,0.23338010907173157,0.6952396035194397,0.07138033211231232
Ttpal,1,0,0.505133330821991,0.45645609498023987,0.03841055557131767
Sp2,1,1,0.40734338760375977,0.5141170024871826,0.07853960990905762
Zdhhc5,1,1,0.09707853943109512,0.6658777594566345,0.23704372346401215
Zdhhc20,1,1,0.13922500610351562,0.45035791397094727,0.4104170799255371
Ccdc167,1,1,0.30799368023872375,0.5403107404708862,0.15169557929039001
Nol7,1,0,0.4900607466697693,0.4547702968120575,0.055168990045785904
Usf2,1,1,0.4068498909473419,0.5451599359512329,0.047990135848522186
Ints3,1,1,0.39820921421051025,0.4801027476787567,0.12168804556131363
Specc1l,1,1,0.08777619898319244,0.5957443118095398,0.31647950410842896
Rad51b,1,2,0.029559271410107613,0.10270696133375168,0.8677337765693665
Ei24,1,1,0.42370864748954773,0.4944572150707245,0.0818341001868248
Gpr107,1,1,0.11292420327663422,0.6862834095954895,0.20079238712787628
Zfp458,1,1,0.16362567245960236,0.5703946352005005,0.26597970724105835
Mios,1,2,0.0927148163318634,0.31661736965179443,0.5906678438186646
St8sia3os,1,2,0.07522843778133392,0.3159773647785187,0.6087942123413086
Golga1,1,1,0.11460292339324951,0.653732419013977,0.23166468739509583
Ggps1,1,0,0.4844132363796234,0.40819087624549866,0.10739592462778091
Usp53,1,1,0.1433378905057907,0.6100940108299255,0.24656815826892853
Snrpb,1,0,0.7661817073822021,0.21648095548152924,0.01733734831213951
Sdhaf2,1,1,0.281888484954834,0.6306455135345459,0.0874660462141037
Fgd3,1,2,0.22624796628952026,0.3510154187679291,0.42273661494255066
Ypel2,1,1,0.26031357049942017,0.4691025912761688,0.270583838224411
Smad3,1,2,0.06019924208521843,0.3099731206893921,0.629827618598938
Wdr1,1,1,0.14185571670532227,0.6170068383216858,0.24113740026950836
Polr2e,1,0,0.8271966576576233,0.144738107919693,0.02806526981294155
Efna2,1,0,0.5425041913986206,0.29849645495414734,0.15899935364723206
2310011J03Rik,1,0,0.7573034167289734,0.2053319811820984,0.03736461326479912
Ttc23,1,2,0.09642729163169861,0.260088711977005,0.6434839963912964
Maml1,1,1,0.2344566434621811,0.7008695602416992,0.06467380374670029
Mthfd1,1,1,0.1351800560951233,0.68296879529953,0.1818511188030243
Nelfa,1,1,0.12149573862552643,0.6588230133056641,0.21968123316764832
Klf7,1,1,0.39163368940353394,0.4805509150028229,0.1278153508901596
Bcr,1,2,0.02270553447306156,0.05250284820795059,0.9247915744781494
Chl1,1,2,0.04577251151204109,0.23301824927330017,0.7212092280387878
Mapk8,1,1,0.06580910831689835,0.8248831033706665,0.10930783301591873
Slc4a4,1,2,0.07271956652402878,0.23290088772773743,0.6943795084953308
Ermp1,1,1,0.12917491793632507,0.7631674408912659,0.10765767842531204
Crebbp,1,1,0.1374024599790573,0.5358263254165649,0.32677119970321655
Pja1,1,0,0.6992367506027222,0.27466458082199097,0.026098676025867462
Mfsd8,1,1,0.20240846276283264,0.573371171951294,0.2242203652858734
Vps13b,1,1,0.20981022715568542,0.4192047715187073,0.3709850311279297
Mtrf1l,1,1,0.3608660101890564,0.5909439921379089,0.04818996042013168
Mtfr1l,1,1,0.3824703097343445,0.5857419371604919,0.03178773447871208
Pld3,1,1,0.33545833826065063,0.6114572882652283,0.053084392100572586
Kctd3,1,2,0.08421558141708374,0.28298136591911316,0.6328030824661255
Esf1,1,1,0.2808549106121063,0.4949963390827179,0.2241487205028534
Inpp4a,1,2,0.25888827443122864,0.3599547743797302,0.3811569809913635
Mrpl38,1,0,0.7148511409759521,0.2592393755912781,0.02590945176780224
Slc25a36,1,1,0.2218036651611328,0.5271133184432983,0.25108304619789124
Nde1,1,1,0.15993395447731018,0.5992934107780457,0.24077261984348297
Cept1,1,0,0.5397989749908447,0.38581985235214233,0.07438119500875473
Dis3l2,1,1,0.15778498351573944,0.5929558277130127,0.24925915896892548
Sptssa,1,1,0.40132373571395874,0.5577133297920227,0.04096291586756706
Slc25a44,1,0,0.6295527219772339,0.326742559671402,0.04370471462607384
