,DEG,pred,score_0,score_1,score_2
Ap4e1,1,1,0.21213369071483612,0.5828703045845032,0.2049960047006607
Cry1,1,2,0.0782259851694107,0.4540921449661255,0.4676818251609802
D730003I15Rik,1,0,0.824529230594635,0.1486620008945465,0.026808783411979675
Ncln,1,0,0.534135639667511,0.3754914104938507,0.09037292003631592
Zfpm1,1,1,0.2928372323513031,0.40999898314476013,0.29716378450393677
Daam1,1,1,0.09695687890052795,0.8215634226799011,0.08147964626550674
Mgat3,1,0,0.5292152166366577,0.3889991044998169,0.08178567886352539
Nt5c2,1,1,0.11863196641206741,0.6389808058738708,0.24238723516464233
Cpeb3,1,1,0.15325750410556793,0.5351006388664246,0.3116418719291687
Mettl16,1,1,0.1277385950088501,0.49641820788383484,0.37584322690963745
Tmem65,1,1,0.06655013561248779,0.6415876746177673,0.29186221957206726
Klhl9,1,0,0.8248820900917053,0.14734569191932678,0.02777220495045185
Bin1,1,1,0.23190388083457947,0.4369964301586151,0.33109962940216064
Otud6b,1,0,0.4224873185157776,0.39779168367385864,0.17972101271152496
Zfp653,1,0,0.6386826038360596,0.3169091045856476,0.04440828785300255
Arnt,1,1,0.12352074682712555,0.535749077796936,0.34073013067245483
Mkrn2,1,0,0.5939699411392212,0.37541747093200684,0.030612602829933167
Kctd8,1,0,0.5523878335952759,0.20652242004871368,0.24108977615833282
Eif2b3,1,1,0.29138869047164917,0.5217471718788147,0.18686416745185852
Fdxr,1,0,0.5595312118530273,0.28562110662460327,0.15484771132469177
Osbpl11,1,1,0.08810343593358994,0.7074465751647949,0.20445002615451813
Gm13483,1,2,0.04300517961382866,0.3160581588745117,0.6409366726875305
Mrgbp,1,0,0.752897322177887,0.1924823373556137,0.054620325565338135
Nipsnap1,1,1,0.35872143507003784,0.48973482847213745,0.1515437215566635
Ifnar1,1,1,0.28268447518348694,0.5935640931129456,0.12375139445066452
Bod1l,1,2,0.08632586151361465,0.3348536789417267,0.5788204669952393
Pabpc1,1,0,0.5100511312484741,0.45554468035697937,0.034404195845127106
Foxk1,1,2,0.10570291429758072,0.32941389083862305,0.5648831725120544
Zfp207,1,1,0.3196287453174591,0.6127644777297974,0.06760679185390472
Chsy3,1,0,0.4956820607185364,0.43382883071899414,0.07048909366130829
Gpn1,1,1,0.3089553415775299,0.5751585364341736,0.1158861294388771
Cdk19,1,1,0.23480097949504852,0.5441679954528809,0.22103102505207062
Pigt,1,0,0.7066437005996704,0.23284319043159485,0.06051312014460564
Tubb2a,1,0,0.6099834442138672,0.2472963035106659,0.14272025227546692
Kctd1,1,0,0.5201261043548584,0.37619486451148987,0.10367899388074875
Carf,1,2,0.06274428963661194,0.451544851064682,0.48571088910102844
Ttc7,1,2,0.0288079846650362,0.0743093267083168,0.8968826532363892
Ube4a,1,1,0.2003958523273468,0.5329792499542236,0.26662489771842957
Lsm14a,1,2,0.0811116024851799,0.45712295174598694,0.46176546812057495
Fubp3,1,1,0.14664891362190247,0.7377591729164124,0.11559192091226578
Ifrd1,1,2,0.26821717619895935,0.34881603717803955,0.3829668164253235
Mrps17,1,0,0.6634733080863953,0.3050236403942108,0.03150305524468422
Ube2o,1,1,0.3644757568836212,0.4957265257835388,0.13979774713516235
Timm9,1,0,0.4965672492980957,0.44076094031333923,0.06267184019088745
Taf15,1,1,0.09429528564214706,0.8225316405296326,0.08317302912473679
Abhd6,1,1,0.10332420468330383,0.4782071113586426,0.4184686839580536
0610010F05Rik,1,1,0.1632605493068695,0.5196534991264343,0.31708595156669617
Gm28320,1,0,0.7906357645988464,0.1708192229270935,0.03854506462812424
4930593A02Rik,1,2,0.023171912878751755,0.13310536742210388,0.8437226414680481
Usp22,1,1,0.3816884458065033,0.4811137020587921,0.1371978372335434
Sltm,1,1,0.09639237821102142,0.7132804989814758,0.19032716751098633
Tab2,1,1,0.14381036162376404,0.6525734066963196,0.2036161869764328
Gm5535,1,1,0.0834597498178482,0.5169975757598877,0.3995426893234253
Ints3,1,1,0.37529170513153076,0.5471373200416565,0.07757094502449036
Rnf149,1,1,0.3194977939128876,0.5234572887420654,0.1570449322462082
Ctnnb1,1,1,0.11858274787664413,0.7308064699172974,0.1506108194589615
Tmem38a,1,1,0.3356516659259796,0.6013978123664856,0.06295055896043777
Kremen1,1,2,0.03729967027902603,0.1493602693080902,0.8133400678634644
Rttn,1,2,0.2797570824623108,0.32252761721611023,0.3977152407169342
Stx8,1,2,0.06366316229104996,0.27577245235443115,0.6605644226074219
Rhoq,1,1,0.45871543884277344,0.462031751871109,0.07925280928611755
Ripk1,1,1,0.13161638379096985,0.4805934727191925,0.38779011368751526
Sort1,1,2,0.0451434887945652,0.19963902235031128,0.755217432975769
Taok2,1,1,0.4019562900066376,0.5483339428901672,0.049709782004356384
Igsf9b,1,1,0.08044753968715668,0.7371394634246826,0.1824130266904831
Phf21a,1,1,0.06374776363372803,0.6147805452346802,0.3214717209339142
Anp32e,1,1,0.24394437670707703,0.6949687600135803,0.06108686327934265
Gpbp1,1,1,0.08001330494880676,0.46539267897605896,0.4545939862728119
Pwwp2a,1,1,0.11495493352413177,0.75874924659729,0.1262957900762558
Spred2,1,2,0.04012283682823181,0.241358682513237,0.7185184955596924
Gt(ROSA)26Sor,1,1,0.46454715728759766,0.48026591539382935,0.05518694594502449
Gps2,1,0,0.8471066951751709,0.13787907361984253,0.015014249831438065
BC004004,1,1,0.19898444414138794,0.6536835432052612,0.14733202755451202
Rnf157,1,1,0.27402302622795105,0.5621832609176636,0.16379371285438538
Zfp961,1,1,0.11247964203357697,0.5974687933921814,0.29005154967308044
Maoa,1,2,0.08452285826206207,0.35468167066574097,0.5607954859733582
Eif2s1,1,1,0.18841160833835602,0.5479239225387573,0.2636644244194031
Ap3b2,1,1,0.13474589586257935,0.78658527135849,0.07866886258125305
Cerk,1,2,0.058019690215587616,0.1473388671875,0.7946414947509766
Ubxn6,1,0,0.6833862662315369,0.28696778416633606,0.029646001756191254
