gene_name,gene_length.meta,18mo.9mo.activity.log_ratio.mean.20kb-5Mb.enhancer_DMR,18mo.2mo.activity.log_ratio.mean.20kb-5Mb.enhancer_DMR,18mo.2mo.activity.log_ratio.std.20kb-5Mb.enhancer_DMR,count.enhancer_DMR,18mo.9mo.activity.log_ratio.max.5kb-20kb.enhancer_DMR,18mo.2mo.activity.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.median.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.min.0-5kb.enhancer_peak,9mo.2mo.activity.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.median.0-5kb.enhancer_peak,18mo.9mo.activity.log_ratio.median.0-5kb.enhancer_peak,18mo.9mo.contact.log_ratio.mean.20kb-5Mb.enhancer_peak,9mo.2mo.activity.log_ratio.min.20kb-5Mb.enhancer_peak,18mo.2mo.contact.log_ratio.std.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.mean.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.mean.20kb-5Mb.enhancer_peak,9mo.2mo.log_ratio.DAR,18mo.2mo.log_ratio.DAR,rel_pos.DAR,count.DAR,18mo.9mo.log_ratio.DAR,18mo.9mo.log_ratio.DMR,distance.log2.DMR,18mo.2mo.Q.mean.loops,18mo.9mo.Q.min.loops,9mo.2mo.Q.mean.loops,9mo.2mo.Q.min.loops,9mo.2mo.Q.std.loops,18mo.9mo.T.mean.loops,18mo.2mo.T.mean.loops,18mo.2mo.T.median.loops,18mo.2mo.Q.min.loops,9mo.2mo.log_ratio.mcg_genebody,18mo.9mo.log_ratio.mcg_genebody,18mo.2mo.log_ratio.mcg_genebody,18mo.2mo.log_ratio.mean.atac,18mo.2mo.log_ratio.max.atac,log2_distance.max.atac,9mo.2mo.log_ratio.mean.atac,count.atac,18mo.9mo.log_ratio.max.atac,18mo.9mo.log_ratio.mean.atac,9mo.2mo.log_ratio.std.atac,18mo.9mo.log_ratio.std.atac,9mo.2mo.log_ratio.max.atac,DEG,pred
Cry1,0.22798895720392465,0.00913310430943966,0.008321704949776177,-0.03948298156261444,0.029313701330684127,-0.002495088130235672,0.0030650039459578695,0.004916978143155575,0.0,0.010776018975302577,0.0025165388360619545,0.0060626486130058764,-0.010197196919471026,-0.07142244005342946,0.0,-0.013545209639705718,0.0,0.02004238694906235,0.0,0.0057867785915732385,0.0013406486809253693,0.024225864674663172,0.0,0.007129769629100338,0.022061609383672475,0.0,-0.0018513423239346594,0.0,0.0,0.004543322248500772,0.009409849550575018,0.01839518653228879,0.002488946411758661,-0.018748069365974517,0.033843472362495956,0.0,0.008397110998630523,0.02563388004899025,0.018023991007357836,-0.006047430112957954,0.0,0.0,0.029512199516175314,-0.015547859575599432,0.015135393690434285,-0.03847970876842737,0.0,1.0,2.0
Nt5c2,0.1371687505778391,0.0027233475958928464,0.007272558291442692,0.012484920620918273,0.10260916251689195,-0.005276632532477379,0.00204937594011426,0.004916978143155575,0.0009061784949153662,0.009870860357768834,0.0020214820839464663,-0.006242296891286969,-0.004496925510466099,0.0007025808212347328,0.0,0.0012498301919549703,0.0,-0.0020020872354507445,0.0,0.008754063993692399,0.0007222710363566875,0.01701864874921739,0.0,-0.10268586060032249,-0.051603030152618884,0.0,0.008592109531164169,0.0,0.0,0.00031152410432696344,0.003231665533967316,0.02591073974967003,0.002911637369543314,0.06827122505754232,0.03204958277172409,0.0,0.003022959940135479,0.03865002240985632,0.016950924377888442,-0.0334706502314657,0.0,0.0,-0.17791210593335563,0.040010303738527,-0.00037429372780025007,0.007128143641166389,0.0,1.0,1.0
Cpeb3,0.010452435135375708,0.000559056494385004,-0.0033851240831427277,0.008395184045657516,-0.14252986754290758,0.1155322590097785,0.0017244784301146865,-0.0012864284589886666,0.007637790031731128,0.0016228148550726474,0.0008663494139909744,0.005052611795254052,-0.010197196919471026,0.0037201829584955705,0.0,0.00021626634523272514,0.0,0.012813511062413454,0.0,0.004388715773820877,-0.0018829747382551431,-0.08118640150176361,0.0,0.007779971831478178,0.0034011314157396553,0.0,-0.00189992644242011,0.0,0.0,0.000747015536762774,-0.0013782102894037962,0.006490913974121213,0.00417164945974946,0.009676381535828114,0.014962863526307046,0.0,-0.009371175579726696,0.028534089860040694,0.017547259833663703,-0.09935762204229831,0.0,0.0,0.009985722173005342,0.19478196354582905,-0.0016474130097776651,-0.003704507052898407,0.0,1.0,1.0
Mettl16,0.17828630889765917,0.009545074179768562,0.0039558719634078445,-0.03653014078736305,0.03752938230056316,-0.007498232498764992,0.002652960172854364,0.003099029827862978,0.0009061784949153662,0.004405934242531657,0.0011963873542845248,0.006900565633550286,-0.010197196919471026,-0.0005349320179084316,0.0,-0.0014941957406699657,0.0,0.016247554291039704,0.0006600721366703511,0.013906138204038142,0.013196531906723976,0.007638004646869376,0.0,0.008630504672182723,0.02223328011110425,0.0,-0.036994118165312104,0.0,0.0,-0.03716822346672416,-0.002708896095864475,-0.08344876691699028,-0.013630996607244015,-0.0384869007859379,0.06350240592379124,0.0,0.0016794221452437342,0.024035382075235246,0.08601182572543621,-0.006047430112957954,0.0,0.0,0.018159775864332914,0.013710214947350323,0.01253836058836896,-0.006251007250975818,-0.013092648312449455,1.0,1.0
Otud6b,0.11535440099891275,0.010679091773927212,-0.00970745189813897,0.01565311960875988,-0.08540948995272629,0.007213478647172451,-0.016577852654736488,-0.02601052653044462,-0.0042719843331724405,0.0018272254487965256,0.0008339349925518036,0.012419493664056062,0.0060755007667467,-0.0521595674357377,0.0,-0.003988903122954071,0.0,0.01321727224814822,0.0006600721366703511,0.007700847759842873,0.013196531906723976,0.0057934084243606776,0.0,0.008353111268952489,0.0227802734170109,0.0,-0.039580263949465004,0.0,0.0,-0.034866815558634696,-0.0016158327599987388,-0.09608666163869202,-0.019858133695088327,0.0024860741733573376,0.0008941027898981701,0.0,0.001142007098533213,0.031204622029326855,-0.02833307784050703,0.023353760363534093,0.0,0.0,-0.0755711527987296,-0.01763266048859805,-0.000926275528036058,0.0019278422952629627,-0.022686471566557884,1.0,0.0
Nipsnap1,0.13288891082862392,0.006970686763525009,0.0033998842304572463,-0.006384285055100918,0.035024268152192235,0.05513839351013303,0.0038508964935317636,0.04258224444463849,0.0009061784949153662,-0.2509870048984885,0.004001709334552288,0.007437370652332902,-0.027509313598275183,0.008151171528734267,0.0,-0.042144029941409825,0.0,-0.024851425494998695,0.0,-0.04836567714810371,-0.00589885413646698,0.01674246043432504,0.0,0.009032741072587669,0.015604355996474624,0.0,0.012054150598705746,0.0,0.0,-0.0005340187763795257,0.002301543259527534,0.008526013903319836,0.014119926951825618,0.00408187563996762,0.04612869873642921,0.0,0.008397110998630523,0.021899309866130354,0.027990456633269788,0.003835986703634262,0.0,0.0,0.030833905385807155,0.02072763874894008,0.0025466091465204954,0.012516989167779683,0.0,1.0,1.0
Zfp207,0.21835803389549255,0.009545074179768562,0.007618677262216806,-0.00934910450130701,0.08349912777543068,-0.006375382095575333,0.00871100539341569,0.004916978143155575,0.0009061784949153662,0.013477872535586357,0.0025165388360619545,0.008564661191776395,-0.010197196919471026,-0.020819428641116248,0.0,-0.0006926751509308815,0.0,0.019058236554265022,0.0,0.010576828718185424,-0.00589885413646698,0.027373857562197373,0.0,0.01357641678652726,0.02223328011110425,0.0,-0.0018513423239346594,0.0,0.0,0.002224406290915795,-0.0053702676948159936,0.011336016692221165,0.014119926951825618,0.008917583776637912,0.0626472894847393,0.0,0.008397110998630523,0.03732877096161246,0.026895603947341442,0.013050625910982489,0.0,0.0,0.03668023437261581,0.036561367325484755,0.009868436277029104,-0.018673707358539106,0.0,1.0,1.0
Pigt,0.03616464296821505,-0.03111176687059924,-0.004414545603794977,0.011954812468029558,-0.06269667852815473,0.008624416552484035,0.002652960172854364,0.0033124757930636404,0.0009061784949153662,0.0028246189968194812,0.0011963873542845248,0.004325950716156513,-0.010197196919471026,-0.020522373408894054,0.0,-0.013105096102226526,0.0,-0.006290641930972924,0.0006600721366703511,0.0016291614063084125,0.003337158812209964,0.006162750800140202,0.0,0.00902103167027235,0.010713314602617175,0.0,-0.025736713646911085,0.0,0.0,-0.005957661173306405,-0.002756420597434044,-0.16056663826107978,-0.06397654526866972,-0.008343543707160278,0.0070254436787217855,0.0,0.0011084186565130949,-0.009253283392172306,-0.024469624888151884,0.02904915257822722,0.0,0.0,0.011821880517527462,-0.014054819429293274,0.017433833968825637,-0.006251007250975818,-0.024209823608398438,1.0,0.0
Carf,0.23269256992265583,0.00913310430943966,0.012390895374119281,0.03062233543023467,0.10525721120648086,-0.002495088130235672,0.00871100539341569,0.004916978143155575,0.0,0.013468524143099785,0.0025165388360619545,0.0060626486130058764,0.009815738769248128,0.018431511234957725,0.0,0.00490383137948811,0.0,-0.009596581757068633,0.0006600721366703511,0.010769146606326102,0.0013406486809253693,0.02088386964518577,0.0,0.025768260578624903,0.023333600256592035,0.0,-0.0731077414622996,0.0,0.0,0.0038325715716928245,-0.0009980143420398235,0.00484679214656353,-0.0028400852158665655,-0.0038498933473601936,0.031496435520239174,0.0,0.0030397541634738447,0.025503646545112134,0.031028641499578954,0.010091980444267392,0.0,0.0,0.0316843834053725,-0.018027156423777342,0.014424643013626337,-0.018673707358539106,0.01435658598318696,1.0,2.0
Ifrd1,0.13402986359316857,-0.012529168489854782,-0.21042537486064247,0.013198222955688834,-0.08769541785120964,-0.0031101975589990618,0.0017781584645854308,0.00034394775982946155,0.0,0.005106593682430684,0.0011963873542845248,-0.09436077617108822,-0.027509313598275183,0.00876683256632532,0.0,-0.001207892131060362,0.0,-0.009262065174989403,0.0006600721366703511,0.008782011941075325,0.0013406486809253693,0.009174560960382223,0.0,0.007066621248559386,-0.0012454918958246708,0.0,0.022123665343242463,0.0,0.0,0.002158820335753262,-0.0009980143420398235,-0.012900697588920594,-0.005025099106132984,0.004620044495677576,-0.1380240444710944,0.0,0.0032916674856096504,0.02818361537065357,0.01400382611900568,0.02390110969543457,0.0,0.0,0.01686910980322864,0.0006965031940490007,0.007483934364281595,-0.010261829108931125,0.01435658598318696,1.0,2.0
