gene_name,gene_length.meta,18mo.2mo.activity.log_ratio.min.5kb-20kb.enhancer_DMR,18mo.2mo.activity.log_ratio.mean.5kb-20kb.enhancer_DMR,9mo.2mo.activity.log_ratio.count.5kb-20kb.enhancer_DMR,9mo.2mo.activity.log_ratio.mean.5kb-20kb.enhancer_DMR,9mo.2mo.activity.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.std.20kb-5Mb.enhancer_peak,rel_pos.DAR,count.DAR,18mo.2mo.log_ratio.DAR,9mo.2mo.log_ratio.DAR,18mo.2mo.log_ratio.DMR,18mo.9mo.log_ratio.DMR,18mo.2mo.T.min.loops,18mo.9mo.Q.median.loops,18mo.9mo.Q.max.loops,Qanova.max.loops,9mo.2mo.Q.mean.loops,loop_size.log.mean.loops,min_distance.log.max.loops,18mo.2mo.T.std.loops,loop_size.log.median.loops,9mo.2mo.Q.median.loops,18mo.2mo.T.max.loops,18mo.2mo.log_ratio.mcg_genebody,9mo.2mo.log_ratio.mcg_genebody,18mo.9mo.log_ratio.mcg_genebody,9mo.2mo.log_ratio.mch_genebody,18mo.9mo.log_ratio.mch_genebody,18mo.2mo.log_ratio.mch_genebody,18mo.9mo.log_ratio.mean.atac,log2_distance.min.atac,9mo.2mo.log_ratio.max.atac,18mo.2mo.log_ratio.max.atac,18mo.2mo.log_ratio.min.atac,18mo.9mo.log_ratio.std.atac,count.atac,log2_distance.std.atac,18mo.2mo.log_ratio.mean.atac,18mo.2mo.log_ratio.std.atac,9mo.2mo.log_ratio.mean.atac,log2_distance.mean.atac,9mo.2mo.log_ratio.min.atac,9mo.2mo.log_ratio.std.atac
Chmp1a,8499.0,-0.1479877582721739,-0.0247287092408138,2.0,-0.0293455452199724,0.1800801884405767,0.1086183626220371,0.0,0,0.0,0.0,0.0,0.0,-0.023154419,-6.530000000000251e-06,0.0022994079999999,7.644501,0.000307960438983,18.24660351147244,13.849698301851296,0.0299510130914623,18.457637380991763,0.0002031339999999,0.10175904,0.0215496016450828,-0.0264161880616938,0.0479657897067767,-0.0631687312250681,0.0375385992858699,-0.0256301319391982,0.1511540752441299,2.000000000036068,0.1938999776035715,0.42080061442778,0.0504321645084022,0.1261106738057393,3,5.090229510791652,0.2768297453676319,0.1984661666063696,0.1256756701235019,7.867265088959637,0.044858128683165,0.0753147418410688
Ankrd28,131883.0,0.0,0.0,0.0,0.0,0.06686827409436,0.0785851707654905,0.0,0,0.0,0.0,0.0,0.0,-0.02911471,0.001210021,0.004094395,12.167751,0.0003153171919354,15.348008596257744,16.144000946804976,0.040059750175418,15.303138583159058,0.0003204331999999,0.13277832,0.0205605337078973,0.0035007421357381,0.0170597915721592,-0.0680746506737033,0.0841148558189347,0.0160402051452313,-0.1651609008889432,10.88569637333947,0.5954714091476396,0.2428694261712641,-0.1945660178698628,0.2778062126745734,8,2.057685222768964,-0.0147653897753337,0.1321550134182245,0.1503955111136095,14.398321167662225,-0.0687722030816453,0.2350287537543726
Birc2,18837.0,0.0581420817723083,0.0581420817723083,1.0,0.2177874532209432,-0.0360206610550903,0.1293858676515186,0.0,0,0.0,0.0,0.0,0.0,0.00659116,0.000263097,0.0003642061999999,0.14565925,-8.009740000000018e-05,16.705241425970335,14.21856323619027,0.0156482487822769,16.7094473491633,-0.0001235445999999,0.03723356,0.0908715628708742,0.046267478883281,0.0446040839875931,-0.0762333204377718,0.0408597841108201,-0.0353735363269516,-0.0683783867163543,10.434628227636829,0.0163941922585775,-0.0735145568345303,-0.2382726770202681,0.1656057910524189,3,0.5130575427303468,-0.1745963573419064,0.0885194161685549,-0.106217970625552,10.997194263614965,-0.1993814789863464,0.1108611857920771
Parp12,31939.0,-0.0432432172792381,-0.0432432172792381,1.0,-0.0053533623955691,-0.0231763404828049,0.0476958018017941,0.0,0,0.0,0.0,0.0,0.0,-0.103428674,0.0002475802499999,0.0018690810999999,8.780308,0.0003903028682926,17.840089382064207,14.643292526926809,0.0402702849357244,17.88267758989904,0.0002591716999999,0.10211819,0.069088738216383,0.0353930286445566,0.0336957095718264,-0.1276396012851281,0.1457675564918661,0.0181279552067379,0.0616799136522769,11.199058823653084,-0.0460968238115278,0.0284729838904214,-0.0462080436866774,0.0873858590688935,2,0.2045542919232543,-0.008867529898128,0.0528074610257461,-0.0705474435504049,11.343700550592828,-0.0949980632892821,0.0345783980431474
Mfsd8,28783.0,0.0,0.0,0.0,0.0,0.015474582023808,0.0676807322370637,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0127152329629452,0.0356342257461871,-0.0229189927832419,-0.0270165850593207,0.009333346204307,-0.0176832388550136,-0.000481080688693,10.728770849542748,0.1072163219659374,0.0302638300218434,-0.1062802196569316,0.1184416437288601,3,0.3990529342549009,-0.0244269890526653,0.0722109190202831,-0.0239459083639722,11.14056993482322,-0.0981734700494534,0.1139184315037278
Mecr,24316.0,-0.0353045180195955,-0.0001293413944442,2.0,-0.0159235812169766,-0.1018078672514892,0.0,0.0,0,0.0,0.0,0.0,0.0,-0.06991652,9.884200000000004e-06,0.0011322186999999,7.182403,6.385781237623763e-05,18.467090786200234,14.272192361644638,0.0265358037909782,18.508584017342883,1.638320000000009e-05,0.058177344,0.0103040480308922,-0.0217334687008856,0.0320375167317779,-0.0669664521163032,0.0471980006990796,-0.0197684514172235,-0.1291120312063435,10.760719947465706,0.906745111498794,0.386064061979025,0.0975331770178105,0.2802564919447047,6,1.0771689878766029,0.2391214663008461,0.1437118646622197,0.3682334975071897,12.385261388139249,0.0424340131673148,0.3474137298238874
Pnmal1,4928.0,-0.0526519477027181,-0.0253058900882681,3.0,-0.0528087675491907,-0.0371792011081595,0.0688761441671394,0.0,0,0.0,0.0,0.0,0.0,0.011784605,0.0011692349999999,0.0013011429999999,5.866697,0.0007366886666666,15.774055584852988,14.119184312397149,0.0314082041614929,15.820926847404143,0.0002388579999999,0.0739502,0.0111604894317473,0.0020008834810084,0.0091596059507388,-0.0262827321276664,-0.044023375936535,-0.0703061080642014,0.0693304297711872,10.687375683437557,0.2187508415437808,0.2949161739399362,-0.1081103462089658,0.0252467093614683,3,0.4283766532091176,0.0808300433850222,0.2026865195374098,0.0114996136138349,11.120004315474937,-0.1985663361610221,0.2086728269233292
Lrrfip1,130207.0,0.0,0.0,0.0,0.0,-0.0515393687488705,0.0657263245222148,0.0,0,0.0,0.0,0.0,0.0,-0.06752473,0.0002892284,0.003252062,11.067849,0.0002194543707438,16.449331394814692,16.114393054867307,0.0331796738585556,16.253256579781155,0.0002120225,0.1174846,-0.0193485779815672,-0.005629802565399,-0.0137187754161682,-0.0597938466903562,0.0503544864142319,-0.0094393602761243,-0.0996059863818773,10.101975670949365,0.4922412521516552,0.6901451920488879,-0.4968355868909935,0.3849283329711829,14,2.012406889715362,-0.1000732486044658,0.300019579367376,-0.0004672622225885,14.291914092939624,-0.6182352840395038,0.2571792347668269
Nudt6,15301.0,0.0,0.0,0.0,0.0,0.1679198808142503,0.0865352839374577,0.0,0,0.0,0.0,0.0,0.0,-0.0272691999999999,0.0011753417,0.0029423105,7.155082,-0.0003823098954545,16.71578514295595,14.060864776563502,0.0316546376249366,16.508419108502764,-0.00024103285,0.08578784,0.1343082801214447,0.0914034954576449,0.0429047846637998,-0.0674729745993693,-0.0016031578690653,-0.0690761324684347,-0.0093537624128048,10.71252700043991,0.0652577453645526,-0.0826861504378309,-0.1341389276705111,0.1223916700433293,5,0.8468532375908048,-0.1148638316019867,0.019320385482187,-0.1055100691891819,11.582778948341552,-0.2926285640273791,0.1268027989317167
Fubp1,26404.0,-0.1422463124846027,-0.061106716236727,2.0,-0.080954278429952,0.0531085172792531,0.0922517271454347,0.0,0,0.0,0.0,0.0,0.0,-0.0137888999999999,0.0012609023,0.0016394419999999,5.135904,0.0001667184199999,16.61699746765643,14.39486457818436,0.0180535038588781,16.609640474436812,0.0001065696999999,0.0311711899999999,-0.0260149352264912,0.0187782121518438,-0.0447931473783351,-0.0466310206561039,0.0318927009162752,-0.0147383197398286,0.0056476453484,10.16364967601595,-0.0156326243183224,-0.0391787768524265,-0.0894545901173069,0.0421909190710761,3,0.5527389988144354,-0.0618085486261989,0.0255105188357484,-0.067456193974599,10.715960121467226,-0.1302055074966635,0.0580625981094116
