,DEG,pred,score_0,score_1,score_2
Chmp1a,1,1,0.36811012029647827,0.504534900188446,0.12735502421855927
Ankrd28,1,1,0.10571164637804031,0.7510794997215271,0.143208846449852
Birc2,1,1,0.2596411108970642,0.698955774307251,0.04140309989452362
Parp12,1,1,0.35933467745780945,0.605787456035614,0.034877877682447433
Mfsd8,1,1,0.21423806250095367,0.7298356890678406,0.055926255881786346
Mecr,1,1,0.10216879099607468,0.8290703296661377,0.06876092404127121
Pnmal1,1,0,0.5846127867698669,0.34895455837249756,0.06643267720937729
Lrrfip1,1,2,0.1278400421142578,0.43132662773132324,0.4408333897590637
Nudt6,1,1,0.4497353732585907,0.5137426853179932,0.03652196377515793
Fubp1,1,1,0.24905498325824738,0.6783074140548706,0.07263761013746262
Fzr1,1,1,0.3701590299606323,0.5305604934692383,0.09928043931722641
Rab43,1,1,0.24019284546375275,0.7117115259170532,0.04809563234448433
Zfp706,1,0,0.6266942024230957,0.3455498516559601,0.02775590494275093
Nedd4,1,1,0.12392979115247726,0.44546324014663696,0.4306069612503052
Gramd1a,1,1,0.22258834540843964,0.7174465656280518,0.05996508523821831
Nasp,1,1,0.1486876755952835,0.7740157246589661,0.07729659974575043
BC005537,1,0,0.635428249835968,0.3318925201892853,0.03267921879887581
Pigx,1,1,0.251693993806839,0.6689982414245605,0.07930772006511688
Fbxo32,1,1,0.16596953570842743,0.8059092164039612,0.028121260926127434
Snapc3,1,1,0.2865050733089447,0.5812832713127136,0.13221167027950287
Ddx52,1,1,0.29541414976119995,0.6620669364929199,0.04251885414123535
Nudt3,1,1,0.4608714282512665,0.49640756845474243,0.0427209846675396
Hells,1,0,0.5521136522293091,0.40382128953933716,0.04406511411070824
Zfp521,1,2,0.11289391666650772,0.10406883805990219,0.7830373048782349
Ralgapa1,1,2,0.07849700003862381,0.16543318331241608,0.7560697793960571
Gtf2ird2,1,1,0.14720313251018524,0.8224635124206543,0.030333396047353745
Optn,1,1,0.0704711526632309,0.7537882328033447,0.17574061453342438
Ankrd46,1,1,0.11117958277463913,0.8604293465614319,0.028391068801283836
