gene_name,gene_length.meta,18mo.2mo.activity.log_ratio.min.5kb-20kb.enhancer_DMR,18mo.2mo.activity.log_ratio.mean.5kb-20kb.enhancer_DMR,9mo.2mo.activity.log_ratio.count.5kb-20kb.enhancer_DMR,9mo.2mo.activity.log_ratio.mean.5kb-20kb.enhancer_DMR,9mo.2mo.activity.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.std.20kb-5Mb.enhancer_peak,rel_pos.DAR,count.DAR,18mo.2mo.log_ratio.DAR,9mo.2mo.log_ratio.DAR,18mo.2mo.log_ratio.DMR,18mo.9mo.log_ratio.DMR,18mo.2mo.T.min.loops,18mo.9mo.Q.median.loops,18mo.9mo.Q.max.loops,Qanova.max.loops,9mo.2mo.Q.mean.loops,loop_size.log.mean.loops,min_distance.log.max.loops,18mo.2mo.T.std.loops,loop_size.log.median.loops,9mo.2mo.Q.median.loops,18mo.2mo.T.max.loops,18mo.2mo.log_ratio.mcg_genebody,9mo.2mo.log_ratio.mcg_genebody,18mo.9mo.log_ratio.mcg_genebody,9mo.2mo.log_ratio.mch_genebody,18mo.9mo.log_ratio.mch_genebody,18mo.2mo.log_ratio.mch_genebody,18mo.9mo.log_ratio.mean.atac,log2_distance.min.atac,9mo.2mo.log_ratio.max.atac,18mo.2mo.log_ratio.max.atac,18mo.2mo.log_ratio.min.atac,18mo.9mo.log_ratio.std.atac,count.atac,log2_distance.std.atac,18mo.2mo.log_ratio.mean.atac,18mo.2mo.log_ratio.std.atac,9mo.2mo.log_ratio.mean.atac,log2_distance.mean.atac,9mo.2mo.log_ratio.min.atac,9mo.2mo.log_ratio.std.atac,DEG,pred
Parp12,-0.7955253008753062,0.0,0.0,0.0,0.0,-0.0406879948079586,-0.16590598184615374,0.0,0.0,-0.0011831465363502502,0.008046936430037021,0.0,0.0,0.0,-0.0006179708242416382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016949167847633362,0.0,-0.1281984220072627,-0.07784644581377506,0.0,0.0,-0.06301057307049632,-0.040818698853254315,0.049747351380065086,0.0,-0.09102131590247155,-0.1007858418673277,0.02728134673088789,-0.0007478687167167664,0.0,0.0,0.03242455366998911,-0.01126131385564804,0.006898358352482319,0.0,0.01162863842677325,0.01136684514582157,1.0,1.0
Mecr,-0.8393065431341529,0.0,0.0,0.0,0.0,-0.0406879948079586,-0.11567308453842998,0.0,0.0,-0.006063625998795032,0.015292425379157067,0.0,0.0,0.0,-0.0020150044932961465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0031073475629091263,0.0,-0.0617727857735008,0.23677836537361144,0.0,0.0,0.016315239556133745,0.02964774701744318,-0.1082266263384372,0.0,0.06703756589442492,-0.07560265265405178,0.02658015610650182,-0.0005609015002846718,0.0,0.0,0.03242455366998911,-0.005299441814422608,0.009460523873567581,0.0,0.1230669440724887,-0.047373026125133035,1.0,1.0
Nasp,-1.0448625438660384,0.0,0.0,0.0,0.0,-0.0406879948079586,0.15285495528951287,0.0,0.0,-0.0008873599022626876,0.025892486423254014,0.0,0.0,0.0,0.009618144072592259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016949167847633362,0.0,0.09709366820752621,0.09042897373437882,0.0,0.0,-0.06301057307049632,-0.014448975725099445,0.0324459888972342,0.0,-0.09102131590247155,-0.06718405038118362,0.040051058940589426,0.003739343583583832,0.0,0.0,0.03242455366998911,-0.01126131385564804,0.006898358352482319,0.0,0.014432068853639067,0.01319917567074299,1.0,1.0
Fbxo32,-0.7892519858106971,0.0,0.0,0.0,0.0,-0.0406879948079586,-0.1965871674567461,0.0,0.0,-0.006063625998795032,0.015292425379157067,0.0,0.0,0.0,-0.0020150044932961465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011299446225166321,0.0,-0.06904804854653776,-0.07784644581377506,0.0,0.0,0.016315239556133745,0.005021114284172654,-0.05363617460243404,0.0,-0.058132313936948773,-0.07495933629572392,-0.06271900560706854,-0.0005609015002846718,0.0,0.0,-0.034134315811097625,-0.01126131385564804,0.009460523873567581,0.0,0.016138458813074977,0.00983990304172039,1.0,1.0
Snapc3,-0.7624678192660213,0.0,0.0,0.0,0.0,-0.0406879948079586,0.07540834866464138,0.0,0.0,0.01937402453273535,0.011989173404872417,0.0,0.0,0.0,-0.0011276446585543453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011299446225166321,0.0,-0.11673634296283125,-0.04505177609622479,0.0,0.0,-0.06301057307049632,-0.040818698853254315,-0.04899573142640293,0.0,-0.058132313936948773,-0.06812600918114185,0.0256746743619442,-0.0005609015002846718,0.0,0.0,0.03242455366998911,-0.01126131385564804,0.006898358352482319,0.0,0.008979451803024858,0.01136684514582157,1.0,1.0
Flnb,1.0184034099429846,0.0,0.0,0.0,0.0,-0.011700832769274711,-0.10770709251984954,0.0,0.0,-0.0017747198045253753,0.0366641540825367,0.0,0.0,0.0,-0.0015449269860982895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016949167847633362,0.0,0.31860684856772425,0.23677836537361144,0.0,0.0,0.054244337268173695,-0.016196600114926695,0.09263466712087393,0.0,-0.09102131590247155,0.011537613943219185,0.08867049880325795,-0.0023557863757014273,0.0,0.0,-0.06369900465011596,-0.01126131385564804,0.02970037281513214,0.0,0.10018601462244987,0.034163107872009275,1.0,2.0
Aftph,-0.532478137947619,0.0,0.0,0.0,0.0,-0.0406879948079586,0.2697103160619736,0.0,0.0,-0.0008873599022626876,0.022451016921550035,0.0,0.0,0.0,0.009618144072592259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016949167847633362,0.0,-0.045939067732542756,-0.026426389291882516,0.0,0.0,0.026101240441203117,0.02964774701744318,0.022280238475650548,0.0,-0.09102131590247155,-0.07226916417479515,0.0327676547691226,-0.0007478687167167664,0.0,0.0,-0.034134315811097625,-0.01126131385564804,-0.027500171735882758,0.0,0.03722525093937293,0.02439067840576172,1.0,1.0
Scp2,0.8550121285766363,0.0,0.0,0.0,0.0,-0.011700832769274711,0.2290421472489834,0.0,0.0,-0.0017747198045253753,0.035547640398144724,0.0,0.0,0.0,-0.0015449269860982895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008757070153951645,0.0,-0.36788562141358855,-0.026426389291882516,0.0,0.0,0.054244337268173695,0.02665665403008461,0.05736721383407712,0.0,0.1076379482448101,-0.018201967030763627,0.050064614564180376,-0.000934835895895958,0.0,0.0,0.06319596469402314,-0.005299441814422608,0.02970037281513214,0.0,0.08240547072142362,0.026223008930683137,1.0,1.0
Osgepl1,-0.7720031485706568,0.0,0.0,0.0,0.0,-0.0406879948079586,-0.11567308453842998,0.0,0.0,-0.0011831465363502502,0.010793250687420368,0.0,0.0,0.0,-0.0006179708242416382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016949167847633362,0.0,-0.10699437154456973,0.23677836537361144,0.0,0.0,-0.06301057307049632,-0.040818698853254315,0.049747351380065086,0.0,-0.061874385997653006,-0.09573772799223662,0.02728134673088789,0.00878745741210878,0.0,0.0,-0.034134315811097625,0.0920778015255928,0.006898358352482319,0.0,0.01162863842677325,0.01136684514582157,1.0,0.0
Fbxl3,-0.9912251176312565,0.0,0.0,0.0,0.0,-0.0406879948079586,0.15285495528951287,0.0,0.0,-0.006063625998795032,0.023157242909073828,0.0,0.0,0.0,-0.0020150044932961465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011299446225166321,0.0,0.0755182610079646,0.09042897373437882,0.0,0.0,0.016315239556133745,0.00835069727152586,-0.0637608834542334,0.0,-0.058132313936948773,-0.10790996028110385,0.03723670095205307,0.01817320950329304,0.0,0.0,-0.034134315811097625,-0.01126131385564804,0.009460523873567581,0.0,0.021591075863689184,0.01319917567074299,1.0,1.0
