,DEG,pred,score_0,score_1,score_2
Bora,1,0,0.4322776794433594,0.33010774850845337,0.23761455714702606
Drosha,1,2,0.1586962640285492,0.2931762933731079,0.5481274127960205
Snx14,1,2,0.24018792808055878,0.23718556761741638,0.522626519203186
2810405F17Rik,1,0,0.8002668023109436,0.16053438186645508,0.039198826998472214
St6galnac3,1,0,0.4128972887992859,0.3056345283985138,0.28146812319755554
Nap1l1,1,1,0.35882508754730225,0.4781731069087982,0.16300174593925476
AI987944,1,1,0.21496006846427917,0.5328193306922913,0.25222063064575195
Polr2b,1,0,0.4832099676132202,0.3405812680721283,0.1762087196111679
Txn1,1,1,0.13364578783512115,0.7544729709625244,0.11188122630119324
Aprt,1,1,0.3258216679096222,0.6040977239608765,0.07008057087659836
Sidt2,1,1,0.1399531364440918,0.575076699256897,0.28497016429901123
Stox1,1,2,0.03846219927072525,0.4769063889980316,0.4846314489841461
Coq7,1,1,0.058507420122623444,0.654455304145813,0.28703728318214417
Ephb1,1,2,0.14087723195552826,0.22780250012874603,0.6313202381134033
Acvr1,1,0,0.7586181163787842,0.13854722678661346,0.10283470153808594
Aimp2,1,1,0.1427520364522934,0.7954415678977966,0.061806414276361465
Cluh,1,1,0.11312329024076462,0.6451663374900818,0.24171040952205658
Rabepk,1,2,0.15215376019477844,0.4149528741836548,0.4328933358192444
Ap1ar,1,0,0.5251633524894714,0.3239392340183258,0.15089738368988037
Rbm8a,1,0,0.7523427605628967,0.19828921556472778,0.04936804622411728
D11Wsu47e,1,1,0.20449413359165192,0.683093786239624,0.11241210252046585
Pfdn1,1,2,0.06881440430879593,0.4240671396255493,0.5071184635162354
Ssh3,1,1,0.055985260754823685,0.7362395524978638,0.20777516067028046
Vps18,1,1,0.08715669065713882,0.6459925174713135,0.2668507993221283
Smyd5,1,1,0.200894296169281,0.5535657405853271,0.24553999304771423
Polr2a,1,2,0.10092933475971222,0.3792996406555176,0.5197709798812866
Tpm1,1,0,0.5841807126998901,0.3126397132873535,0.10317960381507874
Bcl9l,1,2,0.1154174953699112,0.21836179494857788,0.6662207245826721
Hdac6,1,1,0.12854455411434174,0.5127372145652771,0.35871827602386475
