gene_name,gene_length.meta,9mo.2mo.activity.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.2mo.contact.log_ratio.min.20kb-5Mb.enhancer_peak,9mo.2mo.activity.log_ratio.std.20kb-5Mb.enhancer_peak,rel_pos.DAR,9mo.2mo.log_ratio.DAR,18mo.2mo.log_ratio.DMR,18mo.9mo.Q.mean.loops,9mo.2mo.Q.mean.loops,loop_size.log.mean.loops,18mo.2mo.Q.std.loops,18mo.2mo.log_ratio.mcg_genebody,9mo.2mo.log_ratio.mcg_genebody,18mo.9mo.log_ratio.mcg_genebody,9mo.2mo.log_ratio.mch_genebody,18mo.2mo.log_ratio.mch_genebody,18mo.9mo.log_ratio.mean.atac,18mo.2mo.log_ratio.max.atac,18mo.2mo.log_ratio.mean.atac,9mo.2mo.log_ratio.min.atac,18mo.9mo.log_ratio.min.atac,9mo.2mo.log_ratio.mean.atac,DEG,pred
St6galnac3,-0.4384715189272538,0.036750111090950666,-0.01173972483491525,-0.04812736020423472,-0.144282778641209,-0.0022866563126444817,-0.021529940420296042,-0.027977624526247382,-0.04234592395834625,-0.0031708087027072906,0.02899233401985839,0.04169155944138765,0.06386434973683208,-0.023801867145812138,0.06605791098205373,-0.0057543516554869716,-0.006447345502674579,0.013688343167304993,0.029751360174268483,0.00325546401552856,-0.0210754058760358,0.01328285581432283,1.0,0.0
Nap1l1,0.18206148395547644,0.1029448767658323,-0.042703363061882556,0.08763761788024567,-0.0007359802280552685,0.000755838118493557,-0.07703210843261331,0.026548816151916982,0.08682981736958027,-0.003834088114090264,0.020357842012308537,0.033644285900518295,0.0656032510008663,-0.004771053805598058,-0.062014374630525705,-0.010284769653808326,-0.005213372027501464,0.011958753713406623,-0.01225070608779788,0.005288328668102622,0.07023182118311525,-0.0349166405107826,1.0,1.0
AI987944,0.19826786596444435,-0.035369054372422395,0.0010560505371540784,0.09214551034849137,0.0022482286067679524,0.0005636882781982422,0.00012008029967546464,0.058361050467938186,0.09979221474379302,-0.017261422513984145,0.019791787499561907,0.006880921619012952,0.04204773778910749,-0.0316425021662144,0.006380439745262265,0.054365370871964844,0.0017963531333953142,0.009974508099257946,-0.042796647772192956,-0.004969876827672124,-0.011981755520682782,-0.021811735825613143,1.0,1.0
Ephb1,-0.49383387979120014,0.003772752387449145,-0.0046290662419050934,-0.059622090756893155,0.0067770147789269685,0.000755838118493557,-0.017263534797821195,-0.02884707032935694,0.037823272896930576,-0.0032869410142302513,0.011564808012917639,0.04833805529400706,0.049636528338305654,-0.0017273050174117087,0.07595512817613781,0.005876410282216966,-0.00373498878441751,-0.13551379439421,0.0036020236648619175,0.016213388983160257,-0.10637515214446466,0.01666071865707636,1.0,2.0
Acvr1,-0.27781781964935365,-0.06843169620260596,-0.016298533193767072,0.2432890525367111,-0.004010956170968711,-0.0003970609977841377,-0.004056679508648813,-0.036271589326206596,-0.07700755250640214,-0.01572499659843743,0.020969916540198027,0.013548708986490965,-0.12840028330450878,0.04313841435709037,-0.07125995153095573,0.01797058113384992,-0.025662830416113138,0.004045718293637038,-0.02106585119967349,0.007944611804559827,0.025949023137800394,-0.030595509307458996,1.0,0.0
Pfdn1,0.15362660243641585,-0.015578977959230543,-0.006159805660136044,-0.02144435591995716,0.020223918864503504,0.000755838118493557,-0.00030835728161036967,0.07470804067095742,0.09638081477954984,-0.009180045826360584,0.017721138270571826,0.002455441448837519,0.12998317522928118,-0.0068423838104354215,0.012139986869879067,0.09149471349548549,5.336827598512173e-05,0.012203864064067602,-0.014886182174086571,-0.00464020274579525,0.09005311786197126,0.03243776742368937,1.0,2.0
Ap1s2,0.20927955983672292,0.1050730186747387,0.0922507025487721,0.08684832567465492,0.006294655622914433,0.000755838118493557,-0.0007378817722201348,0.06602646311512217,0.07302346644923091,-0.01689911934081465,0.03091761869378388,0.0161829979903996,0.09119702251045965,-0.055554250318091365,0.09442435678094625,0.001671542248222977,-0.003956746272742748,0.007626056410372257,-0.007936835456639528,-0.005283440216444433,0.0094468299834989,-0.02291993980295956,1.0,1.0
Blm,0.12220597526058555,0.002831719438545406,0.0003646439826115966,-0.03413993984460831,0.004488617852330208,0.000755838118493557,0.0004201019601896405,-0.024527252496918662,0.07258856032975018,-0.007047809483483433,0.03086782112251967,0.0023223284073174,0.05257633106317371,0.020960214181104674,-0.045405541537329557,0.08384587166132405,0.007721645385026931,0.026448324518278242,-0.002051874888129532,0.0008711053524166346,-0.1250378009211272,0.03456378161907196,1.0,2.0
Pqbp1,-0.29392227420117706,0.04049408461432904,-0.011221342762000859,0.02188304563052952,0.011857638130895793,0.0008519130572676659,-0.0009085802733898163,0.05664962153648958,0.003991819582879543,-0.019347854643128812,0.017998549873009324,-0.08690065922215581,0.10837177189067006,-0.014470507189980709,-0.021763651203364133,0.016311493893153964,0.00708812584169209,0.009156234748661517,-0.03027424164582044,-0.012272387319244444,-0.028139240639284253,-0.003687989814206958,1.0,0.0
Pygo1,0.10243007155135274,-0.09913681962527335,-0.005809541502967477,0.12512886730837636,0.0005204928922466934,0.0005636882781982422,0.0004784926120191813,0.1166829194035381,0.047103338930755856,-0.007079042876139283,0.014494313066825271,-0.1392161151021719,-0.09732521671801805,-0.006731233880855143,-0.18356448310427367,-0.24588320538401603,-0.03590770450420678,-0.004014556407928467,0.005909274080768228,-0.003108764858916402,0.029633367378264667,-0.057861969880759714,1.0,0.0
