gene_name,gene_length.meta,18mo.9mo.activity.log_ratio.min.5kb-20kb.enhancer_DMR,18mo.2mo.activity.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.count.0-5kb.enhancer_peak,9mo.2mo.activity.log_ratio.mean.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.min.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.mean.20kb-5Mb.enhancer_peak,18mo.9mo.contact.log_ratio.count.0-5kb.enhancer_peak,18mo.2mo.log_ratio.DMR,9mo.2mo.log_ratio.DMR,18mo.9mo.Q.median.loops,18mo.9mo.Q.mean.loops,18mo.2mo.T.mean.loops,18mo.9mo.Q.std.loops,18mo.2mo.T.median.loops,loop_size.log.mean.loops,18mo.2mo.log_ratio.mcg_genebody,9mo.2mo.log_ratio.mcg_genebody,18mo.9mo.log_ratio.mcg_genebody,9mo.2mo.log_ratio.mch_genebody,18mo.9mo.log_ratio.mch_genebody,18mo.2mo.log_ratio.mch_genebody,18mo.9mo.log_ratio.mean.atac,9mo.2mo.log_ratio.max.atac,18mo.2mo.log_ratio.max.atac,18mo.2mo.log_ratio.min.atac,18mo.2mo.log_ratio.mean.atac,9mo.2mo.log_ratio.min.atac,9mo.2mo.log_ratio.mean.atac
Nfix,100468.0,0.0,-0.000229265493469,0.0,0.1542799221534236,-0.1545091876468927,-0.1545091876468927,0.0,-0.0473057147628439,0.7462434075662728,0.0039314699999999,0.0035813924020833,0.0150390924791666,0.002946410601599,0.02517236,14.738436515982054,0.0113742956688551,0.0979848695607485,-0.0866105738918934,0.0544265194540998,-0.0093439368587879,0.0450825825953118,-0.0191021223075173,0.5144064494015754,0.4967127399375943,-0.3166427573147485,0.0829514730752037,-0.4534675696830628,0.1020535953827211
Cep295,40873.0,-0.0542321153718141,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0004541331999999,0.0003896839366666,0.0384842063999999,0.0007626520167336,0.065316365,18.393284660519107,0.0140285536333507,0.0382882194036245,-0.0242596657702737,0.1574624670501717,-0.1381373526374375,0.0193251144127342,-0.0854836115606278,0.3722264383942613,0.2854608761716504,-0.3430541678275274,-0.0311545576682937,-0.3529573527936192,0.0543290538923341
Ermard,48836.0,0.0110098311949838,-0.2221527142104706,0.0,-0.1215682551273611,-0.0112777939508057,0.0329309131559316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026596325632985,0.0479714556265376,-0.0213751299935526,0.0504475042863556,-0.0490500982572692,0.0013974060290864,-0.1713325462592896,1.5701658157810243,1.1521943451188597,-0.2960377691913138,0.3206659193511832,-0.3141130826334324,0.491998465610473
Naa20,14326.0,0.0,0.0,2.0,0.0,-0.1173538820677499,-0.0258587213567889,2.0,0.0,0.0,0.0018440987499999,0.0018541083999999,0.0663300825,0.0005516152357883,0.053558595,18.896586445314263,0.0005140544885486,0.0355751941869751,-0.0350611396984264,0.0458966935521484,0.0537575529723562,0.0996542465245047,-0.3202299518719043,0.3033505955512179,0.0135891071295102,-0.5218940457684298,-0.2014243896836625,-0.0404787952532905,0.1188055621882417
Klhdc1,43456.0,0.0,-0.2361065432079083,0.0,-0.4173107365104633,-0.1465920479766529,-0.0208788920575822,0.0,0.0,0.0,0.0038781156,0.0037496208272727,0.1561813825454545,0.0008958669574754,0.16325265,14.826247137339111,-0.0040442099224718,-0.0123750340515455,0.0083308241290737,-0.005658832369887,-0.0460506553032371,-0.0517094876731241,-0.0818509475154763,0.0367546377956937,-0.0217206332920734,-0.5209695376021455,-0.3056854154804842,-0.4806431428141132,-0.2238344679650078
Vps9d1,11992.0,-0.008162398873279,0.2117212035476883,0.0,0.0818050867197792,-0.2108803368175471,-0.0619247551890294,0.0,-1.13326653061024,-0.6951454183402415,0.001272544,0.001187958668421,-0.0256302510526315,0.0012778869972971,-0.0175766,16.791285157911812,0.0145596442651001,0.043443242057501,-0.0288835977924008,-0.0714383128088975,0.147777955944133,0.0763396431352354,-0.0300324160286309,0.5248734484479909,0.4979104942910088,-0.0072313785696578,0.308687591645731,0.0101311640947368,0.338720007674362
Zfp202,21288.0,0.0,0.0904982153859461,2.0,-0.2163557049186327,0.0341338711154319,0.1209671626793746,2.0,0.0,0.0,0.00239788615,0.0021138905625,0.12979670375,0.0023728051467012,0.125989065,17.807527207483894,-0.0145209194058015,-9.203924882224268e-05,-0.0144288801569792,-0.0309158824838911,-0.0260695879613838,-0.056985470445275,-0.0644673295463421,0.2148461675533923,-0.1235778824302313,-0.2745397127853142,-0.174373829489577,-0.2991871635859763,-0.1099064999432348
Poln,162269.0,-0.135415235425473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001185849,0.0012665610614906,0.011604206431677,0.0016774252981171,0.00768309,15.806980589571072,-0.0184052648300896,-0.0134018684237054,-0.0050033964063841,-0.1523940567076571,0.0473673737592918,-0.1050266829483653,0.0962554357071292,0.86394867196953,0.6797398151753489,-0.5198107312968008,0.0885091136013806,-0.4187310398715658,-0.0077463221057485
Angptl2,31648.0,-0.2459205370197906,-0.2750158149607382,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0010632855,0.0012158513809523,-0.0342290401428571,0.0011848667842847,-0.04218843,16.980903073070394,0.0271090874330375,0.0242210129291498,0.0028880745038877,0.0944235124141323,-0.0273763863518436,0.0670471260622886,0.0228640594223168,0.5772552408293556,0.5621148913069031,0.0295458822883214,0.2886936551157202,-0.0779905111338774,0.2658295956934034
Eif3a,29541.0,0.0,-0.0882408683875306,2.0,-0.1262367180887033,-0.0824705455447145,-0.0169587780729864,2.0,0.0,0.0,-0.0005342395999999,-0.0005342395999999,0.070407217,0.0011640496483696,0.070407217,17.33144380017462,0.0137690515651826,0.0295968035867113,-0.0158277520215287,0.0019110034615461,0.0439212433057976,0.0458322467673437,-0.1427658595094496,0.0454344111227326,-0.1078477489569862,-0.4846130297240347,-0.2467830933375706,-0.2750512681074086,-0.1040172338281209
