gene_name,gene_length.meta,18mo.9mo.activity.log_ratio.min.5kb-20kb.enhancer_DMR,18mo.2mo.activity.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.count.0-5kb.enhancer_peak,9mo.2mo.activity.log_ratio.mean.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.min.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.mean.20kb-5Mb.enhancer_peak,18mo.9mo.contact.log_ratio.count.0-5kb.enhancer_peak,18mo.2mo.log_ratio.DMR,9mo.2mo.log_ratio.DMR,18mo.9mo.Q.median.loops,18mo.9mo.Q.mean.loops,18mo.2mo.T.mean.loops,18mo.9mo.Q.std.loops,18mo.2mo.T.median.loops,loop_size.log.mean.loops,18mo.2mo.log_ratio.mcg_genebody,9mo.2mo.log_ratio.mcg_genebody,18mo.9mo.log_ratio.mcg_genebody,9mo.2mo.log_ratio.mch_genebody,18mo.9mo.log_ratio.mch_genebody,18mo.2mo.log_ratio.mch_genebody,18mo.9mo.log_ratio.mean.atac,9mo.2mo.log_ratio.max.atac,18mo.2mo.log_ratio.max.atac,18mo.2mo.log_ratio.min.atac,18mo.2mo.log_ratio.mean.atac,9mo.2mo.log_ratio.min.atac,9mo.2mo.log_ratio.mean.atac,DEG,pred
Nfix,0.328470405950211,0.014588677724823355,0.027816130029968918,0.0647927519492805,-0.04102344487328082,-0.01996579993516207,-0.13689175776205956,0.09118543868869892,-0.025550013789907098,0.433564547598362,0.19357689910859335,0.12583639894146473,-0.01581813341937959,-0.0693815583968535,-0.001049217376857996,0.020282673574984075,0.02924098583869636,0.33549484028015286,0.012655078351963311,0.03108200626913458,-0.005252728040795773,-0.08257412081584334,0.013458769023418426,-0.05635016960091889,-0.006698783440515399,0.0016526164673268794,0.006162340575829148,0.1534990568831563,0.28242016536183656,1.0,0.0
Ermard,-0.052774928372818976,-0.022549259085208176,0.14940397372469305,0.03888287344016135,0.023057811479084193,0.1934901647316292,0.045042708520777526,0.07735121834091842,-0.015787546625360846,-0.04512169098481536,-0.12979973630048336,-0.06257223504595459,-0.022018230161629616,0.06825378636829554,-0.012085407213307918,0.024580986122600734,-0.039011164694093166,-0.006855020702350885,-0.009906774554401636,0.009506396115757525,-0.04122577613103204,-0.08899016367271542,0.010062878504395485,0.008779192809015512,-0.0016188866412267088,5.935076624155044e-06,-0.013047696803696454,0.036575665660202504,-0.5156170458858833,1.0,2.0
Vps9d1,-0.14364515973662492,-0.024044238175265492,-0.06700367814861238,0.06264800270088017,-0.04955206295475364,-0.021811237102374436,-0.0466665894119069,0.1129988120123744,0.032736032432876525,-0.03550096403807402,-0.009747533461777494,-0.026785048744641243,-0.01324816263280809,-0.011343645174056291,-0.007247207192704081,-0.02413641562219709,0.043261077557690444,-0.015063650901429354,-0.022033300348557532,-0.1769856843771413,-0.03234813733724877,0.23950201603583993,-0.00222890367731452,-0.012036323533393442,-0.013035191246308387,-0.027627449305728077,-0.01523710415000096,-0.11291861116886139,-0.4562981143128127,1.0,2.0
Zfp202,-0.2053200489189476,-0.01594550225418061,-0.047631234806030986,-0.10324799325317144,0.016250534104183315,0.07355329818325117,0.046281425766646865,-0.09189636973664164,-0.023033566763624547,-0.06047466003336013,0.21824683088168967,0.029726391893345864,0.06163347337860614,-0.10662716353312135,0.02227770698722452,-0.02427139086648822,-0.08178473197389394,-0.08039331171195954,-0.039162951726466416,-0.05710059768520295,-0.020863418576773256,-0.08413937773555517,0.016394928731024265,-0.018191600572317838,-0.005399722866714001,-0.025283973077312113,0.08923752451315523,0.12395798998884856,0.12844603744335473,1.0,1.0
Oaz1,-0.2000733357388526,-0.04307905838824808,-0.04884432574501261,-0.0872198976110667,-0.034661522801034156,-0.022595074530690908,-0.013460939242504537,-0.10072028275579215,-0.011028855545446277,-0.0676508622476831,-0.13492360203526915,-0.015660380132030697,-0.016624027001671492,0.10399711869191379,-0.016621945537626744,0.010442122402600944,0.256844718339853,0.09390951203880832,-0.015161415738984942,-0.044802811043336985,-0.027882131566293537,-0.039708148054778576,0.0035381133295595644,0.33032678180374203,-0.018574415473267436,-0.013123307027854025,0.06029499311000109,0.14777972013689578,0.18656902255490423,1.0,1.0
Tmem109,-0.12699073462281377,-0.04065484761726111,-0.08653704266063869,0.07602780271321535,-0.04262592317536473,-0.0370876716542989,0.11212672485155054,0.12317870013415813,-0.026599329798482358,-0.04121086183236912,-0.028364962330670096,-0.0035264515737071633,-0.030006264820694923,-0.08614810122177005,-0.015153622180223465,-0.05329980025999248,0.08106831457465886,-0.04550137707032263,-0.0007951991586014628,-0.20286714617162943,-0.052968310734722766,-0.10652169978246093,0.0009059353172779083,-0.01600642000325024,0.023571580089628695,-0.037393402792513374,-0.014729911747854202,-0.08424980162642896,-0.06129963215440512,1.0,1.0
Umps,-0.19851617093896493,-0.06649707741569727,-0.04970033893128857,-0.09617464451119304,-0.005821778303943575,0.058366503363940864,0.08988842394319363,-0.19657278187572957,-0.013214990105479956,-0.05534452798310667,-0.0792107901070267,-0.06326247088843956,0.021861934699118138,0.005646685948595405,0.02114508089493029,-0.026205529081635176,0.12497695648577065,-0.002875571388285607,-0.0032906306406948714,0.281842833138071,-0.035033650362165644,0.07503494873642921,-0.010657851044088602,-0.02293631821870804,-0.033084379620850084,-0.06752410900779068,-0.020548820458352567,-0.13268548003397881,-0.1323290066421032,1.0,1.0
Rasl10b,-0.24658763714309317,0.06257154810242355,-0.03764258891809732,-0.11598433225415647,0.06423854792490602,-0.038548856256529686,0.11432514521293342,-0.1296677637286484,-0.02468676982447505,-0.050186271807178856,0.18364292397454846,0.01887764692073688,0.027938161795027554,-0.14196035616099834,-0.013239761516451835,-0.025944232260808348,0.07437267651315778,-0.02949067633599043,-0.011381924119777977,0.024026690386235713,0.24306453685741872,-0.05285442499443889,0.01970515036955476,-0.017361649041995407,-0.04538003978319466,-0.05513410129584372,0.001245077196508646,-0.14520844395272434,0.004520039092749357,1.0,2.0
Clcn1,-0.08040611982345582,-0.036658314191736284,0.18243636931292712,0.04069676650688052,0.16690586146432906,-0.04281817431561649,0.02282906587701291,0.11687208574265241,-0.03330384243279696,-0.04184292664984241,-0.1122935633128509,-0.091605956396088,-0.03420864349231124,0.027075385292991996,-0.013350946791470052,0.022308107274584474,-0.07802111162804067,-0.039799156463705,-0.009180484152166173,-0.25480645228759385,-0.0669873455655761,-0.08040456457063555,0.0010685412026941775,-0.00673748224042356,-0.020477057644166054,-0.027995121888816355,0.018477451771032063,0.039362787399441004,0.04949592377990484,1.0,1.0
Ttc1,-0.0938699934259057,0.05636612765025348,0.07558056595153176,0.08739806638099253,0.11630547547247261,-0.035822352771647276,-0.018030955265276136,0.10657533597201109,0.027562472424469887,0.11017950213514269,-0.11853749703383074,-0.015483591952361167,-0.022138946633785964,0.06851115851663053,-0.07950911461375654,0.021879158378578723,-0.1314706725999713,0.020023575951345265,0.0018658055644482374,0.06111720411106944,0.20599994160700588,-0.08978592775762081,0.015285937264561653,0.18289507610257716,0.00038614345714449883,0.13642788820900023,0.01719638625974767,0.09620173032395542,0.39927130851894616,1.0,2.0
