gene_name,gene_length.meta,18mo.9mo.activity.log_ratio.min.5kb-20kb.enhancer_DMR,18mo.2mo.activity.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.count.0-5kb.enhancer_peak,9mo.2mo.activity.log_ratio.mean.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.min.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.mean.20kb-5Mb.enhancer_peak,18mo.9mo.contact.log_ratio.count.0-5kb.enhancer_peak,18mo.2mo.log_ratio.DMR,9mo.2mo.log_ratio.DMR,18mo.9mo.Q.median.loops,18mo.9mo.Q.mean.loops,18mo.2mo.T.mean.loops,18mo.9mo.Q.std.loops,18mo.2mo.T.median.loops,loop_size.log.mean.loops,18mo.2mo.log_ratio.mcg_genebody,9mo.2mo.log_ratio.mcg_genebody,18mo.9mo.log_ratio.mcg_genebody,9mo.2mo.log_ratio.mch_genebody,18mo.9mo.log_ratio.mch_genebody,18mo.2mo.log_ratio.mch_genebody,18mo.9mo.log_ratio.mean.atac,9mo.2mo.log_ratio.max.atac,18mo.2mo.log_ratio.max.atac,18mo.2mo.log_ratio.min.atac,18mo.2mo.log_ratio.mean.atac,9mo.2mo.log_ratio.min.atac,9mo.2mo.log_ratio.mean.atac,DEG,pred
Nfix,0.023736891997104978,0.004033161417901283,-0.028760173078626394,0.0,-0.027864010808989405,-0.13926880347542464,0.003568015396595001,0.0006401865882799029,0.011048530212137848,-0.006810749545693397,-0.15117986240191386,-0.03269461582414806,0.010298887509852648,0.021506097370292993,0.0026284683402627708,0.007715551722794771,0.007313973214477301,0.0007755014253780245,0.07598227085894906,-0.05492624583654106,-0.014193214178085327,0.031198733877390625,0.005475126951932907,-0.030158844413235783,-0.012291624387726187,0.0,0.002064789244905114,-0.06383046156959608,0.011398236220702528,1.0,0.0
Ermard,0.020880418987071606,0.037455523740500214,0.17551313545554875,0.0,0.02685191310942173,0.07424988527782261,-4.021793603897095e-05,-0.004923122283071279,0.007443741359747946,0.0038628526404500007,0.02833496251842007,0.038856700863689184,0.020179895292967556,0.027553494507446884,-0.004317925772629678,-0.020877825105562808,0.015875473613850773,-0.028496898782905192,-0.2033740825066343,-0.011078762020915747,0.010589255774393678,0.06624862862750888,-0.0030628091748803855,-0.05907618343830109,-0.0063143816869705915,0.0,-0.06987204993143678,-0.009307916243560612,0.010763046126812696,1.0,2.0
Vps9d1,0.06234126555500552,-0.08590132394107058,-0.04541538686025888,0.0,-0.023014727160334588,-0.046277192304842174,0.005249447152018547,-0.0037089510215446353,-0.007309525241144001,-0.023138311090879143,-0.008403754867613316,-0.007575220556464046,0.02040347074624151,-0.05056402210844681,0.004509743052440171,-0.06193810012890026,0.006474549272097647,0.002973297929856926,-0.08959112365264446,0.05630606814753264,-0.008091628262773156,-0.019319282760843635,0.0010628811595961452,-0.02983184336218983,-0.0064579110243357715,0.0,-0.031751506474101916,0.055124140083789824,0.02295338419266045,1.0,2.0
Zfp202,0.023537235646508635,0.07136491232551634,-0.021022615539841354,0.0,0.006191645944491029,0.08146309619070963,0.0006568917632102967,0.03011209674179554,0.01353781869634986,0.002688206136226654,-0.3112675940990448,-0.022418412026017905,-0.013535782943945378,0.029574998742900788,0.00784955627284944,0.03944069282151759,0.04547743995673954,0.07420890709618107,-0.02176837871200405,0.047686743824742736,0.0014102201629430057,0.06790575126186013,0.006441938988864422,0.09128565983846784,0.03837627802975476,0.0,0.010155278281308711,-0.04132544678403065,-0.011393370758742093,1.0,1.0
Oaz1,0.29333138063142544,-0.07155598044279031,-0.04417633896111511,0.0,-0.005248937136493623,-0.06411140975309536,0.00015437155961990358,0.029824013896286486,0.01559484247583896,0.007526136375963688,0.014991414134856313,0.02070949735119939,0.012113915812806226,0.07288213113788515,0.0024171859258785844,0.013867495507001877,-0.08517045590095222,0.024442455333191903,0.13639237805269658,0.024568487047217785,-0.020443782578222453,-0.022628808736335486,0.01690743621904403,0.036582940313965084,0.061048255544155834,0.0,0.019536457620561123,0.013768393262289465,-0.011673486018553376,1.0,1.0
Tmem109,0.1054452290770132,0.04967234496492892,0.03152551167877391,0.0,0.019133356660604478,0.007580804319586605,8.246686309576034e-05,-0.005555283254943788,0.021513373916968705,0.012600997574627399,0.0737461485923268,0.008070314368233085,0.03705282604554668,0.008559927683672868,0.005148605299182236,0.04135976614430547,0.003979693427681923,0.004706805632449687,0.14716458755312486,0.13551567532354966,0.005932084554806352,0.027657524754758925,0.016894733875524252,0.0008971069566905499,0.012619591522961856,0.0,-0.015242542969062925,0.052427051141858104,0.05272701740264893,1.0,1.0
Umps,0.06784552377299406,-0.03892841659951955,0.011333010082598776,0.0,0.01057014849036932,0.015822397095616905,0.00015437155961990358,0.05790106005966664,0.012203955119475722,0.012600997574627399,0.02787987140007317,-0.02346496750600636,-0.01168853284791112,0.04944027266465127,0.01912266077211825,0.041167865693569186,-0.1502208260819316,0.019715204443782566,0.12358683772850781,0.01530010764952749,0.003983460399322212,0.0247648366400972,0.006702236044220627,0.04494680960662663,0.011171008832752705,0.0,-0.04176821300992742,0.057817196454852816,0.003887463491410017,1.0,1.0
Rasl10b,0.10278029323555529,0.08969415100524201,-0.006405074398498982,0.0,0.0039032011944800616,0.0567354280105792,0.002339135929942131,0.028393976539373398,0.010056637553498149,-0.017558712158352138,-0.1405757049145177,-0.03269461582414806,-0.014019403103739024,-0.07320210061967374,-0.007869946458376943,-0.00883961289189756,0.015443203151226043,0.014389835628680885,0.012944927307544277,-0.055247095371596514,-0.00046692156698554757,0.08939728761091828,0.007483100406825542,-0.04879795294255018,0.00019996617920696734,0.0,-0.0027783713745884596,0.009154754555784166,0.0048759976914152505,1.0,2.0
Clcn1,0.06776196843653452,0.057293904491234574,-0.00026008895365521313,0.0,0.001135948747396469,-0.07105905283940955,0.0009855406731367111,-0.0030764621403068303,0.01641815882641822,-0.005579084288328886,0.032983615552075206,0.04199131860397756,0.01524201759370044,0.05830372167052701,0.00039816732052713635,0.07191564828623086,0.02210969301406294,0.05315743039827794,0.0315426035434939,0.033863349307794124,-0.009724476560950279,-0.0010973683558404446,0.006874298173934221,-0.005771997235715389,0.042106199683621524,0.0,-0.02609324859920889,0.0022344258171506227,0.06796889998018742,1.0,1.0
Ttc1,-0.02989264765754342,-0.28252512084785847,0.027226806052494792,0.0,0.05535218862816691,-0.09376755194505676,0.004183470532298088,-0.0017068810015916825,0.0034441267675720155,-0.005801843963563442,0.011068418219219894,0.03354586195200682,0.02428407462313771,0.06481718584429473,0.006672983779571951,-0.02132573563605547,0.05476083065383136,-0.014185620164498687,-0.11857174346223473,0.012461750598158688,0.0008074594754725695,0.0435899676498957,-0.023049011167604477,0.03885327970609069,0.05372601882554591,0.0,0.019335749505553394,0.00566225585527718,-0.009421560233458876,1.0,2.0
Ndufb3,0.10432104274863377,0.034274371427018197,-0.0817364818137139,0.0,0.020933165848255157,0.04930731133092195,0.00012390345335006715,0.036672677882015704,0.018328554178588093,0.007526136375963688,0.029048378125298768,0.07269350193440914,0.01995655398350209,0.062019227342680096,0.003334675203077495,0.03218622267246246,0.010227471590042114,0.034023912255652246,0.18796827894635498,0.03989909396506846,-0.005107650612480938,-0.032211125250905755,0.004859912674874067,0.05341862287372351,0.03239702903665602,0.0,0.05686263041105121,0.011318031190894544,-0.013775936402380467,1.0,1.0
Nipa1,0.04566654298629146,0.052840499042067675,-0.19282205275492742,0.0,-0.05705008048564195,-0.07628903205506504,-0.0003274304140359163,0.011637820843607188,0.015262850946746766,0.0038798771053552626,0.01241032184800133,0.07269350193440914,0.016011409419588743,0.05901771120261401,0.0001075143227353692,0.04085497527383268,0.01213837830349803,0.03141871251398697,0.12367047274019569,0.03988676697947085,0.04953122823499143,0.04827072988729924,0.003808357985690236,-0.026850216826424002,0.040635098265483977,0.0,0.042125340588390826,0.050822951439768074,0.0088890628144145,1.0,2.0
Cnrip1,0.056522922268195545,0.060269035156816246,0.07093956148251891,0.0,-0.008835009494796396,-0.033362600922118874,0.010993695482611657,0.05342883240431547,0.009327927497215569,0.001154152937233448,-0.036940775620751085,-0.06548328714445234,-0.01442668174393475,0.028078325982205568,-0.013193411226384342,-0.04734026648104191,0.03710101897828281,-0.045164186167530714,0.04526611402630806,0.031773646911606196,0.011051420820876956,-0.25621199366636577,0.0004691017558798194,0.09198637635447085,0.03340590636245906,0.0,4.592572338879109e-05,0.0002310638572089374,-0.010417457772418856,1.0,1.0
Tomm6,0.3572382718732115,0.08196186464512721,0.008658172974828631,0.0,-0.030458290628157556,0.08393694583559409,0.010993695482611657,-0.01843379650497809,0.013927246686071157,0.007032005786895752,0.01088440119056031,0.010845770337618887,0.022411863980814815,-0.0024214395275339484,0.008606594217199018,0.006977984132245183,0.03136082140728831,-0.3306127383047715,0.09386861525010318,0.0003328722296282649,0.009270588215440512,-0.002862115632742643,0.0042579542379826306,-0.0020444934396073224,0.006754749859683215,0.0,0.024290096482727678,0.04833545462228358,-0.018028357587754725,1.0,1.0
Hmgb1,0.02522273456386756,0.06880830191075801,0.10373774866573512,0.0,0.03608541622757912,0.08130136878229678,0.004223688542842865,0.013523425757884979,0.03175695177167654,0.004870101660490036,0.07293526604538783,0.001110304705798626,0.04223965606186539,0.0985264690965414,-0.00047187681309878826,-0.026781802102923392,0.052862374056130645,0.07117377312621102,0.05000055307988077,0.07894595434889197,0.009610916702076793,0.09240753903519362,-0.0017094186134636402,-0.005771997235715389,0.027498310431838036,0.0,0.010636263289488851,0.009460290223360061,-0.020910684932023287,1.0,1.0
Rhoq,-0.01705933436838677,0.05292582974769175,0.10783308341167867,0.0,-0.04977327536791563,0.07104350324720145,0.0013958441466093063,-0.004553855862468481,0.013817363427951932,0.006985340155661106,0.04722770541673526,0.002009121957235038,0.020418498627841473,0.02000697932206094,-0.0066198813263326885,0.06459046566858888,0.03566610920242965,0.055761040102224796,-0.10866578312357887,0.09219887755811214,0.012177904713898896,0.033408110551536085,0.007024003397673368,-0.0064384259469807146,0.012106318157166243,0.0,-0.011765584154054522,0.027825844548642634,0.05490616843104362,1.0,1.0
Ring1,0.3061111161485314,-0.1928418361907825,0.003107720594853163,0.0,-0.035323364892974496,-0.03209635163657367,0.004183470532298088,-0.025537397135049104,0.01471359547227621,0.006289473548531532,0.0428835046174936,0.009849224025383591,0.03500003132969141,0.015104975220747292,0.00023050331510603427,0.03536808946169913,-0.02710939503274858,0.02528654519934207,-0.022146576908417048,0.048382460582070054,0.012504646019078792,0.022140582175925374,-0.022049279976636173,0.006767393713817,-0.028603534838184716,0.0,0.020767172004561872,0.1277881716703996,0.010623118551447987,1.0,2.0
Rpl35a,0.2696347793779569,0.0630101031740196,0.016544856200926005,0.0,0.0039032011944800616,-0.0418422819650732,-0.01140887340530753,0.011637820843607188,0.029580055065453054,0.006289473548531532,-0.005681653548963368,0.0008019673451781273,0.014240818796679378,0.05983354495372623,-0.0011219721240922809,-0.0589847204182297,0.005298493392765522,-0.003028593638446182,0.016459407964721322,0.07171190526336431,-0.03745975760743022,0.04879378836136311,-0.0020308516919612884,-0.042345311092212796,-0.0193169566988945,0.0,-0.001029914952814579,0.03570751825347543,0.012253351584076881,1.0,1.0
Stard13,-0.3914970771223307,0.01810378450609278,0.005470775359426625,0.0,0.010955708110705018,0.04201370265800506,-0.0003274304140359163,-0.004923122283071279,-0.1200648538256064,-0.0004992255195975303,0.03139487898908556,-0.0336090081743896,-0.007875847290852106,0.006483115844894201,-0.007256783400662243,-0.02917173751629889,-0.0004920385172590613,0.01779215830960311,0.08056131559074857,-0.0283293854171643,0.004372982201166451,-0.06445699747651816,0.00048462298698723314,-0.004370557884685695,-0.016404799344018103,0.0,0.01719024126417935,0.007583916080184281,0.011398236220702528,1.0,0.0
Ptchd1,0.061070869375835175,0.0539457886852324,0.04755314903333783,0.0,0.018712051780894398,-0.10536170882638544,-4.021793603897095e-05,-0.022636794787831604,0.014940139066893607,0.002887192005291581,-0.007507130057783798,0.0776417664811015,0.020743892984464763,0.027484829551540316,-0.0024988930439576507,0.014453917760401964,0.0333402392687276,-0.07722212759894319,0.09177036926266738,0.015006131248082966,-0.03801699479110539,0.0441351661272347,0.007313568536192179,-0.010453806649893522,0.08560380958020687,0.0,0.029258348480798304,0.016629402167163788,-0.019149452252313494,1.0,1.0
Smad7,0.0676770287862746,0.08267542261164636,0.015374041073955595,0.0,0.016044726632535457,0.11102544744499028,0.0009855406731367111,-0.006929829716682434,0.033351235846057536,0.007762176431715489,0.0952280817902647,0.0010527335666120053,0.03417497363872826,0.036418711664155126,0.004693580265156924,0.008663323847576976,-0.0042501659225672485,0.07014781818259508,0.08081800862215459,0.09186464366968722,0.010116706388071179,0.052581019066274166,0.006803802754729986,-0.008004913534969092,0.010048688342794775,0.0,0.01627342979423702,-0.005701476167887449,-0.004203861942514777,1.0,1.0
Akt1s1,0.09216645370237529,-0.06349296937289182,-0.10391619390167761,0.0,-0.02708926061168313,-0.008460153576452285,-9.749867022037506e-06,0.003125744764693081,-0.09487037695944309,-0.019617453911341728,-0.0065822808956727385,-0.019509157763095572,-0.026763275552657433,-0.04644901314983144,-0.005305061677281628,0.03634008686058223,-0.08819043440278619,-0.21766885254648513,-0.0545805826713331,0.0015595546131953596,0.0028111107763834297,0.001782303071813658,0.015698203961364926,-0.007762893452309072,-0.03034821264911443,0.0,-0.028083446451928465,0.024673817786388098,0.009542938983067871,1.0,2.0
Usp35,-0.00013559195096604526,-0.16370883403578773,0.00593336661811918,0.0,-0.04915311234071851,-0.05022130768047646,-0.004555993378162384,0.008948089554905891,0.010844391910359264,0.0012278927396982909,0.017910352321341635,-0.004397974265739322,0.015880257547833024,-0.057119001117534936,-0.005229950564498722,0.05994828507304192,0.035619107270613314,-0.12095448833191767,0.02762424451764673,0.06013391376007348,0.036904273722320795,0.0008475567866116763,0.014884040476754307,0.02240000366233289,-0.04291890978813171,0.0,0.0049587170616723596,-0.05276336653158069,0.051543844901025294,1.0,2.0
Abcc1,0.0023059412761358544,-0.009563596373118344,0.061066088094376025,0.0,0.02344178106635809,0.03018956400686875,-4.021793603897095e-05,-0.009744276199489832,0.011811312516219913,0.0022762664407491684,0.02238169139251113,0.048095417087897656,-0.025938309789635242,-0.07789385446347297,0.01229379031326971,0.07364839621121064,-0.001680708359926939,-0.09320602847961709,0.05984551010187715,-0.01465452356962487,0.0026548644341528416,-0.0671731901075691,0.0098241622839123,-0.05684326713904739,-0.004942637458443641,0.0,-0.0020605449983850123,-0.008070373029913753,0.020808051005005837,1.0,2.0
Gt(ROSA)26Sor,0.08347903746645897,-0.04015902376268059,0.1297003313130699,0.0,0.02685191310942173,0.04945087693631649,0.0006979221105575562,-0.013610982620157301,0.007766849424224347,0.0038628526404500007,0.0014577389205805958,-0.022313652643933892,-0.013553930436028167,-0.03285159018123522,-0.001447146451100707,0.03350681520067155,-0.12414151324890554,-0.16886003135587088,-0.05326740402611904,0.019254766022786498,0.0002366794180124998,0.011907911541638895,-0.02217728074407205,0.01564912064932287,0.014820848412346094,0.0,0.008400552303064614,-0.023688241858035326,-0.007349355164915323,1.0,2.0
Galc,0.04423759020573925,0.048773015975020824,0.12756966133601963,0.0,0.03608541622757912,0.07813695783959701,-4.021793603897095e-05,0.00298538223374635,0.02061206232756376,0.0038495722599327566,0.00685870542889461,-0.021685716034844517,0.016707363864406945,0.05058026127051562,-0.005042062038555741,-0.03887343131005764,0.03543864954262972,0.017488921547774226,0.0787208801181987,0.050746083608828485,0.011829852387309074,0.07681719129672274,-0.11417959537357092,-0.011913950773887336,-0.023150737066753208,0.0,0.010636263289488851,0.002100138834211975,-0.06106402261182666,1.0,1.0
Slc35b1,0.2171119849779643,-0.051980958154890684,-0.09485993552953005,0.0,-0.029231765028089284,-0.013620007385034114,0.0005646750330924987,0.019158518332988025,0.008024760445114226,0.0025185680016875265,0.021823847086634488,-0.014625549595803023,-0.009993943284498527,0.028541610511019826,0.005435920110903681,0.027270501269958912,-0.08147477864753455,-0.2547531530400738,-0.09979636087082326,0.012448108966927975,0.0021231812983751298,0.06086276298388839,0.005883051414275542,0.021380401733331382,-0.028723814929835497,0.0,0.06432472287677228,0.03298854385036975,0.009542938983067871,1.0,1.0
