gene_name,gene_length.meta,18mo.9mo.activity.log_ratio.min.5kb-20kb.enhancer_DMR,18mo.2mo.activity.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.count.0-5kb.enhancer_peak,9mo.2mo.activity.log_ratio.mean.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.min.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.mean.20kb-5Mb.enhancer_peak,18mo.9mo.contact.log_ratio.count.0-5kb.enhancer_peak,18mo.2mo.log_ratio.DMR,9mo.2mo.log_ratio.DMR,18mo.9mo.Q.median.loops,18mo.9mo.Q.mean.loops,18mo.2mo.T.mean.loops,18mo.9mo.Q.std.loops,18mo.2mo.T.median.loops,loop_size.log.mean.loops,18mo.2mo.log_ratio.mcg_genebody,9mo.2mo.log_ratio.mcg_genebody,18mo.9mo.log_ratio.mcg_genebody,9mo.2mo.log_ratio.mch_genebody,18mo.9mo.log_ratio.mch_genebody,18mo.2mo.log_ratio.mch_genebody,18mo.9mo.log_ratio.mean.atac,9mo.2mo.log_ratio.max.atac,18mo.2mo.log_ratio.max.atac,18mo.2mo.log_ratio.min.atac,18mo.2mo.log_ratio.mean.atac,9mo.2mo.log_ratio.min.atac,9mo.2mo.log_ratio.mean.atac,DEG,pred
Nfix,-0.09594947883160784,-0.015946643892675638,-0.0005370557366404683,0.0,-0.004497337471693754,0.11590332658030093,-0.013343343471642583,0.0,-0.0010422032605856657,0.0003032665280625224,-0.0585250186920166,0.010403904323466122,-0.002961100647225976,0.04045074816211127,-0.005442764488980174,-0.012129101613536477,0.026069241722580044,0.00041948621161282064,-0.022528269668109713,0.05006957425619476,-0.07797485682240221,-0.015364231932908297,-0.016983399353921413,-0.0010074209421873093,0.01053401646669954,-0.03181310392115847,0.05805934326839633,-0.0379420449398458,-0.24091930665308608,1.0,0.0
Ermard,-0.056170092724496495,-0.01443561385385692,-0.11147742411121726,8.253122679889202e-05,0.016144447764381765,-0.014148078290745617,-0.10861091484548524,0.0,0.0011785380914807319,0.0025295957922935484,-0.034765647584572436,0.004577741390094161,-0.004657237874343991,-0.160969776934362,-0.0027176326140761374,-0.005381380377802998,0.06199737205868587,-0.0015249223168939353,0.0010976170469075442,0.015015337863005698,-0.001472420571371913,0.08317412667907774,0.022690210342407226,0.1359324180521071,0.025557876634411513,-0.004063995903707109,0.17022225765045731,-0.001087241224013269,0.13293489834293723,1.0,2.0
Vps9d1,0.18827484495472163,-0.01239851711317897,0.01951839679852128,0.0,0.047484151097014544,0.044781710747629405,0.17688685804605483,0.0,0.007922984212636947,-0.0033553113834932447,0.0026329384185373784,0.0033579919906333087,-0.004120574342086911,0.034459782398771496,-0.0031838999455794693,0.05557629387825727,0.10655409186147154,0.05409632888957276,-0.004773362488485873,0.0779670200124383,-0.012007307886160562,-0.05948473124299199,-0.005352898170240223,0.020398513562977314,0.05416953997686505,0.08070058876648545,0.04621163421310484,0.05597845861222595,0.12284443352371455,1.0,2.0
Zfp202,-0.019325825163396076,0.00426744170486927,0.03092187367845327,-0.004291623430326581,-0.01221952964551747,0.0040088383667171,-0.16872279769741,0.0,-0.0009360961918719112,0.014150108061730862,-0.015451463116332888,-0.012390231704339385,-0.025382797177881004,0.06051223082002252,-0.005398736447095871,-0.12076056267134845,0.13894111204048387,-0.014117724034003914,-0.001042874064296484,0.08913914351142012,-0.07069598124464392,0.06788413961883634,0.0071319079399108885,-0.05322691384702921,-0.054704450066201386,-0.017594988523051143,-0.0826124479691498,0.00043789243325591086,-0.12193514414131641,1.0,1.0
Oaz1,-0.2311794589436613,0.036133971787057816,-0.011796431192196906,-0.0007427809573709965,0.0030432507779914885,0.07308016879484057,0.014530361166689544,0.0,-0.0027934448933228852,0.0024870107369497417,-0.0038790670735761525,0.000903634843416512,-0.005454554418101907,-0.14374839793890715,-0.005376722430810332,0.001970880744047463,-0.14840796517208218,-0.056488696597516534,0.002145277993986383,0.03776663004187867,-0.014514713357202709,-0.024004079475998877,-0.07548778199590743,-0.05352492983918637,-0.041026436735410246,0.006394220392685383,-0.10669453267008067,0.02706406630575657,-0.060660080993548034,1.0,1.0
Tmem109,0.057702047077473256,-0.00824549098033458,0.07147771553136409,8.253122679889202e-05,0.032865619249641896,-0.01834334417784703,-0.13253143329173325,0.0,-0.0045915009826421735,0.0032565252156928183,-0.010594271961599589,0.0029013725044205784,-0.005454554418101907,0.03286876072175801,-0.004600070519372821,0.027443189229816197,0.09951982046244666,0.05866789310472086,0.002449605353176594,0.08977251721778884,-0.0038731792937323917,0.04883809004444629,-0.03777935821097344,0.004033394828438759,-0.03936344822868705,0.0852990872738883,0.12914103378076106,0.030142865385860206,0.11952728195115923,1.0,1.0
Umps,0.05714177245274186,0.02803658170159906,0.007287357356399298,-0.0015474603418260812,0.007413444072008133,-0.08127294754609465,-0.13118825428187847,0.0,-0.0019824784621596337,0.0034773243963718416,0.056839805003255604,0.0021096184407360854,-0.018321056962013246,0.011446291398024187,-0.006164339454844594,-0.054452750802156516,0.008231794345228992,-0.018820637265598635,0.0015145296743139624,-0.28873401823220773,0.017376880580559372,-0.3465861619077623,-0.0008945654192939401,-0.015754422126337885,-0.031080263493349775,0.0534273765391481,0.11060122419759864,0.05233883053064346,0.15463003827258945,1.0,1.0
Rasl10b,0.038795456234947776,-0.014775757570751011,-0.06476582303643226,-0.0015474603418260812,-0.028197537753731013,-0.11420066303107887,-0.14887342411093413,0.0,0.005116742681711912,-0.009350752281025053,-0.0585250186920166,0.007962694936431945,-0.025382797177881004,0.05812757576582953,-0.005760755557566881,0.024155082050710916,0.1324756304215771,0.05775616014343541,0.001931148860603571,-0.12274366245837882,0.0009867941029369832,0.1053501700796187,0.0072827859222888945,0.011862931903451682,-0.03114691240945831,0.06954351670909091,0.06157946117222309,0.02621457730419934,0.14198040725663305,1.0,2.0
Clcn1,-0.031190284854965285,-0.017979444754309952,-0.10549624698236584,0.001650624410249293,-0.06563732481561602,0.052401117752306166,-0.13666042399592698,0.0,0.036968079181388024,0.037096117188921196,0.020772728598676623,0.011090721507789567,-0.006897518346086144,-0.02622161131061148,-0.005355878733098507,-0.057789302087621765,-0.018336508588399737,-0.00018644518684595823,0.0020134841569233687,0.029352149893529713,-0.032915934647899124,0.043789535090327264,-0.03823199215810746,0.013096491824835538,-0.04671902953647077,0.026294576892250916,0.05104878329206258,-0.0008359106769785285,0.035741072166711095,1.0,1.0
Ttc1,0.014067732997937128,0.182704990436323,-0.0424467663327232,0.0,-0.041852435739710925,0.14706496942788364,0.17516083632595836,0.0,0.014867523312568664,0.0008438109653070569,-0.0010836798790842294,0.0009652934898622334,0.0019298155605792999,-0.037253279043361544,-0.004968503070995211,0.010449004245456308,-0.010373113621026277,-0.0021571403509005904,0.004355541332624852,-0.01927091711666435,0.01677128757815808,0.11156436917837709,0.03144044052809477,-0.08070883858948946,-0.03790260152891278,-0.10406148512673098,-0.10686605091730599,-0.013809031886048616,-0.4324486566055566,1.0,2.0
