gene_name,gene_length.meta,9mo.2mo.activity.log_ratio.mean.5kb-20kb.enhancer_DMR,9mo.2mo.contact.log_ratio.count.20kb-5Mb.enhancer_DMR,9mo.2mo.contact.log_ratio.count.5kb-20kb.enhancer_DMR,9mo.2mo.activity.log_ratio.max.5kb-20kb.enhancer_DMR,18mo.9mo.activity.log_ratio.max.20kb-5Mb.enhancer_DMR,18mo.9mo.activity.log_ratio.mean.5kb-20kb.enhancer_DMR,9mo.2mo.activity.log_ratio.count.5kb-20kb.enhancer_DMR,9mo.2mo.contact.log_ratio.median.5kb-20kb.enhancer_DMR,count.enhancer_DMR,18mo.9mo.activity.log_ratio.median.5kb-20kb.enhancer_DMR,9mo.2mo.activity.log_ratio.min.5kb-20kb.enhancer_DMR,9mo.2mo.contact.log_ratio.min.5kb-20kb.enhancer_DMR,18mo.9mo.contact.log_ratio.count.5kb-20kb.enhancer_DMR,18mo.2mo.contact.log_ratio.min.5kb-20kb.enhancer_DMR,18mo.9mo.activity.log_ratio.median.20kb-5Mb.enhancer_DMR,18mo.9mo.activity.log_ratio.mean.20kb-5Mb.enhancer_DMR,9mo.2mo.activity.log_ratio.count.0-5kb.enhancer_peak,18mo.2mo.activity.log_ratio.count.0-5kb.enhancer_peak,9mo.2mo.activity.log_ratio.max.20kb-5Mb.enhancer_peak,9mo.2mo.activity.log_ratio.min.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.max.5kb-20kb.enhancer_peak,18mo.9mo.activity.log_ratio.mean.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.median.5kb-20kb.enhancer_peak,18mo.2mo.activity.log_ratio.median.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.min.20kb-5Mb.enhancer_peak,9mo.2mo.contact.log_ratio.std.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.count.5kb-20kb.enhancer_peak,18mo.9mo.activity.log_ratio.min.20kb-5Mb.enhancer_peak,9mo.2mo.contact.log_ratio.count.0-5kb.enhancer_peak,18mo.9mo.contact.log_ratio.count.5kb-20kb.enhancer_peak,18mo.9mo.activity.log_ratio.median.20kb-5Mb.enhancer_peak,9mo.2mo.activity.log_ratio.mean.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.max.5kb-20kb.enhancer_peak,18mo.2mo.contact.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.mean.5kb-20kb.enhancer_peak,18mo.2mo.activity.log_ratio.mean.20kb-5Mb.enhancer_peak,9mo.2mo.activity.log_ratio.median.20kb-5Mb.enhancer_peak,18mo.2mo.log_ratio.DAR,9mo.2mo.log_ratio.DAR,rel_pos.DAR,count.DAR,18mo.9mo.log_ratio.DAR,count.DMR,size.log2.DMR,18mo.2mo.log_ratio.DMR,18mo.9mo.log_ratio.DMR,9mo.2mo.log_ratio.DMR,rel_pos.DMR,18mo.2mo.Q.min.loops,9mo.2mo.Q.std.loops,18mo.2mo.T.mean.loops,18mo.2mo.Q.std.loops,count.loops,18mo.2mo.Q.median.loops,18mo.9mo.Q.min.loops,loop_size.log.min.loops,Qanova.std.loops,min_distance.log.std.loops,18mo.9mo.T.median.loops,loop_size.log.mean.loops,min_distance.log.max.loops,loop_size.log.median.loops,18mo.2mo.T.min.loops,18mo.9mo.T.mean.loops,9mo.2mo.Q.min.loops,Tanova.median.loops,18mo.2mo.T.std.loops,Tanova.mean.loops,loop_size.log.max.loops,Tanova.std.loops,18mo.9mo.T.min.loops,18mo.9mo.Q.std.loops,18mo.2mo.T.median.loops,9mo.2mo.Q.mean.loops,9mo.2mo.log_ratio.mcg_genebody,18mo.9mo.log_ratio.mcg_genebody,18mo.2mo.log_ratio.mcg_genebody,9mo.2mo.log_ratio.mch_genebody,18mo.9mo.log_ratio.mch_genebody,18mo.2mo.log_ratio.mch_genebody,9mo.2mo.log_ratio.max.atac,18mo.2mo.log_ratio.max.atac,18mo.9mo.log_ratio.max.atac,count.atac,18mo.9mo.log_ratio.std.atac,log2_distance.mean.atac,9mo.2mo.log_ratio.std.atac,9mo.2mo.log_ratio.mean.atac,log2_distance.max.atac,log2_distance.std.atac,18mo.2mo.log_ratio.mean.atac,9mo.2mo.log_ratio.min.atac,18mo.9mo.log_ratio.min.atac,18mo.9mo.log_ratio.mean.atac,log2_distance.min.atac,18mo.2mo.log_ratio.min.atac,18mo.2mo.log_ratio.std.atac,DEG,pred
Ttll12,0.025616284124553204,0.0,-0.0018081784248352051,-0.008495264062657952,0.007930915672332048,0.0,0.019176821764558552,0.0,0.0009622256085276604,0.0,0.031128212297335266,0.02794449096545577,0.0,-0.012782145731616765,0.052500318065285684,0.0,0.0,-0.00973266538232565,-0.00025575563311576845,0.014204492587596177,0.011497042030096055,-0.002978332042694092,0.006033428041264415,0.031299981214106085,0.033429337609559295,0.07989826660603284,0.00212436206638813,0.0,0.0,0.0,0.0,0.0,0.02355751533061266,0.00541239682585001,0.0,0.01922042891383171,-0.0058598100766539575,0.13459506984800101,-0.004484708737581968,-0.007207743511535227,-0.022940992747899146,-0.023375825099647043,-0.16857853977009654,-0.0026612672954797745,0.0,0.002444160282611847,-0.00017083276063203812,0.0,0.0,0.0,-0.04005260419100523,-0.042223568558692935,0.009205456748604774,0.0,0.0,0.02140549222007394,-0.020739667154848575,0.03468845729716122,0.0,0.0,0.0,-0.07591773837513756,0.003597666546702385,0.009328222023323179,0.0,0.056195592507719994,-0.02754472877830267,0.0,0.002307610511779785,0.0,-0.013189129205420614,0.0,0.0035000574961304666,-0.034105761013925075,-0.002175503931939602,0.05475424168631435,-0.07695723245851696,-0.025818148627877235,-0.0011330681666731834,-0.01810775911901146,0.0,-0.07005929974839091,0.0,0.003649787767790258,0.0,-0.0029494838416576387,0.01459352821111679,-0.00514139102306217,0.0015939684212207795,0.01910284988582134,0.0006232307851314544,-0.06361119233071805,0.00562485571950674,0.003596416115760803,-0.29438748333603143,-0.002285100966691971,-0.059506581779569384,0.028893623612821103,0.011079173535108566,1.0,1.0
Pdha1,0.021617338098585605,0.0,-0.003983052372932434,-0.007525571212172508,-0.004831684399396181,0.0,-0.02291605105623603,0.0,-0.007446936164051295,0.0,-0.0036396428570151327,-0.003130654580891132,0.0,-0.011308692388702184,0.0,0.0,0.0,-0.002810135819017887,-0.005784345865249634,0.0006113656703382731,-0.00883708029985428,-0.023640509285032748,0.015422306824475526,-0.007286768183112144,-0.04680317770689726,-0.10408500488847494,-0.01696279488503933,0.0,0.0,0.0,0.0,0.0,-0.046328429281711575,0.00541239682585001,0.0,-0.011077975146472454,-0.0046683686785399916,-0.06374638025648892,-0.0029898458532989025,-0.002382055977359414,-0.04461355870589614,-0.027977819591760635,-0.1607537218183279,-0.004722083695232868,0.0,0.0017364148050546646,-0.0004270819015800953,0.0,0.0,0.0,-0.026999244149774313,-0.007451217984780669,0.009205456748604774,0.0,0.0,0.038119524531066415,-0.005874523431994021,0.08393914053216577,-0.000522962436079979,0.0,0.0,0.056243458176031706,0.004578848332166672,-0.0355975198559463,0.0,0.05081342491786927,-0.04671128026209772,0.0,0.0021633848547935484,0.0,0.007412827583029866,0.0,-0.051206895243376495,-0.04325586017221213,0.0002648835722357035,-0.017611777177080512,-0.025080265728756785,-0.03309166613966227,-0.0006474675238132476,0.09230522116646171,0.0,0.23720982824452222,0.0,0.004354132786393166,0.0,-0.040266919508576395,0.019412985239177942,0.0277635114826262,-0.02559418845921755,-0.03749124828027561,0.001246461495757103,-0.006724001839756966,0.00693309810012579,0.0017982080578804016,0.016277658324688672,-0.0014521076995879412,0.13439660044386983,0.02866345291957259,0.0057949315011501315,1.0,1.0
Kcnk10,-0.04266755063086748,0.0,-0.01703229606151581,-0.0051148924976587296,0.038825288340449335,0.0,-0.00823812598362565,0.0,-0.04091424308717251,0.0,-0.01406036775559187,-0.006388546396046877,0.0,-0.00685633183689788,-0.0012650679051876069,0.0,0.0,-0.0015764177590608596,-0.00030967207625508307,-0.005661178827285767,0.02194813432171941,-0.004374425187706948,0.004044527746737003,-0.003477775901556015,-0.05674284760840237,-0.1932380199432373,0.003236614689230919,0.0,0.0,0.0,0.0,0.0,0.008549079829826951,0.003054970018565655,0.0,-0.01916322488337755,-0.048335106186568735,-0.12063569223508239,-0.0027555529214441776,-0.0039058436173945664,-0.015350312599912286,0.014971896559000015,0.17985736300237476,-0.0028435515612363817,0.0,0.008418347015976905,-0.0035874877870082857,0.0,0.0,0.0,-0.02901262662373483,0.0008639093488454819,0.002374038984999061,0.0,0.0,-0.011902896398678421,-0.01646217621397227,0.033087762808427214,0.0024404915422201155,0.0,0.0,0.08364592852070928,-0.01766127213835716,0.015756627805531026,0.0,-0.06882234813645483,0.01928805691190064,0.0,0.004759446680545807,0.0,0.011143530197441577,0.0,0.011645101197063922,-0.08416719634085894,0.05705925012473017,-0.045919664520770315,-0.07836666084825993,-0.026909506618976592,0.013273084238171577,-0.18883272101171314,0.0,-0.2307354178838432,0.0,0.012165959160774946,0.0,0.039869209164753554,0.03991392593830824,-0.005347046675160528,-0.0004975065216422082,-0.06889778991462663,0.0014022691920399667,0.001280762292444706,-0.03408630816265941,-0.04666349910199642,0.016118283327668907,-0.017940208185464143,-0.056667325980961324,-0.005432585421949625,0.008770668283104896,1.0,1.0
Ttc7b,-0.046312026102095845,0.0,-0.01703229606151581,-0.0051148924976587296,-0.00549211299046874,0.0,-0.0038606257550418376,0.0,-0.042539788968861104,0.0,-0.007812786754220724,-0.0032838179264217614,0.0,-0.009571280919481069,-0.0012650679051876069,0.0,0.0,-0.0015764177590608596,-0.0011388496123254299,-0.05001504722982645,-0.050170986969023945,-0.004374425187706948,-0.014386548958718777,-0.002484125457704067,-0.04145322736352682,-0.04874871192499995,-0.07840801846235991,0.0,0.0,0.0,0.0,0.0,0.033243414387106894,0.0055748441815376285,0.0,0.002261304967105389,-0.04411513615399599,-0.13068900235928596,-0.0040237679891288285,0.0004249020386487246,0.048211273942142724,0.044963279962539675,0.40033722394611687,-0.0023826109617948532,0.0,0.0023386696353554725,-0.0035874877870082857,0.0,0.0,0.0,0.03123731622938067,0.004967478718608618,0.002374038984999061,0.0,0.0,-0.009994446309283376,0.005231726965866983,0.029144564075395465,0.000522962473332882,0.0,0.0,0.09907739978283643,-0.04807790748775005,0.015126455761492252,0.0,-0.07322415998205542,0.012076586112380027,0.0,-0.013557211756706237,0.0,-0.03225713416934013,0.0,-0.006424959264695645,0.048286287281662225,-0.010943385590799153,0.05996211176738143,0.23388069319538773,-0.021128796339035034,0.013273084238171577,-0.016301776673644783,0.0,-0.17610935110598802,0.0,0.0016007841331884265,0.0,0.042929579755291346,-0.04447300566564081,-0.005415598559193313,0.0006633420288562774,0.05802000865340233,-0.01417849950492382,0.001280762292444706,0.02119694497436285,0.009530502706766128,0.017053523492068054,-0.02508819296956062,-0.0025909457681700587,-0.003440315336920321,0.009589974917471409,1.0,2.0
Smc1a,0.021617338098585605,0.0,0.01618353098630905,-0.0062918529845774175,-0.004831684399396181,0.0,0.042319455724209545,0.0,-0.0177601096406579,0.0,0.014091011052951217,-0.003130654580891132,0.0,-0.009312770843971521,0.0,0.0,0.0,0.006511290334165096,-0.005784345865249634,0.02526301793754101,-0.033398421946913004,-0.023640509285032748,0.015422306824475526,-0.007286768183112144,-0.04971713948994875,-0.10408500488847494,0.003236614689230919,0.0,0.0,0.0,0.0,0.0,0.009821602087467908,0.00541239682585001,0.0,0.003221876686438918,-0.014326901575550437,-0.1429190983250737,-0.0027555529214441776,-0.002382055977359414,-0.04461355870589614,-0.021937690172344447,-0.17676718370988964,-0.0028435515612363817,0.0,0.0017364148050546646,-0.0004270819015800953,0.0,0.0,0.0,-0.05790531801059842,-0.007451217984780669,0.009205456748604774,0.0,0.0,0.038119524531066415,-0.005874523431994021,0.02904793292284012,-0.000522962436079979,0.0,0.0,0.056243458176031706,0.004578848332166672,-0.03851148184388876,0.0,0.05081342491786927,-0.03385668894276023,0.0,0.0012980309128761292,0.0,0.007412827583029866,0.0,-0.01669547976925969,-0.07826325918547809,0.0002648835722357035,-0.021079241235274822,-0.025586111880838872,-0.02595909420400858,-0.0006474675238132476,0.07121465794742107,0.0,0.02017495023086667,0.0,0.012165959160774946,0.0,-0.040086897704750296,0.021155895851552486,0.0277635114826262,-0.02559418845921755,-0.03749124828027561,0.001246461495757103,-0.020598926478996873,0.00693309810012579,0.0017982080578804016,0.016277658324688672,-0.002798071140423417,0.15297402573749422,0.02866345291957259,0.0057949315011501315,1.0,1.0
Ssbp2,-0.07327496991027146,0.0,-0.003983052372932434,-0.007525571212172508,-0.01819131857715547,0.0,0.006591182630509138,0.0,-0.029975455589592456,0.0,0.022389982491731644,0.04906009253114462,0.0,-0.011551030718255789,0.0,0.0,0.0,-0.002810135819017887,-0.00030967207625508307,-0.05001504722982645,-0.069902183432132,0.005212081074714661,0.0030969640705734492,-0.003477775901556015,-0.07337930913083256,-0.10732026908546687,0.003236614689230919,0.0,0.0,0.0,0.0,0.0,-0.09142258387058973,0.003054970018565655,0.0,0.004822829496115446,-0.019826123733073475,-0.13180390840396286,-0.008177313543856144,0.0035130879748612644,-0.000923438398167491,0.014251458179205655,-0.07902459389530123,-0.003992946743965149,0.0,-0.01472654290497303,-0.0035874877870082857,0.0,0.0,0.0,0.01170030633918941,0.0008639093488454819,-0.012306242287158965,0.0,0.0,-0.043333612689748405,0.015952113340608774,0.016543238377198576,0.0,0.0,0.0,0.015841700318269432,-0.007277098242193461,0.01046584228053689,0.0,-0.0840576178021729,0.016731701185926796,0.0,-0.0008653539419174194,0.0,-0.020818143498618154,0.0,-0.008237404059618711,-0.06302121276967228,-0.045021754666231574,-0.03366813272237778,-0.0547690685139969,-0.026529530920088293,-0.0025898700952529906,0.2613875182485208,0.0,-0.16476753046386874,0.0,0.004354132786393166,0.0,0.03706598899327219,0.018342450559139252,-0.01693231450393796,-0.0004975065216422082,-0.06553477963898331,-0.01417849950492382,0.002988445293158293,-0.01786692401394248,-0.008631398677825928,0.014047610107809305,-0.014387728720903397,-0.04203354756347835,-0.013647926547564566,-0.06399982998147608,1.0,2.0
Zdhhc18,0.03737819656729698,0.0,-0.003983052372932434,-0.0051148924976587296,-0.0030025107692927123,0.0,-0.004939220529049635,0.0,-0.006634332872927189,0.0,-0.026754958480596544,-0.006388546396046877,0.0,-0.009259665638674051,-0.0015813348814845084,0.0,0.0,-0.0015764177590608596,-0.00025575563311576845,0.017504005674272776,0.004509774520993232,-0.002978332042694092,-0.060646190084517,-0.005796292796730995,0.0678418244048953,0.1285699762031436,0.00212436206638813,0.0,0.0,0.0,0.0,0.0,0.030429952666163444,0.00541239682585001,0.0,0.0166589043289423,-0.005984205640852451,0.20939558267593383,-0.004484708737581968,0.008790980093181133,-0.004749439815059304,0.026514173932373524,0.3988991054520011,-0.0026612672954797745,0.0,0.008519453518092633,-0.00017083276063203812,0.0,0.0,0.0,0.07567518334835768,0.0028077053464949132,0.0037790822610259058,0.0,0.0,0.027427329020574688,0.012689734031446277,0.02966593399643898,0.000522962473332882,0.0,0.0,-0.12450543643906713,0.003597666546702385,-0.034267829470336436,0.0,0.05508901482913643,0.04727949197404087,0.0,-0.05134433388710022,0.0,-0.006992536769248545,0.0,0.005055879708379507,-0.03789509777911007,0.03508839314803481,-0.03780207959935069,-0.06169550317339599,-0.017029743753373624,-0.001942402571439743,0.2554839628748596,0.0,-0.03695278712548315,0.0,-0.016520091937854885,0.0,-0.0029494838416576387,0.03480254750698805,-0.0020565563812851907,0.004335123188793659,0.01028571070637554,0.0014022691920399667,0.0019211433827877045,0.019888702593743802,0.009530502706766128,0.023285617399960757,-0.004329505730420351,-0.033501180266030134,0.01968342799693346,0.0199290313012898,1.0,0.0
Tia1,0.016155599784106016,0.0,-0.0014667820930480957,-0.008495264062657952,-0.0030025107692927123,0.0,-0.007690158262848854,0.0,-0.04283965311944485,0.0,-0.009030374372377992,-0.0112912492826581,0.0,-0.009150320247281343,-0.012018145099282264,0.0,0.0,-0.00973266538232565,-0.001596444509923458,0.05897770147770643,0.012713010292500257,-0.002978332042694092,0.009016778524965048,0.002401321455836296,0.05452008083462715,-0.11446878824383021,0.014042660370469093,0.0,0.0,0.0,0.0,0.0,0.02355751533061266,0.007443317323923111,0.0,0.015591602474451065,-0.01012726379558444,-0.05551194215193391,-0.004484708737581968,-0.012900549117475749,-0.03646783452248201,-0.013651794102042914,-0.1470131562463939,-0.0028435515612363817,0.0,0.0015342017821967603,-0.0035874877870082857,0.0,0.0,0.0,0.09712811511941254,0.002699716715142131,0.009205456748604774,0.0,0.0,0.02495709993876517,0.012689734031446277,0.03112326023168862,0.0,0.0,0.0,-0.08775703105318826,0.003597666546702385,0.009328222023323179,0.0,-0.07605189240071923,0.039711744626984,0.0,-0.013557211756706237,0.0,-0.006461009071208537,0.0,0.01768658384680748,0.19292915362864732,-0.03765942065045238,0.053062893711030484,-0.03889361707493663,-0.025158554539084433,-0.00048560064285993573,0.02076083010993898,0.0,-0.11408624126575888,0.0,0.003649787767790258,0.0,-0.0038616573624312878,0.03225010834634304,-0.00514139102306217,0.0006633420288562774,-0.06111693297047168,0.005141653642058372,0.001280762292444706,0.00562485571950674,0.0017982080578804016,-0.19779177106916904,-0.002972392002120614,0.01649652684107423,0.027512599378824235,0.02134858561679721,1.0,1.0
Sat2,0.013390885908156633,0.0,-0.003983052372932434,-0.0077621636167168615,-0.009774894583970309,0.0,-0.006964301448315382,0.0,-0.01454283131286502,0.0,-0.034979484379291534,-0.006388546396046877,0.0,-0.013165976770687848,-0.0012650679051876069,0.0,0.0,-0.002810135819017887,-0.0008431823179125786,-0.0017548386938869953,0.014828630294650792,-0.023640509285032748,0.006033428041264415,-0.007286768183112144,-0.028654611092060803,-0.023012633342295884,0.0021908683329820633,0.0,0.0,0.0,0.0,0.0,0.02355751533061266,0.003054970018565655,0.0,0.005817039534449577,-0.0018292601313441993,-0.16480533776804804,-0.004484708737581968,-0.005432645482942462,0.011933184713125228,0.01880873108282685,-0.20112372491508723,-0.0028435515612363817,0.0,-0.0037102513387799263,0.007687474228441715,0.0,0.0,0.0,-0.06056964913383126,-0.011554787391796708,0.0035368333850055935,0.0,0.0,0.03882984605617821,-0.0022158647514879705,-0.09525878194719553,-0.0019175290688872337,0.0,0.0,-0.01862283706665039,0.003597666546702385,-0.008410136364400387,0.0,-0.07079661810770631,-0.02360311819240451,0.0,0.004759446680545807,0.0,0.00928853708319366,0.0,-0.0013720828667283058,-0.06374119025655091,0.056967918612062934,0.07021669747307896,-0.08043110671453178,-0.023131163604557515,-0.0006474675238132476,0.05071911905892193,0.0,0.00505265106447041,0.0,0.003649787767790258,0.0,-0.03344927351921797,-0.01080208407714963,0.003976009273901582,0.0006633420288562774,-0.006190056956838817,0.0006232307851314544,0.0019211433827877045,0.00562485571950674,0.003596416115760803,0.016221277974545957,0.03538405035622418,-0.05633193316869438,0.030642650686204434,-0.014246890097856521,1.0,1.0
Rbm48,0.018159765135496855,0.0,0.01618353098630905,0.014220270607620478,0.011919400747865438,0.0,-0.023087032325565814,0.0,0.0303080911654979,0.0,-0.011644407045096158,0.02794449096545577,0.0,-0.006388820570427924,0.0,0.0,0.0,0.0036326148360967636,0.018575619086623193,0.0006113656703382731,-0.01684184418991208,-0.023640509285032748,0.006033428041264415,-0.007286768183112144,-0.04581144645810127,-0.062274244241416456,-0.010590476021170615,0.0,0.0,0.0,0.0,0.0,0.007430623269174248,0.00541239682585001,0.0,0.002261304967105389,-0.03695482801645994,-0.11184553366154432,-0.005146531723439694,0.0035130879748612644,-0.025467619728296996,0.012402738314121961,-0.09416566479951144,0.008041790444403887,0.0,0.002444160282611847,0.0,0.0,0.0,0.0,-0.03668510794639587,-0.007451217984780669,0.009205456748604774,0.0,0.0,0.03882984605617821,-0.01646217621397227,0.046867054799513426,-0.000522962436079979,0.0,0.0,0.06210671118460596,0.0026164847612380982,-0.010057210065424442,0.0,0.06595772325992584,-0.05289471048861742,0.0,0.0021633848547935484,0.0,0.007412827583029866,0.0,-0.05395302372053266,-0.04256658454425633,-0.017204345585778356,-0.021079241235274822,-0.04176779537461698,-0.03163515698164701,-0.0006474675238132476,0.11062427558936179,0.0,0.1163128580339253,0.0,0.012165959160774946,0.0,-0.029193123979493977,0.01673057328880532,0.0277635114826262,0.003150874562561512,-0.09056729307631031,0.001246461495757103,0.001280762292444706,-0.026942855529487133,0.0017982080578804016,0.018450024519115687,-0.0014521076995879412,-0.023005467443726956,-0.011170379393734038,0.007587706334888935,1.0,1.0
