gene_name,gene_length.meta,9mo.2mo.activity.log_ratio.mean.5kb-20kb.enhancer_DMR,9mo.2mo.contact.log_ratio.count.20kb-5Mb.enhancer_DMR,9mo.2mo.contact.log_ratio.count.5kb-20kb.enhancer_DMR,9mo.2mo.activity.log_ratio.max.5kb-20kb.enhancer_DMR,18mo.9mo.activity.log_ratio.max.20kb-5Mb.enhancer_DMR,18mo.9mo.activity.log_ratio.mean.5kb-20kb.enhancer_DMR,9mo.2mo.activity.log_ratio.count.5kb-20kb.enhancer_DMR,9mo.2mo.contact.log_ratio.median.5kb-20kb.enhancer_DMR,count.enhancer_DMR,18mo.9mo.activity.log_ratio.median.5kb-20kb.enhancer_DMR,9mo.2mo.activity.log_ratio.min.5kb-20kb.enhancer_DMR,9mo.2mo.contact.log_ratio.min.5kb-20kb.enhancer_DMR,18mo.9mo.contact.log_ratio.count.5kb-20kb.enhancer_DMR,18mo.2mo.contact.log_ratio.min.5kb-20kb.enhancer_DMR,18mo.9mo.activity.log_ratio.median.20kb-5Mb.enhancer_DMR,18mo.9mo.activity.log_ratio.mean.20kb-5Mb.enhancer_DMR,9mo.2mo.activity.log_ratio.count.0-5kb.enhancer_peak,18mo.2mo.activity.log_ratio.count.0-5kb.enhancer_peak,9mo.2mo.activity.log_ratio.max.20kb-5Mb.enhancer_peak,9mo.2mo.activity.log_ratio.min.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.max.5kb-20kb.enhancer_peak,18mo.9mo.activity.log_ratio.mean.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.median.5kb-20kb.enhancer_peak,18mo.2mo.activity.log_ratio.median.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.min.20kb-5Mb.enhancer_peak,9mo.2mo.contact.log_ratio.std.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.count.5kb-20kb.enhancer_peak,18mo.9mo.activity.log_ratio.min.20kb-5Mb.enhancer_peak,9mo.2mo.contact.log_ratio.count.0-5kb.enhancer_peak,18mo.9mo.contact.log_ratio.count.5kb-20kb.enhancer_peak,18mo.9mo.activity.log_ratio.median.20kb-5Mb.enhancer_peak,9mo.2mo.activity.log_ratio.mean.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.max.5kb-20kb.enhancer_peak,18mo.2mo.contact.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.mean.5kb-20kb.enhancer_peak,18mo.2mo.activity.log_ratio.mean.20kb-5Mb.enhancer_peak,9mo.2mo.activity.log_ratio.median.20kb-5Mb.enhancer_peak,18mo.2mo.log_ratio.DAR,9mo.2mo.log_ratio.DAR,rel_pos.DAR,count.DAR,18mo.9mo.log_ratio.DAR,count.DMR,size.log2.DMR,18mo.2mo.log_ratio.DMR,18mo.9mo.log_ratio.DMR,9mo.2mo.log_ratio.DMR,rel_pos.DMR,18mo.2mo.Q.min.loops,9mo.2mo.Q.std.loops,18mo.2mo.T.mean.loops,18mo.2mo.Q.std.loops,count.loops,18mo.2mo.Q.median.loops,18mo.9mo.Q.min.loops,loop_size.log.min.loops,Qanova.std.loops,min_distance.log.std.loops,18mo.9mo.T.median.loops,loop_size.log.mean.loops,min_distance.log.max.loops,loop_size.log.median.loops,18mo.2mo.T.min.loops,18mo.9mo.T.mean.loops,9mo.2mo.Q.min.loops,Tanova.median.loops,18mo.2mo.T.std.loops,Tanova.mean.loops,loop_size.log.max.loops,Tanova.std.loops,18mo.9mo.T.min.loops,18mo.9mo.Q.std.loops,18mo.2mo.T.median.loops,9mo.2mo.Q.mean.loops,9mo.2mo.log_ratio.mcg_genebody,18mo.9mo.log_ratio.mcg_genebody,18mo.2mo.log_ratio.mcg_genebody,9mo.2mo.log_ratio.mch_genebody,18mo.9mo.log_ratio.mch_genebody,18mo.2mo.log_ratio.mch_genebody,9mo.2mo.log_ratio.max.atac,18mo.2mo.log_ratio.max.atac,18mo.9mo.log_ratio.max.atac,count.atac,18mo.9mo.log_ratio.std.atac,log2_distance.mean.atac,9mo.2mo.log_ratio.std.atac,9mo.2mo.log_ratio.mean.atac,log2_distance.max.atac,log2_distance.std.atac,18mo.2mo.log_ratio.mean.atac,9mo.2mo.log_ratio.min.atac,18mo.9mo.log_ratio.min.atac,18mo.9mo.log_ratio.mean.atac,log2_distance.min.atac,18mo.2mo.log_ratio.min.atac,18mo.2mo.log_ratio.std.atac,DEG,pred
Ttll12,0.1403475444484502,0.0,0.0,0.015126897487789392,0.0,-0.0007886270247399806,-0.060138430567458274,0.0,-0.007482488751411438,0.0,0.0,0.0,0.0,0.002694622026756406,0.0,-0.005017986819148064,0.0,0.0,0.0,0.0,0.05046893056482077,0.0,-0.011458659023046493,0.0,0.0,0.0,0.0,0.0,-0.03019456073641777,0.0,0.0,0.0,0.003620734887663275,0.0,0.0,0.0012648617103695869,0.0,-0.002720610797405243,0.0,-0.005400743624195456,0.0,0.009658371191471815,0.02741145806387067,0.0,0.0033313851803541184,0.0,0.07628440357744694,0.0,0.0,-0.0019429435208439827,0.013674547150731086,0.02855632595717907,-0.020027663549408315,0.0,0.0,-0.053734083846211436,0.0028201208822429182,-0.009394572905730456,0.0,0.0,0.0,0.0,-0.00281383216381073,0.02177165643777698,0.0016043946403078734,0.0,0.0,0.0,-0.008421646803617478,-0.003517264649271965,0.0,-0.0014184561744332313,0.002147529423236847,0.0,-0.01637689046561718,-0.04365735300816596,0.09710947540064808,-0.0042719767708331345,0.01645321323070675,-0.05151022296398878,0.01938521785661578,0.03552129311487079,0.017592117581516506,-0.012328040804713964,0.028724915124475957,0.13700762327294796,0.0068717928975820545,0.007724592685699463,0.0016584350168704987,-0.03690996922086924,0.08406518219970166,0.0027246208302676676,0.0,0.01353581067174673,0.005098543539643288,0.0,0.0008159544598311186,-0.005481301993131638,-0.05104165498167276,1.0,1.0
Pdha1,0.20755680352449418,0.0,0.0,-0.005928957760334015,0.0,-0.0007886270247399806,0.03246916812844575,0.0,-0.007482488751411438,0.0,0.0,0.0,0.0,-0.006287451488897204,0.0,-0.003318368811160326,0.0,0.0,0.0,0.0,-0.009640849605202674,0.0,-0.011458659023046493,0.0,0.0,0.0,0.0,0.0,0.06576915197074414,0.0,0.0,0.0,-0.015384010327979923,0.0,0.0,-0.004497286081314087,0.0,0.020404581427574158,0.0,-0.004841916039586067,0.0,0.009658371191471815,0.02741145806387067,0.0,0.0033313851803541184,0.0,0.03512949055992067,0.0,0.0,-0.0019429435208439827,0.012648582216352225,0.027166716307401657,-0.010942741697654128,0.0,0.0,0.017790766395628453,-0.003739019175991416,0.010340185943059623,0.0,0.0,0.0,0.0,0.0038690192252397535,-0.03505936072673649,0.026059516165405514,0.0,0.0,0.0,-0.008421646803617478,-0.002526095137000084,0.0,-0.0014184561744332313,0.002147529423236847,0.0,-0.0027517568413168193,0.025094765536487103,0.09650646220368798,0.0003380330558866262,0.006706123333424329,-0.022521511199884117,0.004834424313157797,-0.03291106820106506,0.04107000328600407,0.046035916265100243,0.01756570500321686,0.11637803104938939,0.0068717928975820545,0.007724592685699463,0.0013149294257164001,-0.017348263622261585,0.04544333033263683,0.0027246208302676676,0.0,0.0040693101892247795,0.002952839069184847,0.0,-0.012872658083215355,-0.016809326112270356,-0.03715923863463104,1.0,1.0
Kcnk10,-0.15808764567598702,0.0,0.0,0.037047772593796255,0.0,0.003745978344231844,0.028305839719250797,0.0,-0.0018378042802214623,0.0,0.0,0.0,0.0,0.0,0.0,0.12131125723943115,0.0,0.0,0.0,0.0,-0.021191330142319203,0.0,-0.005308713689446449,0.0,0.0,0.0,0.0,0.0,0.01695527521893382,0.0,0.0,0.0,0.0005870076268911362,0.0,0.0,-0.004497286081314087,0.0,0.0081618332862854,0.0,-0.00409240409731865,0.0,-0.0026981920748949052,-0.013705729050561785,0.0,0.0033313851803541184,0.0,0.06153258210979402,0.0,0.0,-0.0029891438782215117,0.013674547150731086,0.006036053206771612,-0.00871592290699482,0.0,0.0,0.01240723643451929,0.0028201208822429182,0.04960899714846164,0.0,0.0,0.0,0.0,-0.00281383216381073,-0.014458223558031023,0.006570513155311346,0.0,0.0,0.0,-0.008421646803617478,-0.011358049623668194,0.0,-0.008929514735937118,-0.001156361997127533,0.0,-0.018252250691875815,0.015702977292239666,0.03728761144913733,0.02724195910617709,0.013439094410277902,0.023280058763921262,0.010392767395824194,0.023908468252047895,0.008789890762418508,-0.009452559174969793,0.04791471879929304,-0.23524721909314394,0.00961646057665348,-0.003138115778565407,0.0013149294257164001,-0.02133994613774121,0.006084468001499772,-0.0008976759109646082,0.0,-0.010366032235324382,-0.00486698453896679,0.0,0.0011220042686909436,0.027223799899220465,-0.012620422905310989,1.0,1.0
Ttc7b,-0.26743012090213597,0.0,0.0,-0.005267289495095611,0.0,-0.0003943135216832161,0.02136829434428364,0.0,-0.0007876304537057877,0.0,0.0,0.0,0.0,-0.006986057199537754,0.0,-0.014818546995520591,0.0,0.0,0.0,0.0,-0.00965960144996643,0.0,-0.005308713689446449,0.0,0.0,0.0,0.0,0.0,-0.039778594821691514,0.0,0.0,0.0,-0.020178646557033064,0.0,0.0,0.0023891832306981086,0.0,-0.0013603055477142334,0.0,-0.00670698169618845,0.0,-0.020506744757294654,-0.013705729050561785,0.0,-0.017465204522013663,0.0,-0.1850396493449807,0.0,0.0,-0.0026902294903993606,-0.04672749313060194,0.0058590050786733626,-0.022676540203392506,0.0,0.0,0.0068313366547226905,0.02288730865344405,-0.03711500031873584,0.0,0.0,-0.003620902821421623,0.0,-0.004396612755954266,-0.020641709826886654,-0.023150335643440486,0.0,0.0,0.0,-0.003814318161457777,-0.011358049623668194,0.0,0.05089626668021083,0.005121031552553177,0.0,-0.020419733226299287,-0.038021943047642705,-0.09845624745823443,-0.04070792454760522,0.009530797693878412,-0.101901042368263,0.005512119494378567,0.06790067409165204,0.003372488282620907,-0.026815020446665585,-0.21195289678871632,-0.0795504609355703,-0.004138516988605261,-0.0381401763856411,0.007211901098489761,-0.04547275936231017,-0.08076641036197543,0.0031842114496976135,0.0,-0.024587200358510017,-0.022685887683182956,0.0,-0.0029540780279785394,0.004872268438339234,0.011054224837571382,1.0,2.0
Smc1a,-0.07104501757770777,0.0,0.0,-0.005928957760334015,0.0,0.003745978344231844,-0.03616697301156819,0.0,-0.007482488751411438,0.0,0.0,0.0,0.0,0.005189642421901226,0.0,0.031152265081182122,0.0,0.0,0.0,0.0,-0.009640849605202674,0.0,-0.003918869942426681,0.0,0.0,0.0,0.0,0.0,0.043513569692149756,0.0,0.0,0.0,-0.009096558633027598,0.0,0.0,0.0012648617103695869,0.0,-0.011902672201395036,0.0,-0.004841916039586067,0.0,0.009658371191471815,0.008193642385303974,0.0,0.0027524793148040773,0.0,0.03889944340102375,0.0,0.0,-0.0019429435208439827,0.012648582216352225,0.01744278224185109,-0.010942741697654128,0.0,0.0,0.017790766395628453,-0.003739019175991416,0.006745872185565532,0.0,0.0,0.0,0.0,0.0038690192252397535,-0.03491882053669542,0.021487711155787112,0.0,0.0,0.0,-0.008421646803617478,-0.002526095137000084,0.0,-0.0003283247724175453,0.002147529423236847,0.0,-0.017861824398860335,0.025094765536487103,0.0028701011859811843,0.0003380330558866262,-0.0013186935847625137,-0.15529285947210156,0.010463516246527433,-0.03291106820106506,0.04107000328600407,0.046035916265100243,0.01756570500321686,0.10029045990202576,0.0068717928975820545,0.007724592685699463,0.0013149294257164001,-0.014067797465249896,0.0507943781465292,0.0027246208302676676,0.0,0.0040693101892247795,0.002952839069184847,0.0,-0.012872658083215355,-0.016809326112270356,-0.03715923863463104,1.0,1.0
Ssbp2,-0.1955150973331183,0.0,0.0,0.037047772593796255,0.0,-0.0007886270247399806,-0.03900095807388425,0.0,-0.007482488751411438,0.0,0.0,0.0,0.0,0.0032934269215911627,0.0,-0.008172525838017464,0.0,0.0,0.0,0.0,0.01567595425993204,0.0,-0.002505381777882576,0.0,0.0,0.0,0.0,0.0,-0.009293537326157094,0.0,0.0,0.0,-0.008309352163923905,0.0,0.0,0.0012648617103695869,0.0,0.020064505040645598,0.0,-0.00353357651270926,0.0,-0.0026981920748949052,-0.0076722288923338055,0.0,0.0027524793148040773,0.0,0.011857532397843897,0.0,0.0,-0.007622316889464856,0.01766605779528618,0.010754022598266601,0.048896127715706825,0.0,0.0,0.006690894453786313,-0.025537206372246147,0.01286922236904502,0.0,0.0,0.0,0.0,-0.004220748245716095,0.01633379281964153,0.0016043946403078734,0.0,0.0,0.0,-0.008421646803617478,-0.011358049623668194,0.0,0.053194220047444105,0.0014867511391639708,0.0,0.004243367784656584,-0.004273031139746308,0.05698238403536379,-0.005757286064326763,-0.006260103001259267,-0.2869335625960957,-0.009833692703396082,0.013799855634570122,0.002752167582511902,-0.019615094074979425,0.04221554001793265,-0.15602424595505,0.00961646057665348,-0.003138115778565407,0.0016584350168704987,-0.014893016549758614,-0.05471994524821639,-0.004304644064977765,0.0,-0.0065537313418462875,-0.007452833326533436,0.0,0.0004575619753450155,0.009744536876678467,0.04443894286174327,1.0,2.0
Zdhhc18,-0.03420700717251748,0.0,0.0,-0.005928957760334015,0.0,-0.0003943135216832161,0.02242455496452749,0.0,-0.007482488751411438,0.0,0.0,0.0,0.0,-0.0021956179477274416,0.0,-0.004407087545841932,0.0,0.0,0.0,0.0,0.05046893056482077,0.0,-0.015034066438674927,0.0,0.0,0.0,0.0,0.0,-0.009990497450344265,0.0,0.0,0.0,0.0020844231080263853,0.0,0.0,0.0012648617103695869,0.0,-0.002720610797405243,0.0,0.013922424605116248,0.0,-0.0013490961492061615,-0.031880717482417824,0.0,0.004623869955539703,0.0,0.06140530183911323,0.0,0.0,-0.007622316889464856,-0.11215094476006925,0.011778996866196394,-0.01046396441757679,0.0,0.0,0.017790766395628453,0.011623747013509274,-0.010164825848769397,0.0,0.0,0.0,0.0,-0.01969682514667511,0.010431104837916792,-0.023689648024737834,0.0,0.0,0.0,-0.008421646803617478,0.05625587020069361,0.0,0.013777080364525318,-0.04807161878794432,0.0,-0.011849880404770374,0.014871929893270136,0.040224520480260255,-0.013432523617520929,0.013699786723591387,-0.08495794949121774,-0.04838291632011533,0.06952735879458487,0.004073059801012278,-0.02163348297588527,0.024950227718800306,-0.08939720313530415,-0.009112517796456814,-0.0009655740857124329,0.0016584350168704987,0.011282765893265606,-0.0008923845365643501,0.0021118332259356977,0.0,0.01353581067174673,-0.007452833326533436,0.0,0.0004575619753450155,-0.005481301993131638,0.04443894286174327,1.0,0.0
Tia1,0.1734854486119002,0.0,0.0,-0.005928957760334015,0.0,-0.0007886270247399806,0.05666243667714298,0.0,-0.0018378042802214623,0.0,0.0,0.0,0.0,-0.003792431093752384,0.0,-0.005447197519242763,0.0,0.0,0.0,0.0,-0.024551617987453936,0.0,-0.011458659023046493,0.0,0.0,0.0,0.0,0.0,-0.07029946910217405,0.0,0.0,0.0,0.023026089817285537,0.0,0.0,0.0023891832306981086,0.0,-0.002720610797405243,0.0,-0.004841916039586067,0.0,0.009658371191471815,0.02741145806387067,0.0,0.0033313851803541184,0.0,0.04464102028869092,0.0,0.0,-0.0019429435208439827,-0.06002598136663437,0.027166716307401657,-0.022940433016046882,0.0,0.0,-0.053734083846211436,-0.10620203133672476,-0.0170191749650985,0.0,0.0,0.0,0.0,-0.01969682514667511,0.022614897578023374,-0.027829939890652897,0.0,0.0,0.0,0.0637597200088203,0.011959027666598558,0.0,-0.0014184561744332313,-0.00165194571018219,0.0,0.016331595722585916,-0.02780313031747937,0.10959936515428126,-0.003373025143519044,0.008229410257190466,0.09444291242863984,0.01938521785661578,0.06274938004091382,0.01485068716108799,0.05488909536041319,0.014466704456135631,0.12796911865007132,0.0068717928975820545,0.007724592685699463,0.0009764737170189619,-0.03690996922086924,-0.006102413758635521,0.0027246208302676676,0.0,-0.024587200358510017,0.005098543539643288,0.0,0.0008159544598311186,-0.005481301993131638,-0.0548218429274857,1.0,1.0
Sat2,0.14604422632604838,0.0,0.0,-0.005928957760334015,0.0,-0.0007886270247399806,0.011200191164389252,0.0,-0.0018378042802214623,0.0,0.0,0.0,0.0,-0.003792431093752384,0.0,-0.004266868075355887,0.0,0.0,0.0,0.0,-0.011298147477209568,0.0,-0.011458659023046493,0.0,0.0,0.0,0.0,0.0,-0.013151631243526935,0.0,0.0,0.0,0.023026089817285537,0.0,0.0,0.0023891832306981086,0.0,-0.0013603055477142334,0.0,0.0070226570218801495,0.0,-0.006318509392440319,0.02741145806387067,0.0,0.015267956107854842,0.0,-0.015811511874198915,0.0,0.0,-0.0029891438782215117,0.01577056142501533,0.01960622314363718,-0.015946443965658544,0.0,0.0,-0.053734083846211436,-0.02045259388163686,-0.010164825848769397,0.0,0.0,0.0,0.0,0.0038690192252397535,0.022614897578023374,0.015342999715358019,0.0,0.0,0.0,-0.0035869977436959743,-0.003517264649271965,0.0,-0.0014184561744332313,0.002147529423236847,0.0,-0.09420801972970366,-0.027556230127811433,0.059705318994820115,0.012644062964245677,-0.005199866322800517,0.06595735019771382,0.006578229330480099,-0.01756940466351807,0.003379774820059538,-0.03666420364752412,0.024610245889052747,0.11740149067249149,-0.0024680154770612716,0.007724592685699463,0.0016584350168704987,0.08346155531704426,0.022635747604072096,0.0024511499702930453,0.0,0.01353581067174673,-0.007452833326533436,0.0,0.005027066022157669,-0.005481301993131638,0.020281935343518853,1.0,1.0
Rbm48,0.21400938861072064,0.0,0.0,0.015126897487789392,0.0,0.003745978344231844,0.01157587650232017,0.0,-0.007482488751411438,0.0,0.0,0.0,0.0,0.005189642421901226,0.0,0.006805998766794801,0.0,0.0,0.0,0.0,-0.009640849605202674,0.0,0.04400852836668492,0.0,0.0,0.0,0.0,0.0,0.03774093565531075,0.0,0.0,0.0,-0.009096558633027598,0.0,0.0,0.0023891832306981086,0.0,-0.003060687184333801,0.0,-0.004841916039586067,0.0,-0.0026981920748949052,-0.007597741233184934,0.0,0.0027524793148040773,0.0,0.06564646860584616,0.0,0.0,-0.0019429435208439827,0.008124085105955602,0.01744278224185109,-0.008858008971437813,0.0,0.0,0.008363051246851683,-0.005910711819306016,0.04564769629854709,0.0,0.0,0.0,0.0,0.0038690192252397535,-0.03407557939644903,0.02625667292624712,0.0,0.0,0.0,-0.003898910619318485,-0.002526095137000084,0.0,-0.0014184561744332313,0.002147529423236847,0.0,-0.0123655538354069,0.031961367018520835,0.02861490454466548,0.0003380330558866262,0.013333845501765609,-0.3557703605061397,0.015426482316106558,-0.031638140045106414,0.04356968883424997,0.14727247638627886,0.014403334502130747,0.12866516336333006,0.0068717928975820545,0.007724592685699463,0.0013149294257164001,-0.018059479566290976,0.025357553791254758,0.0027246208302676676,0.0,-0.010366032235324382,0.002952839069184847,0.0,0.007645311243832112,0.027223799899220465,0.012703721541911364,1.0,1.0
