gene_name,gene_length.meta,18mo.9mo.contact.log_ratio.count.0-5kb.enhancer_DMR,9mo.2mo.activity.log_ratio.median.5kb-20kb.enhancer_DMR,9mo.2mo.activity.log_ratio.mean.5kb-20kb.enhancer_DMR,18mo.2mo.contact.log_ratio.min.20kb-5Mb.enhancer_DMR,9mo.2mo.activity.log_ratio.max.5kb-20kb.enhancer_DMR,9mo.2mo.activity.log_ratio.count.0-5kb.enhancer_DMR,9mo.2mo.contact.log_ratio.count.0-5kb.enhancer_DMR,18mo.9mo.contact.log_ratio.mean.20kb-5Mb.enhancer_peak,9mo.2mo.activity.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.9mo.contact.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.9mo.contact.log_ratio.median.20kb-5Mb.enhancer_peak,count.enhancer_peak,18mo.9mo.contact.log_ratio.count.20kb-5Mb.enhancer_peak,18mo.9mo.contact.log_ratio.std.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.min.20kb-5Mb.enhancer_peak,9mo.2mo.contact.log_ratio.min.20kb-5Mb.enhancer_peak,18mo.2mo.contact.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.2mo.contact.log_ratio.count.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.9mo.contact.log_ratio.count.0-5kb.enhancer_peak,18mo.2mo.log_ratio.DAR,9mo.2mo.log_ratio.DAR,rel_pos.DAR,count.DAR,18mo.9mo.log_ratio.DAR,count.DMR,size.log2.DMR,18mo.2mo.log_ratio.DMR,18mo.9mo.log_ratio.DMR,distance.log2.DMR,9mo.2mo.log_ratio.DMR,rel_pos.DMR,18mo.2mo.Q.min.loops,9mo.2mo.T.mean.loops,18mo.9mo.Q.min.loops,loop_size.log.median.loops,9mo.2mo.T.max.loops,18mo.2mo.T.min.loops,18mo.9mo.T.mean.loops,9mo.2mo.Q.min.loops,Tanova.median.loops,18mo.2mo.T.std.loops,Tanova.mean.loops,loop_size.log.max.loops,18mo.2mo.T.max.loops,18mo.2mo.Q.max.loops,18mo.9mo.Q.median.loops,9mo.2mo.T.std.loops,18mo.9mo.Q.max.loops,Tanova.std.loops,Qanova.max.loops,loop_size.log.std.loops,Tanova.min.loops,18mo.9mo.T.std.loops,9mo.2mo.Q.max.loops,18mo.9mo.T.min.loops,9mo.2mo.log_ratio.mcg_genebody,18mo.9mo.log_ratio.mcg_genebody,18mo.2mo.log_ratio.mcg_genebody,9mo.2mo.log_ratio.mch_genebody,18mo.9mo.log_ratio.mch_genebody,18mo.2mo.log_ratio.mch_genebody,9mo.2mo.log_ratio.max.atac,18mo.2mo.log_ratio.max.atac,count.atac,18mo.9mo.log_ratio.std.atac,log2_distance.mean.atac,9mo.2mo.log_ratio.std.atac,9mo.2mo.log_ratio.mean.atac,log2_distance.std.atac,18mo.2mo.log_ratio.mean.atac,9mo.2mo.log_ratio.min.atac,18mo.9mo.log_ratio.min.atac,18mo.9mo.log_ratio.mean.atac,log2_distance.min.atac,18mo.2mo.log_ratio.min.atac,18mo.2mo.log_ratio.std.atac
5430405H02Rik,18612.0,0.0,0.229355400099272,0.229355400099272,0.0,0.229355400099272,0.0,0.0,0.4372345589526059,0.3064426972519203,0.8744691179052118,0.4372345589526059,23,6,0.4789664617183293,0.1301148176650279,-2.584962500600932,0.6520766965721987,6,0.4044830439956333,1.0,0.0,0.0,0.0,0,0.0,1,4.8579809951325466,-0.3580475206493557,-0.2252923118128648,10.319672120947107,-0.1327552088364908,0.0565186626569962,-0.0027282053999999,-0.0769305517458333,-0.001805919,17.132544605090857,0.10302614,-0.1539805,0.0845356685791666,-0.0039441343,1.6203809,0.1015434510985432,1.7463437303333331,18.68028396906424,0.265392135,0.0044576124999999,0.0009258477499999,0.0894114317453685,0.006471284,1.34101100753736,5.177221,0.8780727369267943,0.008412129,0.1007435977999546,0.00337627,-0.08025493,-0.0118466344829996,0.0562436282915405,0.0443969938085409,-0.1065148218678413,0.045257927821159,-0.0612568940466822,0.1142911014618626,0.1495278907644435,3,0.0842121392318071,11.045411465091908,0.0288990312687124,0.0816734210616964,0.3539093210560206,0.0956924692970622,0.0592638266250882,-0.0813707278648578,0.0140190482353657,10.677719641641096,0.0329203735970047,0.0588151882998292
Cntn4,1021650.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3840010311345908,-0.1775351245635583,0.7369655941469699,0.5849625006971113,15,3,0.4856972022543553,-0.1154714662944522,-1.222392421308968,-0.4854268271619979,2,0.0177434495642212,0.0,-0.6065293061542683,-0.2436629541076982,0.3450239537676772,11,-0.36286635204657,3,6.0440326775208,-0.8066183542389546,-0.8037730700784839,17.00275143464782,-0.0028452841604708,0.1905981572661239,-0.0035441245,-0.0474895082516432,-0.0015054814,18.058699954788285,0.265456092,-0.2935977669999999,0.0809543524206572,-0.0040180196,2.150844,0.1650078075644653,2.4911007016901405,20.79102135736136,0.33465102,0.0035770183,0.0005947477999999,0.1353746530343393,0.00264383837,1.727097663244002,5.7696457,1.7491378864357976,0.004605825,0.0985884553140886,0.002532341,-0.11349936,-0.0062965337354784,-0.0137935883892946,-0.020090122124773,-0.0159891913943205,-0.0343949309900564,-0.0503841223843769,0.3866452330638823,0.9112165520659536,35,0.6342197491249543,16.868422739207965,0.3052419586687394,-0.2348741660137781,2.4857458662824787,-0.2899592690145818,-1.008014685087765,-2.182320211667633,-0.0550851030008037,10.233619676759822,-3.136570415492625,0.7018027247904853
Pik3c3,75379.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4528464287499933,0.010979107313159,0.0,0.0,18,7,0.773382509990302,-0.3096111922647235,-0.9999999999639329,0.5849625006971113,5,-0.0564304456968498,0.0,-0.243021516014334,-0.3506352736062452,0.02242406681868,1,0.1076137575919111,1,4.584962500727167,-1.807354920769484,-0.1699250012419377,13.85145625703335,-1.637429919527546,0.813792060872523,-0.0033317803,-0.0316344311170796,-0.0022299566999999,20.20627512342422,0.20070295,-0.18342758,0.0807335475453982,-0.0030121573,1.0216937,0.1065866080009226,1.3133780664247787,20.467370717325764,0.23871926,0.0035694362999999,0.0007242875999999,0.1157419530211605,0.0039789493,1.0395785817388985,6.960744,0.5916850290928081,0.074947596,0.0814186725125655,0.002196871,-0.0971483,0.0095695496910788,0.0008408983442516,0.0104104480353304,-0.0504430673049545,0.032966431876018,-0.0174766354289365,0.0827452599611437,0.3861626508058429,4,0.2000525229728404,12.942559710227345,0.18843410119426,-0.1486666991851972,2.227706140366278,-0.0605904821028325,-0.3506352736062452,-0.1805674621278612,0.0880762170823646,10.797661525853842,-0.4205912734794967,0.3519585325314189
Rars2,45210.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3522138890277725,0.0483244797652671,0.5849625006971113,0.0,21,9,0.654041082166475,-0.4313176800865377,-1.1699250014222748,0.0,7,0.1016922092576928,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029805529338025,0.0037697281866966,0.0335752575247217,0.0999955416273902,0.020407735331006,0.1204032769583963,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rnps1,11336.0,3.0,0.0987050674381075,0.0987050674381075,0.4594316186348379,0.0987050674381075,3.0,3.0,0.4765368906919899,0.4348627681226316,2.736965594125329,0.3684827970734849,20,6,1.3397924049239196,0.2971856707437008,-1.9999999999639324,0.7369655941613971,8,0.6522592919050547,3.0,0.5439355213581862,0.3166558624233633,0.1122864651773981,1,0.2272796589348229,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00113645,0.0865303907111111,-0.002579273,17.747143998186747,0.2281842869999999,0.06796785,0.078407724,-0.0005944455,2.3446515,0.062456832572469,2.0422373222222223,17.872674880270605,0.232254457,0.0049486819999999,0.0012866859999999,0.0797350163834463,0.003657335,1.029412968097699,1.935249,0.8836384079856596,0.536497,0.0860492832989741,0.003741864,-0.0408861799999999,0.041551368171555,0.0066683777086246,0.0482197458801796,-0.0357054934659329,0.1465509207886774,0.1108454273227445,0.3931113215565545,0.5439355213581862,3,0.1644784996988856,10.557402209178006,0.0396331934630996,0.3488439806264488,0.6652980137186633,0.3922978843929968,0.3166558624233633,-0.0898019982087297,0.043453903766548,9.820178962415348,0.2469627596906989,0.1485866633945371
Ccdc30,93055.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8304820237072134,0.3941803161509498,1.5849625006890964,0.8684827970698785,18,4,0.7467830063232036,0.2018883056510683,-1.4150374992487875,0.9068905956001028,6,0.6456540906271995,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004136568,-0.0231816266702127,-0.001572019,16.162941990738357,0.217267655,-0.26213206,0.0257010612021276,-0.0052704605,1.3889347,0.1396833526750696,1.704717162851064,18.015404162437367,0.206748626,0.0040951624999999,0.0010060193,0.1297291475233455,0.0048352072999999,1.193941806090332,4.6499667,1.2582287114468358,0.092572644,0.0766908042400234,0.003939576,-0.20492736,0.0075921826408157,0.0113443654841293,0.018936548124945,0.1104105507601728,-0.0655809975517811,0.0448295532083917,0.6164113836922421,0.4773105388582265,5,0.3565256432956104,11.674508115348086,0.3469562344880206,0.1009145407477941,2.669801646408802,0.252155378257364,-0.3552863579601624,-0.1391008448340156,0.1512408375095699,7.629356620080338,0.0057261506483594,0.1830412420897118
Cux2,193736.0,0.0,0.2179572686232006,0.2179572686232006,0.0,0.4298820870402786,0.0,0.0,0.0,0.0,0.0,0.0,8,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,4,3.2108821336701188,0.0772087282408646,0.7775174583720248,15.783853807782304,-0.7003087301311601,0.606503078455918,-0.0049013299999999,-0.0345116293307086,-0.0033377541999999,16.56905454785765,0.1359753299999999,-0.28670642,0.0011553898031496,-0.004124088,1.2046629,0.1260647998469086,1.6977454755433072,18.30690276703688,0.3025121,0.003738297,0.0003971,0.0926942428185839,0.0032812829999999,1.424331909881499,6.4316154,1.311618760432529,0.012595188,0.1040901540300499,0.0040969769999999,-0.199099168,0.0002417017393838,-0.0035275828575688,-0.003285881118185,-0.0441807322839976,0.0109539605417009,-0.0332267717422967,1.2194078068613845,0.4310168865516672,4,0.4240295139839606,12.398483702931795,0.3937284853259798,0.6433507381671152,2.725298083345244,0.1498884117179832,0.3702327094679586,-0.8623915018536954,-0.4934623264491319,10.55362929391646,-0.4503386167989169,0.4060973192442635
Med17,19580.0,0.0,0.0,0.0,1.1375035237420654,0.0,0.0,0.0,0.1096038448582149,0.6021557685570403,0.5525410230257184,0.2762705115128592,21,6,0.6072605255388219,-0.1767208721918676,-0.9999999999278651,1.1375035237420654,6,0.5291972805121617,0.0,0.0,0.0,0.0,0,0.0,1,7.09803208296158,0.0,-0.3755091350475283,11.887220615468424,0.3755091350475283,0.1610886668084201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0089931609675464,-0.0431577591041132,-0.0341645981365667,0.0346089377979381,0.0176537552364887,0.0522626930344268,0.3982470856739715,0.5813702428093959,2,0.0406248034106893,10.83020689719139,0.1864839816288307,0.2663829976815577,0.3335879382610807,0.4207800808409132,0.1345189096891439,0.1256710091832866,0.1543970831593555,10.59432460392494,0.2601899188724306,0.2271087850395201
Ptar1,44239.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4878624998806616,-0.2550725668980274,1.4150374992487875,0.9999999999639329,20,7,0.8501237549603302,-0.314317821984583,0.0,1.584962500673066,5,0.1022024061377178,1.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0068166329246693,0.0050494432656989,0.0118660761903682,0.0279563022487082,-0.0300998157814683,-0.00214351353276,0.0552767696088163,0.0522945256857374,1,0.0,10.76404221730667,0.0,0.0552767696088163,0.0,0.0522945256857374,0.0552767696088163,-0.0029822439230788,-0.0029822439230788,10.76404221730667,0.0522945256857374,0.0
Ubr1,110446.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.292481250276421,-0.3098733094798609,-0.9999999999278651,-1.292481250276421,21,2,0.4136309509827679,0.2440112707953625,0.0,0.0,2,0.2459849927766115,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0022019391999999,-0.1600854248888888,-0.0016128967,16.926597142618643,-0.02031609,-0.299807485,-3.035133333333415e-05,-0.0026066114999999,1.617099,0.0935042478353628,2.656755505555556,17.32834184059799,-0.06955075,0.003924315,0.0009622611,0.0631533891258301,0.004846616,1.9382349288497136,2.3582995,0.804303883321379,0.41656515,0.0779355966058228,0.0008963299999999,-0.109974113,0.0146267989876427,0.0077160684099697,0.0223428673976125,0.0396388973241902,-0.042579644601573,-0.0029407472773828,0.3451218770951296,0.2711555685094269,6,0.2263578291039752,11.840845377854578,0.3160845260030145,-0.0853895842750792,1.101119131494145,-0.0237560823972295,-0.5186844522818671,-0.1831414057907958,0.0616335018778496,10.714245517666209,-0.403796030907074,0.2560409403328613
