gene_name,gene_length.meta,18mo.9mo.contact.log_ratio.count.0-5kb.enhancer_DMR,9mo.2mo.activity.log_ratio.median.5kb-20kb.enhancer_DMR,9mo.2mo.activity.log_ratio.mean.5kb-20kb.enhancer_DMR,18mo.2mo.contact.log_ratio.min.20kb-5Mb.enhancer_DMR,9mo.2mo.activity.log_ratio.max.5kb-20kb.enhancer_DMR,9mo.2mo.activity.log_ratio.count.0-5kb.enhancer_DMR,9mo.2mo.contact.log_ratio.count.0-5kb.enhancer_DMR,18mo.9mo.contact.log_ratio.mean.20kb-5Mb.enhancer_peak,9mo.2mo.activity.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.9mo.contact.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.9mo.contact.log_ratio.median.20kb-5Mb.enhancer_peak,count.enhancer_peak,18mo.9mo.contact.log_ratio.count.20kb-5Mb.enhancer_peak,18mo.9mo.contact.log_ratio.std.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.min.20kb-5Mb.enhancer_peak,9mo.2mo.contact.log_ratio.min.20kb-5Mb.enhancer_peak,18mo.2mo.contact.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.2mo.contact.log_ratio.count.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.9mo.contact.log_ratio.count.0-5kb.enhancer_peak,18mo.2mo.log_ratio.DAR,9mo.2mo.log_ratio.DAR,rel_pos.DAR,count.DAR,18mo.9mo.log_ratio.DAR,count.DMR,size.log2.DMR,18mo.2mo.log_ratio.DMR,18mo.9mo.log_ratio.DMR,distance.log2.DMR,9mo.2mo.log_ratio.DMR,rel_pos.DMR,18mo.2mo.Q.min.loops,9mo.2mo.T.mean.loops,18mo.9mo.Q.min.loops,loop_size.log.median.loops,9mo.2mo.T.max.loops,18mo.2mo.T.min.loops,18mo.9mo.T.mean.loops,9mo.2mo.Q.min.loops,Tanova.median.loops,18mo.2mo.T.std.loops,Tanova.mean.loops,loop_size.log.max.loops,18mo.2mo.T.max.loops,18mo.2mo.Q.max.loops,18mo.9mo.Q.median.loops,9mo.2mo.T.std.loops,18mo.9mo.Q.max.loops,Tanova.std.loops,Qanova.max.loops,loop_size.log.std.loops,Tanova.min.loops,18mo.9mo.T.std.loops,9mo.2mo.Q.max.loops,18mo.9mo.T.min.loops,9mo.2mo.log_ratio.mcg_genebody,18mo.9mo.log_ratio.mcg_genebody,18mo.2mo.log_ratio.mcg_genebody,9mo.2mo.log_ratio.mch_genebody,18mo.9mo.log_ratio.mch_genebody,18mo.2mo.log_ratio.mch_genebody,9mo.2mo.log_ratio.max.atac,18mo.2mo.log_ratio.max.atac,count.atac,18mo.9mo.log_ratio.std.atac,log2_distance.mean.atac,9mo.2mo.log_ratio.std.atac,9mo.2mo.log_ratio.mean.atac,log2_distance.std.atac,18mo.2mo.log_ratio.mean.atac,9mo.2mo.log_ratio.min.atac,18mo.9mo.log_ratio.min.atac,18mo.9mo.log_ratio.mean.atac,log2_distance.min.atac,18mo.2mo.log_ratio.min.atac,18mo.2mo.log_ratio.std.atac,DEG,pred
Rars2,-0.2040833294391632,0.0,0.0,0.0,0.12263228507712483,0.0,0.0,0.0,-0.09979925729334355,0.023592276461422444,0.005888791233301163,0.0070890581607818606,-0.01919440120458603,0.0,0.026703070476651193,0.0,0.0,-0.0012113359570503236,0.0,0.06231396749615669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006330215036869049,0.0,0.00688231062144041,0.014533200412988662,0.0,0.0,0.09271774858236313,-0.0054297736287117005,0.061434944421052934,0.0,0.0,0.0,0.0,0.0025437846779823303,0.0,-0.011757021937519312,0.0,0.04806560965254903,0.0,0.0,0.0,0.0,0.0,0.0,-0.004505294710397721,0.006383993085473776,0.0,0.0,0.0,0.0027381688356399535,0.0016714708134531976,-0.02554991014301777,-0.278435432203114,0.009468114227056504,0.0,-0.031375465467572215,0.0,0.0,0.0,0.0,0.16456952176988124,0.0,0.04381440684199333,-0.10061323374509812,0.0,-0.025797731690108777,-0.029831461049616335,-0.009844150394201279,0.02905181288719177,1.0,1.0
Rnps1,-0.28109545443207024,0.0,0.0,0.0,0.06461461959406734,0.0,0.0,0.0,0.005762883722782135,-0.03866038646548987,-0.004580170959234238,-0.0035445291548967363,-0.003616899773478508,0.0,0.021731412746012212,0.0,0.0,-0.0036340077221393586,0.0,-0.045979238152503966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006330215036869049,0.0,0.00018671954050660132,0.001875251680612564,0.0,0.0,-0.04893019199371338,0.019004206880927087,-0.03499506209045648,0.0,0.0,0.0,0.0,0.0025437846779823303,0.0,-0.03794114828109741,0.0,-0.011834470462054015,0.0,0.0,0.0,0.0,0.0,0.0,0.032895976901054384,0.0010214389115571975,0.0,0.0,0.0,0.009241319820284843,0.004286641255021095,0.0014304487407207488,-0.12119431199505926,0.019309969432651997,0.0,-0.028056188225746154,0.0,0.0,0.0,0.0,-0.11433024492114782,0.0,-0.09350564576685429,-0.05648881182074547,0.0,-0.04736496582627296,-0.03829047434031963,-0.009844150394201279,-0.0034728676080703737,1.0,0.0
Dis3l,-0.2219970776513219,0.0,0.0,0.0,-0.22422034949064254,0.0,0.0,0.0,0.0017672599852085113,-0.04908007178455591,0.005888791233301163,-0.014887022264301776,-0.003616899773478508,0.0,0.00582474771887064,0.0,0.0,-0.0025231478363275527,0.0,-0.021174649149179457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.042333313524723054,0.0,-0.0012505078315734864,0.05531992167234421,0.0,0.0,0.09271774858236313,-0.011764509081840515,0.011538875084370374,0.0,0.0,0.0,0.0,0.0025437846779823303,0.0,-0.016745145469903945,0.0,0.13295528922230004,0.0,0.0,0.0,0.0,0.0,0.0,-0.0054121618345379825,0.0007660791277885437,0.0,0.0,0.0,0.0027381688356399535,0.049209102615714075,0.0014304487407207488,-0.022316913958638905,-0.0006229022145271302,0.0,0.01585684675723314,0.0,0.0,0.0,0.0,-0.046241035759449,0.0,-0.029794369414448737,-0.05878270257264376,0.0,0.17267027609050273,0.3214487172663212,0.14425466537475587,0.033994024768471715,1.0,1.0
Aplp1,-0.27030788075178863,0.0,0.0,0.0,-0.19384785513393582,0.0,0.0,0.0,-0.015386405363678933,-0.038612369494512674,0.005888791233301163,0.002835623323917389,-0.003616899773478508,0.0,-0.0010320039838552476,0.0,0.0,-0.0036340077221393586,0.0,-0.021174649149179457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0075171304494142535,0.0,-0.0012505078315734864,-0.00445372274145484,0.0,0.0,-0.04893019199371338,-0.011764509081840515,-0.004518005251884461,0.0,0.0,0.0,0.0,0.0025437846779823303,0.0,-0.021471783220767975,0.0,0.008283514343202115,0.0,0.0,0.0,0.0,0.0,0.0,-0.003011342417448759,-0.006894712150096893,0.0,0.0,0.0,0.002053626626729965,0.00021125789731740952,0.0014304487407207488,0.011068293508142233,0.006021388433873653,0.0,-0.019046031683683396,0.0,0.0,0.0,0.0,-0.0572698574885726,0.0,-0.023000942543148994,-0.062466950938105587,0.0,0.11595062397420407,-0.034753545671701434,0.14425466537475587,-0.01066352017223835,1.0,0.0
Cstf1,-0.23738363899290563,0.0,0.0,0.0,-0.33120540930889547,0.0,0.0,0.0,-0.16649477273225785,0.013756762268021703,0.0026172405481338502,0.0070890581607818606,-0.01919440120458603,0.0,0.004080621264874935,0.0,0.0,-0.002322195842862129,0.0,0.06231396749615669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006330215036869049,0.0,0.0028343209624290466,0.0009845070727169513,0.0,0.0,-0.04893019199371338,-0.0054297736287117005,-0.004518005251884461,0.0,0.0,0.0,0.0,0.0025437846779823303,0.0,-0.00858131468296051,0.0,-0.011137236673384905,0.0,0.0,0.0,0.0,0.0,0.0,0.03874543689191341,0.0031664606370031836,0.0,0.0,0.0,0.012664030864834785,-0.013368236348032952,0.002062637507915497,-0.158256605733186,0.0038619937747716906,0.0,0.03338760502636433,0.0,0.0,0.0,0.0,0.07965437376871705,0.0,0.06499695418402553,-0.10359254114329815,0.0,-0.023631356209516525,-0.05057908311486244,-0.009844150394201279,0.04465575184673071,1.0,0.0
Mtfp1,-0.22660205103456973,0.0,0.0,0.0,-0.2169672540668398,0.0,0.0,0.0,0.0035723486542701723,-0.03866038646548987,-0.003435128219425678,-0.059725314788520334,0.107840671017766,0.0,0.027119274586439132,0.0,0.0,-0.0036340077221393586,0.0,-0.045979238152503966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006330215036869049,0.0,-0.0004500322230160236,0.001875251680612564,0.0,0.0,-0.04893019199371338,-0.011764509081840515,-0.004518005251884461,0.0,0.0,0.0,0.0,0.0025437846779823303,0.0,-0.021471783220767975,0.0,-0.016851624585688115,0.0,0.0,0.0,0.0,0.0,0.0,0.016330055939033628,0.001276798639446497,0.0,0.0,0.0,-0.016223650351166727,0.004286641255021095,0.0014304487407207488,0.10123275449499487,0.019226915799081326,0.0,0.04992981106042862,0.0,0.0,0.0,0.0,-0.06687206044793129,0.0,-0.04640913959592581,-0.032453681826591495,0.0,-0.038305577039718625,-0.05057908311486244,-0.004543454051017761,-0.015667228568345307,1.0,1.0
Cops7a,-0.20065856125205755,0.0,0.0,0.0,-0.19640145289711655,0.0,0.0,0.0,0.005762883722782135,-0.03866038646548987,-0.004580170959234238,-0.0035445291548967363,-0.003616899773478508,0.0,0.04119495842605829,0.0,0.0,-0.0025231478363275527,0.0,-0.045979238152503966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006330215036869049,0.0,-0.0012505078315734864,0.0042193161696195604,0.0,0.0,0.09271774858236313,-0.011764509081840515,-0.004518005251884461,0.0,0.0,0.0,0.0,0.0025437846779823303,0.0,-0.021471783220767975,0.0,-0.04747734779492021,0.0,0.0,0.0,0.0,0.0,0.0,0.032895976901054384,0.0007660791277885437,0.0,0.0,0.0,0.009241319820284843,0.001653309017419815,0.0014304487407207488,-0.10739982640370727,0.019309969432651997,0.0,-0.016699562072753905,0.0,0.0,0.0,0.0,-0.0572698574885726,0.0,-0.09350564576685429,-0.07595235772430897,0.0,-0.038305577039718625,-0.05057908311486244,-0.009844150394201279,-0.0034728676080703737,1.0,0.0
4933421O10Rik,-0.22255817595869304,0.0,0.0,0.0,0.09893383951857686,0.0,0.0,0.0,0.004648279100656509,0.009907434955239295,-0.004580170959234238,-0.0035445291548967363,-0.01919440120458603,0.0,0.021731412746012212,0.0,0.0,-0.0036340077221393586,0.0,-0.021174649149179457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006330215036869049,0.0,0.00475933488458395,0.001875251680612564,0.0,0.0,-0.04893019199371338,0.009954584985971451,-0.03499506209045648,0.0,0.0,0.0,0.0,0.0025437846779823303,0.0,-0.01865166762843728,0.0,-0.011834470462054015,0.0,0.0,0.0,0.0,0.0,0.0,-0.0032513976097106934,0.0010214389115571975,0.0,0.0,0.0,0.0027381688356399535,-0.0176225620508194,-0.02554991014301777,-0.17718160353600979,0.019309969432651997,0.0,-0.012478687167167664,0.0,0.0,0.0,0.0,0.15687734156847,0.0,-0.07228939980268478,-0.05648881182074547,0.0,0.11575368072837591,-0.03829047434031963,-0.009844150394201279,-0.0034728676080703737,1.0,1.0
Bcor,0.19426016304641963,0.0,0.0,0.0,0.07348957352340221,0.0,0.0,0.0,0.0017672599852085113,-0.04908007178455591,-0.018484261371195316,0.002835623323917389,0.14767646130174397,0.0,0.029152181930840015,0.0,0.0,-0.0025231478363275527,0.0,-0.021174649149179457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08585354268550872,0.0,-0.023719664067029952,-0.0672746504098177,0.0,0.0,0.09271774858236313,-0.06017998814582825,0.025147236846387387,0.0,0.0,0.0,0.0,0.0025437846779823303,0.0,-0.02080708596855402,0.0,0.08929847687482834,0.0,0.0,0.0,0.0,0.0,0.0,-0.002331721857190132,0.0010214389115571975,0.0,0.0,0.0,-0.003080439940094948,0.044234083369374275,0.0014304487407207488,-0.07542399022728205,-0.00394504752010107,0.0,-0.028482479825615883,0.0,0.0,0.0,0.0,-0.038077431879937645,0.0,-0.026713929772377014,-0.0805203066766262,0.0,0.2607039012759924,0.10515558551996947,-0.009844150394201279,-0.009154552072286605,1.0,0.0
Gm15328,-0.2243645004555583,0.0,0.0,0.0,-0.41678640617989005,0.0,0.0,0.0,0.02661638006567955,0.07824357360601425,-0.004580170959234238,0.0021267174184322357,-0.01919440120458603,0.0,-0.04581652548164129,0.0,0.0,-0.0009958782792091369,0.0,0.06231396749615669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006330215036869049,0.0,0.005222632922232151,0.0016408452205359935,0.0,0.0,0.09271774858236313,0.009954584985971451,-0.004518005251884461,0.0,0.0,0.0,0.0,0.0038156770169734955,0.0,0.0999725265800953,0.0,-0.014477296750992536,0.0,0.0,0.0,0.0,0.0,0.0,-0.012745447680354119,0.0031664606370031836,0.0,0.0,0.0,0.004449524357914925,-0.0006007643789052963,0.002062637507915497,-0.005093787256628275,0.008429943807423115,0.0,0.13094038538634778,0.0,0.0,0.0,0.0,0.10773978047072888,0.0,0.02097210807725787,0.2724845546483994,0.0,-0.023040526360273362,-0.05057908311486244,-0.004543454051017761,-0.004963927287608385,1.0,1.0
