gene_name,gene_length.meta,9mo.2mo.activity.log_ratio.mean.20kb-5Mb.enhancer_DMR,18mo.2mo.contact.log_ratio.median.20kb-5Mb.enhancer_DMR,18mo.2mo.contact.log_ratio.min.20kb-5Mb.enhancer_DMR,9mo.2mo.activity.log_ratio.max.5kb-20kb.enhancer_DMR,18mo.2mo.contact.log_ratio.max.20kb-5Mb.enhancer_DMR,18mo.9mo.activity.log_ratio.min.20kb-5Mb.enhancer_DMR,18mo.9mo.activity.log_ratio.count.5kb-20kb.enhancer_DMR,18mo.9mo.activity.log_ratio.max.5kb-20kb.enhancer_DMR,count.enhancer_DMR,18mo.2mo.contact.log_ratio.min.5kb-20kb.enhancer_DMR,9mo.2mo.activity.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.count.0-5kb.enhancer_peak,9mo.2mo.activity.log_ratio.min.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.median.5kb-20kb.enhancer_peak,18mo.2mo.activity.log_ratio.median.20kb-5Mb.enhancer_peak,18mo.9mo.contact.log_ratio.std.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.min.20kb-5Mb.enhancer_peak,9mo.2mo.contact.log_ratio.count.5kb-20kb.enhancer_peak,18mo.9mo.activity.log_ratio.count.5kb-20kb.enhancer_peak,9mo.2mo.contact.log_ratio.count.0-5kb.enhancer_peak,18mo.2mo.activity.log_ratio.count.5kb-20kb.enhancer_peak,18mo.9mo.contact.log_ratio.count.5kb-20kb.enhancer_peak,18mo.9mo.activity.log_ratio.mean.0-5kb.enhancer_peak,9mo.2mo.activity.log_ratio.mean.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.max.5kb-20kb.enhancer_peak,18mo.2mo.contact.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.mean.5kb-20kb.enhancer_peak,18mo.2mo.activity.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.2mo.contact.log_ratio.count.5kb-20kb.enhancer_peak,18mo.2mo.activity.log_ratio.mean.20kb-5Mb.enhancer_peak,9mo.2mo.activity.log_ratio.median.20kb-5Mb.enhancer_peak,18mo.2mo.log_ratio.DAR,9mo.2mo.log_ratio.DAR,rel_pos.DAR,count.DAR,18mo.9mo.log_ratio.DAR,count.DMR,size.log2.DMR,18mo.2mo.log_ratio.DMR,18mo.9mo.log_ratio.DMR,distance.log2.DMR,9mo.2mo.log_ratio.DMR,rel_pos.DMR,18mo.2mo.Q.min.loops,9mo.2mo.Q.std.loops,18mo.9mo.T.max.loops,18mo.2mo.T.mean.loops,min_distance.log.median.loops,18mo.2mo.Q.std.loops,18mo.9mo.Q.min.loops,min_distance.log.std.loops,18mo.9mo.T.median.loops,loop_size.log.mean.loops,loop_size.log.median.loops,18mo.9mo.T.mean.loops,9mo.2mo.Q.min.loops,Tanova.median.loops,18mo.2mo.T.std.loops,Tanova.mean.loops,loop_size.log.max.loops,18mo.2mo.T.max.loops,18mo.2mo.Q.max.loops,9mo.2mo.T.std.loops,18mo.9mo.T.min.loops,min_distance.log.mean.loops,18mo.9mo.Q.std.loops,9mo.2mo.Q.mean.loops,9mo.2mo.log_ratio.mcg_genebody,18mo.9mo.log_ratio.mcg_genebody,18mo.2mo.log_ratio.mcg_genebody,9mo.2mo.log_ratio.mch_genebody,18mo.9mo.log_ratio.mch_genebody,18mo.2mo.log_ratio.mch_genebody,9mo.2mo.log_ratio.max.atac,18mo.2mo.log_ratio.max.atac,18mo.9mo.log_ratio.max.atac,count.atac,18mo.9mo.log_ratio.std.atac,log2_distance.mean.atac,9mo.2mo.log_ratio.std.atac,9mo.2mo.log_ratio.mean.atac,log2_distance.max.atac,log2_distance.std.atac,18mo.2mo.log_ratio.mean.atac,9mo.2mo.log_ratio.min.atac,18mo.9mo.log_ratio.mean.atac,log2_distance.min.atac,18mo.2mo.log_ratio.min.atac,18mo.2mo.log_ratio.std.atac,DEG,pred
Tmem134,-0.08291059320792556,0.0,0.0,0.0,0.011140402294695378,0.017368635907769204,-0.03520805487409234,0.0,0.0013303037732839585,0.0,0.0010459696501493455,0.0029205815866589547,0.0043234872072935105,0.005349096562713385,0.0,0.01865743870846927,0.010126178148202597,0.0020277734845876695,0.04466482028365135,0.026513083621393888,0.006254464816302061,0.0,0.002035042643547058,0.06454672196879983,2.7959542348980905e-05,0.10748238760977984,0.0032919739186763764,0.0,0.03156630896031856,0.0027007970400154593,0.015602084957063198,0.002035042643547058,0.00020175693556666373,0.0,-0.024456667592749,-0.051553879361599685,0.06488694556057453,-0.00358854865655303,-0.022242934107780457,-0.03275698495097459,0.0,-0.02587605990469456,-0.006267927326261997,0.0,0.0,-0.005466771181672812,0.0073285828437656166,0.0,0.0,0.0,-0.024531406052410602,0.0,0.014771247180178762,0.070283188438043,0.0,0.04839547820389271,0.0,0.008114687763154507,0.0,0.00465423047542572,0.11790881259832531,0.011092243227176368,-0.0006028373166918755,-0.06029848389327526,-0.03235358932986856,0.0,-0.06149655397981405,-0.0023723897337913514,0.0025966021232306956,0.0,0.0,0.19872912676073612,-0.019126995000988245,0.17802464756183325,0.0,-0.010741597916930913,0.0,-0.03604143060278148,0.019940308295190334,0.0,0.0,0.006405466832220554,-0.04045354187488556,0.006033693887293339,0.022072540633380412,-0.010230385828763247,0.0006973131000995636,0.0,-0.03035373566672206,0.0069949308526702225,1.0,0.0
Pdha1,0.0426697463169694,0.0,0.0,0.0,-0.02207400232553482,0.002277853935956955,-0.0044339598622173074,0.0,0.0013303037732839585,0.0,0.0010459696501493455,0.0,0.0043234872072935105,-0.0012837831676006317,0.0,0.005479246452450752,0.022347356155514718,-0.0018587923608720303,-0.03686771139502525,-0.009316960915457457,0.004035138711333275,0.0,-0.0028490595519542693,0.07956882577389479,-0.019397295601665972,0.14877981536090373,-0.008957412708550692,0.0,-0.007566885724663734,0.0027972540818154814,-0.012212879583239555,-0.0046805978193879124,-0.007465006448328495,0.0,0.04058550168760121,-0.04051157613284886,0.06488694556057453,-0.006795236170291901,-0.022242934107780457,-0.03740885035134852,0.0,-0.0059790734946727755,0.03684006229043007,0.0,0.0,-0.003421775121241808,0.017109866766259075,0.0,0.0,0.0,-0.011598650675732642,0.0,0.014771247180178762,0.06936211054213345,0.0,0.024013497177511455,0.0,0.009532713554799557,0.0,0.007417679522186518,0.12283883580006659,0.016036924850195648,-0.0009796106209978461,-0.009570019841194153,-0.030830574184656144,0.0,-0.0956325647700578,-0.0023723897337913514,0.0025966021232306956,0.0,0.0,-0.0539777543512173,-0.0340973211824894,0.23022648143116384,0.0,-0.010741597916930913,0.0,-0.006373746767640114,0.007528903828933835,0.0,0.0,-0.03353089209645987,-0.04045354187488556,0.006033693887293339,-0.014893092587590218,0.01579701539129019,0.0006973131000995636,0.0,0.011397050945088267,0.011895383298397065,1.0,1.0
D030068K23Rik,-0.04238341599702835,-0.003343673050403595,0.0,0.0,-0.029106491468846796,0.002277853935956955,-0.0018020157422870397,0.0,0.0006651519238948822,0.0,0.0010459696501493455,-0.008344220817089082,-0.0043234872072935105,-0.0034234219044446943,0.0,-0.1076832177489996,-0.027972251046448945,-0.0026473709382116794,-0.03600810885429382,-0.034015670926310124,-0.005447437092661858,0.0,-0.0028490595519542693,-0.030742788910865782,-0.020080652870237827,-0.02040454924106598,-0.013096866984851659,0.0,-0.08622886069118976,-0.0025078830309212207,-0.04210463386029005,-0.0046805978193879124,0.0,0.0,0.042803212329745294,-0.027920601246878504,0.0367578861862421,-0.008254688531160355,-0.006093955039978028,-0.014877307019196451,0.0,-0.0037880419939756394,-0.006140010431408882,0.0,0.0,-0.02134902501478791,-0.0291307220980525,0.0,0.0,0.0,0.013162498287856579,0.0,-0.005533598056063056,-0.09282989491708576,0.0,0.019464613869786263,0.0,-0.03711375340819359,0.0,-0.024580153822898864,-0.26283957400359215,-0.06774240677244961,-0.005877663725987077,-0.021213264390826225,0.017352064456790686,0.0,-0.14861241787672042,-0.0023723897337913514,-0.01214628702029586,0.0,0.0,-0.36979825913906095,-0.056706350930035114,-0.2657967528235167,0.0,0.02046018647029996,0.0,0.022476693512871862,-0.03580664264038205,0.0,0.0,-0.016936787981539966,0.01816977731883526,0.013408208638429642,-0.017304517813026905,0.008958582729101182,0.0006973131000995636,0.0,-0.007660292787477374,-0.006393862925469875,1.0,2.0
Tnip1,-0.009811374843120575,0.0,0.0,0.0,-0.008796939235180616,0.004270976055413485,0.002457463862374425,0.0,0.0006651519238948822,0.0,-0.0023243770003318785,0.0,-0.0043234872072935105,-0.0012837831676006317,0.0,0.046008453592658045,0.022176516838371754,0.008674364350736142,-0.022905886992812156,0.031910634303931144,-0.005447437092661858,0.0,-0.0016280341148376465,-0.027935928478837014,0.007552117984741927,0.037118296585977074,0.013873318657279015,0.0,0.08617854504846037,0.0013503985852003097,0.03459337478503585,0.0038665808364748955,0.0,0.0,-0.008072044616565108,-0.05198222069069743,-0.030175687503069638,-0.006795236170291901,-0.022242934107780457,-0.03160073909908533,0.0,-0.0059790734946727755,-0.016757111698389053,0.0,0.0,0.00940710773691535,-0.0019476530142128468,0.0,0.0,0.0,0.03688085351139307,0.0,0.014771247180178762,0.11399110903032124,0.0,0.025597980748862027,0.0,0.014653742704540491,0.0,-0.003636117447167635,0.11984218070283532,0.016036924850195648,-0.0009796106209978461,0.007610531449317932,0.042400951813906435,0.0,0.23598543751984835,0.004744779467582703,-0.00028851134702563287,0.0,0.0,-0.07495699806138872,-0.01956289477646351,-0.2164289294416085,0.0,0.011764607466757298,0.0,-0.007360271839424968,-0.0110841747187078,0.0,0.0,0.006405466832220554,0.01816977731883526,0.013408208638429642,0.00589306166395545,-0.016575541235506534,-0.0023243770003318785,0.0,0.02045205969363451,-0.009290269275661558,1.0,0.0
Mrps28,-0.04238341599702835,-0.00027863942086696624,0.0,0.0,-0.042167495489120486,-0.011958733163774014,0.01873789937235415,0.0,0.0013303037732839585,0.0,0.0010459696501493455,0.0,0.0043234872072935105,-0.0008558554947376251,0.0,-0.15068935129791497,0.01776518188416958,-0.00946294292807579,-0.04780693043023348,-0.0015116348676383496,0.004035138711333275,0.0,-0.01607683625072241,0.015097174793481827,-0.019397295601665972,-0.03903531275689602,0.0023293550126254558,0.0,-0.07227616237476468,0.0027972540818154814,-0.04210463386029005,-0.03561324443668127,-0.007465006448328495,0.0,0.04058550168760121,-0.019439063891768457,-0.02071790263056755,-0.006795236170291901,-0.010207373946905136,-0.02113588805310428,0.0,-0.004642526134848595,-0.016757111698389053,0.0,0.0,-0.003421775121241808,0.017109866766259075,0.0,0.0,0.0,-0.011543284822255372,0.0,0.008435435844585299,-0.0359016695804894,0.0,0.02578388578258455,-0.0009225960075855256,0.007754048220813274,0.0,0.007417679522186518,0.060762694063596426,0.015374592635780573,-0.0009796106209978461,-0.010670059695839881,-0.014385116882622243,0.0,-0.12369163451716304,0.036244843155145645,-0.01214628702029586,0.0,0.0,-0.3021280368696898,-0.056830556504428385,-0.4044569055782631,0.0,-0.013299121279269457,0.0,0.022476693512871862,0.0068234432395547625,0.0,0.0,-0.02984389942139387,0.010659892363473773,0.013408208638429642,-0.007774799428880215,0.027092787064611913,0.0006973131000995636,0.0,-0.00648254151456058,-0.018640557955950498,1.0,2.0
Ttpal,0.036550265159457924,0.0,0.0,0.0,0.0035184275545179842,-0.019931221548467874,0.02205832111649215,0.0,-0.005321215093135834,0.0,-0.0023243770003318785,0.00024344794452190398,0.0026606076955795286,-0.0012837831676006317,0.0,0.009119706153869629,0.01890686823055148,-0.0009012326598167419,-0.03628428637981415,-0.09852758962661028,0.006254464816302061,0.0,-0.0028490595519542693,-0.036483691483736036,0.017710474664345385,-0.11641568556427956,-0.00917049877345562,0.0,-0.01454549865797162,-0.0005787422508001328,-0.012212879583239555,-0.0046805978193879124,0.00020175693556666373,0.0,-0.06529109980911016,-0.05198222069069743,-0.043699165098369123,-0.00358854865655303,0.053779148943722245,-0.010912018716335297,0.0,0.012858843952417374,0.03684006229043007,0.0,0.0,-0.016286969482898712,0.0073285828437656166,0.0,0.0,0.0,-0.011598650675732642,0.0,0.014771247180178762,0.04906513721682131,0.0,0.024013497177511455,0.0,0.00983657623641193,0.0,0.007417679522186518,0.11137998132035136,0.014197718272916972,-0.0006028373166918755,-0.009168176427483559,-0.041491680461913344,0.0,-0.13456044618040322,-0.0023723897337913514,0.005805439706891775,0.0,0.0,-0.10752228185767308,0.12758392512798308,0.2596963305026293,0.0,-0.04245488688349724,0.0,-0.03518787862733006,-0.000768608171492815,0.0,0.0,0.006405466832220554,-0.005793542414903641,0.003873482495546341,0.004010314792394638,-0.0056639756262302395,-0.0023243770003318785,0.0,-0.03035373566672206,0.006768871173262596,1.0,1.0
Abcc4,-0.012405774742364883,0.0,0.0,0.0,-0.029106491468846796,0.002277853935956955,0.01817085104994476,0.0,0.0006651519238948822,0.0,0.0010459696501493455,0.00024344794452190398,-0.0043234872072935105,-0.0008558554947376251,0.0,-0.21060960166156292,0.014998253937810659,-0.0009012326598167419,-0.022905886992812156,-0.07942636382766068,-0.0036316248401999473,0.0,-0.01607683625072241,-0.027935928478837014,-0.019397295601665972,-0.0328995852638036,-0.032613569502718744,0.0,-0.10576450752094388,-0.0025078830309212207,-0.030385873280465603,-0.03561324443668127,-0.0036316248401999473,0.0,0.0266365369502455,0.045929025243967775,-0.043699165098369123,0.06830625556409359,0.023766422867774962,0.0301688165217638,0.0,0.012858843952417374,0.03684006229043007,0.0,0.0,0.024215675853192807,-0.00457189979031682,0.0,0.0,0.0,0.01571816319366917,0.0,-0.0021816396433860063,0.06622209545224905,0.0,0.016411960273981094,-0.0009225960075855256,-0.01150122720748186,0.0,-0.003636117447167635,0.09705511017236859,-0.0065863502211868765,0.00580230905674398,-0.0031726107746362685,0.04284889748319984,0.0,0.25268023869022727,0.036244843155145645,-0.00028851134702563287,0.0,0.0,-0.16417563711525873,-0.05931928586214781,-0.42594930103048684,0.0,-0.013299121279269457,0.0,0.002106327768415213,0.00013784265145659448,0.0,0.0,-0.039402769319713114,0.004328238889575005,-0.02197456415742636,-0.017304517813026905,0.008958582729101182,0.0006973131000995636,0.0,0.010219299672171474,0.006768871173262596,1.0,1.0
Tmem25,-0.06493622805923223,0.0,0.0,0.0,0.00784344982355833,0.004270976055413485,-0.0018020157422870397,0.0,0.0013303037732839585,0.0,0.0010459696501493455,0.0,0.0043234872072935105,-0.0012837831676006317,0.0,0.01656688451766968,-0.029301433200016616,0.008674364350736142,0.11557431317865849,-0.035784086221829055,0.006254464816302061,0.0,0.002035042643547058,-0.047515801601111886,0.007552117984741927,0.07116555538028478,0.013873318657279015,0.0,0.023305681571364402,0.0013503985852003097,0.012715543955564498,0.002035042643547058,0.00020175693556666373,0.0,0.03807700672186911,-0.05198222069069743,0.06488694556057453,-0.006795236170291901,-0.022242934107780457,-0.03160073909908533,0.0,-0.0059790734946727755,-0.016757111698389053,0.0,0.0,0.0009203736484050751,0.017109866766259075,0.0,0.0,0.0,0.04612569741904735,0.0,0.021452196249738334,0.006168425008654594,0.0,0.0274829607270658,0.0,0.009532713554799557,0.0,0.007417679522186518,0.1024207998625934,0.015775202345103025,-0.005877663725987077,0.011093174368143081,0.03971327818930149,0.0,-0.08219841952435672,0.004744779467582703,0.0025966021232306956,0.0,0.0,-0.09923930050805212,-0.01624630665406585,0.1194589916896075,0.0,0.02046018647029996,0.0,-0.018729076655581593,-0.0110841747187078,0.0,0.0,0.00262084661051631,0.01816977731883526,0.013408208638429642,0.00589306166395545,-0.016575541235506534,0.0006973131000995636,0.0,-0.007976461481302977,-0.009290269275661558,1.0,0.0
4732471J01Rik,-0.04266867395490408,0.0,0.0,0.0,-0.008796939235180616,0.004270976055413485,-0.0044339598622173074,0.0,0.0006651519238948822,0.0,0.0010459696501493455,0.0026771336421370505,-0.0043234872072935105,0.005349096562713385,0.0,0.03621953895315528,0.02183539841324091,0.0020277734845876695,-0.03686771139502525,0.002639966995920986,-0.005447437092661858,0.0,-0.0038665808737277985,-0.036483691483736036,0.007552117984741927,-0.03136274356395006,0.0032919739186763764,0.0,0.0876612757705152,-0.0005787422508001328,0.04448107864707709,0.02849059544503689,0.0,0.0,0.04058550168760121,-0.022014939095824956,0.06488694556057453,-0.006795236170291901,-0.022242934107780457,-0.03148224608041346,0.0,-0.0059790734946727755,-0.016757111698389053,0.0,0.0,-0.003421775121241808,0.017109866766259075,0.0,0.0,0.0,-0.024531406052410602,0.0,-0.0002104982640594244,-0.028917825911194087,0.0,0.018753842813894153,-0.0030313868820667266,0.007754048220813274,0.0,0.007417679522186518,0.12542018007021397,0.012007395178079605,-0.0009796106209978461,0.009993134513497353,-0.030830574184656144,0.0,-0.10120755396783351,-0.00935775950551033,-0.00028851134702563287,0.0,0.0,-0.1804159094952047,-0.02221850913017988,-0.29816166386473925,0.0,0.02046018647029996,0.0,-0.018729076655581593,0.019940308295190334,0.0,0.0,0.0058592456951737405,-0.04672921722754836,0.006033693887293339,0.0068576318118721245,-0.010230385828763247,0.0006973131000995636,0.0,-0.007976461481302977,0.0069949308526702225,1.0,1.0
Ak2,0.014799758438020944,-0.00027863942086696624,0.0,0.0,-0.008796939235180616,-0.019931221548467874,-0.021640687873587014,0.0,0.0006651519238948822,0.0,0.0006973131000995636,0.02869887251406908,-0.0043234872072935105,0.005349096562713385,0.0,0.03621953895315528,0.00963435048237443,0.0010138867422938348,-0.033845106028020384,-0.06167818221962079,-0.005447437092661858,0.0,-0.0038665808737277985,-0.027935928478837014,0.007552117984741927,-0.0328995852638036,0.005408242866396904,0.0,0.051057887822389604,-0.0005787422508001328,0.017274132166057825,0.02849059544503689,0.0,0.0,-0.015057039754465222,-0.018781043905764818,-0.043699165098369123,-0.008254688531160355,-0.022242934107780457,-0.017205237546004355,0.0,-0.0059790734946727755,-0.016757111698389053,0.0,0.0,0.02392658032476902,-0.006346698608249426,0.0,0.0,0.0,0.019746446087956428,0.0,0.015116384914144874,-0.03880042008124292,0.0,0.018753842813894153,-0.0009225960075855256,0.005008644694462419,0.0,-0.003636117447167635,0.056527260150760414,-0.038508482803590594,0.00580230905674398,-0.004978154487907886,0.036678801272064444,0.0,0.23307910989038647,0.036244843155145645,-0.01214628702029586,0.0,0.0,-0.325359449153766,-0.022282706797122954,-0.23693748808465898,0.0,-0.013299121279269457,0.0,-0.00947571961209178,0.016166860153898597,0.0,0.0,0.002074625473469496,0.01816977731883526,0.013408208638429642,0.004010314792394638,-0.004339163228869438,-0.0038352220505475996,0.0,-0.0037107929028570652,0.0036127105308696628,1.0,1.0
