,DEG,pred,score_0,score_1,score_2
Slc4a2,1,1,0.13262829184532166,0.7559234499931335,0.1114482432603836
Adat1,1,0,0.43642696738243103,0.4116133749485016,0.15195967257022858
Kcnk3,1,1,0.2742895185947418,0.659033477306366,0.06667698174715042
Spryd3,1,0,0.6701522469520569,0.2808881103992462,0.048959650099277496
A730090N16Rik,1,1,0.17646008729934692,0.7620538473129272,0.06148602440953255
Bmp1,1,0,0.784568727016449,0.15733888745307922,0.05809237062931061
Gm11084,1,1,0.4278382360935211,0.47808486223220825,0.09407687932252884
Acaa2,1,1,0.36726582050323486,0.5143412947654724,0.11839289218187332
Dna2,1,1,0.16972467303276062,0.568778395652771,0.2614968717098236
Arrb1,1,0,0.4412907063961029,0.4153735935688019,0.14333570003509521
Tceal1,1,1,0.21621227264404297,0.6223863363265991,0.16140133142471313
Fam49a,1,2,0.21121780574321747,0.0988011434674263,0.6899811029434204
Pold4,1,0,0.5489262938499451,0.4063461124897003,0.04472760483622551
Zfp85os,1,1,0.3770819306373596,0.5259526968002319,0.09696539491415024
Mrps18c,1,1,0.30867376923561096,0.5624907612800598,0.1288354992866516
Eaf1,1,1,0.21027827262878418,0.6520180106163025,0.13770373165607452
Cald1,1,1,0.3013277053833008,0.3510293662548065,0.3476428985595703
Chchd1,1,0,0.48096418380737305,0.4247172176837921,0.09431863576173782
Oxsr1,1,1,0.3529115617275238,0.5025059580802917,0.14458250999450684
5430405H02Rik,1,1,0.38180816173553467,0.5720067024230957,0.04618513211607933
Adam4,1,2,0.2093372792005539,0.35245221853256226,0.43821051716804504
Htr2c,1,2,0.12621571123600006,0.2046736478805542,0.6691106557846069
Polm,1,1,0.454184353351593,0.45503637194633484,0.09077926725149155
Add1,1,2,0.14616596698760986,0.30297455191612244,0.5508595108985901
Foxk2,1,0,0.8149245977401733,0.1481548398733139,0.036920588463544846
Gm14295,1,1,0.4026887118816376,0.41109874844551086,0.18621253967285156
3110040N11Rik,1,1,0.276035338640213,0.6250541806221008,0.09891046583652496
Bahcc1,1,1,0.3972381353378296,0.5492527484893799,0.05350910872220993
Nle1,1,1,0.2582661509513855,0.7029935717582703,0.03874026611447334
Mpp4,1,1,0.1393406242132187,0.7151437997817993,0.145515576004982
Tbc1d2,1,1,0.19304285943508148,0.7216894626617432,0.08526764810085297
