gene_name,gene_length.meta,18mo.9mo.activity.log_ratio.mean.5kb-20kb.enhancer_DMR,18mo.2mo.activity.log_ratio.min.5kb-20kb.enhancer_DMR,9mo.2mo.activity.log_ratio.mean.5kb-20kb.enhancer_DMR,18mo.2mo.activity.log_ratio.max.5kb-20kb.enhancer_DMR,18mo.2mo.activity.log_ratio.median.5kb-20kb.enhancer_DMR,18mo.2mo.contact.log_ratio.count.20kb-5Mb.enhancer_peak,9mo.2mo.contact.log_ratio.min.20kb-5Mb.enhancer_peak,9mo.2mo.activity.log_ratio.mean.20kb-5Mb.enhancer_peak,9mo.2mo.log_ratio.DAR,18mo.9mo.log_ratio.DAR,rel_pos.DMR,count.DMR,size.log2.DMR,18mo.2mo.log_ratio.DMR,18mo.9mo.log_ratio.DMR,9mo.2mo.log_ratio.DMR,distance.log2.DMR,min_distance.log.mean.loops,Tanova.median.loops,loop_size.log.mean.loops,min_distance.log.max.loops,18mo.2mo.T.std.loops,loop_size.log.median.loops,Tanova.mean.loops,loop_size.log.max.loops,9mo.2mo.Q.median.loops,18mo.2mo.T.max.loops,18mo.2mo.Q.max.loops,18mo.2mo.log_ratio.mcg_genebody,9mo.2mo.log_ratio.mcg_genebody,18mo.9mo.log_ratio.mcg_genebody,9mo.2mo.log_ratio.mch_genebody,18mo.9mo.log_ratio.mch_genebody,18mo.2mo.log_ratio.mch_genebody,18mo.9mo.log_ratio.mean.atac,log2_distance.min.atac,9mo.2mo.log_ratio.max.atac,18mo.2mo.log_ratio.max.atac,18mo.9mo.log_ratio.max.atac,count.atac,log2_distance.max.atac,log2_distance.std.atac,18mo.2mo.log_ratio.mean.atac,18mo.2mo.log_ratio.std.atac,DEG,pred
Adat1,-0.26449005693197253,0.0779689073562622,0.0,-0.051571126580238345,-0.021379537135362624,0.0,-0.0006521455943584442,0.04540052933618426,0.35563533565029504,0.0,0.0,-0.0028101566433906557,0.0,0.0,0.0,0.0,0.0,0.02140099748969078,0.0,-0.0014004132151603699,-0.03467274338006973,0.0,0.0,-0.008953123837709426,0.0,-0.0009451828896999359,-0.00976758373901248,-0.004570963382720947,0.035993707329034806,0.0,0.004695209041237831,0.34831334967166183,-0.0056675409711897376,-0.007466544061899185,-0.060755194388329985,0.0,0.0,0.0,0.0,0.0,0.0,-0.018007159903645514,-0.08619512744247913,0.0519645494222641,0.0,1.0,0.0
Acaa2,-0.2625813800096512,-0.006091320887207985,0.0,0.07280629634857178,-0.013420139998197555,0.0,0.0,-0.018027728237211705,0.04822727461345494,0.0,0.0,-0.0028101566433906557,0.0,0.0,0.0,0.0,0.0,0.0020381902903318407,0.0,-0.0028008264303207397,-0.01260843187570572,0.0,0.0,-0.00975256621837616,0.0,-0.0009451828896999359,0.007897195294499398,-0.004570963382720947,0.035993707329034806,0.0,-0.017221079866867512,-0.267162248659879,-0.0008742868900299072,-0.04385406136512757,0.1593287680670619,0.0,0.0,0.0,0.0,0.0,0.0,-0.018007159903645514,-0.046392888091504575,-0.01618679888546467,0.0,1.0,1.0
Mrps18c,-0.2503406366705894,-0.015837434306740762,0.0,-0.051571126580238345,-0.06847090929746628,0.0,-0.0006521455943584442,0.01381360923871398,-0.16236183708533644,0.0,0.0,-0.0014050783216953279,0.0,0.0,0.0,0.0,0.0,0.0020381902903318407,0.0,-0.0014004132151603699,-0.03452467888593674,0.0,0.0,-0.00975256621837616,0.0,-0.0009451828896999359,0.004572060480713844,-0.001904568076133728,0.035993707329034806,0.0,0.00959065705537796,-0.04613917909562588,-0.005910719484090805,-0.0434743869304657,-0.10338229954242706,0.0,0.0,0.0,0.0,0.0,0.0,0.08464172534644604,0.17732289105653762,0.0519645494222641,0.0,1.0,1.0
Chchd1,-0.2845850918442011,-0.015837434306740762,0.0,0.018201574087142944,0.02920008473098278,0.0,0.0,-0.005039777960628271,0.1890402974560857,0.0,0.0,-0.0014050783216953279,0.0,0.0,0.0,0.0,0.0,0.0067939675226807595,0.0,-0.0028008264303207397,-0.009832888394594192,0.0,0.0,0.008615828007459641,0.0,-0.0001890365779399872,-0.011014509294182063,-0.001904568076133728,0.02793307840824127,0.0,0.00959065705537796,-0.49209996468387546,-0.01666361402720213,-0.004403991550207138,-0.16466253984719514,0.0,0.0,0.0,0.0,0.0,0.0,0.15440672382712364,0.17732289105653762,-0.02473836787045002,0.0,1.0,0.0
Oxsr1,-0.008461818620562554,-0.015837434306740762,0.0,-0.051571126580238345,-0.021379537135362624,0.0,-0.0006521455943584442,-0.0319693816639483,-0.1606118625588715,0.0,0.0,-0.0028101566433906557,0.0,0.0,0.0,0.0,0.0,0.003057285323739052,0.0,-0.0014004132151603699,-0.0358467848598957,0.0,0.0,0.07192539244890213,0.0,-0.0009451828896999359,-0.00976758373901248,-0.004570963382720947,-0.023139250203967093,0.0,-0.010349780768156052,0.2551056034117937,0.13330222249031068,-0.04653693944215775,-0.09455014184117318,0.0,0.0,0.0,0.0,0.0,0.0,-0.018007159903645514,-0.063576839864254,0.0519645494222641,0.0,1.0,1.0
Nle1,-0.2718070575594902,-0.015837434306740762,0.0,0.018201574087142944,-0.007426538020372391,0.0,0.0,-0.01645577361807227,-0.057237224206328395,0.0,0.0,-0.0028101566433906557,0.0,0.0,0.0,0.0,0.0,0.0020381902903318407,0.0,-0.0014004132151603699,0.02730379320681095,0.0,0.0,0.014542377404868603,0.0,-0.0001890365779399872,-0.00498770222067833,-0.004570963382720947,-0.01078363597393036,0.0,0.0018380359560251237,-0.24112009447067975,-0.010955616608262062,-0.010149422138929366,-0.1650022381916642,0.0,0.0,0.0,0.0,0.0,0.0,-0.03196015954017639,-0.05157823652029037,0.022443146705627443,0.0,1.0,1.0
Tbc1d2,-0.27221387937664987,-0.006091320887207985,0.0,0.07280629634857178,0.0005328591167926788,0.0,0.0,0.016355935595929624,0.22220991555601358,0.0,0.0,-0.0028101566433906557,0.0,0.0,0.0,0.0,0.0,0.0067939675226807595,0.0,-0.0014004132151603699,-0.01260843187570572,0.0,0.0,0.014542377404868603,0.0,-0.0001890365779399872,0.007897195294499398,-0.004570963382720947,-0.01078363597393036,0.0,0.0018380359560251237,-0.5640037542581559,0.016385384183377028,-0.007466544061899185,0.15966846641153098,0.0,0.0,0.0,0.0,0.0,0.0,-0.03196015954017639,-0.05157823652029037,0.047118224166333676,0.0,1.0,1.0
Ube2i,-0.22728279381990432,0.0779689073562622,0.0,0.018201574087142944,-0.007426538020372391,0.0,0.0,-0.005039777960628271,0.15928764961659908,0.0,0.0,-0.0028101566433906557,0.0,0.0,0.0,0.0,0.0,0.0038046218920499086,0.0,-0.0028008264303207397,0.012941013351082801,0.0,0.0,0.014542377404868603,0.0,-0.0001890365779399872,-0.011014509294182063,-0.004570963382720947,-0.01078363597393036,0.0,0.0018380359560251237,-0.3695901704952121,-0.01666361402720213,-0.04385406136512757,-0.15627703117206693,0.0,0.0,0.0,0.0,0.0,0.0,-0.03196015954017639,-0.05157823652029037,-0.02473836787045002,0.0,1.0,1.0
Prmt2,-0.23897977247834207,-0.015837434306740762,0.0,0.018201574087142944,-0.007426538020372391,0.0,-0.00021738186478614807,0.0033448980562388896,-0.10467366992495954,0.0,0.0,-0.0014050783216953279,0.0,0.0,0.0,0.0,0.0,0.003057285323739052,0.0,-0.0028008264303207397,0.10087725974619388,0.0,0.0,0.020545709431171417,0.0,-0.0009451828896999359,0.004572060480713844,-0.004570963382720947,-0.00818169116973877,0.0,0.06414890334010125,0.3942812633141875,0.08789814710617065,-0.0434743869304657,-0.16432284146547319,0.0,0.0,0.0,0.0,0.0,0.0,-0.03196015954017639,0.3760403708741069,-0.028315249569714068,0.0,1.0,0.0
Gm13830,-0.2663016167283058,-0.015837434306740762,0.0,0.018201574087142944,-0.021379537135362624,0.0,0.0,-0.005039777960628271,-0.06072275649756193,0.0,0.0,-0.0028101566433906557,0.0,0.0,0.0,0.0,0.0,0.0020381902903318407,0.0,-0.0028008264303207397,-0.01723510041832924,0.0,0.0,-0.00975256621837616,0.0,-0.0001890365779399872,-0.00498770222067833,-0.004570963382720947,0.035993707329034806,0.0,0.0018380359560251237,-0.16732136834412814,-0.01666361402720213,-0.04653693944215775,-0.1650022381916642,0.0,0.0,0.0,0.0,0.0,0.0,-0.018007159903645514,-0.05157823652029037,-0.016726978719234467,0.0,1.0,0.0
Rnf149,-0.30195059031248095,-0.015837434306740762,0.0,0.018201574087142944,-0.007426538020372391,0.0,-0.0021738186478614807,0.04540052933618426,0.0023069627583026885,0.0,0.0,-0.0028101566433906557,0.0,0.0,0.0,0.0,0.0,0.003057285323739052,0.0,-0.0014004132151603699,0.0326534914970398,0.0,0.0,0.011662404835224151,0.0,-0.004914951026439667,-0.038239051327109336,-0.004570963382720947,0.021901297271251677,0.0,0.002456695712171495,0.272061474211514,-0.0056675409711897376,-0.007466544061899185,-0.16432284146547319,0.0,0.0,0.0,0.0,0.0,0.0,-0.03196015954017639,-0.06540893144905567,0.04502994939684868,0.0,1.0,1.0
