gene_name,gene_length.meta,18mo.2mo.activity.log_ratio.min.5kb-20kb.enhancer_DMR,18mo.2mo.activity.log_ratio.mean.5kb-20kb.enhancer_DMR,18mo.9mo.activity.log_ratio.mean.5kb-20kb.enhancer_DMR,9mo.2mo.activity.log_ratio.count.5kb-20kb.enhancer_DMR,count.enhancer_DMR,18mo.9mo.contact.log_ratio.max.20kb-5Mb.enhancer_DMR,18mo.2mo.activity.log_ratio.median.5kb-20kb.enhancer_DMR,18mo.2mo.activity.log_ratio.count.5kb-20kb.enhancer_DMR,18mo.2mo.activity.log_ratio.max.5kb-20kb.enhancer_DMR,18mo.9mo.contact.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.9mo.contact.log_ratio.median.20kb-5Mb.enhancer_peak,count.enhancer_peak,18mo.9mo.activity.log_ratio.mean.20kb-5Mb.enhancer_peak,18mo.9mo.contact.log_ratio.count.20kb-5Mb.enhancer_peak,18mo.9mo.contact.log_ratio.std.20kb-5Mb.enhancer_peak,18mo.9mo.contact.log_ratio.min.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.median.20kb-5Mb.enhancer_peak,18mo.2mo.log_ratio.DAR,9mo.2mo.log_ratio.DAR,rel_pos.DAR,count.DAR,18mo.9mo.log_ratio.DAR,count.DMR,size.log2.DMR,18mo.2mo.log_ratio.DMR,18mo.9mo.log_ratio.DMR,distance.log2.DMR,9mo.2mo.log_ratio.DMR,rel_pos.DMR,min_distance.log.min.loops,9mo.2mo.T.median.loops,18mo.9mo.Q.mean.loops,18mo.2mo.Q.mean.loops,Qanova.mean.loops,18mo.2mo.Q.min.loops,9mo.2mo.Q.std.loops,18mo.9mo.T.max.loops,Tanova.max.loops,18mo.2mo.T.mean.loops,min_distance.log.median.loops,9mo.2mo.T.mean.loops,18mo.2mo.Q.std.loops,count.loops,9mo.2mo.T.min.loops,18mo.2mo.Q.median.loops,18mo.9mo.Q.min.loops,loop_size.log.min.loops,Qanova.min.loops,Qanova.std.loops,min_distance.log.std.loops,18mo.9mo.T.median.loops,loop_size.log.mean.loops,min_distance.log.max.loops,loop_size.log.median.loops,9mo.2mo.Q.median.loops,9mo.2mo.T.max.loops,18mo.2mo.T.min.loops,18mo.9mo.T.mean.loops,9mo.2mo.Q.min.loops,Tanova.median.loops,18mo.2mo.T.std.loops,Tanova.mean.loops,loop_size.log.max.loops,18mo.2mo.T.max.loops,18mo.2mo.Q.max.loops,18mo.9mo.Q.median.loops,9mo.2mo.T.std.loops,18mo.9mo.Q.max.loops,Tanova.std.loops,Qanova.max.loops,loop_size.log.std.loops,Tanova.min.loops,18mo.9mo.T.std.loops,9mo.2mo.Q.max.loops,18mo.9mo.T.min.loops,min_distance.log.mean.loops,18mo.9mo.Q.std.loops,18mo.2mo.T.median.loops,Qanova.median.loops,9mo.2mo.Q.mean.loops,9mo.2mo.log_ratio.mcg_genebody,18mo.9mo.log_ratio.mcg_genebody,18mo.2mo.log_ratio.mcg_genebody,9mo.2mo.log_ratio.mch_genebody,18mo.9mo.log_ratio.mch_genebody,18mo.2mo.log_ratio.mch_genebody,9mo.2mo.log_ratio.max.atac,18mo.2mo.log_ratio.max.atac,18mo.9mo.log_ratio.max.atac,count.atac,18mo.9mo.log_ratio.std.atac,log2_distance.mean.atac,9mo.2mo.log_ratio.std.atac,9mo.2mo.log_ratio.mean.atac,log2_distance.max.atac,log2_distance.std.atac,18mo.2mo.log_ratio.mean.atac,9mo.2mo.log_ratio.min.atac,18mo.9mo.log_ratio.min.atac,18mo.9mo.log_ratio.mean.atac,log2_distance.min.atac,18mo.2mo.log_ratio.min.atac,18mo.2mo.log_ratio.std.atac
Txndc17,2468.0,-0.0117290449563248,0.000160434552366,-0.0184556416287144,3.0,10,-0.0874628412498088,-0.0032534058400523,3.0,0.0154637544534753,0.3219280948837557,-0.0874628412498088,17,-0.0692347641881812,4.0,0.425972426354062,-0.7104933827999145,-0.0743160437702892,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,13.552549028017228,0.0575555599999999,-4.35776857142857e-05,0.0001490885,1.3490153471428574,-0.0011313893,0.0012915828988219,0.07775287,4.1655073,0.0707111542857143,13.552549028017228,0.0461747714285714,0.0010200571984525,7,-0.03892766,0.0004120836999999,-0.000951658,16.942720668443535,0.16139133,0.6942369866340331,0.0,0.0184186699999999,17.72977098267741,13.552549028017228,17.78577172617416,0.001034506,0.1363286299999999,0.02651453,0.0245363828571428,-0.0017382763,0.8004258,0.0438547618194971,1.4336458728571428,18.400287417710164,0.14679467,0.0011996393,1.1190099999999932e-05,0.0685681324156935,0.0006651863,1.4558981859203068,2.277639,0.5684850922692147,0.09952441,0.037067106197341,0.0013637416999999,-0.0244444,13.552549028017228,0.0005094813546332,0.04886028,1.2089717,0.0001926661857142,0.061137883366619,-0.0637651006487564,-0.0026272172821373,0.0,0.0,0.0,0.2409379155280278,0.0874377019703294,-0.1176883689431904,3,0.0317909494376206,10.145691321522024,0.1473146966999209,0.1167060518095822,10.765700487651184,0.69226277558776,-0.0340544564210667,-0.0460401582544178,-0.1810929421910581,-0.150760508230649,9.398743691938408,-0.2271331004454759,0.1690626100800975
Atcay,26325.0,-0.0356677770772931,-0.0273017577772704,-0.0330258438344524,2.0,7,0.0,-0.0273017577772704,2.0,-0.0189357384772477,0.2223924213353028,0.0989696888056825,9,-0.0901038151747536,6.0,0.2856503861038871,-0.5305147166938475,-0.068540040034311,-0.5253534527841479,-0.2144353387459985,0.6411871393239901,1,-0.3109181140381494,1,3.1699250014583424,-0.2995602818068875,-0.5474877952148802,13.806851662192432,0.2479275134079926,0.5274196207749382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0097376115738816,-0.0432797575085225,-0.0530173690824041,0.0,0.0,0.0,0.6041985556828721,0.3701292590327331,0.0992874766678361,6,0.1702017059410024,11.671293059342505,0.2952289489909036,0.0634497406451895,13.490976192270542,1.5274172989840715,-0.0369602965619672,-0.2144353387459985,-0.3109181140381494,-0.1004100372071568,9.65642486327796,-0.5253534527841479,0.3417132428990382
Nt5c,1442.0,-0.1781737833870068,-0.1781737833870068,-0.1255103265901125,1.0,6,0.695145418468953,-0.1781737833870068,1.0,-0.1781737833870068,0.695145418468953,-0.033166863935123,9,-0.1131324359900993,6.0,0.4273637810908074,-0.4474589769677237,-0.1336653242070598,0.0,0.0,0.0,0,0.0,1,2.584962500745201,-0.9541963101687256,-0.357552004519118,10.151016538892376,-0.5966443056496076,0.2089305402425579,13.4993476328766,0.05803216,-0.0004780163352941,0.0002430917764705,1.347384062064706,-0.0027390105,0.0012310224601204,0.0292852799999999,3.2214308,0.0237717151764705,14.168985440978698,0.0565508148235294,0.0009549744900696,17,-0.02341351,0.0003496052999999,-0.002346462,16.02842411294855,0.0033879501,1.277924762365365,0.3145075962469126,-0.00659444,17.052869064360944,14.168985440978698,17.16388549398691,0.001001709,0.11136646,-0.104745731,-0.0327790996470588,-0.0015968895,0.9910094,0.0515566654013306,1.1403350708235294,17.609640474436812,0.1107708699999999,0.001352067,-0.000651296,0.0354968715256516,0.0010768767,0.9491221854805564,4.858639,0.5048453926746164,0.07618777,0.0587681296525011,0.0023623962999999,-0.144318767,13.97203314447808,0.0010045903007584,0.01587574,1.0504129,0.0007211081117647,-0.0455332315558568,0.0157940582428793,-0.0297391733129775,0.0,0.0,0.0,0.1972257982032248,0.0719844766674575,-0.1252413215357672,2,0.0319395451331909,11.19668527744314,0.0840740732132072,0.1377764509121917,11.267957084402898,0.1007935560173281,-0.0100495395752686,0.0783271036211585,-0.1704106594391534,-0.1478259904874603,11.12541347048338,-0.0920835558179948,0.1160136183463981
Ttc32,11991.0,0.0334854272438179,0.1470053284159917,0.0713623769671775,3.0,9,0.0,0.0863713806249731,3.0,0.3211591773791841,0.7369655941469699,0.1812850396900642,12,-0.0408655949031288,4.0,0.5628972935005837,-0.5849625006971113,-0.02530800617042,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,13.551107414066758,0.06576391,-0.00015738398,0.0001834427999999,1.0255820256333332,-0.0011364127,0.0006300019046665,0.07025994,6.1824,0.0136283834333333,13.551107414066758,0.0562424731666666,0.0006082435276368,30,-0.1052039749999999,0.0001798384,-0.0016823503,17.095067301607052,0.008434569,0.96033079275737,0.2215016181121393,-0.0517834475,19.75108312152231,14.13546881689126,20.200113898341638,0.000454786,0.22777074,-0.168875957,-0.0426140897333333,-0.0016128011,1.03159975,0.079478012359724,1.5325689596666667,20.58196827343598,0.17291461,0.0014364646,-0.0001315584499999,0.0730122551817679,0.0010800637,1.3906082892188545,4.0331874,0.9494673416869248,0.16343541,0.053475180113327,0.001238158,-0.1305934,13.648500981204174,0.0006839799633291,0.022401975,0.849167185,0.00034082678,0.022022281350932,0.0243902271585013,0.0464125085094333,0.0,0.0,0.0,-0.1097373080170136,0.0629259362973453,0.1726632443143589,2,0.1086122517748973,10.68469643410298,0.0617052563888241,-0.1533695132444057,10.906890595608594,0.3142299966813575,-0.0575067286800172,-0.1970017184717978,0.0190623248144179,0.0958627845643884,10.462502272597366,-0.1779393936573798,0.1703175081637214
Ppp5c,23284.0,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,0.0,0.6520766965721987,0.6520766965721987,11,-0.0375985447040809,3.0,0.3764766562982408,0.0,-0.0538644989481511,0.5044568495119575,0.5653518497703174,0.2673728192347163,1,-0.0608950002583599,6,6.063363415020713,-0.7305934805748713,-0.3179254471096402,12.483057128616975,-0.412668033465231,0.3583968626301129,13.625708843064466,0.0740899499999999,0.0011222219,0.00206643277,1.64596773,0.0006757714,0.0008101419819184,0.12914616,3.8323367,0.1234515239999999,14.083479327331842,0.0658615349999999,0.0008993506958529,10,0.0242318999999999,0.0022419645499999,-6.039530000000008e-05,15.685953284813918,0.28532505,1.0015862757775296,0.2762381641431381,0.062660755,16.09416237525513,14.282219695672588,16.12252626117153,0.0011776782999999,0.1007051199999999,0.04772472,0.057589989,-0.000177181,2.33638235,0.0450705129309387,2.2246040430000003,16.457637380991763,0.1790837399999999,0.0032686489999999,0.00117536675,0.022272920801744,0.002913669,1.130524694840744,3.3579476,0.2543788757452256,0.42007723,0.0461090769196954,0.0021196752999999,-0.0250187399999999,14.005770292553851,0.0008942678541022,0.1372129499999999,1.89711265,0.0009442108699999,0.0450465952729105,-0.1930587746488868,-0.1480121793759763,0.0,0.0,0.0,0.6599366246740571,0.51842157867219,0.1800865876398756,9,0.179589281860067,11.797063672286844,0.2763954934979901,0.2620049506001876,13.659995892429988,1.846200273447841,0.1600378662089773,-0.1067302358094415,-0.406519385845715,-0.1019670843912102,8.791162888555345,-0.3792187633560782,0.3053425276252043
Crnde,30087.0,0.0,0.0,0.0,0.0,8,0.0,0.0,0.0,0.0,0.222392421333013,-0.7589241524251811,17,-0.000728263437938,4.0,0.5449203899625237,-0.9328858041352172,0.0014710445853249,0.0,0.0,0.0,0,0.0,2,3.7459265481764583,-0.5674956055132416,-0.7258356139248939,12.555842437581363,0.1583400084116523,0.814682236957925,13.77704978843883,-0.0229173399999999,0.0002991692728395,0.0002014992820987,1.4730921797222225,-0.0020868782,0.0007583841007625,0.16491463,4.605292,0.0247020989629629,14.145295334933598,-0.0172791017777777,0.0010453602041777,162,-0.13811795,9.998479999999984e-05,-0.001472686,15.132419399160442,0.027177935,1.2069190467258393,0.3193712788130337,0.045475485,18.850287934677475,14.664113906143047,19.392208398038008,-0.0002286130499999,0.10666343,-0.1348542019999999,0.0419812007407407,-0.0017116282,1.0902955,0.0646622510425214,1.2823815349382717,20.1680011825896,0.15800495,0.0027803416,0.0002663734,0.057027014837087,0.0024659223,0.9843856055253358,5.8173323,1.2577011956577682,0.017943276,0.0559966064966249,0.001713402,-0.101739024,14.181951719910863,0.0008206053495589,0.027411115,1.10450965,-9.766999074074073e-05,-0.0184809023635512,0.0035266013672639,-0.0149543009962873,0.0,0.0,0.0,0.1265818198682526,0.4932442534724872,0.6418264839347764,6,0.2451603947051175,10.391380635531776,0.092533960389219,0.0190800086394476,13.015066533230309,3.000539876504594,0.1984699902654032,-0.1485822304622892,-0.0391568058548568,0.1793899816259555,4.954196310391529,-0.0151095745940947,0.1743773785919678
Ptpn23,23131.0,0.0,0.0,0.0,0.0,3,-0.0458036896129794,0.0,0.0,0.0,-0.0458036896129794,-0.4150374992728327,9,-0.0672150155593383,5.0,0.4878692226212758,-1.222392421308968,-0.0736170420842707,0.0,0.0,0.0,0,0.0,3,6.774833803571087,-0.8854754016636391,-0.4466835378490778,13.448432206901517,-0.4387918638145612,0.413812175067291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0722498720359796,-0.0345258653951305,-0.1067757374311102,0.0,0.0,0.0,0.5164296081214739,0.4435201221936902,0.1517548965661457,4,0.1351475516770666,10.521145736561998,0.2821358609347008,0.120603793361501,11.430452551665583,1.029244963003396,0.0994947704684374,-0.1524251739899473,-0.167957549327852,-0.0211090228930636,9.103287808412285,-0.1043077131129885,0.2391140318803313
Lsm14b,10478.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0539890866155149,-0.1713812546835538,-0.1173921680680388,0.0,0.0,0.0,0.0891176927498511,-0.0426217120492586,-0.0868938975625428,3,0.0800356186887687,10.599884931507804,0.0254775638762802,0.0597109960895201,11.06743436075659,0.4915243753266691,-0.0932686487799784,0.0442721855132841,-0.2419707603278347,-0.1529796448694985,10.087462841250472,-0.1528530675779835,0.0556565079276657
4932443L11Rik,44360.0,-0.1026835744887071,0.0263464752262493,0.0074542556786202,5.0,17,0.3410369178340549,0.0296901433080745,6.0,0.1152835954976326,0.3410369178340549,0.3219280948837557,20,-0.0224338396269903,5.0,0.2992521049964031,-0.2115041051926764,-0.027089809095151,-0.302812835058837,-0.2472948350011323,0.3848118279569892,2,-0.0555180000577046,11,6.373275936932273,-0.8947116988055661,-0.2403814267647563,12.956700651308182,-0.6543302720408097,0.6504849988720957,13.36112133473479,-0.0166185199999999,0.0002994483299999,-0.000456471645,0.8491918650999999,-0.001867319,0.0014739091553585,0.1941860899999999,4.2841406,-0.0020674281499999,13.782922649377184,-0.026594734,0.0009674070857562,20,-0.1387980099999999,-0.0005551492499999,-0.0019907179999999,14.330076554797458,0.011675142,1.2022760598691828,0.641288185763892,0.032723165,15.760346070466838,14.847351024472175,15.34568244818678,-0.0005689022499999,0.0587615299999999,-0.111033195,0.02452730585,-0.0052690157,1.4531785,0.065570674974789,1.41684435347,18.61178849017312,0.07369735,0.001765512,0.0001774155,0.0611481230016981,0.0034016967,1.2629822152976231,5.4481797,1.395735968338305,0.0063841594,0.1034596128091026,0.0015718839999999,-0.151565,13.94959940777855,0.0012494761811006,0.02412814,0.521761415,-0.0007559199749999,-0.0812622933931849,-0.0252152784225615,-0.1064775718157465,0.0,0.0,0.0,0.3821537584464562,0.285116285340365,0.038751452042103,9,0.1058057976051389,12.913455911371187,0.1919828600298505,0.030623157134588,14.447406142933456,1.282814138203826,-0.0438045974651531,-0.2734657892549128,-0.3351445988870358,-0.0744277545997411,10.96217303110978,-0.3380614980259233,0.2098185133653889
Ttpal,16699.0,0.0,0.0,0.107928593624122,0.0,8,0.099535673550227,0.0,0.0,0.0,0.0931094043908804,0.0,11,-0.0992073030567495,4.0,0.3111112455490993,-0.5849625006971113,-0.0905410942804794,0.0,0.0,0.0,0,0.0,3,4.319819548813588,-0.5337159760533442,-0.4485569578495152,11.136927761016429,-0.0851590182038289,0.2873407733062789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0021255400498619,-0.0471923676492696,-0.0450668275994077,0.0,0.0,0.0,0.1977440758973174,0.15791752626702,-0.0398265496302974,2,0.0699153598223775,10.945049553114869,0.041750663316356,0.1682218987472856,11.142745276751592,0.2795839735902174,0.0789577240774875,0.1386997215972538,-0.1387017997092987,-0.089264174669798,10.747353829478143,-2.078112044889835e-06,0.1116660231387336
