,DEG,pred,score_0,score_1,score_2
Unk,1,1,0.237573504447937,0.6498730778694153,0.11255338042974472
Vrk1,1,1,0.20683300495147705,0.43850043416023254,0.3546666204929352
Btrc,1,1,0.12770339846611023,0.6712611317634583,0.2010354846715927
Ubap2,1,1,0.14114034175872803,0.6451900601387024,0.21366964280605316
Sf3b2,1,1,0.3250601291656494,0.41390857100486755,0.26103129982948303
Vdac3,1,1,0.39575350284576416,0.5566650629043579,0.04758142679929733
Slc10a7,1,0,0.5024659037590027,0.3006657361984253,0.1968683898448944
Rragc,1,0,0.6251600980758667,0.34113994240760803,0.03369990736246109
Dis3l2,1,2,0.21849331259727478,0.358824223279953,0.42268243432044983
Fbxl20,1,2,0.04571424052119255,0.14678944647312164,0.8074963688850403
Casp2,1,1,0.466916024684906,0.48742151260375977,0.045662473887205124
Nars2,1,1,0.1374020278453827,0.7090856432914734,0.15351231396198273
Dcun1d1,1,1,0.09221027046442032,0.593256413936615,0.3145333230495453
Bcdin3d,1,0,0.6884368658065796,0.25649112462997437,0.05507200211286545
Wac,1,1,0.1540629267692566,0.5358878374099731,0.31004926562309265
Afg3l1,1,1,0.3070879280567169,0.5462863445281982,0.14662575721740723
Elp2,1,1,0.10241658985614777,0.4921909272670746,0.40539249777793884
Rnf41,1,1,0.17150980234146118,0.6394201517105103,0.18907007575035095
Cwf19l2,1,1,0.26472046971321106,0.4298059940338135,0.30547356605529785
Gk5,1,1,0.10258369147777557,0.6942610740661621,0.20315521955490112
Gm27017,1,1,0.4177069067955017,0.49483755230903625,0.08745554089546204
Hbs1l,1,2,0.08784624189138412,0.45604899525642395,0.4561047852039337
Slc25a13,1,2,0.044992074370384216,0.17313453555107117,0.7818734049797058
Amph,1,2,0.0772595927119255,0.27417343854904175,0.6485669612884521
Slc35e3,1,1,0.46327343583106995,0.4882504343986511,0.0484761968255043
Sox10,1,0,0.6149426698684692,0.31632956862449646,0.06872773170471191
Tex9,1,1,0.16512393951416016,0.4484519064426422,0.38642412424087524
Ints3,1,0,0.4617626368999481,0.42978838086128235,0.10844895243644714
Dtwd1,1,1,0.36398541927337646,0.5844724774360657,0.051542092114686966
8030462N17Rik,1,1,0.23752018809318542,0.4384491741657257,0.32403063774108887
Ppp2r1a,1,1,0.29817721247673035,0.6430615186691284,0.058761242777109146
Atp9b,1,2,0.061795931309461594,0.22165361046791077,0.7165504693984985
Tbc1d5,1,2,0.04032817855477333,0.2654005289077759,0.6942713260650635
Wwc2,1,2,0.13441675901412964,0.4006180167198181,0.46496522426605225
Prrt1,1,0,0.8557915091514587,0.11996616423130035,0.024242280051112175
