index,rank.down,abs_mean_shap.down,rank.non,abs_mean_shap.non,rank.up,abs_mean_shap.up
9mo.2mo.log_ratio.mean.atac,1,0.1776399966313311,9,0.008934831026844742,16,0.0035072637596107177
gene_length.meta,2,0.04952751143202003,1,0.1354061597048505,1,0.5280832117707039
9mo.2mo.contact.log_ratio.mean.20kb-1Mb.enhancer_peak,3,0.030933328455558913,58,0.0,57,0.0
18mo.9mo.contact.log_ratio.max.10kb-20kb.enhancer_DMR,4,0.02716566280005256,2,0.06438901047557201,151,0.0
18mo.9mo.log_ratio.mch_genebody,5,0.020044435775013376,97,0.0,96,0.0
18mo.9mo.contact.log_ratio.mean.10kb-20kb.enhancer_DMR,6,0.016091062647741076,150,0.0,149,0.0
9mo.2mo.contact.log_ratio.skew.20kb-1Mb.enhancer_peak,7,0.012135196796303928,61,0.0,60,0.0
a_length.log.skew.loops,8,0.00986356484283414,82,0.0,81,0.0
9mo.2mo.log_ratio.mch_genebody,9,0.00889846587065279,96,0.0,95,0.0
9mo.2mo.Q.max.loops,10,0.005805210251748173,107,0.0,10,0.00866388276331247
9mo.2mo.Q.std.loops,11,0.004839367386582611,105,0.0,105,0.0
18mo.2mo.activity.log_ratio.count.20kb-1Mb.enhancer_DMR,12,0.0046843097135333776,222,0.0,225,0.0
18mo.9mo.activity.log_ratio.min.0-10kb.enhancer_peak,13,0.004545715433974781,199,0.0,199,0.0
9mo.2mo.activity.log_ratio.max.10kb-20kb.enhancer_DMR,14,0.004142649333618659,187,0.0,186,0.0
18mo.9mo.Q.skew.loops,15,0.0028601171572801495,112,0.0,111,0.0
9mo.2mo.Q.min.loops,16,0.0026751361544661238,108,0.0,107,0.0
18mo.9mo.contact.log_ratio.max.20kb-1Mb.enhancer_peak,17,0.0,21,0.0,27,0.0
18mo.9mo.contact.log_ratio.count.20kb-1Mb.enhancer_peak,18,0.0,25,0.0,41,0.0
18mo.9mo.contact.log_ratio.skew.20kb-1Mb.enhancer_peak,19,0.0,19,0.0,26,0.0
