index,rank.down,abs_mean_shap.down,rank.non,abs_mean_shap.non,rank.up,abs_mean_shap.up
9mo.2mo.log_ratio.mean.atac,1,0.2802956335126217,51,0.0,51,0.0
gene_length.meta,2,0.08954859905839885,1,0.19648595560393528,1,0.5151991762367207
9mo.2mo.activity.log_ratio.min.5kb-20kb.enhancer_DMR,3,0.03984367682020996,7,0.005661939197951661,38,0.0
18mo.9mo.activity.log_ratio.min.0-5kb.enhancer_peak,4,0.037262030471609225,50,0.0,48,0.0
18mo.9mo.contact.log_ratio.max.20kb-5Mb.enhancer_DMR,5,0.02704941455893182,37,0.0,37,0.0
18mo.2mo.activity.log_ratio.max.20kb-5Mb.enhancer_peak,6,0.016352663205682575,41,0.0,8,0.013923698032831219
9mo.2mo.activity.log_ratio.max.20kb-5Mb.enhancer_peak,7,0.012565561650901474,61,0.0,59,0.0
9mo.2mo.contact.log_ratio.max.5kb-20kb.enhancer_DMR,8,0.005750578653986591,39,0.0,39,0.0
18mo.9mo.contact.log_ratio.mean.0-5kb.enhancer_peak,9,0.004443543230171322,55,0.0,53,0.0
9mo.2mo.contact.log_ratio.mean.5kb-20kb.enhancer_peak,10,0.004084064452001813,66,0.0,65,0.0
18mo.2mo.log_ratio.DMR,11,0.0,20,0.0,17,0.0
18mo.9mo.log_ratio.DMR,12,0.0,14,0.0,16,0.0
9mo.2mo.log_ratio.DMR,13,0.0,13,0.0,15,0.0
count.DMR,14,0.0,12,0.0,14,0.0
distance.log2.DMR,15,0.0,11,0.0,13,0.0
rel_pos.DMR,16,0.0,10,0.0,12,0.0
rel_pos.DAR,17,0.0,2,0.06052678270277566,18,0.0
9mo.2mo.log_ratio.DAR,18,0.0,17,0.0,20,0.0
size.log2.DMR,19,0.0,9,0.0,11,0.0
9mo.2mo.Q.median.loops,20,0.0,8,0.0,4,0.05282377670116896
9mo.2mo.T.max.loops,21,0.0,15,0.0,22,0.0
9mo.2mo.T.mean.loops,22,0.0,21,0.0,23,0.0
Qanova.max.loops,23,0.0,22,0.0,24,0.0
Qanova.mean.loops,24,0.0,4,0.023696525233900576,25,0.0
Qanova.median.loops,25,0.0,23,0.0,26,0.0
Qanova.min.loops,26,0.0,24,0.0,27,0.0
Qanova.std.loops,27,0.0,25,0.0,28,0.0
Tanova.max.loops,28,0.0,26,0.0,29,0.0
Tanova.mean.loops,29,0.0,27,0.0,30,0.0
Tanova.median.loops,30,0.0,28,0.0,31,0.0
Tanova.min.loops,31,0.0,29,0.0,32,0.0
Tanova.std.loops,32,0.0,30,0.0,33,0.0
loop_size.log.min.loops,33,0.0,31,0.0,34,0.0
18mo.2mo.log_ratio.mcg_genebody,34,0.0,32,0.0,6,0.04557405124421464
18mo.2mo.log_ratio.max.atac,35,0.0,5,0.01048450547436787,2,0.14000359100725096
18mo.2mo.log_ratio.mean.atac,36,0.0,33,0.0,5,0.045813308587697
18mo.9mo.log_ratio.mean.atac,37,0.0,3,0.03292097856874227,3,0.06753137051139946
count.DAR,38,0.0,16,0.0,19,0.0
18mo.2mo.contact.log_ratio.std.20kb-5Mb.enhancer_DMR,39,0.0,36,0.0,36,0.0
18mo.9mo.contact.log_ratio.median.20kb-5Mb.enhancer_DMR,40,0.0,38,0.0,7,0.03176701770265367
18mo.2mo.activity.log_ratio.count.20kb-5Mb.enhancer_peak,41,0.0,40,0.0,40,0.0
18mo.2mo.activity.log_ratio.mean.20kb-5Mb.enhancer_peak,42,0.0,42,0.0,9,0.013267618805342435
18mo.2mo.activity.log_ratio.median.20kb-5Mb.enhancer_peak,43,0.0,43,0.0,41,0.0
18mo.2mo.activity.log_ratio.min.20kb-5Mb.enhancer_peak,44,0.0,44,0.0,42,0.0
18mo.2mo.activity.log_ratio.std.20kb-5Mb.enhancer_peak,45,0.0,45,0.0,43,0.0
18mo.2mo.contact.log_ratio.std.20kb-5Mb.enhancer_peak,46,0.0,46,0.0,44,0.0
18mo.9mo.activity.log_ratio.mean.0-5kb.enhancer_peak,47,0.0,47,0.0,45,0.0
18mo.9mo.activity.log_ratio.mean.20kb-5Mb.enhancer_peak,48,0.0,48,0.0,46,0.0
18mo.9mo.activity.log_ratio.median.20kb-5Mb.enhancer_peak,49,0.0,49,0.0,47,0.0
18mo.9mo.contact.log_ratio.count.20kb-5Mb.enhancer_peak,50,0.0,67,0.0,49,0.0
18mo.9mo.contact.log_ratio.count.5kb-20kb.enhancer_peak,51,0.0,52,0.0,50,0.0
count.atac,52,0.0,34,0.0,10,0.005208743375109183
