index,rank.down,abs_mean_shap.down,rank.non,abs_mean_shap.non,rank.up,abs_mean_shap.up
gene_length.meta,1,0.17273382983030286,1,0.2203533873305304,1,0.5178330163371856
18mo.2mo.log_ratio.std.atac,2,0.13566831456159006,49,0.0,44,0.0
18mo.2mo.log_ratio.mcg_genebody,3,0.11524491915671568,7,0.04972388874893992,7,0.0589539282725888
18mo.2mo.log_ratio.mean.atac,4,0.1139615515173364,30,0.00400124588137675,2,0.19282667323874836
9mo.2mo.log_ratio.DAR,5,0.09707090577550351,21,0.007355515457986341,53,0.0
18mo.2mo.activity.log_ratio.max.20kb-1Mb.enhancer_peak,6,0.061720651515902294,46,0.0,22,0.008179736415563011
9mo.2mo.log_ratio.mean.atac,7,0.060692502393023234,51,0.0,31,0.003657782599347441
9mo.2mo.log_ratio.mcg_genebody,8,0.039560549254198656,10,0.04276988320045251,20,0.009147667127216532
18mo.2mo.contact.log_ratio.std.20kb-1Mb.enhancer_peak,9,0.028277579964622372,6,0.06227236427681692,69,0.0
9mo.2mo.contact.log_ratio.mean.20kb-1Mb.enhancer_peak,10,0.026998631753410742,70,0.0,64,0.0
18mo.2mo.contact.log_ratio.mean.20kb-1Mb.enhancer_peak,11,0.02543445999878068,18,0.012831120341323752,70,0.0
18mo.2mo.activity.log_ratio.median.20kb-1Mb.enhancer_peak,12,0.0227283080669804,45,0.0,43,0.0
18mo.2mo.contact.log_ratio.min.20kb-1Mb.enhancer_peak,13,0.021607298777246466,48,0.0,73,0.0
18mo.2mo.log_ratio.DAR,14,0.01940326667554087,62,0.0,16,0.011415517913245297
9mo.2mo.Q.median.loops,15,0.01774090150765703,23,0.0062112497503429304,8,0.04501976150118634
count.atac,16,0.017476043225639823,4,0.06645073930300614,77,0.0
18mo.9mo.log_ratio.mcg_genebody,17,0.016318947253615646,13,0.028942279893937026,30,0.003969738546389366
18mo.9mo.log_ratio.mch_genebody,18,0.0158325087998602,8,0.04685366227126094,27,0.00485267481456096
9mo.2mo.log_ratio.std.atac,19,0.013542622604981791,52,0.0,26,0.005146436247214811
9mo.2mo.T.skew.loops,20,0.013431309985227865,64,0.0,17,0.010505620797576228
18mo.9mo.log_ratio.mean.atac,21,0.012444892505161629,2,0.09528514771274871,9,0.029902534333397096
18mo.9mo.T.std.loops,22,0.01146178873248266,56,0.0,67,0.0
a_length.log.median.loops,23,0.011038908919201916,74,0.0,11,0.021925789033812978
9mo.2mo.contact.log_ratio.median.20kb-1Mb.enhancer_peak,24,0.010844427197079483,71,0.0,56,0.0
9mo.2mo.log_ratio.mch_genebody,25,0.010138529537678487,50,0.0,5,0.06972264975231258
18mo.2mo.log_ratio.DMR,26,0.009536649080949235,63,0.0,29,0.00454373061787809
