index,rank.down,abs_mean_shap.down,rank.non,abs_mean_shap.non,rank.up,abs_mean_shap.up
gene_length.meta,1,0.28379809788008603,1,0.12626319202997655,1,0.3957033480302054
18mo.2mo.log_ratio.mean.atac,2,0.2453567839112325,17,0.006802308457558955,4,0.07448201796848991
9mo.2mo.log_ratio.mean.atac,3,0.13374915211814545,38,0.0009703579235989961,3,0.0786388919712585
9mo.2mo.log_ratio.mcg_genebody,4,0.12040355395458767,3,0.08115998227512798,11,0.02053474897140079
9mo.2mo.Q.skew.loops,5,0.11321872086118219,98,0.0,19,0.013139878109205663
9mo.2mo.log_ratio.mch_genebody,6,0.09637498835098915,7,0.022802753395365336,5,0.07360585932597202
18mo.9mo.log_ratio.mean.atac,7,0.06642613623736508,11,0.019337070147438132,8,0.03720025957132959
18mo.2mo.activity.log_ratio.min.20kb-1Mb.enhancer_peak,8,0.053951197591750516,35,0.0015439240721608581,60,0.002428683704512796
18mo.2mo.log_ratio.mch_genebody,9,0.05323658137536753,33,0.0019737880440687913,2,0.09956508566899425
a_length.log.median.loops,10,0.050039963839051724,69,0.0,37,0.005876129667676854
log2_distance.std.atac,11,0.03152743484760202,10,0.019678432466315978,9,0.03313040774815562
18mo.9mo.log_ratio.mcg_genebody,12,0.023605352850982867,42,0.0005880658783903894,14,0.016360158431645466
18mo.9mo.Q.skew.loops,13,0.023404485509216,94,0.0,29,0.008447896436688713
18mo.9mo.contact.log_ratio.median.20kb-1Mb.enhancer_peak,14,0.01984026712417659,13,0.01500795689973287,74,0.0008458964728683825
Qanova.skew.loops,15,0.019579476878522323,107,0.0,76,0.0007441051192103137
a_length.log.mean.loops,16,0.01699544486999983,60,0.0,98,0.0
9mo.2mo.activity.log_ratio.min.20kb-1Mb.enhancer_peak,17,0.015562173874957896,6,0.024307240215685498,46,0.00439057631583223
18mo.2mo.contact.log_ratio.min.20kb-1Mb.enhancer_peak,18,0.014714120736045536,31,0.002280235611068044,58,0.0026694799431670906
18mo.2mo.activity.log_ratio.max.20kb-1Mb.enhancer_peak,19,0.014288741223628184,27,0.003780221995151889,96,0.0
18mo.2mo.T.max.loops,20,0.013857001922712917,59,0.0,34,0.006689634754218866
18mo.2mo.log_ratio.mcg_genebody,21,0.013685792929910514,4,0.043987747121386034,16,0.014577619647896752
18mo.2mo.log_ratio.std.atac,22,0.01279742215527384,51,0.0,30,0.008184543457827053
9mo.2mo.Q.max.loops,23,0.011384410673694367,80,0.0,108,0.0
9mo.2mo.Q.min.loops,24,0.011040567217979086,97,0.0,50,0.003982899234564508
9mo.2mo.log_ratio.std.atac,25,0.010690528080057557,37,0.0010610455312693833,15,0.014778509740262718
18mo.9mo.log_ratio.std.atac,26,0.009114679585784675,18,0.006307506587316107,82,0.00047802350775497977
18mo.2mo.contact.log_ratio.max.20kb-1Mb.enhancer_peak,27,0.008979722556856824,75,0.0,52,0.0035977480856878886
9mo.2mo.activity.log_ratio.median.20kb-1Mb.enhancer_peak,28,0.008771453548279746,90,0.0,94,0.0
9mo.2mo.activity.log_ratio.count.20kb-1Mb.enhancer_peak,29,0.008483478934290585,89,0.0,27,0.009274870467040576
Tanova.skew.loops,30,0.008425724111341775,102,0.0,91,0.0
18mo.9mo.log_ratio.mch_genebody,31,0.008370988524166451,26,0.0038963895653670562,33,0.0073754694510011634
9mo.2mo.T.std.loops,32,0.008281942128160894,46,0.0,41,0.005332231237098899
18mo.9mo.activity.log_ratio.mean.20kb-1Mb.enhancer_peak,33,0.00754329595911606,85,0.0,47,0.0042921932117395535
9mo.2mo.log_ratio.DAR,34,0.0070055126483626684,70,0.0,61,0.002378616429173256
9mo.2mo.T.skew.loops,35,0.006957444840021382,41,0.0007991921552219575,49,0.004091127868200926
Qanova.std.loops,36,0.006684358617389684,108,0.0,75,0.000793342620367856
18mo.9mo.activity.log_ratio.max.20kb-1Mb.enhancer_peak,37,0.005917161107137198,24,0.004231582555273848,38,0.0056669365361496854
18mo.9mo.contact.log_ratio.min.20kb-1Mb.enhancer_peak,38,0.005582478750395164,15,0.01037346452030852,109,0.0
9mo.2mo.activity.log_ratio.count.20kb-1Mb.enhancer_DMR,39,0.0051544119205037126,50,0.0,115,0.0
