index,rank.down,abs_mean_shap.down,rank.non,abs_mean_shap.non,rank.up,abs_mean_shap.up
gene_length.meta,1,0.3084128155038023,2,0.05897441275507308,1,0.3029093031928903
9mo.2mo.log_ratio.mcg_genebody,2,0.17001030762296188,11,0.013018415423470264,61,0.0021885227667102114
9mo.2mo.log_ratio.mean.atac,3,0.14738695798046614,76,0.0,6,0.0506265780226357
9mo.2mo.log_ratio.mch_genebody,4,0.14299549818989502,20,0.00705538720299714,3,0.09517693709192585
18mo.2mo.log_ratio.mean.atac,5,0.1120295411643067,10,0.014037844157933584,8,0.03718475421493418
9mo.2mo.log_ratio.max.atac,6,0.09565866574060553,127,0.0,2,0.10785204440154404
18mo.2mo.log_ratio.mch_genebody,7,0.08375365716921147,13,0.012026369334227717,4,0.07938393497059668
log2_distance.min.atac,8,0.056563754765195026,25,0.005422312132683464,12,0.019805400809276452
18mo.2mo.log_ratio.mcg_genebody,9,0.053080798426564796,8,0.014750676768462393,7,0.038152787173523425
loop_size.log.min.loops,10,0.03025879167061317,93,0.0,39,0.004982539212338295
18mo.9mo.log_ratio.mean.atac,11,0.024510408941138137,83,0.0,5,0.06689142638249346
loop_size.log.median.loops,12,0.024123504705154272,99,0.0,18,0.010790059186362064
18mo.2mo.log_ratio.min.atac,13,0.0194996712487853,7,0.023673279604928533,9,0.025497440741729094
18mo.9mo.contact.log_ratio.mean.5kb-20kb.enhancer_peak,14,0.019303187607971332,175,0.0,146,0.0
loop_size.log.mean.loops,15,0.016987132781286402,98,0.0,119,0.0
18mo.9mo.contact.log_ratio.min.5kb-20kb.enhancer_peak,16,0.01661619191483213,189,0.0,37,0.005099529486722688
18mo.9mo.log_ratio.DMR,17,0.013686725221643789,39,0.0014031993577973334,166,0.0
18mo.9mo.log_ratio.mcg_genebody,18,0.011412342004432046,74,0.0,149,0.0
18mo.9mo.Q.min.loops,19,0.009221656479405291,22,0.0061953667552998685,69,0.0009501860869821659
18mo.2mo.activity.log_ratio.max.20kb-5Mb.enhancer_peak,20,0.009142629746646147,21,0.006411775985633625,133,0.0
18mo.2mo.contact.log_ratio.min.20kb-5Mb.enhancer_peak,21,0.008690901149711343,112,0.0,51,0.0036345868201878217
9mo.2mo.T.median.loops,22,0.00809418490209724,41,0.0009938822427788365,32,0.006464292432992916
min_distance.log.min.loops,23,0.008034101345834842,71,0.0,151,0.0
18mo.9mo.log_ratio.min.atac,24,0.007921401845293677,19,0.008088465845089297,123,0.0
9mo.2mo.activity.log_ratio.max.5kb-20kb.enhancer_DMR,25,0.0072697936199068135,125,0.0,60,0.0022269626340596068
18mo.2mo.contact.log_ratio.median.20kb-5Mb.enhancer_peak,26,0.0068139188977834764,160,0.0,56,0.002990681447158007
9mo.2mo.contact.log_ratio.max.5kb-20kb.enhancer_DMR,27,0.006394772329372207,145,0.0,106,0.0
18mo.2mo.log_ratio.max.atac,28,0.005773783686506396,31,0.0027936151818850085,25,0.008089227556758439
18mo.9mo.contact.log_ratio.median.20kb-5Mb.enhancer_DMR,29,0.005642127024924474,4,0.03085913773758699,73,0.0007761009096597904
distance.log2.DMR,30,0.0051748811058644,9,0.014674979114850432,164,0.0
9mo.2mo.T.std.loops,31,0.005163158571742525,89,0.0,57,0.002978340781728471
18mo.2mo.activity.log_ratio.max.5kb-20kb.enhancer_DMR,32,0.005128050574844185,32,0.0026966109694865547,68,0.0010328988340611435
18mo.9mo.activity.log_ratio.max.5kb-20kb.enhancer_DMR,33,0.005122024294972798,131,0.0,19,0.010532762564857148
