index,rank.down,abs_mean_shap.down,rank.non,abs_mean_shap.non,rank.up,abs_mean_shap.up
gene_length.meta,1,0.2569201639484534,1,0.10475501647861332,1,0.3118113541442786
18mo.2mo.log_ratio.mean.atac,2,0.1952728233501675,54,0.0,9,0.03186199251234795
9mo.2mo.log_ratio.mch_genebody,3,0.17419558831632512,9,0.014344376031742306,10,0.030354331446186465
9mo.2mo.log_ratio.mcg_genebody,4,0.16099857388858654,5,0.023949313176393122,26,0.009235489161604214
18mo.9mo.log_ratio.mean.atac,5,0.04844583683231152,61,0.0,7,0.03984309652898933
18mo.2mo.log_ratio.min.atac,6,0.04512207158746159,3,0.03972685646030487,36,0.004234323136584819
log2_distance.min.atac,7,0.03767740973944486,4,0.036954345968050493,14,0.014407075116961642
9mo.2mo.log_ratio.max.atac,8,0.03322358181421348,14,0.008676253171331387,2,0.11687349064119322
9mo.2mo.activity.log_ratio.std.20kb-5Mb.enhancer_peak,9,0.02584050591396736,70,0.0,81,0.0
18mo.2mo.log_ratio.mcg_genebody,10,0.019565984331630842,10,0.010412376321123927,4,0.06864000134089353
18mo.2mo.log_ratio.mch_genebody,11,0.01945421954299299,57,0.0,3,0.10241377398565063
18mo.9mo.log_ratio.std.atac,12,0.01691329458869988,23,0.00341852912326256,96,0.0
9mo.2mo.contact.log_ratio.max.5kb-20kb.enhancer_DMR,13,0.014124489423734902,55,0.0,22,0.01008141756755406
18mo.2mo.activity.log_ratio.max.20kb-5Mb.enhancer_peak,14,0.01401495401503013,32,0.0,93,0.0
9mo.2mo.log_ratio.std.atac,15,0.013477454790049703,47,0.0,49,0.0
loop_size.log.mean.loops,16,0.01321583088927503,35,0.0,13,0.014939812505085038
9mo.2mo.log_ratio.mean.atac,17,0.012910117710902913,49,0.0,5,0.06156355045962635
18mo.9mo.contact.log_ratio.min.20kb-5Mb.enhancer_DMR,18,0.012074234969192313,50,0.0,29,0.007325884838021085
18mo.2mo.T.median.loops,19,0.009632403059052908,30,0.0002988328122127896,54,0.0
18mo.9mo.activity.log_ratio.median.5kb-20kb.enhancer_peak,20,0.008604604498047766,88,0.0,18,0.011519096112573382
18mo.2mo.contact.log_ratio.median.20kb-5Mb.enhancer_peak,21,0.00854533154494251,22,0.00377740565153216,94,0.0
18mo.9mo.activity.log_ratio.max.5kb-20kb.enhancer_peak,22,0.008350448696041393,96,0.0,87,0.0
18mo.2mo.contact.log_ratio.min.20kb-5Mb.enhancer_peak,23,0.0083207112409497,25,0.002687676752915049,32,0.005235149255794589
min_distance.log.min.loops,24,0.00825440027665543,17,0.005841232555559015,84,0.0
18mo.2mo.Q.mean.loops,25,0.008198337973424417,28,0.001141944205359175,52,0.0
9mo.2mo.activity.log_ratio.max.5kb-20kb.enhancer_DMR,26,0.00800725333315483,26,0.0025017613183987457,90,0.0
18mo.9mo.log_ratio.mcg_genebody,27,0.00744110410211185,59,0.0,11,0.01920985449180904
18mo.9mo.contact.log_ratio.mean.20kb-5Mb.enhancer_DMR,28,0.007090464118549968,46,0.0,19,0.010524693825919118
18mo.2mo.activity.log_ratio.mean.20kb-5Mb.enhancer_peak,29,0.005756848459977397,52,0.0,20,0.010318892342475442
18mo.2mo.T.max.loops,30,0.005460901634170675,90,0.0,53,0.0
loop_size.log.max.loops,31,0.005126512135326521,44,0.0,77,0.0
18mo.2mo.log_ratio.max.atac,32,0.004915191455314202,27,0.00249104167086264,16,0.011685836820247654
18mo.9mo.T.min.loops,33,0.004906334974884123,82,0.0,60,0.0
log2_distance.std.atac,34,0.0045545372152915676,69,0.0,15,0.013852802060889704
9mo.2mo.Q.mean.loops,35,0.004314948798660534,80,0.0,25,0.009565988384366236
18mo.2mo.log_ratio.DAR,36,0.003998900378767483,64,0.0,65,0.0
18mo.9mo.activity.log_ratio.count.0-5kb.enhancer_peak,37,0.0030973587124942105,79,0.0,86,0.0
